"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"IL1B","IL1R1","IL1","Myeloid","Fibroblast",1.82754632014158,0.863619052708493,0.963927267433083
"IL1B","IL1R1","IL1","Myeloid","Smooth_Muscle",0.686922632336329,0.175183111835514,0.511739520500814
"IL1B","IL1R1","IL1","Myeloid","Pericyte",0.835138393138578,0.355958149455574,0.479180243683004
"IL1B","IL1R1","IL1","Myeloid","Melanocyte",0.510625539482897,0.0330888142340517,0.477536725248845
"IL1B","IL1R1","IL1","Macrophage","Fibroblast",0.57037252048906,0.160034306396063,0.410338214092997
"IL1B","IL1R1","IL1","Myeloid","Keratinocyte",0.516918952509845,0.138840763366431,0.378078189143414
"VEGFA","KDR","VEGF","Myeloid","Endothelial",0.707109287088316,0.384782663621401,0.322326623466915
"TNF","TNFRSF1A","TNF","T_cell","Macrophage",0.316037670796365,0.615285755592297,-0.299248084795932
"PDGFA","PDGFRA","PDGF","Melanocyte","Fibroblast",0.375228215131918,0.085718434901103,0.289509780230815
"IL1B","IL1R1","IL1","Myeloid","Lymphatic_Endo",0.416736993664239,0.137358643971378,0.27937834969286
"VEGFA","KDR","VEGF","Macrophage","Endothelial",0.417900930645797,0.182451426236929,0.235449504408868
"IL1B","IL1R1","IL1","Myeloid","Macrophage",0.24170148544444,0.0323869995120633,0.209314485932377
"IL1B","IL1R1","IL1","Macrophage","Pericyte",0.260644551113065,0.065961392787124,0.19468315832594
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Fibroblast",0.273908632872739,0.0863785764252959,0.187530056447443
"IL1B","IL1R1","IL1","Macrophage","Smooth_Muscle",0.214386792207981,0.0324625860290782,0.181924206178902
"VEGFA","KDR","VEGF","Macrophage","Lymphatic_Endo",0.475321845515415,0.299560820520767,0.175761024994649
"VEGFA","KDR","VEGF","Myeloid","Lymphatic_Endo",0.80426834848277,0.631761630007268,0.172506718475502
"IL1B","IL1R1","IL1","Myeloid","Endothelial",0.85330729223771,0.682002986927233,0.171304305310477
"IL1B","IL1R1","IL1","Macrophage","Melanocyte",0.159364921573306,0,0.159364921573306
"PDGFA","PDGFRA","PDGF","Pericyte","Fibroblast",0.574014137820704,0.415102933594623,0.158911204226081
"TNF","TNFRSF1A","TNF","T_cell","Fibroblast",0.400840364118404,0.548448995638189,-0.147608631519786
"TGFB1","TGFBR1","TGFb","T_cell","Macrophage",0.0907119036394504,0.237977209162046,-0.147265305522596
"TGFB1","TGFBR1","TGFb","Macrophage","Macrophage",0.0613989853653607,0.207714275970617,-0.146315290605257
"IL1B","IL1R1","IL1","Macrophage","Endothelial",0.266315017934874,0.126379651572814,0.139935366362061
"IL1B","IL1R1","IL1","Myeloid","Myeloid",0.491026906630928,0.353430389937998,0.13759651669293
"IL1B","IL1R1","IL1","Macrophage","Keratinocyte",0.161329079642022,0.0257281091647554,0.135600970477267
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Keratinocyte",0.160976171906154,0.0282107263064334,0.132765445599721
"TGFB1","TGFBR1","TGFb","Melanocyte","Fibroblast",0.129110904448773,0,0.129110904448773
"TNF","TNFRSF1A","TNF","Myeloid","Macrophage",0.300750210105505,0.425683558202999,-0.124933348097494
"TNF","TNFRSF1A","TNF","Myeloid","Smooth_Muscle",0.325326228814262,0.204631584579187,0.120694644235075
"VEGFA","KDR","VEGF","Keratinocyte","Endothelial",0.166838672148846,0.052440076504946,0.1143985956439
"TGFB1","TGFBR1","TGFb","Myeloid","Macrophage",0.0710886645628348,0.184949794896176,-0.113861130333342
"TNF","TNFRSF1A","TNF","T_cell","Endothelial",0.320274770470586,0.432702388073949,-0.112427617603363
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Melanocyte",0.179966512628806,0.0724909080954509,0.107475604533355
"IL1B","IL1R1","IL1","Macrophage","Lymphatic_Endo",0.130062547163725,0.0254534626656542,0.10460908449807
"VEGFA","KDR","VEGF","Smooth_Muscle","Lymphatic_Endo",0.103264562166513,0.207239274707989,-0.103974712541476
"CCL2","CCR2","CCL","Macrophage","Macrophage",0.121268205984802,0.0173903292860055,0.103877876698797
"VEGFA","KDR","VEGF","Keratinocyte","Lymphatic_Endo",0.189762835480128,0.0860995864488004,0.103663249031327
"TNF","TNFRSF1A","TNF","T_cell","Pericyte",0.439457237240633,0.542855539113881,-0.103398301873248
"CCL2","CCR2","CCL","Macrophage","Myeloid",0.142844559418487,0.241440015551298,-0.0985954561328106
"TNF","TNFRSF1A","TNF","Myeloid","Melanocyte",0.215873121665608,0.123428817750543,0.0924443039150646
"TNF","TNFRSF1A","TNF","Macrophage","Smooth_Muscle",0.204635799817829,0.112658393118041,0.0919774066997873
"IL1B","IL1R1","IL1","Macrophage","Myeloid",0.153248238513228,0.065492982276885,0.0877552562363431
"CCL2","CCR2","CCL","Fibroblast","Macrophage",0.0851166679846317,0,0.0851166679846317
"TGFB1","TGFBR1","TGFb","Melanocyte","Melanocyte",0.0848298900706507,0,0.0848298900706507
"HGF","MET","HGF","Melanocyte","Endothelial",0.0846442854834992,0,0.0846442854834992
"PDGFA","PDGFRA","PDGF","Fibroblast","Fibroblast",0.211767009150118,0.127909712794363,0.0838572963557544
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Keratinocyte",0.0832768982922665,0,0.0832768982922665
"PDGFA","PDGFRA","PDGF","Pericyte","Keratinocyte",0.0817508296211675,0,0.0817508296211675
"TNF","TNFRSF1A","TNF","T_cell","Lymphatic_Endo",0.239354290789024,0.320802933912407,-0.0814486431233839
"TNF","TNFRSF1A","TNF","T_cell","Keratinocyte",0.238354448896305,0.316667683938862,-0.0783132350425575
