"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"IGKC",1.98662349180667e-160,-5.53057187067137,0.048,0.383,4.93675937713957e-156,"IGKC","Endothelial"
"HLA-A",4.01913215239493e-73,-0.574385982111696,0.914,0.95,9.9875433987014e-69,"HLA-A","Endothelial"
"COL3A1",1.86295332016414e-67,1.90010944317139,0.413,0.173,4.62943900060789e-63,"COL3A1","Endothelial"
"TXNIP",2.45872442339843e-66,-1.03593499757713,0.66,0.805,6.1099301921451e-62,"TXNIP","Endothelial"
"COL1A1",7.39240940138044e-62,1.42094026866372,0.453,0.224,1.83701373624304e-57,"COL1A1","Endothelial"
"RPS26",9.42777397139519e-54,-0.521904233668175,0.849,0.924,2.3428018318917e-49,"RPS26","Endothelial"
"TPM4",7.43649293604658e-51,0.72267646891792,0.788,0.685,1.84796849460757e-46,"TPM4","Endothelial"
"IGLC2",2.04232126199534e-50,-3.03817796391814,0.017,0.138,5.07516833605843e-46,"IGLC2","Endothelial"
"COL1A2",1.3697136187935e-49,1.37236744890539,0.413,0.206,3.40373834270185e-45,"COL1A2","Endothelial"
"RPS4Y1",2.70983629520835e-46,-1.19268069886523,0.196,0.403,6.73394319359275e-42,"RPS4Y1","Endothelial"
"HLA-E",4.44321102083301e-45,-0.46154456258007,0.909,0.954,1.104137938677e-40,"HLA-E","Endothelial"
"IGHA1",1.74168410241944e-42,-4.18094661120251,0.008,0.102,4.32808499451231e-38,"IGHA1","Endothelial"
"COL6A2",5.10228535227756e-39,1.61704511139488,0.376,0.191,1.26791791004097e-34,"COL6A2","Endothelial"
"COL4A1",5.14762265627082e-39,0.799365143481611,0.74,0.582,1.2791842300833e-34,"COL4A1","Endothelial"
"SLCO2A1",1.96925976701579e-36,1.20237114597739,0.45,0.27,4.89361052103425e-32,"SLCO2A1","Endothelial"
"MT-ND1",4.54412587445793e-34,-0.435506861215556,0.906,0.927,1.1292152798028e-29,"MT-ND1","Endothelial"
"SERPINE1",7.52880516897365e-34,1.53069931959238,0.329,0.163,1.87090808448995e-29,"SERPINE1","Endothelial"
"HLA-B",1.01587113116372e-33,-0.360613992404804,0.943,0.972,2.52443976094184e-29,"HLA-B","Endothelial"
"SELE",5.43922502170664e-33,1.6374816319247,0.487,0.332,1.3516474178941e-28,"SELE","Endothelial"
"GIMAP1",3.21260179821142e-32,-0.804055036318799,0.466,0.6,7.98331546855537e-28,"GIMAP1","Endothelial"
"JAM2",3.22432982560697e-32,-0.752760722063871,0.532,0.654,8.01245961663332e-28,"JAM2","Endothelial"
"LUM",5.27137140316748e-32,1.98160870886739,0.187,0.057,1.30993579368712e-27,"LUM","Endothelial"
"COL15A1",3.07044678579423e-29,0.704664130336806,0.736,0.643,7.63006026269865e-25,"COL15A1","Endothelial"
"ATP1B3",1.24309993869807e-27,0.62836453068858,0.728,0.633,3.08910334766472e-23,"ATP1B3","Endothelial"
"NFKBIA",5.97409153076962e-27,0.843758327243294,0.81,0.776,1.48456174539625e-22,"NFKBIA","Endothelial"
"MPZL2",3.32254751813345e-26,1.00122832844215,0.378,0.226,8.25653058256163e-22,"MPZL2","Endothelial"
"CLDN5",4.53435256939593e-26,-0.645184019311662,0.614,0.725,1.12678661349489e-21,"CLDN5","Endothelial"
"SELENOW",5.29919025828155e-26,-0.509741182398307,0.773,0.847,1.31684877918296e-21,"SELENOW","Endothelial"
"TNFAIP3",5.39835627482194e-26,1.38236248328466,0.363,0.22,1.34149153429325e-21,"TNFAIP3","Endothelial"
"ID1",8.98345001030185e-26,-0.459206754750388,0.797,0.874,2.23238732756001e-21,"ID1","Endothelial"
"CRIP1",1.36026470006993e-25,1.52616054272569,0.445,0.314,3.38025777967379e-21,"CRIP1","Endothelial"
"TGM2",8.08696177369314e-25,1.4343443943005,0.25,0.121,2.00961000076274e-20,"TGM2","Endothelial"
"FTL",8.11443763117384e-25,-0.344272127989798,0.888,0.928,2.0164377513467e-20,"FTL","Endothelial"
"NRN1",9.07765040542399e-25,-0.827806242421521,0.447,0.567,2.25579612574786e-20,"NRN1","Endothelial"
"MSN",9.40264631569814e-25,0.53869254916905,0.727,0.647,2.33655760945099e-20,"MSN","Endothelial"
"SERPINB9",2.51725527259806e-24,1.62712488017797,0.199,0.082,6.25537935240618e-20,"SERPINB9","Endothelial"
"B2M",3.58156288834731e-24,-0.292413189539413,0.993,0.995,8.90018377754307e-20,"B2M","Endothelial"
"CXCL2",4.80446707484865e-24,1.23358255882386,0.293,0.156,1.19391006809989e-19,"CXCL2","Endothelial"
"LGALS3",7.57092070681686e-24,-0.445004984888429,0.79,0.851,1.88137379564399e-19,"LGALS3","Endothelial"
"LTC4S",1.37268405732999e-23,-1.53702277116691,0.143,0.261,3.41111988246503e-19,"LTC4S","Endothelial"
"THBS1",3.25456028032462e-23,1.17229123259773,0.341,0.201,8.08758229660667e-19,"THBS1","Endothelial"
"LGALS1",6.09892632034103e-23,0.435571072118022,0.81,0.679,1.51558319060475e-18,"LGALS1","Endothelial"
"HIF1A",1.03033638744301e-22,0.801338476975114,0.532,0.393,2.56038592279588e-18,"HIF1A","Endothelial"
"PRSS23",1.15624682500997e-22,0.591650608059842,0.675,0.575,2.87327336014977e-18,"PRSS23","Endothelial"
"ACTA2",1.78425211644014e-22,2.28590297633457,0.165,0.062,4.43386650935376e-18,"ACTA2","Endothelial"
"CD93",1.91474468849833e-22,0.512974394009054,0.735,0.649,4.75814055091836e-18,"CD93","Endothelial"
"ACTB",2.53943651533027e-22,0.361550806249589,0.969,0.965,6.31049974059572e-18,"ACTB","Endothelial"
"INSR",4.15378187979467e-22,1.01831037713138,0.479,0.331,1.03221479712898e-17,"INSR","Endothelial"
"SLC38A2",4.85076944249696e-22,0.709075334533092,0.603,0.468,1.2054162064605e-17,"SLC38A2","Endothelial"
"MT-ND4",6.13968031598996e-22,-0.346904774179725,0.919,0.932,1.5257105585235e-17,"MT-ND4","Endothelial"
"CALCRL",7.98245266092424e-22,0.619771384858642,0.631,0.511,1.98363948623967e-17,"CALCRL","Endothelial"
"TSPAN7",8.11448999656784e-22,-0.715539497420915,0.414,0.535,2.01645076414711e-17,"TSPAN7","Endothelial"
"RCAN1",1.11513512220293e-21,1.2200943211838,0.467,0.333,2.77111077867428e-17,"RCAN1","Endothelial"
"IFITM3",1.13268751877888e-21,0.334719348263685,0.958,0.97,2.81472848416551e-17,"IFITM3","Endothelial"
"MT-CO1",1.17101115291621e-21,-0.313905556947168,0.93,0.933,2.90996271499679e-17,"MT-CO1","Endothelial"
"HLA-DQA2",1.25514969284286e-21,-2.03840842833136,0.045,0.128,3.11904698671449e-17,"HLA-DQA2","Endothelial"
"CRACR2B",1.37774535309204e-21,-1.22246688567596,0.124,0.233,3.42369720243371e-17,"CRACR2B","Endothelial"
"CAV1",1.44413175514463e-21,-0.414242316339656,0.85,0.897,3.5886674115344e-17,"CAV1","Endothelial"
"COL4A2",1.44428413521612e-21,0.531242938860945,0.728,0.605,3.58904607601206e-17,"COL4A2","Endothelial"
"SNHG7",2.40389683238749e-21,-0.58074190454284,0.635,0.712,5.97368362848291e-17,"SNHG7","Endothelial"
"COL6A1",2.79838780655255e-21,1.09751699844528,0.349,0.211,6.9539936992831e-17,"COL6A1","Endothelial"
"KRT17",3.48344061447018e-21,1.50386310623859,0.216,0.106,8.65634992695841e-17,"KRT17","Endothelial"
"CALD1",3.86894545978978e-21,0.542064359943055,0.786,0.728,9.61432946757761e-17,"CALD1","Endothelial"
"MCAM",5.03731091173136e-21,0.723829027467588,0.563,0.44,1.25177176156524e-16,"MCAM","Endothelial"
"FCGRT",7.53661196235255e-21,-0.532663375641633,0.567,0.666,1.87284807264461e-16,"FCGRT","Endothelial"
"FAM13C",8.13906856139802e-21,-0.878125434225228,0.262,0.388,2.02255853750741e-16,"FAM13C","Endothelial"
"TSPAN4",9.39947825431595e-21,-0.566814471942216,0.494,0.602,2.33577034619751e-16,"TSPAN4","Endothelial"
"MT-ND3",9.62148723452124e-21,-0.359827566358467,0.884,0.913,2.39093957777853e-16,"MT-ND3","Endothelial"
"EMP1",1.54528826833653e-20,0.509170392220558,0.696,0.61,3.84004134681627e-16,"EMP1","Endothelial"
"RPL27A",1.82190351494599e-20,0.274193561160725,0.92,0.9,4.52743023464078e-16,"RPL27A","Endothelial"
"NFKBIZ",2.00810294170589e-20,0.810166488766944,0.443,0.305,4.99013581013915e-16,"NFKBIZ","Endothelial"
"RAB31",2.23102013599802e-20,1.0519498750446,0.2,0.09,5.54408503795507e-16,"RAB31","Endothelial"
"MT-CYB",2.28936965279077e-20,-0.37337410446117,0.933,0.937,5.68908358718506e-16,"MT-CYB","Endothelial"
"RPS29",2.34900332431918e-20,0.331960694833506,0.922,0.911,5.83727326093317e-16,"RPS29","Endothelial"
"PNP",5.48325021446813e-20,0.705654486227334,0.478,0.343,1.36258767829533e-15,"PNP","Endothelial"
"ADAMTS9",7.83803188371381e-20,0.832834871874817,0.471,0.337,1.94775092310288e-15,"ADAMTS9","Endothelial"
"CD276",1.22550440225316e-19,1.29293181964376,0.184,0.081,3.0453784395991e-15,"CD276","Endothelial"
"PXDN",1.33976956298999e-19,0.917084892119713,0.449,0.318,3.32932736403013e-15,"PXDN","Endothelial"
"KRT16",1.41700647594889e-19,1.1590716472077,0.344,0.218,3.52126109273299e-15,"KRT16","Endothelial"
