"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"TNC",0,1.8586992245533,0.679,0.273,0,"TNC","Fibroblast"
"HIF1A",0,1.88137591138903,0.745,0.353,0,"HIF1A","Fibroblast"
"TNFRSF12A",0,2.20948078480334,0.574,0.203,0,"TNFRSF12A","Fibroblast"
"SELENOP",0,-1.82811451179438,0.359,0.725,0,"SELENOP","Fibroblast"
"APOD",0,-2.49515880007627,0.182,0.509,0,"APOD","Fibroblast"
"PTGDS",0,-3.04342642305813,0.216,0.528,0,"PTGDS","Fibroblast"
"TNXB",0,-1.64392142812331,0.354,0.643,0,"TNXB","Fibroblast"
"BGN",0,1.33840175140137,0.88,0.619,0,"BGN","Fibroblast"
"CXCL14",0,-2.55365515299783,0.423,0.672,0,"CXCL14","Fibroblast"
"TPM4",0,0.860595715720045,0.92,0.737,0,"TPM4","Fibroblast"
"NNMT",0,0.930330318765383,0.947,0.815,0,"NNMT","Fibroblast"
"CFD",0,-2.45642397569255,0.661,0.793,0,"CFD","Fibroblast"
"GSN",0,-2.76581900817074,0.848,0.876,0,"GSN","Fibroblast"
"TXNIP",4.74573093400834e-303,-1.42406067912761,0.559,0.748,1.17931413710107e-298,"TXNIP","Fibroblast"
"MT-ND1",3.62874386953918e-294,-0.81014317136182,0.991,0.993,9.01742851580487e-290,"MT-ND1","Fibroblast"
"IGKC",9.93544300158087e-289,-4.2684680293779,0.024,0.199,2.46895758589285e-284,"IGKC","Fibroblast"
"ADAM12",1.69440179508474e-287,2.60171929147561,0.419,0.113,4.21058846078559e-283,"ADAM12","Fibroblast"
"FGL2",1.25451604511738e-286,-2.61246271150243,0.084,0.312,3.11747237211669e-282,"FGL2","Fibroblast"
"NTRK2",1.04622536672867e-281,-2.1901919802653,0.129,0.381,2.59987003632074e-277,"NTRK2","Fibroblast"
"ALDH1A1",9.74617255674228e-278,-2.40533317170319,0.103,0.338,2.42192388035046e-273,"ALDH1A1","Fibroblast"
"RPS26",1.38006302618183e-273,-0.832211066716576,0.888,0.935,3.42945662006185e-269,"RPS26","Fibroblast"
"TMSB4X",2.87908327148663e-270,0.749886340127702,0.995,0.978,7.15452192964429e-266,"TMSB4X","Fibroblast"
"RGS3",9.24909720926678e-269,1.61856646558787,0.589,0.286,2.29840065650279e-264,"RGS3","Fibroblast"
"FTH1",1.93920223801612e-256,1.29456623184259,0.996,0.99,4.81891756147006e-252,"FTH1","Fibroblast"
"PLPP3",2.14806234447268e-255,-1.53691230151855,0.51,0.7,5.33793492601462e-251,"PLPP3","Fibroblast"
"F10",2.43296683275947e-251,-1.9593036529322,0.161,0.407,6.04592257940727e-247,"F10","Fibroblast"
"TNFAIP6",2.48030060868091e-249,2.03490454700769,0.548,0.252,6.16354701257207e-245,"TNFAIP6","Fibroblast"
"WISP1",6.26194966687858e-248,2.22258341528836,0.386,0.1,1.55609449221933e-243,"WISP1","Fibroblast"
"PDPN",1.43617514649324e-246,1.77041856957884,0.519,0.23,3.56889523903569e-242,"PDPN","Fibroblast"
"SPRY1",4.44466804956078e-245,-1.4103652970926,0.279,0.539,1.10450001031585e-240,"SPRY1","Fibroblast"
"MFAP4",4.82928028241574e-244,-1.30191734457664,0.532,0.724,1.20007615018031e-239,"MFAP4","Fibroblast"
"RPLP0",9.36160282293504e-244,0.475673014625565,0.978,0.95,2.32635830149936e-239,"RPLP0","Fibroblast"
"ASPN",2.36704847152118e-242,2.37886473316777,0.55,0.266,5.88211545173012e-238,"ASPN","Fibroblast"
"GFRA1",3.21659910732113e-236,-3.15881080233351,0.027,0.184,7.99324878169301e-232,"GFRA1","Fibroblast"
"TGFBI",1.49718086146306e-233,1.29789088591646,0.755,0.517,3.7204944407357e-229,"TGFBI","Fibroblast"
"GAPDH",1.18942979845619e-231,0.644299813829993,0.977,0.96,2.95573304916364e-227,"GAPDH","Fibroblast"
"SCARA5",2.78067533518891e-229,-2.16616772225507,0.197,0.421,6.90997820794444e-225,"SCARA5","Fibroblast"
"AHNAK",2.53193871730606e-228,-0.888658176496393,0.765,0.848,6.29186771250555e-224,"AHNAK","Fibroblast"
"CRABP1",5.07743473179499e-227,-2.70273710770563,0.038,0.204,1.26174253085105e-222,"CRABP1","Fibroblast"
"SLC39A14",3.468888202418e-221,1.94839608142973,0.444,0.171,8.62018718300874e-217,"SLC39A14","Fibroblast"
"PLAUR",1.58982023262415e-219,1.49057726307951,0.538,0.261,3.95070327807101e-215,"PLAUR","Fibroblast"
"SOD2",1.66815553766872e-219,1.32904951744649,0.798,0.613,4.14536651110676e-215,"SOD2","Fibroblast"
"TPI1",7.72099266953755e-219,0.85109490261939,0.885,0.766,1.91866667838008e-214,"TPI1","Fibroblast"
"NBL1",9.97813534390165e-217,0.985168884792792,0.856,0.683,2.47956663295956e-212,"NBL1","Fibroblast"
"SPHK1",4.81747413503031e-214,1.61881020328155,0.444,0.164,1.19714232255503e-209,"SPHK1","Fibroblast"
"PLOD2",2.70915099489697e-213,1.93783043839206,0.433,0.167,6.73224022231896e-209,"PLOD2","Fibroblast"
"CD81",1.11361747264069e-211,-0.878882791141646,0.908,0.901,2.76733941951211e-207,"CD81","Fibroblast"
"ADIRF",1.08685733615037e-209,-0.675067501284428,0.732,0.87,2.70084048033367e-205,"ADIRF","Fibroblast"
"APOE",2.73575168444077e-209,-1.81686715387471,0.348,0.576,6.79834293583532e-205,"APOE","Fibroblast"
"SLC16A3",9.14753341132482e-208,1.97052364137787,0.402,0.14,2.27316205271422e-203,"SLC16A3","Fibroblast"
"MT-ND4",7.37130367327849e-200,-0.54025337930515,0.995,0.993,1.8317689628097e-195,"MT-ND4","Fibroblast"
"FBLN2",9.82461646642876e-200,-1.13441706476415,0.648,0.744,2.44141719190755e-195,"FBLN2","Fibroblast"
