"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"LGALS7",4.58448093073092e-266,6.61290419476077,0.398,0.014,1.13924351128663e-261,"LGALS7","Keratinocyte"
"B2M",7.05436959108265e-230,-0.986463205256781,0.95,0.965,1.75301084338404e-225,"B2M","Keratinocyte"
"RPL34",2.12464964465731e-229,-1.0192840184536,0.953,0.971,5.27975436697343e-225,"RPL34","Keratinocyte"
"RPL31",1.40768210965825e-218,-1.28796112318553,0.899,0.915,3.49809004250075e-214,"RPL31","Keratinocyte"
"RPL13A",1.66436168934539e-218,-0.960283950964532,0.967,0.982,4.13593879802329e-214,"RPL13A","Keratinocyte"
"RPS25",5.71949983966644e-209,-0.743985607919215,0.94,0.963,1.42129571015711e-204,"RPS25","Keratinocyte"
"RPL7",1.19448784151015e-203,-0.996968224087457,0.937,0.961,2.96830228615273e-199,"RPL7","Keratinocyte"
"TNC",1.70658328023715e-203,3.42289588828307,0.423,0.064,4.24085945138932e-199,"TNC","Keratinocyte"
"RPS26",1.34014735031498e-202,-0.835089443273402,0.908,0.93,3.33026616553272e-198,"RPS26","Keratinocyte"
"TMSB10",3.05259188714165e-201,1.04093340335874,0.966,0.928,7.585690839547e-197,"TMSB10","Keratinocyte"
"RPL21",4.07458989943124e-195,-0.803239176963913,0.958,0.976,1.01253559000866e-190,"RPL21","Keratinocyte"
"CLEC2B",1.24715705454041e-193,-2.23569889523334,0.376,0.668,3.09918528053292e-189,"CLEC2B","Keratinocyte"
"MGST1",1.01566862059919e-184,1.90778868894638,0.545,0.159,2.52393652218897e-180,"MGST1","Keratinocyte"
"RPL41",7.95632207257321e-184,-0.706496795514064,0.982,0.987,1.97714603503444e-179,"RPL41","Keratinocyte"
"FLNA",1.29865819762661e-181,1.59082985126681,0.702,0.325,3.22716562110213e-177,"FLNA","Keratinocyte"
"RPS20",6.42948496596029e-181,-0.962408552515579,0.919,0.928,1.59772701404113e-176,"RPS20","Keratinocyte"
"LGALS7B",1.21610705692868e-178,-1.44787082989502,0.488,0.777,3.02202603646778e-174,"LGALS7B","Keratinocyte"
"CTSB",8.78280464898168e-178,1.66218670582574,0.775,0.459,2.18252695527195e-173,"CTSB","Keratinocyte"
"RPS6",1.36897718824522e-177,-0.726141329978039,0.97,0.983,3.40190831278938e-173,"RPS6","Keratinocyte"
"FOS",2.94977293920416e-177,-1.4339371697884,0.806,0.874,7.33018575392235e-173,"FOS","Keratinocyte"
