"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"RPS4Y1",6.15983766495042e-247,-5.42036418367106,0.014,0.759,1.53071965974018e-242,"RPS4Y1","Macrophage"
"XIST",1.17917042024071e-214,5.46321533011668,0.642,0.011,2.93023849429816e-210,"XIST","Macrophage"
"FCGRT",1.97994221310117e-182,-1.57243790300196,0.744,0.972,4.92015639955642e-178,"FCGRT","Macrophage"
"SELENOP",1.59185320181804e-180,-1.73899336975201,0.562,0.958,3.95575520651782e-176,"SELENOP","Macrophage"
"S100A9",1.24336705551942e-175,4.03012095178085,0.806,0.355,3.08976713296577e-171,"S100A9","Macrophage"
"CST3",1.25006506377552e-170,-1.22353102809944,0.948,0.995,3.10641168348217e-166,"CST3","Macrophage"
"A2M",1.30391848057447e-168,-2.5522767234999,0.228,0.808,3.24023742422756e-164,"A2M","Macrophage"
"GNAS",3.02637624453389e-159,-1.2909778910843,0.69,0.958,7.52054496766671e-155,"GNAS","Macrophage"
"FOLR2",3.77421587729384e-144,-1.48980577281707,0.518,0.927,9.37892645507519e-140,"FOLR2","Macrophage"
"S100A8",1.14502975980568e-141,5.31846575851803,0.532,0.057,2.84539895311711e-137,"S100A8","Macrophage"
"TYMP",1.18198916953604e-139,2.74279472523044,0.825,0.605,2.93724308629705e-135,"TYMP","Macrophage"
"LYZ",1.26960721378958e-138,2.60490796542015,0.9,0.82,3.15497392626712e-134,"LYZ","Macrophage"
"HLA-DQA2",3.03391867909845e-137,-4.56450868850849,0.014,0.504,7.53928791755965e-133,"HLA-DQA2","Macrophage"
"MT-ND1",4.04277336450766e-137,-0.883050941280448,0.954,0.991,1.00462918108015e-132,"MT-ND1","Macrophage"
"GYPC",1.97935473346746e-136,-1.94710459840337,0.288,0.804,4.91869651266665e-132,"GYPC","Macrophage"
"DDX3Y",2.38689686411464e-134,-5.47962787817534,0.008,0.484,5.93143870732489e-130,"DDX3Y","Macrophage"
"ABCA6",3.82784371868569e-134,-3.17744538650163,0.076,0.599,9.51219164093394e-130,"ABCA6","Macrophage"
"MAF",4.10466198501041e-134,-1.51428422837102,0.524,0.916,1.02000850327509e-129,"MAF","Macrophage"
"HLA-DRB1",3.65605667313406e-133,1.34042099136022,0.972,0.925,9.08530083273813e-129,"HLA-DRB1","Macrophage"
"LYVE1",7.21395987497392e-129,-1.93557776712441,0.297,0.814,1.79266902893102e-124,"LYVE1","Macrophage"
"SRGN",1.72205416589191e-123,1.60780446509156,0.942,0.897,4.27930460224139e-119,"SRGN","Macrophage"
