"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"HLA-DQA2",0,-4.55374622781473,0.064,0.913,0,"HLA-DQA2","Myeloid"
"RPS4Y1",0,-5.60521185042991,0.027,0.865,0,"RPS4Y1","Myeloid"
"XIST",2.87963690148041e-192,4.6589187806028,0.726,0.036,7.15589770017881e-188,"XIST","Myeloid"
"DDX3Y",1.11075164128842e-169,-4.20715842217308,0.015,0.484,2.76021782860171e-165,"DDX3Y","Myeloid"
"RPS26",6.10901163989955e-149,-1.68150465277247,0.694,0.978,1.51808939251504e-144,"RPS26","Myeloid"
"VSIG4",2.79476953264816e-123,-2.72297959518078,0.11,0.563,6.94500228863069e-119,"VSIG4","Myeloid"
"TYMP",1.99636369822783e-118,1.47098672308741,0.93,0.849,4.96096379009616e-114,"TYMP","Myeloid"
"EEF1A1",1.05173911696623e-117,-0.700943715485214,0.992,0.998,2.61357170566107e-113,"EEF1A1","Myeloid"
"ZFP36L2",2.40347748843303e-117,-1.85660122206738,0.431,0.835,5.97264155875608e-113,"ZFP36L2","Myeloid"
"S100A9",4.4913977278437e-116,2.69029148166475,0.748,0.285,1.11611233536916e-111,"S100A9","Myeloid"
"RPL5",3.62475914471957e-115,-0.907123124306313,0.869,0.984,9.00752647462813e-111,"RPL5","Myeloid"
"TIMP1",3.30690086496558e-114,2.43993222341597,0.918,0.836,8.21764864943947e-110,"TIMP1","Myeloid"
"SAT1",6.57560675758779e-104,1.28421141131035,0.994,0.974,1.63403827926057e-99,"SAT1","Myeloid"
"S100A8",3.96019584433279e-95,3.37415567533135,0.629,0.213,9.84108667316698e-91,"S100A8","Myeloid"
"CST3",2.73125783476815e-92,-1.530461945778,0.953,0.91,6.78717571939886e-88,"CST3","Myeloid"
"SRGN",7.08475294062305e-90,0.998272745776683,0.992,0.949,1.76056110574483e-85,"SRGN","Myeloid"
"CHCHD10",1.75375618326476e-88,-1.49538876427113,0.269,0.699,4.35808411541292e-84,"CHCHD10","Myeloid"
"EREG",1.62362003573692e-85,2.65147313362351,0.608,0.196,4.03469578880624e-81,"EREG","Myeloid"
"EEF1B2",3.20538942066518e-82,-0.86122496919296,0.778,0.975,7.96539271035298e-78,"EEF1B2","Myeloid"
"RPL7A",4.90217793376603e-81,-0.620862233496041,0.923,0.996,1.21819121654086e-76,"RPL7A","Myeloid"
"IL18",1.25957459866731e-80,-1.7023674913083,0.233,0.619,3.13004287768827e-76,"IL18","Myeloid"
"IER2",8.24686287075452e-79,-1.40191569663317,0.642,0.896,2.0493454233825e-74,"IER2","Myeloid"
"RPSA",1.16980453241814e-77,-0.862125576981158,0.807,0.983,2.90696426305908e-73,"RPSA","Myeloid"
"HIF1A",6.46166765600898e-77,2.15994767887565,0.709,0.446,1.60572441251823e-72,"HIF1A","Myeloid"
"EIF1AY",1.6879982601872e-75,-5.24623715416432,0.01,0.238,4.1946756765652e-71,"EIF1AY","Myeloid"
"MYADM",2.06746977161068e-75,-1.57309481718158,0.39,0.729,5.13766238245254e-71,"MYADM","Myeloid"
"C15orf48",1.11567545215704e-74,2.14371069665787,0.729,0.422,2.77245349861026e-70,"C15orf48","Myeloid"
"FOLR2",3.47719757251893e-74,-2.34580045817722,0.067,0.371,8.64083596770955e-70,"FOLR2","Myeloid"
