"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"RPS4Y1",0,-2.8026019569438,0.126,0.76,0,"RPS4Y1","T_cell"
"XIST",2.70510173087791e-181,3.11890346892002,0.458,0.038,6.7221778012316e-177,"XIST","T_cell"
"IGKC",3.68325470806056e-124,-4.45953329508378,0.018,0.291,9.1528879495305e-120,"IGKC","T_cell"
"IL32",2.58727579319883e-74,-0.648618792590821,0.758,0.911,6.4293803460991e-70,"IL32","T_cell"
"EEF1A1",8.73685560474262e-68,-0.389923191227735,0.993,0.997,2.17110861777854e-63,"EEF1A1","T_cell"
"HLA-A",1.7028115589245e-61,-0.422886914070576,0.963,0.983,4.23148672392737e-57,"HLA-A","T_cell"
"RPS26",2.14311929929957e-59,-0.557217482053918,0.769,0.945,5.32565145875944e-55,"RPS26","T_cell"
"RPSA",1.14649451481198e-58,-0.479188547034872,0.913,0.958,2.84903886930778e-54,"RPSA","T_cell"
"DDX3Y",1.18991858560511e-58,-1.85843822703878,0.064,0.258,2.95694768522869e-54,"DDX3Y","T_cell"
"VIM",1.72469574543214e-58,-0.609868927110321,0.91,0.944,4.28586892739886e-54,"VIM","T_cell"
"HSPH1",7.44882914446223e-58,1.36907317188174,0.583,0.354,1.85103404239886e-53,"HSPH1","T_cell"
"S100A4",3.57302116741344e-56,-0.61409517140433,0.894,0.949,8.87895760102239e-52,"S100A4","T_cell"
"MT2A",1.14160859281727e-55,1.08410090850611,0.471,0.243,2.83689735315092e-51,"MT2A","T_cell"
"S100A9",6.62548886431899e-51,2.8153446781786,0.204,0.042,1.64643398278327e-46,"S100A9","T_cell"
"CFD",2.84754865341132e-48,-3.41639713467293,0.033,0.176,7.07615840372714e-44,"CFD","T_cell"
"KRT14",5.6806437101079e-48,1.47344868956041,0.384,0.177,1.41163996196181e-43,"KRT14","T_cell"
"FAM118A",3.04813686056238e-46,1.75548536370261,0.272,0.092,7.57462009849751e-42,"FAM118A","T_cell"
"IGHA1",4.41999289385641e-46,-5.19477050044302,0.004,0.108,1.09836823412332e-41,"IGHA1","T_cell"
"RPS4X",4.6219358181746e-46,0.374217715391023,0.98,0.98,1.14855105081639e-41,"RPS4X","T_cell"
"IGLC2",1.11841778867565e-45,-4.3266381763464,0.016,0.133,2.77926820485899e-41,"IGLC2","T_cell"
"GZMB",5.35439920838617e-45,1.79521145416284,0.278,0.097,1.33056820328396e-40,"GZMB","T_cell"
"LGALS3",1.86428712930435e-44,-1.04870402606475,0.363,0.555,4.63275351632132e-40,"LGALS3","T_cell"
"HSPE1",9.30234552844441e-44,0.796818498266195,0.761,0.658,2.31163286381843e-39,"HSPE1","T_cell"
"IGHG1",2.35470174981832e-43,-5.24484458691303,0.004,0.103,5.85143384829853e-39,"IGHG1","T_cell"
"RPL27A",1.14363864413908e-42,0.266614983799353,0.965,0.937,2.8419420306856e-38,"RPL27A","T_cell"
"EIF1AY",3.26606409431142e-42,-2.67193871660829,0.022,0.142,8.11616927436387e-38,"EIF1AY","T_cell"
"RPS29",1.24652435599162e-39,0.294137479584098,0.974,0.977,3.09761302463917e-35,"RPS29","T_cell"
"AHNAK",2.99303022926026e-39,-0.734381891911716,0.521,0.657,7.43768011971174e-35,"AHNAK","T_cell"
"PLP2",6.26970155504702e-39,-0.66964238735997,0.5,0.677,1.55802083642918e-34,"PLP2","T_cell"
"HSPA1A",2.19411951304187e-38,0.660435157351902,0.909,0.857,5.45238698990905e-34,"HSPA1A","T_cell"
"HSPD1",4.13930151358436e-38,1.11835010424242,0.614,0.469,1.02861642612571e-33,"HSPD1","T_cell"
"HSP90AA1",6.08557682032669e-38,0.775836056916803,0.961,0.961,1.51226583985118e-33,"HSP90AA1","T_cell"
"LTK",5.85152400299812e-37,-2.55542552530153,0.02,0.124,1.45410371474503e-32,"LTK","T_cell"
"COL3A1",9.6573055504524e-37,2.09777900670747,0.242,0.09,2.39984042928742e-32,"COL3A1","T_cell"
"S100A8",1.0683403403309e-35,1.92468415659883,0.198,0.059,2.65482574572229e-31,"S100A8","T_cell"
"S100A6",2.03121543048956e-34,-0.463287999171439,0.846,0.917,5.04757034476656e-30,"S100A6","T_cell"
"CD99",2.17685269699062e-34,-0.553187665799177,0.619,0.753,5.4094789520217e-30,"CD99","T_cell"
"DNAJB1",2.287445102298e-34,0.585956188722927,0.877,0.799,5.68430107921053e-30,"DNAJB1","T_cell"
"TPT1",6.62040676893808e-34,-0.298378396776714,0.969,0.993,1.64517108208111e-29,"TPT1","T_cell"
"RPL37A",1.38634233515492e-33,0.273758334945851,0.952,0.967,3.44506070285998e-29,"RPL37A","T_cell"
"RPL39",1.08739644687161e-32,0.310855172899692,0.97,0.974,2.70218017047595e-28,"RPL39","T_cell"
"GNLY",1.15717216559295e-32,1.54195215284365,0.281,0.129,2.87557283149848e-28,"GNLY","T_cell"
"CCL5",1.92944571463922e-32,1.15833900659369,0.448,0.282,4.79467260087846e-28,"CCL5","T_cell"
"KRT17",3.91548979981354e-32,2.26194815465854,0.158,0.042,9.72999215253665e-28,"KRT17","T_cell"
"LTB",1.52359693840702e-29,-0.585843324408283,0.547,0.714,3.78613839194144e-25,"LTB","T_cell"
"S100A10",1.53834841771363e-28,-0.472957023673915,0.779,0.855,3.82279581801836e-24,"S100A10","T_cell"
"PEBP1",4.89439642247962e-28,-0.661935799694448,0.408,0.557,1.21625751098618e-23,"PEBP1","T_cell"
"ICAM3",2.10215726691086e-27,-0.70797663508002,0.436,0.57,5.22386080827348e-23,"ICAM3","T_cell"
"HSPA6",2.13963438949998e-27,1.62367750827977,0.238,0.108,5.31699145790745e-23,"HSPA6","T_cell"
"RPL36A",5.43016386611707e-27,0.597619735029618,0.763,0.697,1.34939572073009e-22,"RPL36A","T_cell"
"LMNA",1.49659945302982e-26,-0.477293566598358,0.527,0.675,3.71904964077911e-22,"LMNA","T_cell"
"COL1A1",4.03279373098185e-26,1.67279503082013,0.251,0.122,1.00214924214899e-21,"COL1A1","T_cell"
"CCR6",4.907656094641e-26,-0.97803909956939,0.162,0.302,1.21955253951829e-21,"CCR6","T_cell"
"CXCL14",8.70372592913689e-26,-2.26817911675021,0.032,0.122,2.16287589339052e-21,"CXCL14","T_cell"
"RPL5",7.92336233008827e-25,-0.283622100509977,0.918,0.957,1.96895553902694e-20,"RPL5","T_cell"
"ACTG1",1.04326244949519e-24,-0.340090243659678,0.918,0.964,2.59250718699555e-20,"ACTG1","T_cell"
"KRT5",5.16727647772468e-24,1.73594367158769,0.172,0.066,1.28406820471458e-19,"KRT5","T_cell"
"AES",5.29204072535731e-24,-0.583266330286216,0.513,0.631,1.31507212025129e-19,"AES","T_cell"
"RPL36",1.49319544788459e-23,0.272856788374061,0.946,0.953,3.71059068799322e-19,"RPL36","T_cell"
"KLRD1",2.37878413661211e-23,1.43062308769684,0.194,0.083,5.91127857948108e-19,"KLRD1","T_cell"
"FOSB",4.92088543988867e-23,-0.718067418561206,0.517,0.638,1.22284003181233e-18,"FOSB","T_cell"
"NEAT1",5.17155664058586e-23,0.485159999199799,0.862,0.796,1.28513182518559e-18,"NEAT1","T_cell"
"SELL",8.01401624184448e-23,1.56825476024511,0.172,0.067,1.99148303609835e-18,"SELL","T_cell"
"RNASET2",1.07998656886133e-22,-0.807967506802927,0.298,0.43,2.68376662362041e-18,"RNASET2","T_cell"
"S100A2",5.67248781053609e-22,2.13327753975257,0.102,0.024,1.40961322091822e-17,"S100A2","T_cell"
"MARCH9",9.72776302715497e-22,-1.30884770842907,0.101,0.208,2.41734911224801e-17,"MARCH9","T_cell"
"MT-ND1",1.19311978458782e-21,-0.320568264383073,0.962,0.991,2.96490266470073e-17,"MT-ND1","T_cell"
"HSPB1",1.2718964774358e-21,0.618492269812944,0.541,0.409,3.16066274642796e-17,"HSPB1","T_cell"
"SFN",1.33512937226073e-21,1.43215956269293,0.134,0.043,3.31779649006792e-17,"SFN","T_cell"
"EEF1B2",2.01807738770222e-21,-0.315865460871629,0.822,0.892,5.01492230844001e-17,"EEF1B2","T_cell"
"RPL37",3.67955682059434e-21,0.295453197342169,0.951,0.977,9.14369869917694e-17,"RPL37","T_cell"
"FOS",4.05746204067573e-21,-0.464165151541269,0.696,0.798,1.00827931710792e-16,"FOS","T_cell"
"JAML",4.79672082592843e-21,-0.809892215757247,0.214,0.344,1.19198512524321e-16,"JAML","T_cell"
"ITM2B",1.11644060602072e-20,-0.363734281261223,0.744,0.824,2.77435490596148e-16,"ITM2B","T_cell"
