"gene","module"
"ENSG00000241743","turquoise"
"ENSG00000281344","turquoise"
"ENSG00000155657","turquoise"
"ENSG00000269821","turquoise"
"ENSG00000228253","turquoise"
"ENSG00000279159","turquoise"
"ENSG00000181143","turquoise"
"ENSG00000198840","turquoise"
"ENSG00000224086","turquoise"
"ENSG00000270641","turquoise"
"ENSG00000185070","turquoise"
"ENSG00000280614","turquoise"
"ENSG00000087086","turquoise"
"ENSG00000273079","turquoise"
"ENSG00000188536","grey"
"ENSG00000033122","turquoise"
"ENSG00000131018","turquoise"
"ENSG00000154358","turquoise"
"ENSG00000100784","turquoise"
"ENSG00000169247","turquoise"
"ENSG00000183091","turquoise"
"ENSG00000244734","grey"
"ENSG00000231881","turquoise"
"ENSG00000244694","turquoise"
"ENSG00000151914","turquoise"
"ENSG00000198938","turquoise"
"ENSG00000127603","turquoise"
"ENSG00000279072","turquoise"
"ENSG00000224078","turquoise"
"ENSG00000198763","turquoise"
"ENSG00000280383","turquoise"
"ENSG00000113140","grey"
"ENSG00000196935","turquoise"
"ENSG00000212907","turquoise"
"ENSG00000167996","turquoise"
"ENSG00000245532","turquoise"
"ENSG00000054654","turquoise"
"ENSG00000166233","turquoise"
"ENSG00000175820","turquoise"
"ENSG00000203930","turquoise"
"ENSG00000165300","turquoise"
"ENSG00000108821","grey"
"ENSG00000153721","turquoise"
"ENSG00000157423","turquoise"
"ENSG00000188738","turquoise"
"ENSG00000167548","turquoise"
"ENSG00000198888","turquoise"
"ENSG00000279080","turquoise"
"ENSG00000280007","turquoise"
"ENSG00000198804","turquoise"
"ENSG00000186472","turquoise"
"ENSG00000091513","turquoise"
"ENSG00000077232","turquoise"
"ENSG00000229140","turquoise"
"ENSG00000205038","turquoise"
"ENSG00000157542","turquoise"
"ENSG00000126070","turquoise"
"ENSG00000164199","turquoise"
"ENSG00000165323","turquoise"
"ENSG00000165914","turquoise"
"ENSG00000279738","turquoise"
"ENSG00000229807","turquoise"
"ENSG00000173517","turquoise"
"ENSG00000185278","turquoise"
"ENSG00000280011","turquoise"
"ENSG00000267519","turquoise"
"ENSG00000161634","grey"
"ENSG00000042781","turquoise"
"ENSG00000138592","turquoise"
"ENSG00000118482","turquoise"
"ENSG00000162825","turquoise"
"ENSG00000116396","turquoise"
"ENSG00000280138","turquoise"
"ENSG00000215193","turquoise"
"ENSG00000124942","turquoise"
"ENSG00000168542","grey"
"ENSG00000274775","turquoise"
"ENSG00000143341","turquoise"
"ENSG00000185219","turquoise"
"ENSG00000185567","turquoise"
"ENSG00000100354","turquoise"
"ENSG00000145012","turquoise"
"ENSG00000100722","turquoise"
"ENSG00000126773","turquoise"
"ENSG00000117983","turquoise"
"ENSG00000171435","turquoise"
"ENSG00000175782","turquoise"
"ENSG00000198393","turquoise"
"ENSG00000173821","turquoise"
"ENSG00000102780","turquoise"
"ENSG00000215182","turquoise"
"ENSG00000112159","turquoise"
"ENSG00000179869","turquoise"
"ENSG00000080854","turquoise"
"ENSG00000196159","turquoise"
"ENSG00000114735","turquoise"
"ENSG00000140807","turquoise"
"ENSG00000151150","turquoise"
"ENSG00000205726","turquoise"
"ENSG00000122484","turquoise"
"ENSG00000055609","turquoise"
"ENSG00000145113","turquoise"
"ENSG00000034510","turquoise"
"ENSG00000205277","turquoise"
"ENSG00000278920","turquoise"
"ENSG00000118058","turquoise"
"ENSG00000198626","turquoise"
"ENSG00000205476","turquoise"
"ENSG00000285517","turquoise"
"ENSG00000133124","turquoise"
"ENSG00000119547","turquoise"
"ENSG00000221843","turquoise"
"ENSG00000048707","turquoise"
"ENSG00000170927","turquoise"
"ENSG00000244879","turquoise"
"ENSG00000138688","turquoise"
"ENSG00000108219","turquoise"
"ENSG00000150893","turquoise"
"ENSG00000157106","turquoise"
"ENSG00000261150","turquoise"
"ENSG00000196233","turquoise"
"ENSG00000164061","turquoise"
"ENSG00000136213","turquoise"
"ENSG00000138759","turquoise"
"ENSG00000148842","turquoise"
"ENSG00000168702","turquoise"
"ENSG00000079950","turquoise"
"ENSG00000140836","turquoise"
"ENSG00000127481","turquoise"
"ENSG00000197558","turquoise"
"ENSG00000247828","turquoise"
"ENSG00000039139","turquoise"
"ENSG00000173064","turquoise"
"ENSG00000115760","turquoise"
"ENSG00000120451","turquoise"
"ENSG00000154237","turquoise"
"ENSG00000081479","turquoise"
"ENSG00000151835","turquoise"
"ENSG00000159433","turquoise"
"ENSG00000148357","turquoise"
"ENSG00000166263","turquoise"
"ENSG00000198838","turquoise"
"ENSG00000133477","turquoise"
"ENSG00000134539","turquoise"
"ENSG00000080371","turquoise"
"ENSG00000125148","grey"
"ENSG00000106344","turquoise"
"ENSG00000126001","turquoise"
"ENSG00000077157","turquoise"
"ENSG00000196218","turquoise"
"ENSG00000231764","turquoise"
"ENSG00000128731","turquoise"
"ENSG00000133030","turquoise"
"ENSG00000064393","turquoise"
"ENSG00000164692","grey"
"ENSG00000197969","turquoise"
"ENSG00000259976","turquoise"
"ENSG00000178209","turquoise"
"ENSG00000103657","turquoise"
"ENSG00000261609","turquoise"
"ENSG00000203709","turquoise"
"ENSG00000170500","turquoise"
"ENSG00000259660","turquoise"
"ENSG00000005810","turquoise"
"ENSG00000286071","turquoise"
"ENSG00000183914","turquoise"
"ENSG00000135655","turquoise"
"ENSG00000145362","turquoise"
"ENSG00000198216","turquoise"
"ENSG00000179532","turquoise"
"ENSG00000112379","turquoise"
"ENSG00000123384","turquoise"
"ENSG00000083857","turquoise"
"ENSG00000086758","turquoise"
"ENSG00000173258","turquoise"
"ENSG00000157741","turquoise"
"ENSG00000137103","turquoise"
"ENSG00000124721","turquoise"
"ENSG00000080345","turquoise"
"ENSG00000196295","turquoise"
"ENSG00000123908","turquoise"
"ENSG00000279217","turquoise"
"ENSG00000163625","turquoise"
"ENSG00000198722","turquoise"
"ENSG00000086570","turquoise"
"ENSG00000183454","turquoise"
"ENSG00000197102","turquoise"
"ENSG00000164684","turquoise"
"ENSG00000286185","turquoise"
"ENSG00000149256","turquoise"
"ENSG00000153246","turquoise"
"ENSG00000169876","turquoise"
"ENSG00000168172","turquoise"
"ENSG00000280434","turquoise"
"ENSG00000114999","turquoise"
"ENSG00000149639","turquoise"
"ENSG00000158258","turquoise"
"ENSG00000115808","turquoise"
"ENSG00000276975","turquoise"
"ENSG00000114933","turquoise"
"ENSG00000198198","turquoise"
"ENSG00000084674","turquoise"
"ENSG00000142798","turquoise"
"ENSG00000213062","turquoise"
"ENSG00000132549","turquoise"
"ENSG00000008710","turquoise"
"MSTRG.5680","turquoise"
"ENSG00000197653","turquoise"
"ENSG00000185477","turquoise"
"ENSG00000089916","turquoise"
"ENSG00000197081","turquoise"
"ENSG00000119720","turquoise"
"ENSG00000107679","turquoise"
"ENSG00000091656","turquoise"
"ENSG00000198947","turquoise"
"ENSG00000139973","turquoise"
"ENSG00000183775","turquoise"
"ENSG00000213066","turquoise"
"ENSG00000177954","turquoise"
"ENSG00000144406","turquoise"
"ENSG00000196705","turquoise"
"ENSG00000116095","turquoise"
"ENSG00000112096","turquoise"
"ENSG00000143190","turquoise"
"ENSG00000221866","turquoise"
"ENSG00000104290","turquoise"
"ENSG00000225614","turquoise"
"ENSG00000101638","turquoise"
"ENSG00000104047","turquoise"
"ENSG00000155966","turquoise"
"ENSG00000168477","turquoise"
"ENSG00000257923","turquoise"
"ENSG00000187775","turquoise"
"ENSG00000007174","turquoise"
"ENSG00000092847","turquoise"
"ENSG00000121904","turquoise"
"ENSG00000151320","turquoise"
"ENSG00000105877","turquoise"
"ENSG00000204131","turquoise"
"ENSG00000205542","turquoise"
"ENSG00000271383","turquoise"
