"sample","group","M1_score","M2_score"
"DW1","DFU",6.19656537732462,5.19614580200356
"DW2","DFU",5.32813499004253,5.05144612622956
"DW3","DFU",5.52882323063826,4.48135420644384
"DW4","DFU",6.06692129373856,6.63820661652682
"DW5","DFU",4.89282593458546,4.06276336824856
"DW6","DFU",5.173830592604,5.01208204634429
"DW7","DFU",5.14267527120909,4.31998918154611
"DW8","DFU",6.02442011726024,4.73381984440385
"DW9","DFU",4.80054043776791,4.36036932225761
"DW10","DFU",4.47463491441801,4.0137783368767
"N1","Normal",3.46231589166174,4.37906924703003
"N2","Normal",6.0949844897758,4.51668874411806
"N3","Normal",3.00359714322371,4.23292858538868
"N4","Normal",3.26833603976922,4.66794306910332
"N5","Normal",2.7560800632558,3.66146733721925
"N6","Normal",2.57111102487389,4.76242330353641
"N7","Normal",5.94437072409903,4.69008692476622
"N8","Normal",2.31465628201018,3.92754429776862
"N9","Normal",4.50054848894846,3.74503691340638
"N10","Normal",2.87376242217037,4.42172179913456
"N11","Normal",2.9667205506718,3.91851917958565
