"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205828_at",6.27984382888571,4.930777705625,35.614270232681,1.94930658224323e-23,4.34247027326325e-19,41.8740885828872
"212268_at",3.75288667454286,5.34192252475,29.2772347865203,2.69330760386969e-21,2.99994067457026e-17,37.7571576205298
"209800_at",5.02461718645714,7.557142072875,27.690791548562,1.08374328862836e-20,8.04751641359136e-17,36.5422798383568
"210873_x_at",5.38394983882857,4.89332590725,26.6592892760522,2.79092939563806e-20,1.55433835366573e-16,35.7053645616938
"207526_s_at",4.31716856345714,4.03187332816667,25.2661681787274,1.05867981900365e-19,4.12028957882694e-16,34.511103081755
"205680_at",5.33320885788572,4.667164437,25.2182050837996,1.10974267060025e-19,4.12028957882694e-16,34.4686068472233
"204475_at",8.03413098348571,5.948236165125,23.8274656711675,4.51428642238707e-19,1.43663940902167e-15,33.1938710340782
"215034_s_at",4.22352854434286,3.708152383875,23.4755895328599,6.51541509058841e-19,1.63191029662174e-15,32.8577783193829
"203757_s_at",4.66855655002857,3.72121125979167,23.3931584661935,7.10539250890298e-19,1.63191029662174e-15,32.7782190912253
"213572_s_at",3.08986693322857,5.43070747041667,23.3642054554991,7.32553888145503e-19,1.63191029662174e-15,32.7501996102016
"204268_at",2.84315667311428,9.64395483233333,21.4125630864169,6.22894350224716e-18,1.26147431272327e-14,30.7668395902762
"203936_s_at",5.45329455405714,5.82543492233333,20.3075362954213,2.26527568279867e-17,4.20529553214217e-14,29.5547174628044
"212185_x_at",1.91851751494286,8.80949207141667,19.9743172652931,3.38476973963141e-17,5.800193499213e-14,29.1754625713941
"209369_at",4.13627649454286,3.82759480508333,19.6865808271159,4.81074150583031e-17,7.65492060895584e-14,28.8426228833246
"206461_x_at",1.72732022422857,7.96953266208333,19.4282099127759,6.62209857062103e-17,9.83469932384832e-14,28.5394294890033
"209387_s_at",3.69244444597143,3.90181737245833,19.3157697819559,7.61902101905886e-17,1.03372194121747e-13,28.4061839471113
"204745_x_at",1.89121887591429,7.52934884845833,19.2879864361829,7.88852762970642e-17,1.03372194121747e-13,28.3731370402817
"209386_at",4.16323302082857,5.51867932170833,19.117563623608,9.77277569044942e-17,1.20948957808968e-13,28.1693554390139
"203821_at",3.22532057228571,4.12864762245833,18.8853156095175,1.3120747203006e-16,1.53837308127034e-13,27.8886448460817
"211657_at",3.80693908791429,4.3375139295,18.6359894928662,1.80651030100798e-16,2.01218149877774e-13,27.5833714660467
"205403_at",2.75644559017143,5.73704924629167,18.4731217556172,2.23067083694542e-16,2.36631686831586e-13,27.3817271814503
"203691_at",4.41581903697143,8.365298620375,18.0311773921742,3.98603912796838e-16,4.03622698426143e-13,26.8254784709193
"203889_at",3.64087928631429,3.07846753454167,17.9949244485611,4.18270471893568e-16,4.05122230537957e-13,26.779249744436
"211456_x_at",1.37922763745714,7.99359608395833,17.7243845519346,6.00747972793342e-16,5.57619274579886e-13,26.4313371237811
"205014_at",3.01097615542857,6.84755799341667,17.6663907190428,6.49627964030491e-16,5.7887048618829e-13,26.3560786563404
"41469_at",4.41445394457143,7.355758566875,17.532017442458,7.793754719688e-16,6.67774899578806e-13,26.1807702545343
"203180_at",4.290606354,3.87088117454167,17.4317102141094,8.93546519111923e-16,7.37242066898381e-13,26.049049688157
"201954_at",1.94165777108571,5.239226056875,17.3451350601859,1.00599001157696e-15,8.00372838853567e-13,25.9347681687716
"205908_s_at",-2.33071331762857,2.08224983316667,-17.1422035512419,1.3308013111127e-15,1.02228485543647e-12,25.6647148592311
"209126_x_at",4.12106197962857,8.70457568829167,17.0567041832671,1.49856834625906e-15,1.11278690165377e-12,25.5500118446225
"215223_s_at",2.82084427545714,4.43443006820833,17.0150388469582,1.58812015089891e-15,1.14124363230887e-12,25.4939147743604
"203108_at",3.09416229102857,3.38292077783333,16.9667990735147,1.69876243729432e-15,1.16270088331227e-12,25.4288013223049
"208636_at",2.14798912337143,6.60161599341667,16.9569299532472,1.72236518154621e-15,1.16270088331227e-12,25.4154582617963
"203127_s_at",1.5171943314,4.383097168375,16.8484645860948,2.00530364224341e-15,1.31388674230166e-12,25.268321841518
"217165_x_at",1.6607007982,6.62680004108333,16.796461424585,2.15762842006876e-15,1.37329966611062e-12,25.1974572224647
"214549_x_at",2.25767172054286,9.3997825045,16.7208598960377,2.40076504085514e-15,1.48560674486472e-12,25.0940618355093
"204698_at",2.19990749182857,3.67630444770833,16.4358164257785,3.6039961931554e-15,2.1698979241871e-12,24.7002022082326
"218644_at",1.44588242425714,5.83666622433333,16.4137408062353,3.72010167597342e-15,2.18086065883315e-12,24.6694309414953
