"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205828_at",6.775969766,4.930777705625,38.9730050598627,1.99315015095178e-24,4.44014059127528e-20,44.379457368244
"212268_at",4.19244207383333,5.34192252475,33.1702621792903,1.17142830167139e-22,1.30479541381668e-18,40.9308151011832
"210873_x_at",5.9042284325,4.89332590725,29.6502215078304,1.96163692436329e-21,1.4566461921347e-17,38.4372455018461
"213572_s_at",3.77627976783333,5.43070747041667,28.9596047298988,3.53861143741716e-21,1.71873353175946e-17,37.9055068349372
"215034_s_at",5.07218647816667,3.708152383875,28.592591120142,4.86795653239794e-21,1.71873353175946e-17,37.6167349649235
"205680_at",5.94763373266667,4.667164437,28.5224629483122,5.17611582215887e-21,1.71873353175946e-17,37.5610570883802
"207526_s_at",4.7972390105,4.03187332816667,28.4740315216283,5.4006979047072e-21,1.71873353175946e-17,37.5225106628454
"209800_at",4.96887271716667,7.557142072875,27.7720213875961,1.00736271600072e-20,2.8051274030435e-17,36.9549617470359
"203757_s_at",5.10457816266667,3.72121125979167,25.9407976156013,5.50509674764103e-20,1.36263378052444e-16,35.392533441607
"209369_at",5.02246733116667,3.82759480508333,24.2434867417668,2.94405775799416e-19,6.55847746748358e-16,33.8285710172844
"204475_at",7.92013190716667,5.948236165125,23.8225686692187,4.53724230711809e-19,9.18874062506087e-16,33.4219374819445
"209387_s_at",4.337634075,3.90181737245833,23.0127325792154,1.06392632492151e-18,1.97509056168971e-15,32.6171501295886
"204268_at",2.90490145116667,9.64395483233333,22.1879150758891,2.60780951079258e-18,4.46878249784049e-15,31.7656325422538
"205403_at",3.1956922425,5.73704924629167,21.7206613741009,4.39239232859626e-18,6.98923742172421e-15,31.2682664250774
"208636_at",2.69125189133333,6.60161599341667,21.5469956749344,5.34536758085874e-18,7.57485497785834e-15,31.0805464021159
"203936_s_at",5.70109023533333,5.82543492233333,21.5314573047952,5.44048478905299e-18,7.57485497785834e-15,31.0636737284556
"212185_x_at",2.02168053183333,8.80949207141667,21.3469549011131,6.71388904181848e-18,8.54534420377378e-15,30.8623544785015
"203127_s_at",1.893220907,4.383097168375,21.322476183356,6.9047086981159e-18,8.54534420377378e-15,30.8355089398605
"201954_at",2.34607912616667,5.239226056875,21.255184753088,7.45879018276006e-18,8.74523520533399e-15,30.7615462904416
"211657_at",4.19075683283333,4.3375139295,20.8058862063602,1.25592722672287e-17,1.33896558576943e-14,30.2614233069251
"203108_at",3.734707717,3.38292077783333,20.769721590799,1.31029358759843e-17,1.33896558576943e-14,30.2206860393955
"203889_at",4.141968893,3.07846753454167,20.7619341206129,1.3223164199366e-17,1.33896558576943e-14,30.2119044138581
"211372_s_at",3.52070320216667,4.71102817295833,20.616675741481,1.56881251746932e-17,1.51949723702887e-14,30.0474817105856
"209386_at",4.37176947166667,5.51867932170833,20.3599311921922,2.12778809586005e-17,1.97503064214476e-14,29.7539533190098
"204698_at",2.66229826516667,3.67630444770833,20.1725499990356,2.66358095120484e-17,2.37346371399961e-14,29.5373435677397
"206172_at",4.66926997866667,2.759881878875,20.1163955132442,2.85004890443444e-17,2.44194382477254e-14,29.4720333342278
"203180_at",4.7993601445,3.87088117454167,19.7752460051565,4.31474044459341e-17,3.475420860468e-14,29.0712714991376
"204745_x_at",1.91090243166666,7.52934884845833,19.7651829867453,4.36826251708507e-17,3.475420860468e-14,29.059344951949
"203821_at",3.31025954016667,4.12864762245833,19.6576063764398,4.98534980263982e-17,3.8296081914968e-14,28.9314657787211
"208637_x_at",2.6112459765,5.607068690875,19.5532837339318,5.67036751137523e-17,4.21062590169686e-14,28.8067854999091
"206461_x_at",1.680809582,7.96953266208333,19.1732472448223,9.11055100671057e-17,6.54695950891908e-14,28.3469292418625
"202628_s_at",3.00322359083333,3.51052106495833,19.0843837842694,1.01909044991673e-16,7.09446186024843e-14,28.2381012437365
"211160_x_at",2.2944714175,5.44367842820833,19.0165904739016,1.11038731755544e-16,7.49578735550985e-14,28.1547409875872
"204751_x_at",4.12523064266667,4.245327300625,18.9566429251022,1.19817586832433e-16,7.85051877019444e-14,28.0807843013943
"205676_at",2.88872908733333,3.73739559858333,18.6324783088266,1.81471222918343e-16,1.15503840941484e-13,27.6768542296328
"203234_at",3.71923685816667,4.36865157004167,18.5708637660758,1.96509218602881e-16,1.20963208151901e-13,27.5993036212302
"217996_at",3.22344729633333,4.09809544570833,18.5407179368955,2.04331614426682e-16,1.20963208151901e-13,27.5612696517095
"215223_s_at",3.02955473366667,4.43443006820833,18.5331766250453,2.06338461631828e-16,1.20963208151901e-13,27.5517456409789
"202267_at",3.01563631316667,5.54918426583333,18.2725476179335,2.89868331174182e-16,1.64852149477951e-13,27.2202655948488
"218217_at",-1.4504562745,6.27883492295833,-18.2414421322702,3.01953575262367e-16,1.64852149477951e-13,27.1803994182353
"219554_at",3.550137168,4.44242290945833,18.2326236363117,3.05473888406357e-16,1.64852149477951e-13,27.1690853202766
"209191_at",1.52569858066667,7.660182298375,18.2194688890344,3.10804429594377e-16,1.64852149477951e-13,27.1521980268784
"207517_at",3.17612156816667,3.31260198529167,18.1990557285104,3.19267771754317e-16,1.6540298026444e-13,27.1259695474544
"205513_at",3.65397439966667,2.935196383625,18.1431191798092,3.43704713967878e-16,1.74016134387782e-13,27.0539524214971
"210845_s_at",2.89420735983333,3.69116363670833,17.8397930374302,5.14479945485217e-16,2.54690438790537e-13,26.6596798781598
"202859_x_at",3.53392338083333,3.03217480116667,17.5755180418074,7.34664695873076e-16,3.55785335434011e-13,26.3109218331867
"219403_s_at",2.13830240783334,4.60154119741667,17.4665659234364,8.52027676015207e-16,4.03842990182782e-13,26.1656916419711
"205014_at",2.92393596733334,6.84755799341667,17.3990525903012,9.34349651476472e-16,4.33635566373779e-13,26.0752687074848
"217165_x_at",1.6847960775,6.62680004108333,17.2818795302431,1.09734357617106e-15,4.9888822135434e-13,25.9175483001312
"219181_at",3.73029589,2.636176559125,17.2044766980603,1.22093868550991e-15,5.31856426629504e-13,25.8128091457853
"201695_s_at",2.17308079416667,4.90079585595833,17.1962917430081,1.23482545823402e-15,5.31856426629504e-13,25.8017077257647
"209126_x_at",4.09574899666667,8.70457568829167,17.1924010316863,1.24148378079338e-15,5.31856426629504e-13,25.7964289415092
"212386_at",-1.27617062066667,8.91541895225,-17.0887635121643,1.43323219739718e-15,6.02417238894661e-13,25.6554045262796
"38037_at",2.3818525085,4.05241633983333,16.9659643724531,1.70074565907638e-15,7.01620574948974e-13,25.4872699769809
"218368_s_at",2.080962586,4.84634787579167,16.5688324870209,2.97944479805905e-15,1.20678348666112e-12,24.9356957284351
"201201_at",1.29085069766666,9.08653006554167,16.5234066614312,3.17905518785488e-15,1.25853554433864e-12,24.8718298239422
"203695_s_at",2.31679333383333,3.502018316,16.512150371406,3.23062563900327e-15,1.25853554433864e-12,24.8559792910883
"218644_at",1.43334698216667,5.83666622433333,16.5022498073366,3.27670070348974e-15,1.25853554433864e-12,24.8420296375204
"218856_at",2.6261252045,5.26197078770833,16.4766667136021,3.39893620986733e-15,1.28335766012228e-12,24.8059481639485
"209498_at",3.413024407,2.38044600083333,16.4436544051376,3.56368080277887e-15,1.32313528739175e-12,24.7593129643235
"211924_s_at",2.32185966366667,3.528952074,16.431051079377,3.6287377385551e-15,1.32520312461954e-12,24.7414861559442
"211456_x_at",1.25074476166667,7.99359608395833,16.3012584768576,4.37481786347754e-15,1.57190028297886e-12,24.5571711172296
"214549_x_at",2.1654036525,9.3997825045,16.2649940246931,4.6104648874803e-15,1.6302750206095e-12,24.5054340280868
"209270_at",2.05029379133334,6.65509853808333,16.2507335601142,4.70669472482284e-15,1.63829747476372e-12,24.4850604469896
"201010_s_at",-1.55993496283333,8.97593276595833,-16.1905895235057,5.13599769266769e-15,1.76022493230089e-12,24.3989551292638
"218751_s_at",-1.54425255016667,6.83936306991667,-16.1687427021883,5.3018050528186e-15,1.77143037588875e-12,24.3676062499236
"203691_at",3.9035178025,8.365298620375,16.1653909109451,5.3277297295213e-15,1.77143037588875e-12,24.362793234892
"200825_s_at",1.41098556683333,5.815539186125,16.0394474284744,6.40334055540606e-15,2.0977531993056e-12,24.1812868643768
"209803_s_at",2.06782273516667,5.41333896870833,16.0028169568718,6.75666254755745e-15,2.18142277640489e-12,24.1282544537837
"212382_at",-1.42117065283333,6.853670299875,-15.9739016345048,7.04978864688705e-15,2.24186623346467e-12,24.0863144930945
"203021_at",1.5205520575,8.798185320625,15.9647624183995,7.14514982160934e-15,2.24186623346467e-12,24.0730443885553
"204420_at",2.33899101683333,3.52302768820833,15.9297270874254,7.52326484033901e-15,2.32771903955878e-12,24.0221098498863
"33304_at",2.41214101166667,3.67786817783333,15.9009235549664,7.84961398914497e-15,2.39542261419428e-12,23.9801596728629
"213891_s_at",-1.34202686233333,7.94392150445833,-15.7999463361844,9.11419408907863e-15,2.74374191516763e-12,23.8325536586261
"222231_s_at",1.73636086566667,6.13524035154167,15.7809818850175,9.37431165922039e-15,2.75751812690006e-12,23.8047377158861
"200600_at",1.158995886,7.170646421625,15.7785998690025,9.40752245115612e-15,2.75751812690006e-12,23.8012418022556
"41469_at",3.90058293483334,7.355758566875,15.710921128775,1.04038174658603e-14,3.00994599593467e-12,23.7017170912919
"202350_s_at",-2.6659968255,5.180591289,-15.6751456117113,1.09739869569155e-14,3.13419881332317e-12,23.6489529265232
"205863_at",2.8359914945,3.17387582204167,15.6368164966098,1.16208567028569e-14,3.2769344907537e-12,23.5923034074682
"204858_s_at",2.78063152683333,5.38362391445833,15.5418379804922,1.33995347933871e-14,3.73126795740356e-12,23.4513938129704
"205239_at",2.518683545,3.93983780729167,15.4333212367017,1.57810424776612e-14,4.34017633672664e-12,23.2894619067133
"202177_at",-1.50558719716667,5.543798997125,-15.395470248829,1.67113792687478e-14,4.53999263377920e-12,23.2327428289182
"204733_at",4.01076726733333,4.06837145016667,15.3652493085285,1.7494837555807e-14,4.67166468710641e-12,23.187368913288
"205595_at",1.64394157533333,6.92571271425,15.3607207951705,1.76154703827687e-14,4.67166468710641e-12,23.1805630027418
"207356_at",5.1537513735,6.13316907558333,15.3480748012186,1.79569199026351e-14,4.70619181965884e-12,23.1615479585218
"212190_at",2.90064402816667,7.547390747,15.2937393857381,1.9503792576643e-14,5.05216264220786e-12,23.0796898269493
"209278_s_at",4.1787674055,4.06649530804167,15.2616888158024,2.04802909108008e-14,5.24413150137826e-12,23.0312846889644
"205064_at",1.5953182175,10.261518722,15.2541158665614,2.07183219028616e-14,5.24479610261419e-12,23.019834435104
"212387_at",-1.40909397216667,6.913184649125,-15.2430414807292,2.10715749693337e-14,5.27428624260501e-12,23.0030810522184
"1598_g_at",-1.18678219916667,7.27041828958333,-15.0903288261137,2.66310693633364e-14,6.59178146896717e-12,22.7709639092065
"202087_s_at",1.89926805833333,6.36567267658333,15.0490126252073,2.83820380121375e-14,6.94798528347678e-12,22.707812662674
"204470_at",2.74523190416667,3.96495569079167,14.9416935791165,3.3509160369852e-14,8.11395179955646e-12,22.5430699916287
"204597_x_at",3.95028195383333,3.667248807375,14.9291431069293,3.41684088994331e-14,8.18461983927603e-12,22.5237371051854
"201487_at",1.71221776683333,5.661486410125,14.8942859712709,3.60706915503598e-14,8.5483701666741e-12,22.4699688861007
"201012_at",2.0959713755,8.410033536375,14.8552447337383,3.83319538972463e-14,8.98864144177848e-12,22.4096172179342
"203256_at",1.7195176705,6.8042195795,14.8308058706399,3.98216287731489e-14,9.24069191853581e-12,22.3717687997126
"204748_at",3.44185202516667,2.917358048,14.7840202148438,4.2842871755003e-14,9.83928509367217e-12,22.2991616691692
"201530_x_at",0.9478727085,9.494488676625,14.7513608679593,4.50916675719634e-14,1.01514214743476e-11,22.2483599411241
"209604_s_at",-1.4663319735,9.30158147470833,-14.7510538404914,4.51133781909779e-14,1.01514214743476e-11,22.2478818999724
"211787_s_at",0.966553203166669,9.25561139504167,14.6725418140177,5.10361192779711e-14,1.13693162915536e-11,22.1253574014629
"200929_at",0.875799840833333,7.31242596058333,14.6482593828196,5.30264790376792e-14,1.16957512229939e-11,22.0873488111559
"200001_at",1.41939039716667,6.32716865275,14.4588933870697,7.15847186963e-14,1.56342429254654e-11,21.7890789014283
"201953_at",1.26030674016667,5.18636375033333,14.3791519400022,8.13026531319555e-14,1.75842641147628e-11,21.6624831106306
"213603_s_at",2.16411174316667,3.521810430375,14.3426364541703,8.61988324539405e-14,1.84639556786195e-11,21.6043133168925
"200776_s_at",1.8533422455,5.175299864625,14.3319211902651,8.76927203147824e-14,1.86050545757372e-11,21.5872199563572
"215768_at",-2.1460598145,4.989449335125,-14.281582055313,9.50777132824938e-14,1.99815681018313e-11,21.5067725196352
"205019_s_at",-1.5568811025,4.55943509129167,-14.2668731960647,9.73548431350942e-14,2.02689143973878e-11,21.4832210114885
"205129_at",1.57197788983333,4.06297499754167,14.2328979187987,1.02832866062801e-13,2.12111829377872e-11,21.4287422665741
"213629_x_at",1.51746331633333,5.82314884141667,14.2053627106629,1.07505946466164e-13,2.19716510956581e-11,21.384509743106
"204034_at",2.0069454865,5.41271420091667,14.1906745408682,1.10088005065004e-13,2.22604854990194e-11,21.3608852137298
"218380_at",-1.2637869245,5.44373888279167,-14.1809393943289,1.11834629054219e-13,2.22604854990194e-11,21.3452158373749
"204995_at",1.79982553116667,3.61988815008333,14.1797815659251,1.12044258324837e-13,2.22604854990194e-11,21.343351633632
"210119_at",2.158429254,2.99177571716667,14.1749893931283,1.12916230254935e-13,2.22604854990194e-11,21.3356344628966
"216841_s_at",2.42796882066667,2.82990862183333,14.1682934575336,1.14146374930924e-13,2.23056034590894e-11,21.3248478633763
"AFFX-HUMGAPDH/M33197_M_at",1.21365003183333,9.59704198170833,14.0024094016363,1.49485636760398e-13,2.89573176531424e-11,21.0562509076049
"203939_at",2.25365983416667,4.45530180458333,13.969633398446,1.57714475861529e-13,3.02879774031661e-11,21.0028667557507
"206302_s_at",1.90246595316667,3.76551388429167,13.9492201849684,1.63074880479431e-13,3.10497360037631e-11,20.9695659447997
"214091_s_at",3.70570010733333,4.57020078166667,13.9141321375315,1.72733334541002e-13,3.26100041827958e-11,20.912230892977
"219799_s_at",2.40805178216667,4.673694096375,13.9050771665261,1.75320569330867e-13,3.27154092578436e-11,20.8974153015812
"208581_x_at",1.39939456116667,8.6431762275,13.9019311871151,1.76228805985601e-13,3.27154092578436e-11,20.8922660313681
"218084_x_at",1.66815251,4.67685536541667,13.8967836474141,1.77725394021609e-13,3.27205669637966e-11,20.8838385684931
"213369_at",-1.82844949466667,6.89786486370833,-13.8786667338224,1.830980168515e-13,3.34333977164005e-11,20.8541572948041
"213227_at",-1.609024025,6.07286208425,-13.872894705498,1.84844780301399e-13,3.34779444778395e-11,20.8446941372149
"204069_at",-1.4143654115,5.13847606504167,-13.8353069027295,1.9664934250494e-13,3.51101248135588e-11,20.7829897043838
"AFFX-HUMGAPDH/M33197_5_at",1.33446442866667,9.32684654779167,13.8341991662201,1.9700882532185e-13,3.51101248135588e-11,20.7811691347988
"202289_s_at",-1.4266991915,6.510543848875,-13.7677540942556,2.19863353394749e-13,3.88721898696415e-11,20.6717457616235
"211926_s_at",1.17875808083333,5.565886337125,13.7296905007134,2.34174328585772e-13,4.08724558530596e-11,20.6088655953656
"213453_x_at",1.07157629566667,9.65430843858333,13.7279624352051,2.34846449216305e-13,4.08724558530596e-11,20.6060074715219
"207668_x_at",0.945685150000001,7.15035673604167,13.702406889623,2.4502227846658e-13,4.23128782744186e-11,20.5637054866334
"221834_at",-1.259574067,4.82352018579167,-13.5777384138188,3.01614423733108e-13,5.16851116730958e-11,20.3564105717872
"218309_at",1.97966075916667,4.63714474004167,13.5577908300306,3.11853648962969e-13,5.26499413653999e-11,20.3230981385098
"215016_x_at",-1.29215385383333,5.87903976966667,-13.5532185837353,3.14250822416763e-13,5.26499413653999e-11,20.315456866716
"201470_at",1.11397765133334,6.75788181916667,13.5530585636882,3.14335063141275e-13,5.26499413653999e-11,20.3151893984919
"208002_s_at",1.31545761933333,4.86171015033333,13.5463479170246,3.17888903657047e-13,5.28478440803585e-11,20.3039704574035
"215129_at",-1.64311523733333,3.88976512920833,-13.5097340615347,3.38023965824467e-13,5.57789621234937e-11,20.2426791604013
"200611_s_at",1.05883269266667,6.56858058333333,13.5053304826981,3.40532906576189e-13,5.57797908808659e-11,20.2352985057744
"200985_s_at",1.12526185933333,7.53353848808333,13.4998343151288,3.43691378996929e-13,5.58862251818583e-11,20.2260838641351
"201564_s_at",1.78319673016667,5.50240792275,13.4893935600081,3.49775016711053e-13,5.64633191831313e-11,20.2085709383095
"202935_s_at",2.663366846,3.93879449933333,13.4658442496572,3.63908899463487e-13,5.83222917507058e-11,20.1690297754079
"204345_at",-1.1248035415,6.6369609265,-13.4560393894471,3.69966454604989e-13,5.85423486592034e-11,20.1525500916002
"221527_s_at",-1.50836515266667,5.14709282166667,-13.4551231347358,3.70537826500322e-13,5.85423486592034e-11,20.1510095836383
"209602_s_at",-1.43761845633333,5.94135467004167,-13.4156924725614,3.96011111691392e-13,6.21263347545714e-11,20.0846337533751
"201231_s_at",1.543245997,8.12863607595833,13.4059627206074,4.02570852196369e-13,6.27137823383113e-11,20.0682308305174
"201666_at",2.02817441783333,7.39408606608333,13.4007238125658,4.06149306546289e-13,6.28318618189701e-11,20.0593948180891
"200790_at",2.050582886,6.13220196416667,13.3859757195142,4.16400652036211e-13,6.39734987959357e-11,20.0345054830686
"216202_s_at",2.04806072,3.16267425533333,13.373005274783,4.25637323594675e-13,6.49446757377984e-11,20.012597845381
"219155_at",1.93184452583333,2.21725578129167,13.2557024348613,5.19435619408007e-13,7.87174645819875e-11,19.813686612101
"203233_at",1.1803741335,5.24517974620833,13.2433634254217,5.30473076979197e-13,7.98469509180107e-11,19.7926811146852
"201034_at",-1.51102825183333,6.92005238295833,-13.2287641923306,5.43846028953855e-13,8.05690855350619e-11,19.7678076127543
"212462_at",-0.976332344166667,5.74880292508333,-13.2287603795325,5.43849566630962e-13,8.05690855350619e-11,19.7678011138112
"221878_at",-1.1364321745,3.26404323379167,-13.2263178456527,5.46120748565531e-13,8.05690855350619e-11,19.7636374878482
"208687_x_at",1.12359022066667,8.152009855375,13.1896889399676,5.81380592755931e-13,8.46574113302235e-11,19.7011246488924
"201516_at",1.22444735733333,5.31869703220833,13.1896361787186,5.81433044553764e-13,8.46574113302235e-11,19.7010345036035
"218305_at",1.326089898,3.29453676,13.1852032006831,5.85857534896421e-13,8.47477162655037e-11,19.6934595041786
"213456_at",-2.18327217533333,3.193226494,-13.1289177326931,6.45159312212725e-13,9.27239612784701e-11,19.5971025060254
"202449_s_at",-1.05020139733334,7.74985547441667,-13.0474180802433,7.42232530645164e-13,1.05991756956297e-10,19.4569955435716
"205908_s_at",-1.74588293383333,2.08224983316667,-13.0229729337348,7.74201149100783e-13,1.09684597438133e-10,19.4148361068012
"218002_s_at",-1.17593431066667,10.5438546944167,-13.0201824404989,7.77939866015398e-13,1.09684597438133e-10,19.4100194808597
"59625_at",-1.0742591605,5.14357279791667,-12.9985303527596,8.07590886607103e-13,1.13149070320418e-10,19.3726183443566
"212814_at",-1.18458891,4.34187401704167,-12.9859768512518,8.25314447672046e-13,1.14909562192439e-10,19.3509112308826
"200644_at",2.21376422233334,7.03711251033333,12.9637014963732,8.57759658927918e-13,1.18665683718903e-10,19.3123525225673
