"sample","condition","n_cells","median_nFeature","median_nCount","median_mt"
"G10","Healthy",4804,1596,4549,3.27199992168547
"G14","Healthy",5394,1553.5,3935,8.92802066239773
"G15","Healing",2248,1871,6232.5,7.22664975352895
"G16","Healthy",2915,2508,8173,3.72722252898951
"G1A","DM",985,1232,2682,1.80412371134021
"G2","Healing",3942,1628.5,4179.5,3.11873001030535
"G23","Healing",4599,2247,6581,5.37682454572535
"G24","Healthy",3509,1881,5630,6.92682926829268
"G28","Healthy",2479,2358,7690,6.12668743509865
"G2A","DM",542,1632,5073.5,2.44188286546532
"G3","DM",1982,1557.5,4013.5,2.78595998097659
"G31","Healthy",3463,2136,5914,6.10169491525424
"G32","Healthy",4191,2036,5190,4.77747760557372
"G33","NonHealing",4266,2021,5697.5,9.23414047965749
"G34","NonHealing",3411,2147,6409,7.91962174940898
"G38","DM",1104,2975.5,10429,8.31824369537764
"G39","NonHealing",2304,2702,8088.5,6.84210977497275
"G3A","DM",1011,1411,3619,2.87119652253489
"G4","Healing",2745,1909,6298,2.85573609059577
"G40","Healthy",1630,2170,6675,6.88071662409215
"G41","DM",1712,2498.5,7024.5,6.41118811768651
"G42","Healing",1737,1837,6161,4.56558462311099
"G43","Healthy",723,3170,11062,5.66451853927337
"G44","Healthy",1368,2447,6964.5,7.13036404935323
"G45","Healing",3165,3248,11500,6.68219785215069
"G46","DM",1080,3016.5,10151.5,7.12741688764805
"G49","Healing",2660,2507.5,7694,6.46769528001365
"G5","DM",2629,1726,5494,3.0464824120603
"G50","Healthy",2819,2431,7149,7.96521739130435
"G6","NonHealing",2268,1391,5194.5,2.99024840003854
"G7","Healing",1755,1942,6053,3.32120482586929
"G8","Healing",2410,1891,5817,3.58964378421814
"G9","NonHealing",4287,1690,4966,3.25039551272832
