"condition","celltype","n","pct"
"DM","Endothelial",1639,14.8392937980987
"DM","Fibroblast",4647,42.0733363512902
"DM","Keratinocyte",1379,12.4852874603893
"DM","Lymphatic_Endo",184,1.66591217745586
"DM","Macrophage",311,2.81575373472159
"DM","Mast_cell",123,1.11362607514713
"DM","Melanocyte",97,0.878225441376188
"DM","Myeloid",252,2.28157537347216
"DM","Pericyte",1001,9.06292440018108
"DM","Smooth_Muscle",765,6.92621095518334
"DM","T_cell",647,5.85785423268447
"Healing","Endothelial",2267,8.97430822216064
"Healing","Fibroblast",9964,39.4442025256324
"Healing","Keratinocyte",2335,9.24349788211076
"Healing","Lymphatic_Endo",174,0.688808835754721
"Healing","Macrophage",1001,3.96263014132457
"Healing","Mast_cell",826,3.2698626341
"Healing","Melanocyte",14,0.055421400577966
"Healing","Myeloid",1506,5.9617592336012
"Healing","Pericyte",3363,13.3130121531214
"Healing","Smooth_Muscle",1811,7.16915403190689
"Healing","T_cell",2000,7.91734293970943
"Healthy","Endothelial",3311,9.94443610151674
"Healthy","Fibroblast",12224,36.7142213545577
"Healthy","Keratinocyte",6821,20.486559543475
"Healthy","Lymphatic_Endo",394,1.18336086499474
"Healthy","Macrophage",536,1.60985132902838
"Healthy","Mast_cell",1094,3.28577864544226
"Healthy","Melanocyte",562,1.68794113230215
"Healthy","Myeloid",729,2.18951794563748
"Healthy","Pericyte",2821,8.47274365520348
"Healthy","Smooth_Muscle",3280,9.85132902838264
"Healthy","T_cell",1523,4.57426039945938
"NonHealing","Endothelial",1614,9.76052249637155
"NonHealing","Fibroblast",4184,25.3023705853895
"NonHealing","Keratinocyte",2762,16.7029511369134
"NonHealing","Lymphatic_Endo",140,0.846637639090469
"NonHealing","Macrophage",1181,7.14199322689889
"NonHealing","Mast_cell",635,3.84010643444606
"NonHealing","Melanocyte",264,1.59651669085631
"NonHealing","Myeloid",801,4.84397677793904
"NonHealing","Pericyte",1396,8.44218674407354
"NonHealing","Smooth_Muscle",1778,10.752298016449
"NonHealing","T_cell",1781,10.7704402515723
