,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLCG2,401.9204051674073,3.402133725990046,0.6186863262931289,5.498963822869654,3.820294965275835e-08,0.0001459352676735369
SCGB1D2,48.804553038863645,3.978692886753403,0.8861112303830694,4.49006033365969,7.12030024347135e-06,0.013599773465030277
PHLDA2,31.298419735708265,-3.2755673847723763,0.7464099481224155,-4.388429432126439,1.14172167887597e-05,0.014537922711020683
MAPK10,49.94435635543534,3.3021166116665706,0.7891384396432661,4.184457942714473,2.858473602920596e-05,0.02729842290789169
PRELP,36.196328082687046,3.5476873176987826,0.8754773079115815,4.052289289098376,5.071889667897575e-05,0.027678026473383906
IER3,273.88650109730406,-2.2581682363174878,0.555943620236887,-4.061865545566086,4.8682114573614186e-05,0.027678026473383906
HIST1H4C,168.64911323913327,2.700237488518356,0.657306921590256,4.108031423106779,3.990458221795378e-05,0.027678026473383906
NNMT,34.42658836597767,-2.7443588588918097,0.6890522632623486,-3.982802183826406,6.810744295760052e-05,0.03252130401225425
ADH1B,35.92498122631916,3.255897543627937,0.8267451934675681,3.9382116392741517,8.209117267076115e-05,0.03484314217803418
RGCC,20.066238971199514,-3.094756788080571,0.8031446114591437,-3.85329957261128,0.00011653666269106367,0.04451700514798632
LRRC17,32.44664525473217,3.372239344947401,0.8861648863840654,3.80543101714128,0.0001415574644851074,0.04915904675755548
MBP,34.17056823206703,5.809632825690635,1.5738269776063585,3.69140503267172,0.0002230186665611719,0.06553317740489821
MSX1,35.47622764056159,3.028343900334016,0.8168729746471552,3.7072396741269302,0.00020953062415416635,0.06553317740489821
MATN2,141.27772757722036,1.9667789233608721,0.5441053400768672,3.6147024822123974,0.00030069273168767353,0.08204615964620805
PTGIS,24.820951732036,3.7308111899487804,1.066233907194674,3.499055099236874,0.0004669100849961089,0.0990886958158409
SCGB2A1,29.838579624411175,5.640486452349048,1.6085894649129286,3.5064797920048307,0.00045407591393847174,0.0990886958158409
IGFBP5,2152.731178808351,2.3760977426507828,0.674329265540079,3.523646183067163,0.0004256522250745024,0.0990886958158409
