,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DEFB1,1721.1260544549093,-6.959371559670645,1.2060730641727264,-5.77027359817893,7.91429301172205e-09,2.8459797670152495e-05
RPS27,4457.412773057065,-1.5691687589171888,0.2854019496618669,-5.498101049331579,3.839029297489611e-08,5.191061374040666e-05
RPL39,6017.294569361212,-2.047322934249746,0.37381689990264094,-5.476806786378472,4.330696363215238e-08,5.191061374040666e-05
MT2A,5318.281566834106,-4.496962782081791,0.8555643124976804,-5.2561364661806,1.4711314525079502e-07,0.00013225471758046472
RPS28,3830.920445868546,-1.6807028126459926,0.3273610267265957,-5.1340956174654115,2.835039451009699e-07,0.00020389603731661758
CXCL8,2011.433519897316,-7.090364773167803,1.4217948951131478,-4.986911120259399,6.135227192390077e-07,0.0003677046163972453
CXCL2,1863.4132132682535,-5.509626799998086,1.1259635726488006,-4.893254927454563,9.918179902470285e-07,0.0004458221866160393
MT1G,5840.160078642895,-6.695952003435058,1.3639872556003527,-4.909101588700596,9.149457564740311e-07,0.0004458221866160393
MT1X,1207.2223390704996,-6.443354356551187,1.3512108173687234,-4.768578132832473,1.8553071660675784e-06,0.0006671684569179012
ADM,262.7067190528667,-4.245403138721237,0.8898958318326987,-4.770674259680515,1.8361026119457876e-06,0.0006671684569179012
TM4SF1,1921.973187790303,-4.720755362242196,1.019262421778392,-4.631540672328035,3.62954677105894e-06,0.0011865318353389044
RPS29,2874.9345391730453,-1.7211886118564503,0.3756856628013007,-4.58145940151776,4.617422525261515e-06,0.0013836876167367008
SPP1,916.1656465574491,-6.132188850722794,1.393662917043859,-4.400051673707417,1.0822510368502276e-05,0.0021620970713963437
PAEP,56723.758776727474,-11.249026243525591,2.5472026114449746,-4.416227508947258,1.0043837287581753e-05,0.0021620970713963437
ETS2,622.342063364078,-3.04804085607536,0.6924999446630046,-4.401503392983875,1.0750338673641922e-05,0.0021620970713963437
CLDN10,540.2084562663616,-5.206333244751296,1.1799198126307346,-4.412446667153864,1.0220897690553491e-05,0.0021620970713963437
ROMO1,712.5716244835265,-1.3238692881602114,0.2963381937476008,-4.46742713592898,7.916596261003208e-06,0.0021620970713963437
SFN,490.36518083664413,-3.7676982897879823,0.8493476615220154,-4.4359906555065285,9.16498236043517e-06,0.0021620970713963437
EDN1,492.9067250539827,-4.21391824906542,0.9696885187711178,-4.345641066685724,1.3886949081873329e-05,0.0026282878367587625
TRIB1,209.91206963010816,-3.3504610699011823,0.7765072992543187,-4.314783741400288,1.597592190512521e-05,0.002872470758541513
LPGAT1,116.9525342165175,1.2524729118078137,0.29432096844123307,4.255466127476726,2.0861394646078287e-05,0.003572265483204644
GPX3,4250.231208453133,-10.327136952614742,2.439163290426296,-4.233885034736585,2.2968839690363873e-05,0.003728459651684786
MIA3,123.6197115681175,1.1800193241223698,0.2792652911090236,4.225442121490483,2.3847211342811477e-05,0.003728459651684786
MT1E,1827.8969898377143,-4.1091358389092285,0.982328445345508,-4.183056958575549,2.8761529513882988e-05,0.004137058405276929
RPL35,2081.303557854575,-1.3534713361047004,0.3233719593047418,-4.185493816516124,2.8454681513970826e-05,0.004137058405276929
S100A10,2031.1342337482938,-1.6003468758643635,0.3844358746465383,-4.16284478480519,3.1430703068758745e-05,0.004347108009048325
NDUFS5,1179.663266587777,-1.1939336951396489,0.29015268120856463,-4.114846329065756,3.874374422484233e-05,0.004986940836167409
RPLP1,7613.116446325747,-1.9056470356710553,0.46354198169343275,-4.111055979674718,3.9385368785662425e-05,0.004986940836167409
RPL36,3833.7382334015433,-1.5480631728882996,0.3770037120558351,-4.106227931938845,4.021726480780169e-05,0.004986940836167409
ARID5B,823.0209895273952,-3.167651422379016,0.7757236222440115,-4.083479388207415,4.436636615633931e-05,0.005318048423273204
RPL34,4435.650341068805,-1.2579405076234298,0.31106715774189436,-4.043951527236432,5.255778992782187e-05,0.0060967036316273366
RPL28,4345.479117637668,-1.3703961713856054,0.34084900611041713,-4.020537384057001,5.806553348329657e-05,0.006454374911217921
MGST1,1450.672283510445,-3.6246670322150916,0.9041755748421239,-4.008808834332853,6.102579170784464e-05,0.006454374911217921
TMA7,1361.6857892307935,-1.2640589498993242,0.3149541578131972,-4.0134696384895845,5.983270168900938e-05,0.006454374911217921
SEC61G,886.9536169290845,-1.7596805611661563,0.4399848487231299,-3.9994117212737796,6.350012801152544e-05,0.006524184580841299
FAU,2525.330043055946,-1.2814205174618398,0.32109910592731955,-3.9907321254014576,6.58696447331616e-05,0.006579645623901364
TUBA1C,256.8392947466097,-2.3386067944271964,0.587284993338798,-3.982064621014555,6.831919746378754e-05,0.006639887407561622
MT1M,1097.8431969364935,-5.860907848568406,1.4786338425222483,-3.9637317096509106,7.378717555255659e-05,0.006982596928605092
RPS15,3052.6092816479872,-1.4259482938474628,0.3619049344597477,-3.9401184069958064,8.144140141876506e-05,0.007509314859022542
GADD45A,2153.6316806255213,-3.4697943279245833,0.8844251780606238,-3.92321975221599,8.737338757862065e-05,0.007854867543317996
MT1F,1063.5365656167799,-3.9693571473561846,1.0136374238369612,-3.915953628005192,9.004755647932847e-05,0.007897829587796711
RPS18,5614.394009143571,-1.8358020125996366,0.4732698340904735,-3.878975333654357,0.00010489738971177576,0.008981214604846325
LDHA,1073.9023746962075,-3.153741544557909,0.8186631068119297,-3.852306911495419,0.0001170102363278723,0.009176771824125497
RPL30,3179.7888634102596,-1.3308368775872024,0.3455359166757904,-3.85151532260509,0.00011738918351217265,0.009176771824125497
TMEM70,107.64192910864148,1.3831182602004215,0.3581411216285589,3.861936473284694,0.00011249182078650027,0.009176771824125497
RPS9,2464.2488036755853,-1.6097499026009447,0.41758764091583667,-3.8548791795430173,0.00011578679691522854,0.009176771824125497
MAP1LC3B,671.3210577097875,-1.7729184283259376,0.4639386245882836,-3.8214503694304205,0.0001326691159098125,0.009796887932805082
MET,211.18715529100257,-5.926906646280732,1.549800228159984,-3.824303635132065,0.0001311422175595759,0.009796887932805082
ATRX,320.18128187010154,0.8859224125216765,0.23192170689232014,3.819920198039095,0.00013349485781630953,0.009796887932805082
GDF15,548.783325670043,-2.8198977303208164,0.7412560426672469,-3.8042155045023773,0.00014225429758334124,0.010230929082193902
C19orf33,341.6679997980863,-1.8295677106296577,0.4816651581276581,-3.7984223682310825,0.00014562002368829937,0.010267639317316168
CDKN2AIP,461.23859523303565,-3.212938560731408,0.8477334109252891,-3.7900341302161618,0.00015062658685528396,0.010396696835842323
CLDN4,3190.3330680015106,-2.164766423295276,0.5718165267221911,-3.785770998442997,0.00015323273979411654,0.010396696835842323
RPL18A,2741.6181719474694,-1.4047629796433336,0.3721107138941301,-3.7751210249834557,0.00015992999731460891,0.01065015315450618
SGK1,691.55236007841,-3.0820378868475813,0.8186311896343419,-3.764867410224421,0.00016663748125648158,0.010895061501787413
MAL2,245.06455762617122,-2.234070723545854,0.5974181428697245,-3.7395428147099725,0.0001843552473020345,0.011430025332726138
LIF,189.42494690283948,-4.083654933615501,1.0914220998939148,-3.7415908419047295,0.00018285905549566566,0.011430025332726138
PTEN,112.88322554967212,1.3115851626906938,0.35037260399611364,3.743401018606015,0.00018154613732148625,0.011430025332726138
MAFF,696.2728641283968,-2.6585336558783763,0.7141348016281415,-3.7227336489094767,0.0001970773914585085,0.012011699994657569
CRYAB,1634.8375878749166,-4.826855320026399,1.3102398615038438,-3.683947849431414,0.0002296492454434007,0.013763644776907814
RPL37,4753.322883013599,-1.591509727002406,0.43345757117666023,-3.6716620791329295,0.00024097817659788015,0.014205861033540606
RPS25,2495.3119033712223,-1.3227603845232268,0.36262533696510807,-3.6477329344763993,0.0002645644244649148,0.015344736618965057
HES4,254.23130662470328,-3.6447696015678455,1.0022843768289031,-3.6364625507776744,0.00027640780643208425,0.015777182094123415
PPIA,1452.306524567389,-1.3564640630851275,0.3750489857795091,-3.6167650480798557,0.0002983078452434922,0.016010671813367135
COX5B,921.7636416357102,-1.1703907382605612,0.3230406407375687,-3.623044876298897,0.00029115528424941483,0.016010671813367135
SESTD1,308.1956784477974,-2.818662956817024,0.778883893768977,-3.618848687674958,0.00029591658860860225,0.016010671813367135
POLR2L,820.0279021452648,-1.1552010842269442,0.3192811915640276,-3.61813070969852,0.0002967385301141861,0.016010671813367135
LAMB3,344.143483230614,-3.2429450975707423,0.8992162545017673,-3.606412897159622,0.0003104590043685311,0.01641780264278291
PTN,108.70526134121023,2.797572387063752,0.7777012791450642,3.597232590563764,0.00032162086910039603,0.016522123504071774
DDX52,690.9862910674835,-2.5032484497849388,0.6954179918339598,-3.5996314147457698,0.0003186685557621741,0.016522123504071774
RPS21,1843.8700647012008,-1.9697144767286472,0.5486830645487605,-3.5898947935426984,0.0003308114515586212,0.016562087307083764
EFNA1,283.1068174493132,-2.3491012478914635,0.65454949420281,-3.588882534776816,0.0003320984248531149,0.016562087307083764
JUP,416.52626413006345,-2.092283229013478,0.5840913238306992,-3.5821166034302085,0.00034082159641941006,0.016562087307083764
GUK1,608.6085243664095,-1.5484702680550695,0.43223666707231573,-3.582459300696027,0.00034037465928358465,0.016562087307083764
NFKBIA,2055.8993678759634,-2.36407298749134,0.6618133330802334,-3.572114475978285,0.000354110549821706,0.016978420495451396
ACTG1,2447.9851572636426,-1.494070171462531,0.4201666709364765,-3.555898824941339,0.0003766890315904779,0.01763387404596995
RPL41,8905.068777679055,-1.2765956220720325,0.35907117256240506,-3.555271822469028,0.0003775885154448515,0.01763387404596995
RPL36AL,1414.9394724317156,-1.132877556704868,0.32016094635356174,-3.5384626688784295,0.00040246418547062936,0.018050508606157832
SOD2,2144.0452502611242,-3.096512342874883,0.8781565628095451,-3.526150659249193,0.0004216470308446212,0.018050508606157832
RPS7,2584.7230251604287,-1.371052447322354,0.3877381605642209,-3.5360265941512026,0.0004061938004547431,0.018050508606157832
RPS13,2593.744476454321,-1.2005607240282563,0.3399974236424078,-3.5310877099202544,0.00041385448976784603,0.018050508606157832
AP2B1,209.45348506485578,-1.3119282623049113,0.37130274784729334,-3.5333114821021243,0.0004103886525216848,0.018050508606157832
ADI1,190.87161710402142,-2.561785236041852,0.7242211790865279,-3.537296767919814,0.00040424516279249977,0.018050508606157832
RPL11,3920.435745337912,-1.258527403882325,0.35672049806870965,-3.5280490207207382,0.00041863462171385984,0.018050508606157832
OSTC,396.1931844772142,-2.4303973519032342,0.6925447093631026,-3.5093724911108546,0.00044916536874142044,0.01827605894079115
XBP1,531.8125881749526,-2.0118301627053414,0.5735784630389882,-3.5075064569999204,0.0004523273764545085,0.01827605894079115
CKS2,391.81188234176443,-3.9676480986125444,1.1285067299762952,-3.5158391112970024,0.0004383665417709711,0.01827605894079115
NCOA7,407.28102734614004,-2.45873988058044,0.7008748790306573,-3.508101023653455,0.00045131763117518803,0.01827605894079115
RIMKLB,1581.6385473369844,-3.7212854607632204,1.05875172630892,-3.5147857314354294,0.00044010893162790685,0.01827605894079115
EPHA2,209.27845299290755,-3.9030475735409373,1.1190000100963975,-3.4879781397005574,0.00048668786839181475,0.019445884163744064
DDAH1,113.70790832314742,1.1078516840664137,0.3179720525107452,3.4841165294832828,0.0004937644579971544,0.019511835065469968
IER3,3347.065101161653,-2.8549263675859455,0.8209709353098119,-3.477499926971927,0.0005061131885059577,0.01978242419421113
