,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DKK3,161.9295763900548,2.021742273985031,0.20127581951137366,10.04463565913235,9.700548460303526e-24,1.4739013330585177e-19
CCND2,1721.425702610216,1.1125898158529357,0.11630567780176307,9.56608341812243,1.1103236744701106e-21,8.43512895494943e-18
ADAMTSL1,38.34692583878877,3.205312360268207,0.34550637406179596,9.27714392816069,1.7408222990257636e-20,8.816684670465818e-17
C11orf87,19.050706142453645,5.160905305413389,0.5659807958127858,9.118516641544327,7.615955650157827e-20,2.892920753712451e-16
LRRC8C,42.233385323213206,2.107061601165358,0.24266516268413402,8.682999973539763,3.854644791485786e-18,1.1713494592367009e-14
PLAG1,108.17143042329731,2.682061991574431,0.32441273215913363,8.267437513083808,1.3686893730068343e-16,3.465977722244307e-13
PLA2G2A,334.9724623751538,-4.913614876602375,0.5989839592282791,-8.203249520960451,2.339748628850653e-16,5.078591523822402e-13
ADRA1D,22.492330888643973,3.215736894852408,0.4042356641325409,7.955104361593467,1.7898057583935133e-15,3.39928858662888e-12
LINC01579,105.82174797762589,2.347831821359437,0.3035654956956449,7.734185388820922,1.0406729230338991e-14,1.7568871547307847e-11
ITGA9,130.49799963263646,1.9262378569847567,0.2596717621457911,7.41797198535312,1.189272469288864e-13,1.8069805898375002e-10
GPX3,548.7352352870054,-5.556207836084219,0.7571447726413355,-7.338369142668878,2.1621215747699956e-13,2.9864795642777556e-10
KCNG1,43.50077102380584,2.7802896528249126,0.38761179422888453,7.1728716572105995,7.344069737958744e-13,9.06097019198509e-10
PEG3,657.8031280766555,0.9291587770069262,0.12967189345942431,7.165460087136536,7.752574206647767e-13,9.06097019198509e-10
TRBC2,29.61497347312475,3.756872147458186,0.5398782489642165,6.958739594836305,3.433304508221811e-12,3.726116335565871e-09
KIF5C,44.04974429457328,1.5416657184988638,0.224485040033047,6.867565510253652,6.530676564509506e-12,6.6151399814104954e-09
VLDLR,116.8729965655329,1.596875858462509,0.2338024108951099,6.83002306241791,8.490098274631842e-12,8.062409574047262e-09
ARL16,304.8137264551378,-0.7556569430661212,0.11305454626363043,-6.684003147507351,2.325018080352636e-11,2.0780191007575263e-08
SFRP4,5523.090932147535,1.982698310994829,0.29708289935678645,6.673889056851016,2.491119669112473e-11,2.1027817918052732e-08
SYT2,43.490471859232166,1.8684331052380294,0.2817332675646402,6.631922177274791,3.313432756527086e-11,2.649699858035397e-08
ATP1A2,10.913893420931577,3.4911276957235238,0.5291255601706668,6.597919205788278,4.169683769416893e-11,3.167708759626014e-08
NHS,405.99553270034465,1.627373975779338,0.2494038187333449,6.525056368600665,6.797596491438404e-11,4.9182229090911954e-08
PLPPR5,29.181115120448236,2.014298554437795,0.30978884804629125,6.502166127480488,7.917159630733542e-11,5.4678783376984285e-08
JUP,107.72440762291897,-3.1822249298550744,0.4959874807170652,-6.4159380096740115,1.3995839307337022e-10,8.644724924826288e-08
AMPH,64.09952494961074,1.2131594363848666,0.18915788555636717,6.41347535058673,1.4223912275941634e-10,8.644724924826288e-08
SDK2,66.51300347759508,2.1430683374485566,0.333643305843814,6.42323193635953,1.3341097982712342e-10,8.644724924826288e-08
GPR22,62.54080839558058,2.580908415209782,0.40467624751698394,6.377711642444404,1.797535504827014e-10,1.050452094628525e-07
CPE,250.18367045168284,2.0096258715405027,0.3181113146898931,6.31736684216832,2.660575106870627e-10,1.4972140064367523e-07
PRRG4,41.6615917109662,-3.1485993858932404,0.4995232632775303,-6.303208713913107,2.915458652268828e-10,1.5497666958583328e-07
HEG1,299.04319186959924,1.2306240818716767,0.1953072031110101,6.300966181837163,2.957959337889407e-10,1.5497666958583328e-07
PYGL,158.58130342920245,-1.597171435040134,0.2543522816780307,-6.279367436781627,3.3995330905419265e-10,1.721750192589801e-07
IRX3,55.800102997293855,-4.288551342232329,0.6858323066192814,-6.253061135851371,4.0248448861388986e-10,1.9726933290320783e-07
NKAIN4,17.53228026021139,3.4572970175463467,0.5548971680180963,6.23051840378756,4.6489420919551135e-10,2.2073758170364373e-07
C2CD4A,85.16047354064874,-3.903498529627217,0.628426601222497,-6.211542480909664,5.246700236835582e-10,2.3607351314033786e-07
TCF7L1,292.3686172885373,0.9278771338782472,0.14940532931185024,6.210468784159038,5.282677008537243e-10,2.3607351314033786e-07
FAM171B,171.42803818285952,0.9836716596244154,0.15905832153948832,6.184345780237634,6.236054328420195e-10,2.7071602704576124e-07
B4GALT6,95.04608792242549,1.6850305812148036,0.2729427684376974,6.173567414369628,6.676606197115007e-10,2.817898737749039e-07
SYT7,92.58592386971338,1.5403236136550398,0.25023731184554043,6.155451408484631,7.486394777403454e-10,3.074277898591029e-07
GPSM2,292.9084070146198,0.9250851045115394,0.15133609455303856,6.112785632824203,9.79068504855668e-10,3.9147281217834266e-07
SFN,85.77067901996747,-4.153081741656717,0.6807145410025721,-6.101062180249539,1.0536590567340445e-09,4.1049476174402747e-07
FCER1G,27.321163990666424,2.771872445821488,0.4549499685210628,6.092697302149959,1.1102387651346988e-09,4.2172419493641537e-07
GSG1L,52.81918105715156,-4.947118364362978,0.8137273326612039,-6.07957747736454,1.204996476120717e-09,4.465540599555652e-07
GCNT2,26.759409335119297,-3.5374468659969387,0.5837701469407616,-6.059657014896829,1.3641211025103848e-09,4.873394727182126e-07
NUPR1,2679.115340310637,-1.3319709639061947,0.21987381156502037,-6.057888178794356,1.3792021407715639e-09,4.873394727182126e-07
EPB41L1,156.98608212378926,1.0318434094854294,0.17074211397057185,6.0432858976038695,1.5100672171800013e-09,5.214536658598395e-07
RBM43,288.3191717267666,1.1304357963263807,0.18720475813191753,6.038499275375238,1.555541262810834e-09,5.252198654921736e-07
LOXL1,151.16930868170007,1.4647532485016992,0.24358950070235022,6.013203542346137,1.818924155891661e-09,6.007985570569108e-07
SPTSSA,1037.4068310035543,-1.8680763596490977,0.31119499486697755,-6.00291261254899,1.938089422175784e-09,6.265389506497629e-07
DDX39A,290.7016691284913,-1.0626740909854628,0.17829424819505324,-5.960226433232447,2.518886565927832e-09,7.753491597131495e-07
CAMK2N1,786.5088323874015,0.9669881198857384,0.16219168237889706,5.96200807404384,2.4915683333316582e-09,7.753491597131495e-07
LIMD1,206.45337852382747,1.3653605706543153,0.22915947275072143,5.95812407082795,2.5514978271460757e-09,7.753491597131495e-07
SLC1A1,74.03686837418991,-2.4601178287695045,0.41434347329296367,-5.937387668298242,2.8959933459715323e-09,8.627788803664993e-07
IGFBP1,587.3632880927041,-9.063987516300385,1.5308526031601462,-5.920875398186313,3.2023242321057816e-09,9.356945073579854e-07
MAMDC2-AS1,17.124967347018796,1.752251906576137,0.29642598188309327,5.911262890805582,3.3949469452730714e-09,9.593864879246778e-07
SIPA1L2,133.90426306326242,-2.3825988334357056,0.4031095600182251,-5.910549065936281,3.409692664731644e-09,9.593864879246778e-07
TYROBP,40.811644446134146,2.9617831126783725,0.5024687548365822,5.894462260925324,3.759034933199733e-09,1.0384504868188499e-06
FGF12,43.8512110678442,2.484119501340986,0.4224829778708175,5.879809676262399,4.1073848050628146e-09,1.1144215130022214e-06
PPP1R1B,40.41518259971564,2.713396017179322,0.46255981676144703,5.866043523142184,4.463166883147004e-09,1.1897080284655366e-06
TEX15,65.1898397703177,2.5546681827170543,0.4362811926585789,5.855554229027387,4.754218537931407e-09,1.2454413183677552e-06
