,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KDELR2,150.6942833172668,0.9411427700657687,0.15561469901898786,6.047904060470097,1.467422912561398e-09,1.759880299034885e-05
GDF15,57.55452405539609,-2.5072670276507125,0.4400215851888807,-5.698054622875967,1.2118222898398322e-08,7.266692361024553e-05
NYNRIN,10.769606679461386,2.1284903319782997,0.3845687096054146,5.5347465324524965,3.116787511538641e-08,0.00012459877541960972
LAMB3,22.968691469848743,-3.002893904043425,0.5500043594887889,-5.459763822298639,4.767683833615768e-08,0.00012963227409518619
EDN3,10.891281549298125,2.466285060252973,0.4535728641155959,5.437461663545252,5.404497377436263e-08,0.00012963227409518619
NR1D1,22.856042674864582,-2.3730492878401663,0.44732702985754275,-5.304953936264249,1.1270145206186006e-07,0.00019308978779684108
MOXD1,11.714185843637052,3.0331342998324984,0.5711114638252167,5.310932264460306,1.0906586479451496e-07,0.00019308978779684108
CCND2,23.184320042621422,2.853632666998696,0.549918499493345,5.189191979589387,2.1120855911032581e-07,0.0003166280311762672
PARD6B,54.51433563823225,-2.0783417890682667,0.40716638917963355,-5.104404106772538,3.318384889464942e-07,0.00044219322199281173
SFRP4,85.18552102585954,4.4478840562653925,0.8892702574156299,5.001723625831923,5.682000710243675e-07,0.0006194930410722945
RIOK3,148.6729927363227,-1.0213152239024257,0.20367259327060463,-5.014495114448118,5.317290367479565e-07,0.0006194930410722945
SBNO2,28.597008470679786,-1.6261643110431598,0.3271132862528136,-4.971257296428975,6.652009976319498e-07,0.0006648129637166645
PLAUR,73.79189532714395,-2.444999409457242,0.4967853889196583,-4.921641143219402,8.582147382740016e-07,0.0007917361043169309
EPHA7,11.274607368704755,2.1830358683530733,0.44876992613738736,4.864487883897892,1.147535362111824e-06,0.000983027971271936
LINC00511,13.230919582337382,-2.774227430268306,0.5753077515891112,-4.822162438460726,1.4201022276451394e-06,0.0011354190677432103
SFN,72.27328223405338,-1.4220184865456467,0.2973379659397729,-4.78249887144813,1.7312935967792175e-06,0.0012977127566358223
S100A8,11.845486220105524,6.019653310714494,1.2795950724282106,4.704342366129435,2.546855550497184e-06,0.0017967316833595723
GCNT2,82.08021026390811,-1.2632143111817538,0.26970489521013086,-4.683690706457389,2.817550628934929e-06,0.0018513475187931431
COMP,22.941100593905524,-6.080637891564766,1.3005443429229997,-4.675456030894272,2.933011161266549e-06,0.0018513475187931431
EZR,328.00164833688143,-1.0988056898695222,0.2358244357654757,-4.659422533135073,3.1709770280077774e-06,0.0019005521812359887
PISD,30.01765616631071,-2.0727802603172933,0.4464155204994519,-4.643163521730285,3.4311457540482964e-06,0.0019005521812359887
SLPI,501.33279117670395,-1.3409848606106332,0.289013806755417,-4.639864356879896,3.4863793869083426e-06,0.0019005521812359887
VEGFA,113.0532421807917,-2.2587158014186675,0.48787517768676353,-4.629700187101665,3.6619555245377108e-06,0.001909470982860033
C6orf141,34.96119795944156,-1.782712550196941,0.3868587961726186,-4.608173751855146,4.062211444944888e-06,0.002029920910801002
DPP4,35.60916641475477,-4.806652702035495,1.0473560503563843,-4.589320604392301,4.446909845437759e-06,0.002133271591053402
RGS1,8.447035300106059,3.694791772664005,0.8075025362979036,4.57557915496246,4.749043615678398e-06,0.0021905876954935012
RIPK4,56.815266039347215,-2.214888066272918,0.48673965812653,-4.550457373451064,5.352943101588051e-06,0.002377698022864648
IL20RA,165.9775830786718,0.8705913475299458,0.1917654633972399,4.539875596506792,5.628742862659204e-06,0.0024109111839954226
