,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
F8,32.11554146319745,3.2976324692959174,0.46070321287490384,7.157823902980536,8.19677514635685e-13,1.0001705033584629e-08
ITIH5,153.4397154927426,-1.7933618931737891,0.26509639696639836,-6.7649425405095265,1.3336211592599877e-11,7.035189848208075e-08
RUNX1T1,48.62017319312223,2.2706873143739426,0.33753863739109574,6.727192276192566,1.7296811624835457e-11,7.035189848208075e-08
SLPI,77.7846048127284,-4.216277097750029,0.6424773062235725,-6.562530780321177,5.290211562380876e-11,1.291023229683429e-07
CCND2,76.1531912782156,1.4982518390595507,0.22803815408527914,6.57018052557666,5.0254296731411586e-11,1.291023229683429e-07
FLNC,14.814691801832216,3.209684101035758,0.49685439494858946,6.4600094789699325,1.0469642299333764e-10,2.1291762556078432e-07
CLDN15,53.62332428842239,-1.7027477981002967,0.2698106483519691,-6.310899175035728,2.774188906334583e-10,4.2313316293868227e-07
STAB1,76.97899831419625,-1.2460677905645188,0.19690400778095515,-6.328300803052726,2.4787557626059214e-10,4.2313316293868227e-07
ZNF704,42.967563683737225,1.2693301850706864,0.20326601754296095,6.244674837506517,4.2468265402055975e-10,5.757753049287633e-07
PAEP,775.4412213681771,-7.301486893414179,1.1924582800364656,-6.123054379052069,9.179834723125721e-10,1.1201234329158005e-06
PTGIS,13.896756577133043,5.609318733075864,0.9231180296081426,6.07649136206015,1.2284061806752425e-09,1.1893613470616027e-06
CHST15,21.18446601173943,1.480812484187011,0.24349997702103274,6.081366012034996,1.1916292269364703e-09,1.1893613470616027e-06
TTC28,65.48041693619533,0.8535648436083499,0.14058530579906836,6.071508247300811,1.2671445264547479e-09,1.1893613470616027e-06
BTNL9,10.626903656994314,2.5816314735086285,0.42883668691286975,6.020080726053085,1.7433010562138574e-09,1.5194113919943918e-06
TXNDC17,128.08710789937754,-0.9743491600872733,0.16340635172341963,-5.962737371044483,2.4804693136544126e-09,2.0177791043474097e-06
LIFR,351.4583248483606,1.55367262380438,0.26117958158357146,5.948675675120646,2.7032065725418032e-09,2.0615329123846928e-06
