,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PAEP,321.7536314705393,-7.479171079918184,1.3381503542115367,-5.589185891091478,2.281366319976857e-08,0.00012625081214751927
LAMTOR5,70.02143647318768,-0.8882499411229814,0.1735105416274312,-5.119285161533685,3.0669592455284416e-07,0.00040567804494503844
SLPI,35.557017541439684,-5.221937620499236,1.0338721896344802,-5.050854131539627,4.398388633303633e-07,0.00040567804494503844
DEFB1,29.690684230043036,-6.2555037606012815,1.235148379336213,-5.064576746611676,4.093087189290458e-07,0.00040567804494503844
NNMT,33.505992502353536,-3.7311060975349735,0.7350689422645997,-5.075858716109247,3.8574985484291655e-07,0.00040567804494503844
EMILIN3,23.95201068895693,2.6176072076267913,0.5042524332292397,5.191065099802489,2.090944965689994e-07,0.00040567804494503844
MAPK10,20.780717242208926,1.633109361925406,0.32757422288760274,4.9854635921269015,6.181341883185293e-07,0.0004886792283078201
COX5B,208.97415799116166,-0.7145749814656828,0.14472062222167673,-4.937616840612584,7.908302641222457e-07,0.0005470568352065635
IER3,284.1734673470757,-1.9083467688093076,0.39010608371095656,-4.891866208944512,9.988433609180412e-07,0.0006031866580401897
PDS5B,86.00131806449042,0.9250448069432915,0.18976605044453354,4.874659111976784,1.089965048861926e-06,0.0006031866580401897
S100A11,277.1586764180749,-1.2553786716652189,0.2613053222248063,-4.804259863429767,1.553249919074664e-06,0.0007814259138326536
AHNAK,179.53369082664176,1.1082452757316485,0.23297063573415797,4.7570170044788975,1.9647462508791493e-06,0.0009060754793637678
LAMA2,76.2738071121421,1.315440368980554,0.283298625777452,4.643299505497464,3.4288872559879135e-06,0.0014596509288182394
REST,63.14838732481028,0.8738121977050639,0.18925559365463598,4.61710103691648,3.8913783556424695e-06,0.0015382062728661018
SEMA5A,110.49188851351789,1.1170321393029958,0.2439355568067509,4.5792099926946035,4.667354315817286e-06,0.0017179451719073547
CXCL14,74.87533099866923,-2.7253414492492163,0.5985226669024684,-4.553447346202716,5.277388493390863e-06,0.0017179451719073547
KRT18,35.78202292286848,-1.622345404814551,0.3554501406250525,-4.564199642632541,5.014034785183221e-06,0.0017179451719073547
CLDN3,21.161168864671165,-3.2941464404763803,0.7304423966692385,-4.5097963309597535,6.48898941826811e-06,0.0019950037467053178
ELF3,18.78039770450221,-2.6417062508018128,0.5947570904138211,-4.441655750524575,8.926929638768711e-06,0.0026000857168918972
MYL12B,225.19481523502137,-0.7717168206565787,0.17435891834916095,-4.426024363784959,9.59856877503046e-06,0.002655923980050928
