,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGR2,11.81673008787136,-5.591490567011981,0.8651197926562827,-6.4632558571382885,1.0247380900270534e-10,7.043024892755938e-07
CD9,40.256416026686765,-2.853638352372697,0.48285877181129583,-5.909881975775551,3.4235293206039282e-09,9.430876946380451e-06
RIMKLB,30.88110418831706,-3.872008390557019,0.6585671953929096,-5.8794431572725525,4.1164892825754916e-09,9.430876946380451e-06
CLEC5A,9.464617933987805,-1.8816282572067569,0.3261079251639317,-5.769955625153477,7.929240967885982e-09,1.3624418293070088e-05
TUBA1C,55.12510814081921,-1.693137478601609,0.31495519191354115,-5.3758043114475615,7.624156279293694e-08,8.545482262121533e-05
GDF15,9.863767327217703,-3.134431184271342,0.5912528879873441,-5.301337630571429,1.149572626313072e-07,8.545482262121533e-05
COX7B,190.105037607993,-1.1429006806432178,0.2157222331824023,-5.298019883174707,1.1706522172038886e-07,8.545482262121533e-05
TXN,329.7154624104241,-2.0295194769168483,0.37513667422005614,-5.4100801558162965,6.299654613345545e-08,8.545482262121533e-05
PTTG1,16.190555087199733,-2.311057064228134,0.43712013231564023,-5.287006690781612,1.243340937308531e-07,8.545482262121533e-05
POU2F2,85.8658127982444,2.329533261321942,0.4364353784259696,5.337636169009817,9.416617785608333e-08,8.545482262121533e-05
CIB1,93.17787261307808,-1.0943897151783382,0.20899496157328382,-5.236440663162073,1.6370283811167874e-07,0.00010228450966741529
CYCS,156.72734538439573,-1.0514200525628128,0.20440022843370617,-5.1439279721931594,2.6905272434811347e-07,0.000154099947870382
UFM1,51.73748647137672,-1.034260787775971,0.20197156669170532,-5.120823711560814,3.042039300182182e-07,0.00016083027777040107
CR1,47.66979137393733,3.221429967675064,0.6368481151493809,5.058396014753748,4.227976966689849e-07,0.00019372590461372887
POMP,152.17905952346493,-0.8547327487484737,0.16870962340468726,-5.066295161469293,4.0563279757969214e-07,0.00019372590461372887
MT1H,42.34111868076626,-6.697637182240586,1.3365568904308476,-5.0111126807939765,5.41162136134702e-07,0.00023246296010336295
SEC61G,131.11834582887556,-1.5168455342900238,0.3062319325646575,-4.953257230840086,7.298139526307494e-07,0.00029505948802536125
RXRA,37.645565159256115,2.1295509366563103,0.44625417589906496,4.772058283524003,1.8235271433591588e-06,0.0006962834475726388
CYTH4,40.17294518419481,1.8718427819660153,0.39701280637595227,4.714817134119016,2.4192792479014722e-06,0.0008369053018049382
PSMA3,41.43478875627689,-1.0969971151689064,0.23273665357504056,-4.713469487156671,2.4353420683979e-06,0.0008369053018049382
FAM20A,21.30713446207476,2.299824195376718,0.49061175621462105,4.687666298747733,2.76338127994567e-06,0.00090441521605079
KLF5,16.0162545483108,-2.973772573211392,0.6376831241161309,-4.663401712775807,3.1102476803255377e-06,0.0009716696503126101
ALOX5AP,175.73085022724374,-1.9730071804529017,0.42903361674466506,-4.598723977443279,4.250865412446675e-06,0.001201789259433964
NDUFB2,152.12284606912874,-1.0736282463284517,0.23375855857666994,-4.592893851098568,4.3714144457804595e-06,0.001201789259433964
IQSEC1,19.00909468807689,1.6208781894687998,0.35178295933200066,4.607608602038823,4.073264694962211e-06,0.001201789259433964
MT1X,66.78166553235815,-2.881516120120783,0.6329045086834633,-4.552844987808304,5.2925270790067765e-06,0.0013806751291261185
GLUL,176.3368579721109,1.262877747956408,0.2781653585870616,4.540025236683619,5.6247495439446115e-06,0.0013806751291261185
ZNF706,81.15839733583948,-1.0034427602053793,0.22094956404260085,-4.541501426144055,5.585500807573556e-06,0.0013806751291261185
C12orf75,36.93827510531185,-2.8163147436790363,0.6293218447488887,-4.475158088311393,7.635479598733591e-06,0.0018096086648998612
NKG7,33.308703364642156,2.7980330646455362,0.6286912288598111,4.450567999365959,8.564346962982545e-06,0.001962091889219301
MCTP2,16.660859417376052,5.655705349271822,1.2785979264625156,4.423365025250281,9.71753510724554e-06,0.0019643711409440766
ISG20,14.445209589088556,-2.351846912373708,0.5301953868175534,-4.435811723090315,9.172599206959854e-06,0.0019643711409440766
RPL22L1,73.21406687948598,-1.1705833888277613,0.26418302769132956,-4.430956065033316,9.381620429542967e-06,0.0019643711409440766
SPINT2,73.49538191421848,-1.1849798794778348,0.26753683054641475,-4.42922149095376,9.457385709968767e-06,0.0019643711409440766
SNRPF,85.96332022062877,-0.8691148506697869,0.1967928842145035,-4.4163936828247055,1.0036122808197016e-05,0.0019691564188623464
ID1,61.03683298239158,-1.9480742406792082,0.44169221267251935,-4.410479027674311,1.0314219566280296e-05,0.0019691564188623464
NDUFA4,225.12104784434416,-1.1294723522324084,0.257673196712244,-4.383352116726927,1.168669903398176e-05,0.0019791257094155354
CX3CR1,32.649175010797244,2.388964152698214,0.5439308200999153,4.392036752503531,1.1229371060802812e-05,0.0019791257094155354
OSTC,74.25337819315105,-1.3682587845590377,0.31184849578939905,-4.387575386873327,1.1462127040395977e-05,0.0019791257094155354
UCP2,115.35073479830649,1.0126311818704374,0.23035173886501473,4.396021435999819,1.1025305083084982e-05,0.0019791257094155354
SNX18,27.599858259430096,1.4272052554240047,0.3257614670037326,4.381135892317343,1.1806220585775782e-05,0.0019791257094155354
TOMM5,22.670692839810123,-1.3617991336835211,0.311749379470213,-4.368249701082848,1.252462485112409e-05,0.002049565395280378
ATP6V0B,167.5735095375753,-0.6851287945525928,0.15738800160322333,-4.353119599801572,1.3421388150938515e-05,0.002050803145219479
SUB1,213.61712343679417,-0.8309178356933348,0.19109452021939854,-4.348203364174678,1.3725730347751496e-05,0.002050803145219479
RPL39,2160.9032081487553,-0.7347195539072444,0.16884255818842556,-4.35150688185682,1.3520507710783958e-05,0.002050803145219479
LRRC59,26.84167507406443,-1.0584635462067449,0.24330266450845756,-4.350398497875682,1.3589034760254123e-05,0.002050803145219479
CAPG,111.32901859117342,-1.009096294321197,0.23469488895726442,-4.299609159809796,1.7109958474533796e-05,0.002449932179072308
S100A12,427.18263625666145,3.94476689162134,0.9174242585189901,4.2998284108918465,1.709304026191699e-05,0.002449932179072308
VNN2,22.93787091093901,4.746198357461667,1.1099756632093585,4.275948126410824,1.903255399880403e-05,0.002564916541838825
ABCE1,22.681563177331693,-1.0976023414126712,0.25656140564199637,-4.278127252484172,1.8847227182516693e-05,0.002564916541838825
RANBP1,58.69066807013525,-1.3676725561144278,0.31925910360128984,-4.283895245857924,1.8364940449943326e-05,0.002564916541838825
SPCS2,90.68848756180121,-1.0428205418608307,0.24628167661341666,-4.234259552722328,2.2930598249811437e-05,0.0029736226749236608
LINC01480,12.599540338506264,-2.640167411377352,0.6231829034908333,-4.236585112634092,2.2694491817770022e-05,0.0029736226749236608
ACSL1,88.55094479786057,2.4810585386822877,0.5866938912816323,4.228880810847404,2.3485671994209843e-05,0.0029892041410408193
SRP14,335.0059294113784,-0.9335344763289102,0.22114299536216384,-4.221406492211383,2.4278266664260274e-05,0.0030339004869720156
TMEM107,45.161168494636215,-1.5704916551961698,0.3725641992372487,-4.215358476234271,2.493817417574126e-05,0.0030607155555333874
MT1M,33.39570988732216,-4.690784595542925,1.114549293552154,-4.208682938188436,2.5686352146022284e-05,0.00309723330350195
FBP1,53.176097548706124,-1.8087110654472744,0.4312503700185311,-4.19410901692572,2.739462173884131e-05,0.0031912412747636667
UQCR10,152.3614317894815,-0.8652701020994391,0.20614595704460442,-4.1973663442364675,2.700369263652418e-05,0.0031912412747636667
NDUFB3,62.47184229730317,-1.0272007085059085,0.24521016665975676,-4.189062478519534,2.8010927861019088e-05,0.0032086517864797362
YPEL3,36.46968614638469,1.2329105458972751,0.2946548922506518,4.184252759151492,2.8610563898432627e-05,0.0032236132077693024
STAT3,76.64126355801717,1.0925412269864208,0.26181857005010406,4.17289433204582,3.0075444759219954e-05,0.003334008577905141
H2AFZ,200.49773723271184,-1.1972558761761212,0.28717863136928784,-4.169028421326201,3.059008459080306e-05,0.003337232561787134
HNRNPAB,103.1913609653046,-0.8300804699769556,0.19935593449702702,-4.163811185612508,3.1297896557250324e-05,0.003361100672468461
S1PR4,18.09474638958777,2.3356903874575443,0.5616615576408428,4.158537032992229,3.202923121051156e-05,0.0033867216324591685
PLCG2,167.7891515048836,2.057713435640488,0.49613812299728544,4.147460838545048,3.361829504226011e-05,0.0034401009526058286
HSP90AB1,714.7444783363379,-0.7511209493041182,0.18126016679029336,-4.143883141038472,3.4147380070860455e-05,0.0034401009526058286
SPCS3,88.21184097064169,-0.7173168375390943,0.17321106311006404,-4.1412876559927785,3.453615098644001e-05,0.0034401009526058286
CST3,1731.9359845282102,-1.1296852783638731,0.27262687988818174,-4.143704681017569,3.4173977500016924e-05,0.0034401009526058286
UBE2R2,62.500035005801266,0.9775329824362253,0.23653395374062008,4.132738522217299,3.5846645183751126e-05,0.003519628462113164
RNF149,75.28237569318112,1.6969323597384258,0.41221622490597537,4.1166073948823545,3.8449021008206084e-05,0.003649280640526069
PECAM1,58.702077500880925,1.728271615051101,0.42001866451126096,4.114749560146666,3.87600009833265e-05,0.003649280640526069
DDX24,98.20515023035573,-0.8537945045360354,0.20730099038740837,-4.11862240957193,3.8114408841952746e-05,0.003649280640526069
MT1G,217.40124354545486,-4.726181247421807,1.1499474532482497,-4.109910617282373,3.958122968058323e-05,0.0036762404269547093
SDF2L1,47.18844670530124,-1.4535051296628803,0.3545464311134787,-4.099618560813156,4.138316288659291e-05,0.0037923530469273744
TRAF4,12.607743764423876,-2.2374816775552193,0.5469926049391913,-4.090515406152444,4.304156174654059e-05,0.0038922240207917695
ATRX,84.37102937311117,0.8524215583277129,0.20854375212312704,4.087495068298338,4.360559429666321e-05,0.0038922240207917695
CD40,31.637676803149052,-1.7568558347648102,0.4302391880577812,-4.083439824939574,4.437392368209868e-05,0.0039099062938913335
USP53,17.836489587298257,-2.1716716886821006,0.5322089527190722,-4.080486954582334,4.494145165392338e-05,0.0039099062938913335
MCOLN2,18.295992793522025,-2.4780098003355318,0.6094046718977253,-4.066279624373161,4.7769614673573e-05,0.003971931228630051
ZNF609,16.522906279190604,1.935221302903807,0.4760313823896444,4.065322948224822,4.796599621363222e-05,0.003971931228630051
AKNA,31.86463531297787,1.5923778318299002,0.3912263233784001,4.07022159981226,4.6968439408828925e-05,0.003971931228630051
CHMP4B,65.78360393085053,-0.8571813247243633,0.21042462658861763,-4.073578927623152,4.62961519554872e-05,0.003971931228630051
LSM5,40.11790138876288,-1.0662332982437221,0.2635087676367211,-4.046291543944581,5.2035419660309974e-05,0.004257612372920362
CXCL14,39.43764184585595,-4.4026412321682695,1.0901155065069517,-4.038692419187409,5.3749991179778495e-05,0.004346161051513148
PDIA3,139.01345064713755,-0.7716447969551297,0.19140369806201266,-4.031504118092459,5.542102529560888e-05,0.004429171009961859
FPR1,78.30133201239737,2.3518807617683786,0.5854198650456917,4.017425615690057,5.8837399006281756e-05,0.004648154521496258
SMARCA2,45.69371737137552,1.0355113993682639,0.2582500255882519,4.009724285639608,6.078968769193586e-05,0.004747812767121309
FABP5,78.76723217112664,-1.57443036947091,0.39385893564116276,-3.9974473777214063,6.402921893931735e-05,0.004944638446853125
SETD5,25.599765994426996,1.2055095264501297,0.3017852627627391,3.99459375654765,6.480527353467949e-05,0.004948962722265023
GPR160,15.172004719596668,-1.8173650545023445,0.45666264126571204,-3.9796665859620846,6.901198748957787e-05,0.00521230098918537
UTRN,68.638939880097,1.1031791334574748,0.2774442944626503,3.9762184895317265,7.001979800641023e-05,0.005230935561935408
AGO4,18.67431189699645,2.0821601745798914,0.5245155707688745,3.969682294708056,7.196852824185114e-05,0.0052621244107047115
AQP9,49.035623730725774,2.5992922242854952,0.6546667840649335,3.9704049259167586,7.175058381210704e-05,0.0052621244107047115
EHF,10.21862529097714,-2.730534321194783,0.6891615187804305,-3.9621108358267767,7.429003651209029e-05,0.005374688641553649
NUSAP1,19.364513327645668,-2.0737050853693484,0.5242141020621746,-3.955836131099342,7.626742871049466e-05,0.005460271224241977
