,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LDLR,36.264371931920465,-1.8305240062331976,0.2245995050198777,-8.15016936956825,3.6341492644669317e-16,4.21016192288494e-12
SFN,9.190535616833923,-5.2391380899507825,0.6823830232696352,-7.67770872265766,1.619592289657207e-14,9.381488337839371e-11
NEU1,150.96953509858352,-1.4727289587387022,0.2265715564191977,-6.500061093343471,8.028739972500714e-11,3.1004317527140256e-07
AGR2,15.773026621499154,-5.794836332041617,0.9128737393838273,-6.347905610641208,2.1826592400225235e-10,5.057221459132187e-07
MUC16,8.607172890532912,-3.3165203585375074,0.5209606906847499,-6.366162395435784,1.9381622544227026e-10,5.057221459132187e-07
RAB11FIP1,171.16774623970426,-1.0843729279063121,0.17410550814522222,-6.228251704718219,4.716688620026488e-10,9.107139610501143e-07
KLHL18,31.324302997242604,-1.1472124659133298,0.1872272742206878,-6.1273789873215385,8.933849887781562e-10,1.4785521564278484e-06
SLC18A2,6.248295574097901,-4.3608390434018665,0.7353369437754026,-5.930395691820182,3.022055139255022e-09,4.376313598533679e-06
GPX3,57.895757175792774,-5.836133130059749,1.005628394524888,-5.803468917379811,6.495679892863574e-09,8.361383506536056e-06
RIMKLB,38.85697226097534,-2.6606531235125566,0.4666957618145221,-5.701044108838457,1.1907581706153111e-08,1.3794933406578379e-05
C2CD4B,13.324833832913885,-2.6724202808704227,0.4707858000723553,-5.676509955184922,1.374705585258692e-08,1.4478149277474499e-05
CDH1,8.300342300587007,-4.065376640725491,0.7211258936637663,-5.637540790652875,1.724957537345727e-08,1.6653027558458538e-05
PLA2G2A,1.6795563510496132,-4.547238402238056,0.8087691725761093,-5.622418059968944,1.8830289122827288e-08,1.678068457599647e-05
ELF1,208.33147802377405,-0.7116258518863112,0.1288769536709171,-5.521746376031075,3.356467465571112e-08,2.777476827760095e-05
GDF15,10.547249557007788,-3.6497009550553403,0.6692520124715938,-5.453403033599769,4.941489692856525e-08,3.81647720611619e-05
RHPN2,3.937963218975886,-3.3249815771156115,0.6318579258980127,-5.262229752661664,1.4231876454632755e-07,9.698605219230616e-05
GLA,22.592863690404286,-1.6478472305066483,0.3130995579430434,-5.263013596481704,1.4171309396974426e-07,9.698605219230616e-05
PERP,42.063181773543846,-2.052345549456884,0.3968871766108488,-5.171105720730367,2.32712854472749e-07,0.00014977657883704428
ANKRD28,55.212466361142106,-1.331918352145262,0.2623532114578462,-5.076813600809568,3.838170715764274e-07,0.00023402740916910058
CWC25,55.250118911622614,-0.6870040476712116,0.13730508338109218,-5.003485892539187,5.630278819981732e-07,0.00032613390064744187
MT1G,143.6387827235061,-3.986078730314864,0.8013504227336223,-4.974201818871293,6.551702534417649e-07,0.00036143558981537364
ZNF165,5.635248042138033,-1.9334411701209098,0.3907021810710936,-4.948631627344547,7.473704068523928e-07,0.00039355846197204413
KRT18,30.50604585260064,-2.646404749525767,0.5384128517845825,-4.915196100453757,8.869363466640024e-07,0.0004467459815696725
PAEP,903.4437044337781,-6.368495635548871,1.315080423102546,-4.842666291483737,1.2810834195994094e-06,0.0006183896423357983
SGMS2,4.654661429539293,-3.5300629557969843,0.7308903951642868,-4.829811664173683,1.3666225103689043e-06,0.0006332928713049502
TNFRSF12A,13.04307876104752,-2.399894365603541,0.4993964330059937,-4.805589721892824,1.542960231172798e-06,0.0006823177800242936
TST,9.734945596946705,-1.3192230011196717,0.27486378143961554,-4.799551960648151,1.590209759227961e-06,0.0006823177800242936
EIF4A3,150.02670859440013,-1.225771788834868,0.2561987653937365,-4.784456267582137,1.7145082052473477e-06,0.0007093777699210901
SDC4,16.068827622007497,-1.925183120637572,0.4045840599940422,-4.758425531312138,1.95108846816397e-06,0.0007794262035751583
MAL2,3.2902250946369382,-3.5477205547147515,0.7491171380125571,-4.735868897789498,2.181185605916456e-06,0.0008423011748180714
EZR,258.352185339633,-1.1478708303205662,0.24315760094388067,-4.720686607635547,2.350498539785616e-06,0.0008509539244817613
SPA17,6.692873516155325,-1.634819400310408,0.34592210534185747,-4.7259755160624906,2.2901324354790432e-06,0.0008509539244817613
MET,5.928511967827166,-3.637714449777111,0.7721808857870227,-4.710961533409983,2.4655077357562845e-06,0.0008655426399617138
HSPA5,354.3467760806947,-0.9563572875286689,0.20344051524159387,-4.700918528410901,2.5899384010420758e-06,0.0008824834228256602
SIK3,64.32476354858537,-1.134509625086699,0.243784513655676,-4.653739518044585,3.2596855119958816e-06,0.0010661767125136922
PTS,20.77932421486956,-1.0640130848380824,0.22880091822251708,-4.650388176341546,3.3131084722048273e-06,0.0010661767125136922
JUP,9.030841507367638,-2.50020468311307,0.5402853871249353,-4.627563030008294,3.6999364583944343e-06,0.0011353307319902515
INSIG1,40.52628159389162,-1.123281818131923,0.24280771057210052,-4.62621971717974,3.7240024010038468e-06,0.0011353307319902515
RABGGTB,36.61675326072239,-0.7572916319735217,0.1641071572331145,-4.614616722034784,3.938214009601966e-06,0.001169851520544584
MED31,21.646771553538255,-1.0086794033103492,0.21913526559641133,-4.602998976751041,4.164502758398097e-06,0.0012061441114010487
HMGCS1,42.21599075127063,-0.8682373701745376,0.19030777494656884,-4.56228007719761,5.060108474833911e-06,0.0014094867345928962
PAX8,10.606607657206405,-2.690693214457292,0.5900353881798603,-4.560223451609462,5.109921696409292e-06,0.0014094867345928962
DEPTOR,4.112848762350887,-2.8071314185639324,0.61698916900481,-4.549725602301534,5.371591605427057e-06,0.001411377921755362
MFSD2A,6.448710725357447,-1.916898115210194,0.4211109546731766,-4.552002492307271,5.313770598362484e-06,0.001411377921755362
MTCH1,71.64336024499971,-0.7682836729531966,0.16902323587275905,-4.545432283236854,5.482262104358333e-06,0.001411377921755362
KRT8,19.72187179551976,-2.2839180554387326,0.5040400552092646,-4.531223326071789,5.864310377194234e-06,0.0014769138199955479
ELF3,34.48305799904988,-3.194589567864871,0.7075058130276852,-4.515283845081092,6.323201424071681e-06,0.0015586018829334134
CYP51A1,6.046615907702256,-1.6228970823788007,0.36057278744286164,-4.500886198007868,6.767073146606336e-06,0.001567930848068688
FOXJ1,3.290105090268023,-2.1739693202332924,0.4828814695617226,-4.502076507939828,6.729274742694448e-06,0.001567930848068688
C2CD4A,8.280579099535082,-3.170695065080052,0.7044331676647597,-4.501058738604125,6.761581545138083e-06,0.001567930848068688
CPNE7,20.685901778186533,-1.2527391340683387,0.2804644397817,-4.4666594276387075,7.945045925898066e-06,0.0018047717068927274
SFRP4,58.46878346142009,3.0337258404777323,0.6800371146348896,4.461118040750663,8.153316259192869e-06,0.0018164647858221036
IER3,199.43919606369826,-1.5719418619224261,0.35284839777467725,-4.455006376212144,8.389070148146691e-06,0.0018337241069109325
SLC1A1,6.510013935576247,-4.749224265033719,1.0704888032718227,-4.436500643928526,9.143306170503842e-06,0.001961577814542352
KLF5,18.4604865455414,-2.3227803261171123,0.5251359323984173,-4.423198228901301,9.72504354462931e-06,0.0019765724467461503
ZNF675,16.221468066768765,1.0060157269257437,0.22719415889227487,4.427999961930142,9.51109184553797e-06,0.0019765724467461503
PHYHIPL,3.808310095838083,-3.7198193033239124,0.8403950761545438,-4.426274509299789,9.58745030863361e-06,0.0019765724467461503
TNFAIP8,74.93453410838663,0.8943388885907534,0.2025876635486534,4.414577239921468,1.0120757644481508e-05,0.002021534091574453
AP1M2,4.14939175731321,-3.149477899514498,0.7157698641982623,-4.400126433154943,1.0818782458766053e-05,0.00212433211499669
ABHD2,33.89274910997068,1.0633416342956121,0.24268786789745875,4.381519535805138,1.1785447431919685e-05,0.0021776441313143715
TNRC6C,53.69692767955453,0.8692741797856309,0.19819719214295353,4.385905624528981,1.1550419658155487e-05,0.0021776441313143715
POMC,14.233772818836753,-1.2892235114717618,0.29444798185788,-4.378442342641105,1.1953055401307544e-05,0.0021776441313143715
HMGCR,16.992045680485404,-1.01179389014924,0.2311593447508659,-4.377040829734614,1.2030144532077667e-05,0.0021776441313143715
TGFB1,201.80245602267723,-0.9400845727699042,0.21424916241263622,-4.3878097920370625,1.1449784005531536e-05,0.0021776441313143715
CLDN4,79.34784621748689,-3.5633336034585934,0.8161674920347486,-4.365934245402269,1.2658055731976368e-05,0.0022560550100760956
S100A8,18.096370529155312,4.84034816310605,1.112551337175103,4.350673988129174,1.3571971400970371e-05,0.002382292252730936
SLC44A4,6.189109767632632,-2.1937914901377527,0.5065403398178981,-4.33093145340887,1.4847990271316635e-05,0.0025673726461672122
PIAS1,40.69080311514658,0.6289723099413227,0.14618811420852595,4.302485967115922,1.68892370744945e-05,0.0028773795810002763
MAP1LC3B,204.35100300265677,-0.8265226217107751,0.19228466254751098,-4.298432390605009,1.7201035275981196e-05,0.002888028893800611
CXCL8,110.12151690287537,-3.1696725577072673,0.7393072337112936,-4.287354990151569,1.808132161010049e-05,0.0029910604513313133
TNFRSF18,138.63850591535666,-1.2936279180674422,0.3019457412526943,-4.284305891186,1.8331056715107746e-05,0.0029910604513313133
GLG1,66.33873490894702,0.697230799912902,0.1643448512824935,4.242486420912738,2.2105692066749007e-05,0.003460735710720098
DSP,10.607896845615974,-2.50941591541983,0.5908163668933522,-4.247370343876751,2.162942611642981e-05,0.003460735710720098
PNO1,24.07166232348105,-0.8605150524998733,0.20275437474374014,-4.244125699322011,2.194473235434458e-05,0.003460735710720098
HMGXB3,24.393113609761368,-0.6687455697649709,0.15812871722527574,-4.22912157576193,2.3460554629710813e-05,0.0036078283945351996
EIF4B,141.6780593040554,0.5456540009989975,0.12916004592039204,4.2246346159965915,2.3932875939618003e-05,0.0036078283945351996
EXOSC4,11.967727268879157,-1.0070611284868387,0.23856721781107434,-4.221288816321564,2.4290946462990554e-05,0.0036078283945351996
PNP,56.45980029198895,-1.0879399580980804,0.2576581322995803,-4.222416534608454,2.4169691378076743e-05,0.0036078283945351996
