,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MEF2C,30.70605666162253,5.857877659699387,0.639085809623503,9.166026801863067,4.9077491645016563e-20,6.834531486485006e-16
MYH11,43.659306082032316,4.620059779018233,0.687513993943827,6.719950167873548,1.8178672006956723e-11,1.2657809318443965e-07
NDUFA4L2,30.860323849137487,6.1899410152030825,0.9479876036531153,6.529559027301465,6.596361171508112e-11,3.0620308558140653e-07
MAP3K7CL,18.42483894601059,4.4213061820591495,0.7097351160834985,6.229515888204966,4.678787075339418e-10,1.6289197202794185e-06
GPNMB,18.62550950974726,3.5092150403454117,0.593611218365762,5.911638681638187,3.3872090718490333e-09,9.434054706913927e-06
LINC00621,21.957550159494907,4.390710812417476,0.7468109904983193,5.879279855653593,4.120552082184007e-09,9.563801382749079e-06
AQP1,10.460496519963257,4.9235746423597355,0.8811886583002764,5.5874239823476755,2.3046258514388457e-08,4.584888515305338e-05
NEURL1B,6.3177721307995744,5.138379966211082,0.9299760402492223,5.525282097411949,3.289566235926895e-08,5.7263124251897424e-05
SRGN,19.614610641718254,4.693664183375818,0.863020404740101,5.438647982824133,5.368640822002102e-08,8.307076898577919e-05
GNLY,46.45939017613101,4.379928341627962,0.8200064267044831,5.341334163965542,9.226499789071338e-08,0.00012848823606260746
GUCY1A2,12.056759876115688,4.385595960791217,0.8285418707006097,5.293149466402687,1.2022757646649226e-07,0.0001522081118065792
LGI4,13.20939818210558,5.828419358940604,1.1083006202996688,5.2588794521875135,1.4493585805242862e-07,0.0001552597507106247
ESAM,14.389585015434836,3.951509941181716,0.7509684500941078,5.261885423663978,1.4258561593202025e-07,0.0001552597507106247
HIGD1B,13.070525322771656,5.639523898448787,1.0801942890042455,5.220842172427577,1.7811128802833483e-07,0.0001771698426487565
TAGLN,282.35269502216784,4.6008754073755584,0.8890550911913442,5.175017221047947,2.2788996053473433e-07,0.00021157303936044736
NOTCH3,48.828380268783874,3.1210792155422733,0.6447348384942242,4.840872602497396,1.292702294360457e-06,0.0009474827448033539
MRVI1,11.355483749496585,4.448585316531904,0.9186329445621334,4.842614607788014,1.2814167980437504e-06,0.0009474827448033539
DKK3,5.216871247695726,5.432718694092837,1.117635945376099,4.860901903315804,1.1685215076777584e-06,0.0009474827448033539
MCAM,45.4518183713623,3.646832258616217,0.7503944533233092,4.859887013377177,1.1745276532234157e-06,0.0009474827448033539
SOX18,10.308698095655974,4.063542690043458,0.8433508818650287,4.818329804857895,1.4476493662666066e-06,0.0010079982537314382
DPYSL3,6.249427621675258,4.475913566839688,0.9342544165099328,4.790893666374337,1.6604010841128234e-06,0.0011010831189216751
PCAT14,15.563988125325073,3.487466349526664,0.7296411638296766,4.779700656171804,1.755563831081412e-06,0.0011112719050745338
MRGPRF,11.438264645945184,4.2480992499991,0.894153799557026,4.750971535437927,2.0244163123603553e-06,0.0012257400680839264
DIO2,83.23117429067437,3.55152588776574,0.7489973217788888,4.7417070588860994,2.119249098204672e-06,0.001229694289233261
GJA4,7.330271219179292,4.479964458101324,0.9517553567964943,4.70705462922783,2.51321575053444e-06,0.0013999617016777046
FRZB,12.835441209835626,4.420982027213811,0.9430837799097347,4.687793514630223,2.7616645116821384e-06,0.001479189999603287
FXYD5,25.382827569458378,3.46595683377309,0.7459885632514736,4.646125965613111,3.382265236915621e-06,0.0017444972477513683
LRRC32,8.149476065428312,4.895421111155306,1.0623016056120957,4.608315647169314,4.059440761835816e-06,0.0017987664351847015
SERPINI1,14.147232584319527,3.400185236087409,0.7376113972703202,4.6097243733902165,4.032031689705123e-06,0.0017987664351847015
PRRG3,6.2825154248962924,4.880130903457366,1.0576796944775322,4.6139969680216195,3.9499818811443845e-06,0.0017987664351847015
EFHD1,18.063030054751383,3.4888436251962376,0.7576925426578842,4.604563762707549,4.1333136525858426e-06,0.0017987664351847015
TNS1,15.052024970227931,3.0831096163330067,0.6669195074460627,4.622911133818281,3.7839185415392433e-06,0.0017987664351847015
GRAP,8.845612981823376,4.337251446389143,0.9605742106961633,4.515269510770831,6.323629163179643e-06,0.0026685715068618093
ZEB2,25.411858334054205,3.566456351285263,0.7920575388154777,4.502774327000156,6.7072094294142086e-06,0.002747194073941831
TCF4,52.816327692043984,2.7266488924730483,0.6065181637669148,4.495576646111625,6.9381659771932155e-06,0.0027605971256683634
ACTA2,207.74631557545163,3.961308960372534,0.8848772363572905,4.4766763089982575,7.5814061817381e-06,0.002891530894843761
BGN,24.871861690530523,3.8707986107714394,0.8652060596186459,4.473845932699037,7.682510635445867e-06,0.002891530894843761
MGP,134.13008023868528,3.0879228380071715,0.692384879881476,4.459835747042554,8.202248860765308e-06,0.0030059083588162548
RRBP1,735.36678449154,-1.804012957567025,0.4075209867715117,-4.4267976769954585,9.564236314298703e-06,0.003329788872823093
HSPB2,6.9738706305642015,4.5729376103358685,1.0320825765659896,4.430786561237411,9.388998624132721e-06,0.003329788872823093
FDPS,250.9131711149728,1.1597086450693401,0.2647654817767983,4.380135345766083,1.1860561756739951e-05,0.0040285410493746485
CSPG4,6.352084203026882,5.6648018503753965,1.2962873557398045,4.370020138893074,1.2423507831156803e-05,0.004119280239444991
FILIP1L,14.309520130433834,3.4178538710057196,0.799566495220305,4.274633681422577,1.9145180698447068e-05,0.00612814031127615
CAV1,78.66711481935778,3.470618450780604,0.8123876034897889,4.272121381310845,1.9362212673858293e-05,0.00612814031127615
CCL2,19.662759755299575,3.5466898559337814,0.8362479730953373,4.241193964041378,2.2233389190241817e-05,0.006880492841406834
PTP4A3,14.32997754394753,3.34948691412434,0.8017797751345698,4.177564735356621,2.9464681914718585e-05,0.00892011218139937
RGS1,6.16922943442676,4.5806686514651895,1.1030350617623332,4.152786081112052,3.2845175045293596e-05,0.009573472688189236
CTSW,4.617466757538909,5.3328303391141185,1.284485207606665,4.151725771175356,3.2997751618058546e-05,0.009573472688189236
ORM2,26.78559016818956,4.806460534722302,1.159712331442666,4.1445282630936005,3.405139590029309e-05,0.009677545700152685
ARPC1B,242.78681596883155,1.7610310138190097,0.42571761698507626,4.136617662878498,3.5246265967555164e-05,0.009816789997283464
AOC3,9.89281790397349,3.651675108118318,0.8871432928785593,4.116217906883498,3.85140199197397e-05,0.010516592968672451
VIM,867.4541822747901,2.4410820895270353,0.5949441340377238,4.103044218555574,4.0774928171511044e-05,0.010919839417624285
GJC1,8.867819871999892,3.2654436532542865,0.8170037356821679,3.9968527812516816,6.41901929200095e-05,0.016553937529704674
GSTM5,4.7166045721062755,4.329589274988582,1.08214049829584,4.000949305387645,6.308887400643404e-05,0.016553937529704674
SFRP4,35.90967963598237,3.223283092517803,0.8130678926586227,3.9643467927113694,7.35971957275837e-05,0.01863480995822419
NLRP1,6.11289560424547,3.5770717520715833,0.909452554888584,3.933214253831863,8.38174645218229e-05,0.020223671785220495
SULF1,8.761152227134474,3.2335946240581577,0.8209786679196999,3.9387072410198565,8.192181627142876e-05,0.020223671785220495
MAGEH1,11.41781911486708,2.9487770871869663,0.7507209547308545,3.9279269728712314,8.56812175303755e-05,0.020223671785220495
HOPX,45.1108210025568,3.3561135268855926,0.8541645369832691,3.9291183157037697,8.525788581147533e-05,0.020223671785220495
AIF1,4.265048130535057,4.701165972924253,1.19988921245445,3.9180000321093957,8.928669438747945e-05,0.02072344176733398
HBA1,125.23195550660617,6.002700648713456,1.5508079349761614,3.8706925037791535,0.00010852661686498063,0.024776092892815085
PLAC9,27.437332052545354,2.9586999402631236,0.7654526316553294,3.8652946216473087,0.00011095518163747447,0.02492196547553983
RNASE1,29.498079251821686,3.3465531274433307,0.8720219314093015,3.837693763085595,0.00012419522878906952,0.027453059620898126
FXYD1,22.5016915954175,3.511733637052037,0.9160594674550993,3.833521470836352,0.0001263217694598184,0.027486827523397362
ADAMTS8,49.517892687800895,3.9931722418762554,1.048678132664435,3.8078149219442388,0.0001402001369464889,0.030037340109489295
C1orf54,14.017091563322895,3.0047007242031047,0.7911255084924972,3.798007638419613,0.00014586382964959242,0.03071141421316579
TGFB1,25.577982728865024,2.4567761334788596,0.6474043939568422,3.794809174005444,0.00014775705531251673,0.03071141421316579
TINAGL1,69.21503090276748,2.4495680308183636,0.646747733485681,3.7875169930883055,0.00015216028133761882,0.031161530557465875
MMP11,15.452226666510194,3.4660201861089432,0.9177768278902775,3.776539220407638,0.00015902252868832975,0.03163639620733829
MSRB3,7.203469336911263,3.8006800839172272,1.005982701128512,3.7780769785142643,0.00015804403155779192,0.03163639620733829
NKG7,10.724345509675656,4.228301186183642,1.1216315327703543,3.7697773846817793,0.00016339322250963923,0.03204808474182022
EGFL6,5.522342163791233,4.697060926587473,1.2593178159795686,3.729845529846517,0.0001915971959003735,0.03705809097373058
MTA2,38.93007408167895,1.8817768665820738,0.5063965355450569,3.716014495550674,0.0002023899761804733,0.03860935353820919
PARM1,22.64342996662282,3.1990975051790227,0.8625503090060157,3.708882220291119,0.000208176229042617,0.03917651575199303
SLC15A2,24.4383780770596,2.7083858591011842,0.7324822154061018,3.697544871583817,0.00021769474740985115,0.040421560699061165
ICAM2,7.127375092859079,3.8253555541639166,1.0362872515250738,3.691404626018753,0.0002230190231877665,0.04086530153832679
HOTAIRM1,8.364031480555044,3.4618720540486376,0.9386913996571068,3.6879767464719713,0.00022604430208304516,0.04088172663387645
GREB1,49.30462681167392,2.321067491964756,0.6301366333732767,3.6834352567942434,0.00023011174878631295,0.04108379761023326
CDH6,11.067043914307392,4.475883799251665,1.2180877577550888,3.674516692870003,0.00023830006507810745,0.041800212525314434
PDGFRB,27.49351501945305,2.6841831167440264,0.7308741363805896,3.672565470761557,0.00024012760319008723,0.041800212525314434
SOD2,3784.6345024504667,-1.303005351293687,0.356786091288597,-3.6520631916666075,0.0002601418474759101,0.04472512799937684
HOXD10,6.684681321727411,3.654419345247151,1.0016618978531424,3.648356149993977,0.0002639236086800309,0.04482195334729403
FAM43A,21.747655657820623,2.52157670927445,0.6928811093056808,3.6392631800876485,0.0002734192545305184,0.045329006411809515
FNDC4,7.717821750812141,2.960459904057736,0.8129604903169869,3.641579067272264,0.00027097087464937505,0.045329006411809515
MAP3K12,41.48432796997229,1.896332469295731,0.5233841739647829,3.6232132411082993,0.0002909657509062684,0.047670459377890516
SERPINA1,104.28712640935751,2.005103501002399,0.5549881982758407,3.6128759264279364,0.0003028196231462726,0.04903565199924409
CARMN,13.229270205424513,3.389424156574108,0.9416318609424384,3.599521529764063,0.00031880323861016845,0.049329487787613396
ENPP2,9.497518136044526,3.4993604077512845,0.9715062343774185,3.601994803454679,0.0003157846784703936,0.049329487787613396
GPX2,20.185616284860835,3.4024489336315327,0.943348450349927,3.606778526396501,0.0003100220549308836,0.049329487787613396
ANGPT2,13.199583619981844,2.590495533487247,0.7196374924711543,3.5997228612864185,0.0003185565129860724,0.049329487787613396
PGF,7.203323902501125,3.6168977880345214,1.0065823637750038,3.593245737457594,0.00032658432238859747,0.04997816784157812
UBXN4,601.3581827086716,-1.1504773182838868,0.322421430869231,-3.5682408429931636,0.0003593860834316275,0.05440011519422657
TXNRD1,152.81544998953515,-3.5869789256783218,1.0080133024931373,-3.5584638782113123,0.000373030079532239,0.05585824610285979
CD34,11.608546726439307,3.5396067297865743,0.9961093931268558,3.5534317357208187,0.00038023986824158636,0.056332131969492896
MUC16,1001.1053109673417,-3.3608826622386987,0.9477357491221922,-3.546223370123583,0.00039079480252823123,0.0572864044211384
TGFB1I1,35.5189095542565,2.8909202157818323,0.822718591341119,3.513862754783898,0.0004416409338860319,0.0640655379718425
