,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NPNT,32.53494668061801,3.8831357805922893,0.48921364814837304,7.937505004796141,2.062887237243883e-15,2.6270868966300847e-11
ITIH5,50.00059990425444,5.297969870493548,0.7217358497210209,7.340594031100741,2.1264791174062688e-13,1.3540355780084417e-09
KCNMA1,59.58953418150043,4.998162477826727,0.6959755365826629,7.181520348212816,6.894042086063351e-13,2.9265208655338925e-09
SORL1,15.871925053346251,3.886364850490407,0.5675396429758026,6.847741648694142,7.502489506225083e-12,2.3886050965444106e-08
P2RY14,77.71606942006488,-2.2809079504202945,0.34954920190926025,-6.525284389041166,6.787262893511505e-11,1.7287158589773805e-07
COL4A6,18.308945913738768,3.201606354158263,0.49581263128607295,6.4572908234582815,1.065939350717576e-10,2.2624562718980552e-07
NDNF,15.782994214612035,3.4649486902790865,0.5409214177848313,6.405641515303024,1.497384216194329e-10,2.724169713319254e-07
NT5DC3,21.667537469793043,2.0752529228573002,0.33264016800241647,6.238732187154932,4.411314814154869e-10,7.022261769782782e-07
PTGIS,8.355119191993593,5.118339869964468,0.8688465038344705,5.890959850072201,3.83958842643856e-09,5.4330176234105615e-06
SPARCL1,1502.367938450571,1.3694432013580573,0.235293726594793,5.820143278687663,5.879720282945381e-09,6.807112527573584e-06
SNCG,89.34294924171249,4.236328869195305,0.7270974737310543,5.8263561932856875,5.6650638430303965e-09,6.807112527573584e-06
IRF9,73.76559883475306,1.3448874034218086,0.23255587460835372,5.783072157118057,7.334858171064792e-09,7.784118234042511e-06
CPED1,77.04618548547688,1.9968183121117262,0.3487887289112634,5.72500813986952,1.0342878169328005e-08,1.0132042575876319e-05
EPHA3,19.870135470691856,2.951443377326961,0.5168619493587592,5.710312745963689,1.127687520500566e-08,1.025792898112479e-05
SCN3A,7.2955011901026054,3.621543824860482,0.645204808153337,5.613014315912846,1.9883214252484778e-08,1.6880848900359578e-05
COL4A5,65.95129004865912,1.6548450641093646,0.296289515749129,5.585229905706609,2.3339125190132157e-08,1.8576484956020812e-05
HIF3A,14.395459554903972,4.842643080849216,0.8737858076118897,5.542139776891613,2.987976364600855e-08,2.1275215406878914e-05
PGM5,55.13594182493301,2.435338057176193,0.4395105503971817,5.541022974250334,3.007097584011154e-08,2.1275215406878914e-05
TMX4,63.95271797553675,0.8166364594331283,0.1477310085374589,5.527860856822491,3.241589805094985e-08,2.1727182193623494e-05
HES5,42.400275726663104,-2.7320493495648823,0.4991079583954899,-5.47386452892427,4.4032572981355085e-08,2.6702610329407476e-05
KCNK17,29.380727137089078,-1.8811554439712168,0.3432056607461156,-5.481131750221307,4.226136091585455e-08,2.6702610329407476e-05
ANGPTL1,44.72553397938604,2.149174633650346,0.39547823921669967,5.434368874270021,5.4990717679629986e-08,2.776589384332672e-05
ANGPT4,5.3505674016363995,3.8177848395162584,0.7049470555355519,5.415704356146105,6.104790165788364e-08,2.776589384332672e-05
ATP1A2,38.00392098198532,2.1081110183433642,0.3864905220489739,5.4544960305035275,4.9111932154216153e-08,2.776589384332672e-05
TGFBR3,56.637449988217,1.6457336268405285,0.3032758006457362,5.426524712279797,5.746187259387157e-08,2.776589384332672e-05
MIR4435-2HG,210.8054176566331,-1.4248649388560268,0.2616231817235812,-5.446248797484133,5.1443168123869695e-08,2.776589384332672e-05
ABI3BP,43.29678330765188,1.5947632173442432,0.29392411172654487,5.425765201692424,5.77067774036957e-08,2.776589384332672e-05
TIMP1,1080.4982185341369,-1.5598641988698925,0.28795966046281624,-5.416953875979845,6.062297137063483e-08,2.776589384332672e-05
CLU,178.70362243555857,3.6303079718075306,0.6739153661617687,5.38689003707344,7.168726224692454e-08,3.1480596024640826e-05
FHL1,189.9197411399882,1.9030440025828883,0.35696070002577124,5.331242353697467,9.754313828015251e-08,4.140706219992474e-05
CSGALNACT1,5.198604401457149,3.2661275255590945,0.6142982427840852,5.316843347551426,1.0558289217405062e-07,4.337413328504951e-05
AKAP6,19.45041805798875,2.979925208904435,0.562022774984547,5.302143154227814,1.1445103475578933e-07,4.554793523796803e-05
TMEM51,14.80855545103213,1.5685857728729002,0.29653719503343884,5.289676300795992,1.2253302230443945e-07,4.728660724384959e-05
MT1H,94.66028696143826,-5.719558037329812,1.0911843976552205,-5.241605405667659,1.591855010715052e-07,5.9263951224805e-05
AHNAK2,22.144674769269685,2.406576720877479,0.4595005986782393,5.237374505713453,1.6287697627547507e-07,5.9263951224805e-05
MT1G,427.4044784521994,-4.627254211236771,0.8912313072817305,-5.191978977208475,2.0807050251021872e-07,7.360494026298987e-05
SRL,5.528635302792714,3.9463778886584984,0.7622870489234783,5.177023398510674,2.2545395028265556e-07,7.759881234728698e-05
MT1A,23.24565546517749,2.947706145868814,0.5724230181538684,5.149524132302564,2.611481738655826e-07,8.75189998467946e-05
SPRY1,119.62548068049752,-1.1719577586764391,0.22800350853209958,-5.140086511043512,2.746120032900854e-07,8.967138107433943e-05
AHNAK,537.4832071477521,1.1236934530088154,0.22085603500981496,5.087900147074894,3.6204989892372706e-07,0.0001152676365698416
RERGL,181.714563249692,4.197250279169224,0.8291463972195885,5.062134133663295,4.145891594191118e-07,0.00012877543768786317
EIF4B,382.4443566528939,0.749645110146065,0.1485410051193809,5.046721674890936,4.494553505660941e-07,0.0001362812830823621
FLNC,24.16797458763214,2.8102428656310523,0.5592690565183915,5.024849547596306,5.038273569923541e-07,0.00014921491607668909
PGM5-AS1,10.090613490761193,2.6536519480639176,0.5286503339514388,5.019673265368029,5.17594413279622e-07,0.00014980829211627241
ARHGAP5,126.33295285958225,0.8887476386977561,0.17725114933582364,5.014058538000882,5.329376112527089e-07,0.0001502729311004638
PALLD,594.279566206687,1.1431898410347738,0.2281574104181853,5.010531277241634,5.427997511284913e-07,0.0001502729311004638
PLA2G2A,6.300502375849869,-4.216844611606327,0.8425891293846167,-5.004627361720287,5.597019653002334e-07,0.00015165541549145686
ALDH2,55.93199884858504,1.3242881013004513,0.2660984066835227,4.97668557209912,6.468226361625006e-07,0.00017161013065686344
ARHGAP6,41.7572705145109,1.082559195692971,0.21865452914240197,4.951002844253633,7.383202447970739e-07,0.00019188792484674974
TNS1,247.4061927254673,1.4952417226303738,0.3022995251752339,4.9462258393016905,7.566616917200502e-07,0.00019272173288109677
FOXC2,12.924137855589375,2.6728594071609804,0.5408178938806592,4.942254014529322,7.722450881839727e-07,0.00019283414113770378
DKK3,55.80969685613697,1.3829969494833145,0.28082445275099055,4.9247739501859895,8.445793044694155e-07,0.00020684072004650014
CBX7,22.518692391676662,1.7724279010573374,0.36033907428959916,4.918777971974428,8.708618127891418e-07,0.00020925330539376834
PEG10,28.392915950417517,1.930284635035403,0.39377054692645647,4.902054381928971,9.483957162195046e-07,0.00022366332307509985
NFIB,119.04181277791706,1.5895599674895728,0.32473923610740557,4.894881156165051,9.83651539453365e-07,0.00022735468095805563
