Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Translation (GO:0002181),-0.7511729918602412,-2.828453443631467,0.0,0.0,0.0,56/86,14.11%,RPL17;RPS7;RPL27;RPS18;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS5;RPLP0;RPL10;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPL13;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;ETF1;EIF4A1;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.6932525000131325,-2.7717552555792855,0.0,0.0,0.0,60/120,14.42%,RPL17;RPS7;RPL27;EIF5A;RPS18;RPL10A;RPS10;RPL28;RPL12;RPL26;EEF1B2;RPSA;RPS5;RPLP0;RPL10;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;MRPL51;RPL39;RPL13;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;COPS5;RPLP2;INHBA;RPS27A;RPS14;FAU;RPS8;MRPL18;RPL18;RPL30;RPL3;RPS23;RPL36;RPL6;MRPL52;RPL19;RPL9;APOE
prerank,Peptide Biosynthetic Process (GO:0043043),-0.7020426661879189,-2.7424347137670377,0.0,0.0,0.0,56/108,14.11%,RPL17;RPS7;RPL27;RPS18;RPL10A;RPS10;RPL28;RPL12;RPL26;RPSA;RPS5;RPLP0;RPL10;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;MRPL51;RPL39;RPL13;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;COPS5;RPLP2;RPS27A;RPS14;FAU;RPS8;MRPL18;RPL18;RPL30;RPL3;RPS23;RPL36;RPL6;MRPL52;RPL19;RPL9
prerank,Translation (GO:0006412),-0.6740458491697586,-2.72726205982436,0.0,0.0,0.0,72/140,17.96%,RPL17;RPS7;RPL27;EIF5A;RPS18;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;EEF1B2;RPSA;RPS5;RPLP0;RPL10;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;MRPL17;MRPL51;RPL39;RPL13;RPS24;RPS3A;RPS19;MRPL21;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;COPS5;RPLP2;MRPL47;RPS27A;RPS14;FAU;ETF1;RPS8;MRPL18;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;MRPL52;RPL19;RPL9;MRPL54;RPS15;MRPL36;GADD45GIP1;MRPS7;RPS16;AURKAIP1;RPL5
prerank,Gene Expression (GO:0010467),-0.5789007336243971,-2.3828419131992797,0.0,0.0,0.0,73/167,17.96%,RPL17;RPS7;RPL27;RBM3;RPS18;RPL10A;RPS10;RPL28;RPL12;RPL26;RPSA;RPS5;RPLP0;RPL10;RPS2;EIF4A3;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;MRPL51;RPL39;RPL13;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;COPS5;RPLP2;RPS27A;RPS14;FAU;RPS8;MRPL18;RPL18;RPL30;RPL3;RPS23;HNRNPH1;FYTTD1;RPL36;RPL6;MRPL52;XRN2;RPL19;RPL9;RBM39;HNRNPL;HSPD1;NXF1;RPS15;MRPL36;RBM8A;XPO1;MRPS7;RPS16;MAGOH;RPL5
prerank,Ribosome Assembly (GO:0042255),-0.7514732052022808,-2.210761347224715,0.0,0.0,0.0,17/24,19.63%,SBDS;RPSA;RPS5;RPLP0;RPL10;C1QBP;RPS19;RPL11;RPL23A;RPS28;RPS14;RPL6;RPS15;MRPS7;RPL5;BRIX1;RPF2
prerank,Ribosome Biogenesis (GO:0042254),-0.59657320120367,-2.1274374768328723,0.0,0.0008164323421676364,0.005,37/63,24.40%,RPS7;RPL27;SBDS;RPL26;RPS5;RPS15A;RPS13;RPL14;RPS25;GTF3A;RPS24;RPS3A;RPS19;RPS6;RPS4X;RPL11;RPL7;RPS28;RPS14;RPS8;RPS23;XRN2;RPS15;MRPL36;XPO1;RPS16;RPL5;RPL35A;NOB1;FBL;RPF2;RPS17;RPS27;MRTO4;RPS9;RSL24D1;PIN4
prerank,Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.6151591161035306,-2.119685582712182,0.0,0.0007143782993966818,0.005,32/53,24.24%,RPS7;RPL26;RPS5;RPS15A;RPS13;RPL14;RPS25;GTF3A;RPS24;RPS3A;RPS19;RPS6;RPS4X;RPL11;RPL7;RPS28;RPS14;RPS8;RPS23;RPS15;MRPL36;XPO1;RPS16;RPL5;RPL35A;FBL;RPF2;RPS17;RPS27;MRTO4;RPS9;RSL24D1
prerank,ncRNA Processing (GO:0034470),-0.6538406458637818,-2.0567044118096436,0.0,0.0020320093849505614,0.013,26/35,24.40%,RPS7;RPL27;SBDS;RPL26;RPL14;RPS25;RPS24;RPS19;RPS6;RPL11;RPL7;RPS28;XRN2;RPS15;RPS16;RPL5;RPL35A;NOB1;FBL;ZCCHC8;RPS17;SSB;RPS27;INTS6;MRTO4;PIN4
prerank,Ribosomal Small Subunit Biogenesis (GO:0042274),-0.6148662457164937,-2.031425737093754,0.0,0.002857513197586727,0.022,20/41,19.24%,RPS7;RPSA;RPS5;RPS15A;RPS13;RPS25;RPS24;RPS3A;RPS19;RPS6;RPS4X;RPS28;RPS14;RPS8;RPS23;RPS15;MRPS7;RPS16;NOB1;FBL
