Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,-0.7095123495291579,-2.7615092036128024,0.0,0.0,0.0,59/107,14.11%,RPL17;RPS7;RPL36A;RPL27;RPS18;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPL10;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;MRPL17;RPL39;RPL13;RPS24;RPS3A;RPS19;MRPL21;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;MRPL18;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Coronavirus disease,-0.5338537668519312,-2.1033521012791163,0.0,0.0007594526960570709,0.002,59/116,14.11%,RPL17;RPS7;RPL36A;RPL27;RPS18;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPL10;RPS2;ADAM17;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPL13;RPS24;RPS3A;RPS19;RPL41;RPLP1;NFKBIA;RPL35;RPL8;RPL32;RPS6;NFKB1;RPS4X;RPL11;RPL7;RPL24;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Fc epsilon RI signaling pathway,0.8267860126480417,1.965832334578841,0.0,0.016241433886591702,0.012,2/15,0.08%,PLCG2;MAPK10
prerank,C-type lectin receptor signaling pathway,0.64749339424653,1.887164504504027,0.0,0.03480307261412508,0.042,9/35,8.19%,PLCG2;MAPK10;LSP1;PLK3;IRF9;NFATC4;JUN;ITPR2;IRF1
prerank,"Growth hormone synthesis, secretion and action",0.6073555138718344,1.846368474643595,0.0,0.04176368713695009,0.073,8/45,8.43%,PLCG2;MAPK10;CACNA1D;CREB3L1;CREB3L2;CREBBP;ITPR2;PRKACB
prerank,Inflammatory mediator regulation of TRP channels,0.7159984665282001,1.8437834591076658,0.0034129692832764505,0.03277289337830112,0.075,4/19,8.43%,PLCG2;MAPK10;ITPR2;PRKACB
prerank,Oxidative phosphorylation,-0.49833225718705065,-1.8122937748493502,0.0,0.0367068803094251,0.11,26/71,24.29%,NDUFB5;NDUFB8;ATP6V0B;CYC1;UQCRH;NDUFA4;COX5A;NDUFA8;NDUFC2;COX6A1;NDUFB2;NDUFAB1;ATP6V1G1;NDUFA11;COX7B;NDUFB11;ATP6V1F;UQCR11;COX8A;NDUFB6;NDUFS5;NDUFA13;COX7A2;NDUFB3;NDUFB9;COX4I1
prerank,Amyotrophic lateral sclerosis,-0.43699867934271447,-1.8082063952041283,0.0,0.02923892879819723,0.115,68/164,25.05%,PFN1;NDUFB5;NDUFB8;CYC1;HSPA5;UQCRH;CHCHD10;TUBB6;ACTG1;ACTR10;PSMA5;TUBA1C;ATXN2L;NDUFA4;COX5A;NDUFA8;ACTB;NDUFC2;COX6A1;CYCS;PSMA3;NDUFB2;PSMD4;NDUFAB1;HNRNPA3;HNRNPA1;VDAC1;BAX;TUBA1B;ATG101;CHMP2B;NUP58;PSMA7;NDUFA11;PSMA2;PSMB3;PSMB7;COX7B;NDUFB11;GABARAPL1;PSMD8;PSMA1;PSMB6;PSMB5;NXF1;UQCR11;DCTN6;GABARAPL2;PSMD12;PSMA4;COX8A;DCTN3;NDUFB6;ATXN2;NDUFS5;NDUFA13;PSMD7;COX7A2;NDUFB3;NDUFB9;PSMD2;GPX7;PSMB2;COX4I1;PSMB4;WDR41;XBP1;TNFRSF1A
prerank,Cortisol synthesis and secretion,0.7370496187045321,1.8039564045745642,0.0,0.04315581004151509,0.119,7/16,10.76%,PBX1;CACNA1D;CREB3L1;CREB3L2;ITPR2;PRKACB;SP1
prerank,ErbB signaling pathway,0.6452201061453414,1.803487511409676,0.0034482758620689655,0.03596317503459591,0.119,5/28,11.36%,PLCG2;MAPK10;JUN;EGFR;ABL1
