Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.7441719549377305,-2.8598409590771006,0.0,0.0,0.0,61/98,15.81%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;SEC61G;RPL7A;RPS15A;SEC61B;RPL29;SSR3;RPS13;RPL14;RPS3;RPL18A;SSR4;RPS25;SEC11A;RPL39;RPS24;RPS3A;RPS19;SRP19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9;SPCS1;DDOST;SSR2;RPS15
prerank,Selenoamino Acid Metabolism R-HSA-2408522,-0.7426455581472224,-2.770470312833599,0.0,0.0,0.0,52/85,14.11%,NNMT;RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Eukaryotic Translation Elongation R-HSA-156842,-0.7463444045368096,-2.754355288878219,0.0,0.0,0.0,52/82,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;EEF1B2;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.7440020736976602,-2.7488395466162685,0.0,0.0,0.0,52/83,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;ETF1;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Viral mRNA Translation R-HSA-192823,-0.7414596341361037,-2.7444095820239403,0.0,0.0,0.0,51/82,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.7179022746999221,-2.7388387679617034,0.0,0.0,0.0,52/91,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;EIF3F;RPL36;RPL6;RPL19;RPL9
prerank,Eukaryotic Translation Termination R-HSA-72764,-0.7434251403584997,-2.7319362199077095,0.0,0.0,0.0,52/81,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;ETF1;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
prerank,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,-0.7074454584949792,-2.7313761295147776,0.0,0.0,0.0,54/100,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;EIF4E;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;EIF4A1;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;EIF3F;RPL36;RPL6;RPL19;RPL9
prerank,Cap-dependent Translation Initiation R-HSA-72737,-0.7043727445943978,-2.7313724363852154,0.0,0.0,0.0,54/102,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;EIF4E;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;EIF4A1;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;EIF3F;RPL36;RPL6;RPL19;RPL9
prerank,Selenocysteine Synthesis R-HSA-2408557,-0.7429081624772271,-2.7259694190822215,0.0,0.0,0.0,51/79,14.11%,RPS7;RPL36A;RPL27;RPL10A;RPS10;RPL28;RPL22L1;RPL12;RPL26;RPSA;RPS12;RPS5;RPLP0;RPS2;RPL7A;RPS15A;RPL29;RPS13;RPL14;RPS3;RPL18A;RPS25;RPL39;RPS24;RPS3A;RPS19;RPL41;RPLP1;RPL35;RPL8;RPL32;RPS6;RPS4X;RPL11;RPL7;RPL23A;RPS28;RPLP2;RPS27A;RPS14;FAU;RPS8;RPL18;UBA52;RPL30;RPL3;RPS23;RPL36;RPL6;RPL19;RPL9
