Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cilium Assembly (GO:0060271),0.5849827294241358,3.097653542409891,0.0,0.0,0.0,67/102,20.33%,CEP89;UBXN10;IFT80;IFT122;IFT172;KIF3A;PIBF1;PHIP;CEP290;TTC26;CFAP54;CC2D2A;CCDC40;DCDC2;CLUAP1;ATP6V1D;RFX3;IFT74;IFT88;BBOF1;GAS8;TTC21B;ABLIM1;KIF3B;NEK1;CEP83;TRAF3IP1;CEP126;CCDC113;CFAP43;TMEM67;DYNC2LI1;IFT81;DZIP1L;DNAH5;CEP162;IFT57;RABL2B;DYNC2H1;CFAP221;CDC14A;GSN;CFAP70;KIF27;RSPH4A;RPGR;FUZ;RFX2;DNAAF1;CFAP46;INTU;TTC39C;CCDC57;CFAP47;AHI1;TCTN1;FOXJ1;CCDC96;RSPH9;CCDC66;DNAI2;IFT27;TEKT1;SPAG17;SPAG16;TMEM231;SPATA6
prerank,Cilium Organization (GO:0044782),0.5832448306907541,2.7584993333733485,0.0,0.0,0.0,64/98,20.13%,CEP89;UBXN10;IFT80;IFT122;IFT172;KIF3A;PIBF1;PHIP;CEP290;TTC26;CFAP54;CC2D2A;DCDC2;CLUAP1;ATP6V1D;RFX3;IFT74;IFT88;TTC21B;ABLIM1;KIF3B;NEK1;CEP83;TRAF3IP1;CEP126;CCDC113;CFAP43;TMEM67;IFT81;DZIP1L;DNAH5;CEP162;TTC29;IFT57;MNS1;RABL2B;DYNC2H1;CFAP221;CDC14A;GSN;CFAP70;IQCG;KIF27;RPGR;FUZ;CCP110;RFX2;DNAAF1;INTU;TTC39C;CCDC57;CFAP47;AHI1;TCTN1;FOXJ1;CCDC96;KIFAP3;CCDC66;DNAI2;IFT27;TEKT1;SPAG16;TTC17;TMEM231
prerank,Cilium Movement (GO:0003341),0.7313069301801275,2.6752858980577394,0.0,0.001268760637474857,0.001,23/28,21.91%,SPEF2;CFAP54;CCDC40;GAS8;HYDIN;DNAH7;DNAH11;DNAH9;DNAH5;TTC29;CFAP70;RSPH4A;SPA17;DNAAF1;DNAI1;NME5;RSPH9;DNAI2;TEKT1;SPAG17;SPAG6;CFAP53;CABYR
prerank,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.4985225041185242,2.4057157334938597,0.0,0.0014273557171592137,0.001,60/111,20.13%,CEP89;UBXN10;IFT80;IFT122;IFT172;KIF3A;PIBF1;PHIP;CEP290;TTC26;CFAP54;CC2D2A;DCDC2;CLUAP1;ATP6V1D;RFX3;IFT74;IFT88;TTC21B;MYLK;ABLIM1;KIF3B;NEK1;CEP83;TRAF3IP1;CEP126;CCDC113;CFAP43;TMEM67;IFT81;DZIP1L;SRGAP3;DNAH5;CEP162;IFT57;RABL2B;DYNC2H1;CFAP221;CDC14A;GSN;CFAP70;KIF27;RPGR;FUZ;RFX2;DNAAF1;INTU;TTC39C;CCDC57;CFAP47;AHI1;TCTN1;FOXJ1;CCDC96;CCDC66;DNAI2;IFT27;TEKT1;SPAG16;TMEM231
prerank,Axoneme Assembly (GO:0035082),0.7401006275589075,2.314973569124008,0.0,0.0015225127649698285,0.002,14/17,23.58%,TTC26;CCDC40;GAS8;HYDIN;RSPH4A;SPAG1;DNAAF1;CFAP46;FOXJ1;RSPH9;SPAG17;SPAG16;CCDC65;RSPH1
prerank,Regulation Of Cilium Assembly (GO:1902017),0.6634124447515285,2.2313305138772983,0.0,0.002854711434318428,0.007,11/18,14.38%,CROCC;EVI5;DCDC2;IFT88;SDCCAG8;DYNC2LI1;TBC1D8;MAPK15;FUZ;CCP110;INTU
prerank,Cytoplasmic Translation (GO:0002181),-0.7682321514997497,-2.2060377367331268,0.0,0.0,0.0,64/86,16.91%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPL24;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL13;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A
prerank,Peptide Biosynthetic Process (GO:0043043),-0.7404562114518018,-2.1708378476837384,0.0,0.0,0.0,71/111,16.91%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;MRPL52;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;EEF1A1;RPL24;RPS14;RPL18;RPS15A;RPL15;MRPS15;RPLP0;RPS16;RPL38;RPL13;RPL14;RPLP2;RPL9;RPS23;MRPL41;RPL19;MRPL14;MRPL23;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPS2;RPS27A;RPL26;GSPT1;MRPL12;RPS11;RPS3A;RPS6;RPL6;RPL10A
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.7300312900584485,-2.150648245757075,0.0,0.0,0.0,85/122,22.05%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;MRPL52;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;EEF1D;RPSA;RPL32;EEF1A1;RPL24;RPS14;RPL18;RPS15A;RPL15;MRPS15;RPLP0;RPS16;RPL38;RPL13;RPL14;RPLP2;RPL9;RPS23;EEF2;MRPL41;RPL19;MRPL14;MRPL23;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;B4GALT5;RPL27A;RPS2;RPS27A;RPL26;GSPT1;MRPL12;RPS11;RPS3A;RPS6;RPL6;RPL10A;EIF5A;RPL3;RPL7;RPL22;TNIP1;RRBP1;RPS26;EEF1B2;RPL13A;MRPL37;RPL21
prerank,Positive Regulation Of Double-Strand Break Repair (GO:2000781),0.5632046254818683,2.1241918080296807,0.0,0.007340686545390243,0.023,10/26,14.66%,PBRM1;PRKDC;SMARCA2;MORF4L1;RUVBL1;SMARCC2;RUVBL2;ARID1B;SMCHD1;KMT5B
