Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,-0.7483343025821262,-2.181993380614017,0.0,0.0,0.0,78/112,19.44%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPL24;RPS14;RPL18;UBA52;RPS15A;RPL15;MRPS15;RPLP0;RPS16;RPL38;RPL13;RPL14;RPLP2;RPL9;RPS23;MRPS2;RPL19;MRPL14;MRPL23;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;MRPL33;RPL27A;MRPL21;RPL23;RPS2;RPS27A;RPL26;MRPL12;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22;MRPL4
prerank,Coronavirus disease,-0.7408055503203953,-2.144292399696492,0.0,0.0,0.0,68/103,13.65%,RPS27;RPL39;RPS28;CXCL8;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;NFKBIA;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPL24;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;IL6ST;RPS16;RPL38;RPL13;RPL14;NFKB1;RPLP2;RPL9;RPS23;IL6R;RPL19;IL6;RPL27;RPL12;RPS4X;JAK1;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26
prerank,Mineral absorption,-0.787368717610786,-1.915152473704584,0.0,0.0007040262220914195,0.002,10/19,6.20%,MT2A;MT1G;MT1X;MT1E;MT1M;MT1F;MT1H;FTH1;ATOX1;ATP1B3
prerank,TNF signaling pathway,-0.7124362486505192,-1.8637780099128152,0.0,0.0013200491664214116,0.005,12/30,9.18%,CXCL2;EDN1;LIF;NFKBIA;MAP3K5;CXCL1;TNFAIP3;CCL20;ATF4;NFKB1;IL6;MAP2K3
prerank,Cytokine-cytokine receptor interaction,-0.7532281386390794,-1.8590105370985133,0.0,0.0014784550663919812,0.007,12/22,9.07%,CXCL8;CXCL2;GDF15;LIF;CXCL14;CXCL1;CXCR4;CLCF1;CCL20;IL6ST;IL6R;IL6
prerank,Legionellosis,-0.7164766445054926,-1.7727932949235667,0.0,0.005984222887777065,0.028,8/25,9.07%,CXCL8;CXCL2;NFKBIA;CXCL1;EEF1A1;NFKB1;SAR1A;IL6
prerank,NOD-like receptor signaling pathway,-0.5955503971270306,-1.656859278954405,0.0010319917440660474,0.039224318087950516,0.177,15/50,14.79%,CXCL8;CXCL2;NFKBIA;CXCL1;TNFAIP3;GABARAPL1;RIPK2;NFKB1;GBP2;IL6;JAK1;TXN2;CYBA;VDAC2;VDAC1
prerank,Bladder cancer,-0.6820619366061443,-1.6493450756770163,0.001145475372279496,0.039469470076000206,0.204,7/18,16.71%,CXCL8;CDH1;THBS1;VEGFA;HRAS;MAP2K2;CCND1
prerank,Non-alcoholic fatty liver disease,-0.5770239550395494,-1.6430932869759625,0.0010030090270812437,0.03848676680766427,0.218,50/82,31.12%,CXCL8;NDUFS5;COX5B;XBP1;ERN1;MAP3K5;COX6B1;NDUFA3;COX4I1;NDUFB11;COX7A2;ATF4;NDUFA1;UQCRH;NFKB1;IRS2;IL6R;COX6C;IL6;UQCRQ;COX7B;COX5A;COX6A1;COX8A;NDUFA6;NDUFB2;NDUFS7;NDUFB4;NDUFA2;UQCRC2;UQCR10;NDUFA4;UQCR11;NDUFV1;CYCS;SDHD;NDUFV2;UQCRFS1;NDUFB3;NDUFAB1;NDUFA10;COX7C;NDUFS3;FOS;NDUFV3;NDUFS8;NDUFB7;NDUFA8;CYC1;EIF2S1
prerank,Cardiac muscle contraction,-0.6327007532424871,-1.6404933497063257,0.002176278563656148,0.036222149126603535,0.223,25/29,35.73%,COX5B;TPM3;COX6B1;COX4I1;COX7A2;UQCRH;ATP1B3;COX6C;UQCRQ;COX7B;COX5A;COX6A1;COX8A;ASPH;UQCRC2;FXYD2;UQCR10;UQCR11;UQCRFS1;COX7C;CYC1;TPM1;ATP1A1;TPM4;UQCRB
prerank,IL-17 signaling pathway,-0.6437386753932665,-1.6199541682986998,0.0032679738562091504,0.04435365199175943,0.28,15/26,23.92%,CXCL8;CXCL2;NFKBIA;CXCL1;TNFAIP3;JUND;CCL20;NFKB1;IL6;TRAF4;MAPK6;FOSB;CEBPB;CXCL3;HSP90B1
