Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Intraflagellar Transport R-HSA-5620924,0.7181387277527189,2.699959891389772,0.0,0.0,0.0,17/28,11.62%,IFT80;TNPO1;IFT122;IFT172;KIF3A;TTC26;CLUAP1;IFT74;IFT88;TTC21B;KIF3B;TRAF3IP1;DYNC2LI1;IFT81;IFT57;DYNC2H1;TRIP11
prerank,Cilium Assembly R-HSA-5617833,0.45726269970375794,2.240585621793499,0.0,0.00143441534293152,0.003,33/80,13.35%,CEP89;IFT80;CEP57;TNPO1;IFT122;IFT172;KIF3A;CEP290;TTC26;CC2D2A;PCM1;CLUAP1;IFT74;AKAP9;IFT88;CNTRL;TTC21B;KIF3B;SDCCAG8;CEP83;TRAF3IP1;TMEM67;DYNC2LI1;IFT81;CEP162;IFT57;NPHP1;EXOC1;DYNC2H1;TRIP11;HSP90AA1;DYNC1H1;CCP110
prerank,Peptide Chain Elongation R-HSA-156902,-0.7800769026307802,-2.233837482945711,0.0,0.0,0.0,68/81,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;EEF1A1;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;EEF2;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Eukaryotic Translation Elongation R-HSA-156842,-0.7754558762446818,-2.2206417431055017,0.0,0.0,0.0,69/83,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;EEF1D;RPSA;RPL32;EEF1A1;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;EEF2;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Selenoamino Acid Metabolism R-HSA-2408522,-0.7674211221852122,-2.2142080739744325,0.0,0.0,0.0,71/88,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;HNMT;RPSA;NNMT;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;PAPSS1;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;AIMP1;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;EEF1E1;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.7708364204647167,-2.211136787211428,0.0,0.0,0.0,67/84,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;GSPT1;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.7668946639822601,-2.208124751557281,0.0,0.0,0.0,68/86,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;ATF4;ATF3;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Selenocysteine Synthesis R-HSA-2408557,-0.7701466343211566,-2.2025863765402436,0.0,0.0,0.0,66/81,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Eukaryotic Translation Termination R-HSA-72764,-0.7708955057555578,-2.2014910324933656,0.0,0.0,0.0,67/82,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;GSPT1;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
prerank,Viral mRNA Translation R-HSA-192823,-0.7651446385733424,-2.188348745661051,0.0,0.0,0.0,66/83,19.08%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPL36AL;RPS7;RPS13;RPL11;RPS24;RPS12;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A;RPL3;RSL24D1;RPL7;RPL22
