Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ciliopathies WP4803,0.6798163017094967,3.071367569720751,0.0,0.0,0.0,48/63,21.75%,IFT80;IFT122;IFT172;LCA5;PIBF1;CEP290;CC2D2A;CCDC40;DCDC2;CLUAP1;GAS8;EFHC1;TTC21B;HYDIN;DNAH6;NEK1;SDCCAG8;CEP83;AK7;TRAF3IP1;TMEM67;DYNC2LI1;IFT81;CSPP1;DNAH11;IFT57;NPHP1;DYNC2H1;DRC1;RSPH4A;SPAG1;DNAAF1;INTU;RSPH3;DNAI1;AHI1;TCTN1;RSPH9;DNAI2;LZTFL1;CFAP52;DNAL1;IFT27;NME7;TMEM231;CFAP53;CCDC65;ZMYND10
prerank,Bardet Biedl Syndrome WP5234,0.7914102832159545,3.0494520198833066,0.0,0.0,0.0,20/27,13.10%,IFT80;IFT122;IFT172;LCA5;EFHC2;CEP290;DCDC2;CLUAP1;IFT74;EFHC1;TTC21B;NEK1;SDCCAG8;TRAF3IP1;TMEM67;DYNC2LI1;IFT81;IFT57;DYNC2H1;FUZ
prerank,Genes Related To Primary Cilium Development Based On CRISPR WP4536,0.733386825769282,2.9819782263371404,0.0,0.0,0.0,26/36,20.13%,IFT80;IFT122;IFT172;KIF3A;PIBF1;CC2D2A;CLUAP1;IFT74;IFT88;TTC21B;KIF3B;CEP83;TRAF3IP1;TMEM67;DYNC2LI1;IFT81;CEP162;IFT57;DYNC2H1;FUZ;IQCE;TCTN1;KIFAP3;LZTFL1;IFT27;TMEM231
prerank,Cytoplasmic Ribosomal Proteins WP477,-0.7857739513990435,-2.2509388049228467,0.0,0.0,0.0,65/80,16.91%,RPS27;RPL39;RPS28;RPS29;RPL35;RPLP1;RPL36;RPL34;RPL28;FAU;RPS15;RPS18;RPS9;RPL30;RPL18A;RPL37;RPS25;RPS21;RPL41;RPS7;RPS13;RPL11;RPS24;RPS12;RPL10;RPL8;RPS8;RPL29;RPL35A;RPS19;RPS5;RPS3;RPSA;RPL32;RPL24;RPS14;RPL18;UBA52;RPS15A;RPL15;RPLP0;RPS16;RPL38;RPL13;RPL14;RPLP2;RPL9;RPS23;RPL19;RPL27;RPL12;RPS4X;RPL7A;RPL23A;RPL37A;RPL27A;RPL23;RPS2;RPS27A;RPL26;RPS11;RPS3A;RPS6;RPL6;RPL10A
prerank,Lung Fibrosis WP3624,-0.7844978401259648,-1.8190382436259278,0.0,0.0073512252042007,0.013,6/15,3.23%,MT2A;CXCL8;CXCL2;SPP1;EDN1;ATP11A
prerank,Burn Wound Healing WP5055,-0.7647662515668424,-1.8181390911975448,0.0,0.004900816802800467,0.013,10/19,9.07%,CXCL8;CXCL1;CXCR4;FGFR1;VEGFA;NFKB1;SMAD3;TPT1;KLF4;IL6
prerank,TGF Beta Receptor Signaling In Skeletal Dysplasias WP4816,-0.7394340116071152,-1.7765923050081938,0.0,0.007645274212368728,0.033,9/18,13.90%,SPP1;LIF;THBS1;NFKB1;SMAD3;HRAS;TGIF1;JAK1;FKBP1A
prerank,TGF Beta Receptor Signaling WP560,-0.7394340116071152,-1.7765923050081938,0.0,0.007645274212368728,0.033,9/18,13.90%,SPP1;LIF;THBS1;NFKB1;SMAD3;HRAS;TGIF1;JAK1;FKBP1A
prerank,SARS CoV 2 Innate Immunity Evasion And Cell Specific Immune Response WP5039,-0.7290252006453135,-1.7716177939756408,0.0,0.007351225204200701,0.038,8/20,10.23%,CXCL8;CXCL2;CXCL1;NFKB1;SMAD3;IL6R;IL6;JAK1
prerank,Nonalcoholic Fatty Liver Disease WP4396,-0.5877543212892304,-1.672950141917578,0.0,0.03626604434072346,0.194,50/81,31.12%,CXCL8;NDUFS5;COX5B;XBP1;ERN1;MAP3K5;COX6B1;NDUFA3;COX4I1;NDUFB11;COX7A2;ATF4;NDUFA1;UQCRH;NFKB1;IRS2;IL6R;COX6C;IL6;UQCRQ;COX7B;BBC3;COX5A;COX6A1;COX8A;NDUFA6;NDUFB2;NDUFS7;NDUFB4;NDUFA2;UQCRC2;UQCR10;NDUFA4;UQCR11;NDUFV1;CYCS;SDHD;NDUFV2;UQCRFS1;NDUFB3;NDUFAB1;NDUFA10;COX7C;NDUFS3;NDUFV3;NDUFS8;NDUFB7;NDUFA8;CYC1;EIF2S1
