Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation (GO:0006412),-0.7122870208723885,-2.744175015145657,0.0,0.0,0.0,135/210,18.78%,RPL35;ETF1;MRPS7;RPL22L1;RPS7;RPS18;MRPL57;RPS19;RPL39;MRPL52;MRPL47;RPLP1;RPS24;EIF5A;RPL18A;RPS15;RPL26L1;RPL36;GADD45GIP1;RPL29;RPL13;EIF5AL1;RPL8;MRPS12;RPLP2;RPL32;RPL11;MRPL22;RPL27;RPS5;MRPL4;MRPS18C;YARS2;MRPL36;MRPL17;MRPL27;MRPL23;MRPL41;MRPL12;RPL28;MRPS15;RPS3;MRPS21;RPS2;MRPS18A;RPS15A;RPS6;MRPS24;MRPL11;MRPS2;MRPL51;RPL10;AURKAIP1;CHCHD1;RPS25;EEF1B2;MRPS6;MRPL50;RPLP0;RPS28;MRPL20;MRPS16;MRPL14;DAP3;GTPBP2;MRPS14;RPS14;RPL7A;MRPL55;RPL18;MRPL54;MRPL28;MRPL18;RPL34;MRPS23;RPS8;MRPS25;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;MRPS26;RPSA;MRPL13;MRPS11;EEF1D;RPS3A;MRPL37;UBA52;MRPS34;RPL7;MRPL24;MRPL33;MRPL16;RPL23A;RPL35A;RPL24;RPL14;TSFM;RPL9;MRPL40;RPS23;RPL27A;MRPS33;RPL6;MRPL9;RPS6KB2;MRPL44;RPL41;RWDD1;GSPT1;DRG2;GATB;RPS27;MRPS17;FTSJ1;RPL26;RPL10A;RPL30;MRPS18B;TUFM;RPS21;RPS27A;GTPBP1;MRPL21;MRPL43;RPL15;ABCE1;RPL3;MRPL49;FARSB;RPL37A
prerank,Cytoplasmic Translation (GO:0002181),-0.7553449865131455,-2.6231670703660326,0.0,0.0,0.0,78/90,21.20%,RPL35;ETF1;RPL22L1;RPS7;RPS18;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL13;RPL8;MRPS12;RPLP2;RPL32;RPL11;RPL27;RPS5;RPL28;RPS3;RPS2;RPS15A;RPS6;RPL10;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;RPS3A;UBA52;RPL7;RPL23A;RPL35A;RPL24;RPL14;RPL9;RPS23;RPL27A;RPL6;RPL41;RWDD1;DRG2;RPS27;FTSJ1;RPL26;RPL10A;RPL30;RPS21;RPS27A;EIF2B3;RPL15;RPL3;EIF3M;RPL37A;EIF4A1;EIF3I;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A
prerank,Peptide Biosynthetic Process (GO:0043043),-0.7118996240572474,-2.6048498687666095,0.0,0.0,0.0,92/139,16.23%,RPL35;MRPS7;GGT5;RPS7;RPS18;RPS19;RPL39;MRPL52;RPLP1;RPS24;RPL18A;RPS15;RPL36;RPL29;RPL13;RPL8;MRPS12;RPLP2;RPL32;RPL11;RPL27;RPS5;MRPS18C;YARS2;MRPL36;GGT1;MRPL27;MRPL23;MRPL41;MRPL12;RPL28;MRPS15;RPS3;MRPS21;RPS2;MRPS18A;RPS15A;RPS6;MRPL11;MRPL51;RPL10;RPS25;MRPS6;RPLP0;RPS28;MRPS16;MRPL14;MRPS14;RPS14;RPL7A;MRPL55;RPL18;MRPL28;MRPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;MRPS11;RPS3A;MRPL37;RPL7;MRPL24;RPL23A;RPL35A;PCSK1;RPL24;RPL14;RPL9;RPS23;RPL27A;MRPS33;RPL6;MRPL9;RPS6KB2;RPL41;GSPT1;RPS27;MRPS17;RPL26;RPL10A;RPL30;MRPS18B;RPS21;RPS27A
prerank,Cellular Respiration (GO:0045333),-0.7381441805072485,-2.5653165488437715,0.0,0.0,0.0,54/82,15.95%,NDUFS5;UQCR10;COX6A1;COX6C;COX7B;NDUFA2;NDUFA6;NDUFV2;COX5B;UQCRQ;NDUFB3;NDUFS6;COX8A;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;COX6B1;NDUFA4;NDUFS8;UQCRH;COX7A2;NDUFA3;CYCS;CHCHD5;NDUFB9;NDUFB7;SDHC;COX5A;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;MDH2;NDUFV3;NDUFB6;UQCR11;NDUFA8;CYC1;COX4I1;UQCRFS1;NDUFV1;ETFB;NDUFB2;NDUFA9;UQCRC1;NDUFS7;BLOC1S1;NDUFB4;SLC25A13;PPARGC1A;NDUFB10;NDUFA13
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.6793075400744955,-2.5514884794008803,0.0,0.0,0.0,111/165,20.76%,RPL35;MRPS7;RPS7;RPS18;RPS19;RPL39;MRPL52;RPLP1;RPS24;EIF5A;RPL18A;RPS15;RPL36;RPL29;RPL13;EIF5AL1;RPL8;GCNT1;MRPS12;RPLP2;RPL32;RPL11;RPL27;RPS5;MRPS18C;YARS2;MRPL36;MRPL27;MRPL23;MRPL41;MRPL12;RPL28;MRPS15;RPS3;MRPS21;RPS2;MRPS18A;RPS15A;RPS6;MRPL11;MRPL51;RPL10;RPS25;EEF1B2;MRPS6;RPLP0;RPS28;MRPS16;MRPL14;GTPBP2;MRPS14;RPS14;RPL7A;MRPL55;RPL18;MRPL28;MRPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;MRPS11;EEF1D;RPS3A;MRPL37;RPL7;MRPL24;RPL23A;RPL35A;RPL24;RPL14;TSFM;RPL9;RPS23;RPL27A;MRPS33;RPL6;MRPL9;RPS6KB2;RPL41;GSPT1;RPS27;MRPS17;RPL26;RPL10A;RPL30;MRPS18B;TUFM;RPS21;RPS27A;GTPBP1;MRPL43;APOE;RPL15;RPL3;INHA;FARSB;RPL37A;RPL36AL;MRPL34;RPS4X;RPL38;RPS11;RPS29
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.7682351714139083,-2.536557577927429,0.0,0.0,0.0,47/66,13.84%,NDUFS5;UQCR10;COX6A1;COX6C;COX7B;NDUFA2;NDUFA6;NDUFV2;COX5B;UQCRQ;NDUFB3;NDUFS6;COX8A;NDUFAB1;NDUFS3;NDUFC1;COX6B1;NDUFA4;NDUFS8;UQCRH;COX7A2;NDUFA3;CYCS;NDUFB9;NDUFB7;UQCC3;SDHC;COX5A;NDUFB1;SDHB;NDUFB8;NDUFA1;SDHAF2;NDUFV3;NDUFB6;UQCR11;NDUFA8;CYC1;COX4I1;UQCRFS1;NDUFV1;NDUFB2;NDUFA9;COA6;UQCRC1;NDUFS7;NDUFB4
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.7694534907103847,-2.524844712743945,0.0,0.0,0.0,46/65,13.84%,NDUFS5;UQCR10;COX6A1;COX6C;COX7B;NDUFA2;NDUFA6;NDUFV2;COX5B;UQCRQ;NDUFB3;NDUFS6;COX8A;NDUFAB1;NDUFS3;NDUFC1;COX6B1;NDUFA4;NDUFS8;UQCRH;COX7A2;NDUFA3;CYCS;NDUFB9;NDUFB7;UQCC3;SDHC;COX5A;NDUFB1;SDHB;NDUFB8;NDUFA1;SDHAF2;NDUFV3;NDUFB6;UQCR11;NDUFA8;CYC1;COX4I1;UQCRFS1;NDUFV1;NDUFB2;NDUFA9;UQCRC1;NDUFS7;NDUFB4
prerank,Mitochondrial Translation (GO:0032543),-0.7119516014039348,-2.4737484615621033,0.0,0.0,0.0,59/96,18.32%,MRPS7;MRPL57;MRPL52;MRPL47;GADD45GIP1;MRPS12;MRPL22;MRPL4;MRPS18C;MRPL36;MRPL17;MRPL27;MRPL23;MRPL41;MRPL12;MRPS15;MRPS21;MRPS18A;MRPS24;MRPL11;MRPS2;MRPL51;CHCHD1;MRPS6;MRPL50;MRPL20;MRPS16;MRPL14;DAP3;MRPS14;MRPL55;MRPL54;MRPL28;MRPL18;MRPS23;MRPS25;MTIF3;MRPS26;MRPL13;MRPS11;MRPL37;MRPS34;MRPL24;MRPL33;MRPL16;TSFM;MRPL40;MRPS33;MRPL9;MRPL44;GATB;MRPS17;MRPS18B;TUFM;MRPL21;MRPL43;MTRF1L;EARS2;MRPL49
prerank,Mitochondrial Gene Expression (GO:0140053),-0.6997592689518034,-2.462443931908304,0.0,0.0,0.0,58/100,18.32%,MRPS7;MRPL57;MRPL52;MRPL47;GADD45GIP1;MRPS12;MRPL22;MRPL4;MRPS18C;MRPL36;MRPL17;MRPL27;MRPL23;MRPL41;MRPL12;MRPS15;MRPS21;MRPS18A;MRPS24;MRPL11;MRPS2;MRPL51;TBRG4;CHCHD1;MRPS6;MRPL50;MRPL20;MRPS16;MRPL14;DAP3;MRPS14;MRPL55;MRPL54;MRPL28;MRPL18;MRPS23;MRPS25;MRPS26;MRPL13;MRPS11;MRPL37;MRPS34;MRPL24;MRPL33;MRPL16;MRPL40;MRPS33;MRPL9;MRPL44;GATB;MRPS17;MRPS18B;MTERF3;MRPL21;MRPL43;TFB2M;SLC25A33;MRPL49
prerank,Ribosome Biogenesis (GO:0042254),-0.6627787127987489,-2.455852579544768,0.0,0.0,0.0,93/145,23.83%,NOP16;RPS7;NOP58;RPS19;RPS19BP1;WDR74;RPS24;SNU13;RPS15;RPL26L1;MRPS12;RPL11;MRPL22;RPL27;RPS5;MRPL36;ZNF622;PNO1;DHX37;EMG1;RPS15A;RPS6;MALSU1;EXOSC4;GRWD1;CINP;RPS25;RPS28;RRP36;MRTO4;GTPBP4;RPS14;GTF3A;POP4;GLUL;NGDN;NOM1;BOP1;RPS8;RPS13;RPS16;RPS9;RPS3A;RRP9;DNTTIP2;RPL7;EXOSC7;SBDS;DCAF13;RPL35A;UTP18;RPL14;RRS1;PAK1IP1;RPS23;WDR18;NOL7;EBNA1BP2;BYSL;LTV1;RPF2;NOP14;RPS27;FBL;RPL26;UTP3;DDX49;NOC4L;PIN4;EIF2S1;WDR43;LYAR;EXOSC5;RRP12;DDX47;UTP15;DDX31;XRN2;TMA16;WDR55;EXOSC3;NIP7;PIH1D1;RPS4X;RPS11;PES1;NOC2L;NOL6;DKC1;NOP56;SPATA5L1;WDR46;DDX27
prerank,Gene Expression (GO:0010467),-0.6085998526805769,-2.409699064326124,0.0,0.0,0.0,140/271,20.76%,DDX39A;EIF4A3;RPL35;MRPS7;RPS7;MAGOHB;RPS18;RBM3;RPS19;RPL39;MRPL52;RPLP1;RPS24;DNAJB11;RPL18A;TSPAN15;RPS15;RPL36;SRSF3;RPL29;RPL13;RPL8;MRPS12;RPLP2;RPL32;RPL11;RPL27;RPS5;MRPS18C;YARS2;MRPL36;MRPL27;MRPL23;MRPL41;MRPL12;RPL28;MRPS15;RPS3;MRPS21;RPS2;MRPS18A;ALYREF;RPS15A;NXF1;RPS6;EXOSC4;MRPL11;MRPL51;RPL10;HNRNPA2B1;RPS25;HNRNPD;MRPS6;RPLP0;RPS28;EXOSC1;MRPS16;MRPL14;MRPS14;HNRNPU;RPS14;RPL7A;MRPL55;RPL18;HSPD1;RBM39;MRPL28;MRPL18;RPL34;RPS8;FAU;RPL37;RPS13;THOC6;MAGOH;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;MRPS11;PRPF4;RPS3A;UPF2;MRPL37;DNTTIP2;RPL7;EXOSC7;MRPL24;RPL23A;RPL35A;RPL24;RPL14;CHTOP;UPF1;RPL9;RPS23;RPL27A;TGM2;MRPS33;RPL6;CASP10;MRPL9;RPS6KB2;RPL41;GSPT1;ALKBH5;SNRNP40;RPS27;MRPS17;RPL26;RBM8A;RPL10A;SMG5;RPL30;MRPS18B;RPS21;RPS27A;MRPL43;EXOSC5;DDX19B;RPL15;RPL3;DDX20;XRN2;ADARB1;DEDD2;FARSB;RPL37A;BICD1;EXOSC3;ZNF830;RPL36AL;THOC7;MRPL34;RPS4X;RPL38;RPS11;RPS29
prerank,Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.6704710283770947,-2.403428967221681,0.0,0.0,0.0,58/113,15.32%,NOP16;RPS7;NOP58;RPS19;RPS19BP1;WDR74;RPS24;SNU13;RPS15;RPL26L1;MRPS12;RPL11;RPS5;MRPL36;ZNF622;PNO1;DHX37;EMG1;RPS15A;RPS6;MALSU1;GRWD1;CINP;RPS25;RPS28;RRP36;MRTO4;GTPBP4;RPS14;GTF3A;GLUL;NGDN;NOM1;BOP1;RPS8;RPS13;RPS16;RPS9;RPS3A;RRP9;DNTTIP2;RPL7;RPL35A;UTP18;RPL14;RRS1;PAK1IP1;RPS23;NOL7;EBNA1BP2;BYSL;LTV1;RPF2;NOP14;RPS27;FBL;RPL26;UTP3
prerank,Aerobic Respiration (GO:0009060),-0.7267786286178883,-2.356010581463459,0.0,0.0,0.0,35/56,15.95%,NDUFS5;NDUFA2;NDUFA6;NDUFV2;NDUFB3;NDUFS6;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;NDUFS8;UQCRH;NDUFA3;NDUFB9;NDUFB7;SDHC;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;MDH2;NDUFV3;NDUFB6;NDUFA8;NDUFV1;NDUFB2;NDUFA9;UQCRC1;NDUFS7;BLOC1S1;NDUFB4;CHCHD10;NDUFB10;NDUFA13
prerank,Oxidative Phosphorylation (GO:0006119),-0.7440041484040498,-2.3517982875874135,0.0,0.0,0.0,33/48,15.95%,NDUFS5;NDUFA2;NDUFA6;NDUFV2;NDUFB3;NDUFS6;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;NDUFS8;UQCRH;NDUFA3;NDUFB9;NDUFB7;SDHC;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;NDUFV3;NDUFB6;NDUFA8;NDUFV1;NDUFB2;NDUFA9;UQCRC1;NDUFS7;NDUFB4;CHCHD10;NDUFB10;NDUFA13
prerank,ncRNA Processing (GO:0034470),-0.6679294488777741,-2.3478233516488367,0.0,0.0,0.0,53/92,23.01%,RPS7;NOP58;RPS19;WDR74;RPS24;RPS15;RPL11;RPL27;EMG1;RPS6;EXOSC4;RPS25;RPS28;RRP36;MRTO4;POP7;POP1;POP4;RPS16;RRP9;RPL7;EXOSC7;SBDS;DCAF13;RPL35A;RPL14;RPP30;WDR18;EBNA1BP2;BYSL;NOP14;RPS27;FBL;RPL26;DDX49;NOC4L;PIN4;LYAR;EXOSC5;RRP12;DDX47;UTP15;XRN2;WDR55;SSB;EXOSC3;TSEN34;PIH1D1;INTS9;PES1;NOL6;DKC1;NOP56
prerank,Ribosome Assembly (GO:0042255),-0.7658184716900895,-2.3354045812885738,0.0,0.0,0.0,30/44,16.33%,MRPS7;RPS19;RPS15;PPAN;MPV17L2;RPL11;MRPL22;RPS5;EFNA1;DHX37;MRPS2;RPL10;RPLP0;RPS28;C1QBP;MRPL20;RPS14;RPSA;MRPS11;EIF6;SBDS;BRIX1;RPL23A;RRS1;RPL6;RPF2;RPS27;MTERF3;EIF2S1;NLE1
prerank,Ribosomal Small Subunit Biogenesis (GO:0042274),-0.6799178631253099,-2.3181689746761567,0.0,0.0,0.0,40/80,15.32%,MRPS7;RPS7;NOP58;RPS19;RPS19BP1;RPS24;SNU13;RIOK3;RPS15;MRPS12;RPS5;PNO1;DHX37;EMG1;RPS15A;RPS6;RPS25;RPS28;RRP36;RPS14;NGDN;NOM1;RPS8;RPS13;RPS16;RPS9;RPSA;MRPS11;RPS3A;RRP9;DNTTIP2;UTP18;RPS23;NOL7;LTV1;NOP14;DDX52;RPS27;FBL;UTP3
prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.7487698374611419,-2.313324264569926,0.0,0.0,0.0,30/41,15.95%,NDUFS5;NDUFA2;NDUFA6;NDUFV2;NDUFB3;NDUFS6;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;NDUFS8;NDUFA3;NDUFB9;NDUFB7;SDHC;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;NDUFV3;NDUFB6;NDUFA8;NDUFV1;NDUFB2;NDUFA9;NDUFS7;NDUFB4;NDUFB10;NDUFA13
prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.7456333649253428,-2.3086908961581565,0.0,0.0,0.0,30/42,15.95%,NDUFS5;NDUFA2;NDUFA6;NDUFV2;NDUFB3;NDUFS6;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;NDUFS8;NDUFA3;NDUFB9;NDUFB7;SDHC;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;NDUFV3;NDUFB6;NDUFA8;NDUFV1;NDUFB2;NDUFA9;NDUFS7;NDUFB4;NDUFB10;NDUFA13
prerank,Central Nervous System Neuron Differentiation (GO:0021953),0.8391453698430248,2.299247516177258,0.0,0.0,0.0,11/20,11.52%,MDGA1;MAP2;FAIM2;TOX;ATP7A;ZC4H2;TAOK1;CBLN1;KNDC1;OPHN1;GRID2
