Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,-0.7444306559225217,-2.693039600420513,0.0,0.0,0.0,92/127,16.23%,RPL35;MRPS7;RPL22L1;RPS7;RPS18;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL13;RPL8;MRPS12;RPLP2;RPL32;RPL11;MRPL22;RPL27;RPS5;MRPL4;MRPS18C;MRPL36;MRPL15;MRPL17;RPS12;MRPL27;MRPL23;MRPL12;RPL28;MRPS15;RPS3;MRPS21;RPS2;MRPS18A;RPS15A;RPS6;MRPL11;MRPS2;RPL10;RPS25;MRPS6;RPLP0;RPS28;MRPL20;MRPS16;MRPL14;MRPS14;RPS14;RPL7A;RPL18;MRPL28;MRPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;MRPS11;RPS3A;UBA52;RPL7;MRPL32;MRPL24;MRPL33;MRPL16;RPL23A;RPL35A;RPL24;RPL14;RPL9;RPS23;RPL27A;RPL6;MRPL9;RPL41;RPS27;MRPS17;RPL26;RPL10A;RPL30;RPS21;RPS27A
prerank,Oxidative phosphorylation,-0.7090228523427985,-2.4833427943882795,0.0,0.0,0.0,57/95,17.06%,NDUFS5;UQCR10;COX6A1;COX6C;COX7B;NDUFA2;NDUFA6;NDUFV2;COX5B;UQCRQ;NDUFB3;NDUFS6;COX8A;NDUFAB1;NDUFS3;NDUFC1;NDUFB11;COX6B1;NDUFA4;NDUFS8;UQCRH;COX7A2;NDUFA3;ATP6V0B;NDUFB9;ATP6V1B2;NDUFB7;SDHC;COX5A;NDUFA11;NDUFB1;SDHB;NDUFB8;NDUFA1;NDUFV3;NDUFB6;UQCR11;NDUFA8;COX17;CYC1;COX4I1;UQCRFS1;PPA1;NDUFV1;NDUFB2;NDUFA9;ATP6V1H;ATP6V1C2;UQCRC1;NDUFS7;ATP6V1G1;NDUFB4;NDUFB10;NDUFA13;ATP6V0E1;ATP6V1F;COX7C
prerank,Spliceosome,-0.6339806824824333,-2.3220116586134134,0.0,0.0,0.0,65/131,22.30%,EIF4A3;SNRPG;MAGOHB;SNU13;SRSF3;SRSF2;SNRPA1;SF3B6;SNRPD3;SNRPB;USP39;SNRPF;LSM4;LSM7;ALYREF;TXNL4A;SF3B5;PPIL1;SNRPC;LSM8;SNRPE;BUD31;SNRPD1;HNRNPU;HNRNPA3;LSM5;MAGOH;PCBP1;PPIH;TRA2B;SNRPD2;HNRNPC;PPIE;PRPF4;SNRPB2;DHX15;HSPA2;PRPF38B;RBM25;BCAS2;SRSF1;RBM22;CCDC12;SNRNP40;SRSF10;PRPF31;TRA2A;RBM8A;HNRNPM;SMNDC1;SF3B4;DDX46;SRSF9;LSM2;SRSF7;CHERP;CWC15;LSM6;SNRPA;ACIN1;PQBP1;RP9;LSM3;RBM17;SNRNP70
prerank,Non-alcoholic fatty liver disease,-0.6309309018875322,-2.3140291996823636,0.0,0.0,0.0,68/141,17.34%,CXCL8;NDUFS5;UQCR10;IL6R;COX6A1;COX6C;COX7B;MAP3K5;NDUFA2;NDUFA6;NDUFV2;XBP1;COX5B;UQCRQ;NDUFB3;NDUFS6;COX8A;NDUFAB1;NDUFS3;MLX;NDUFC1;NFKB1;NDUFB11;COX6B1;NDUFA4;NDUFS8;UQCRH;INSR;COX7A2;NDUFA3;CYCS;ERN1;FAS;NDUFB9;NDUFB7;ADIPOR1;PIK3CB;SDHC;COX5A;NDUFA11;NDUFB1;SDHB;NDUFB8;PRKAB1;NDUFA1;NDUFV3;NDUFB6;UQCR11;NDUFA8;IL6;CDC42;CYC1;COX4I1;UQCRFS1;NDUFV1;NDUFB2;MAP3K11;NDUFA9;UQCRC1;NDUFS7;NDUFB4;SREBF1;IRS2;NDUFB10;NDUFA13;EIF2S1;COX7C;MAPK13
prerank,Parkinson disease,-0.5960993143276346,-2.291668181425095,0.0,0.0,0.0,103/200,17.58%,TUBA1C;NDUFS5;UQCR10;HSPA5;PSMA3;COX6A1;COX6C;COX7B;PSMB3;MAP3K5;NDUFA2;NDUFA6;NDUFV2;XBP1;COX5B;UQCRQ;SLC18A2;TUBB6;TUBB4B;NDUFB3;PSMD6;TXN;NDUFS6;PPIF;PSMB1;COX8A;NDUFAB1;NDUFS3;NDUFC1;VDAC1;DUSP1;NDUFB11;COX6B1;DAXX;NDUFA4;MAOA;TUBA1B;NDUFS8;PSMB6;UQCRH;UBE2L6;COX7A2;NDUFA3;PSMB7;CYCS;PSMA5;CALM3;ERN1;NDUFB9;PSMB5;NDUFB7;SDHC;PSMA1;PSMA7;COX5A;NDUFA11;NDUFB1;PSMB2;CALM2;TUBB2A;SDHB;NDUFB8;PSMA4;UBB;NDUFA1;PSMC3;NDUFV3;UBA52;NDUFB6;UBE2G1;UQCR11;NDUFA8;VDAC3;CYC1;PSMD8;UBE2L3;COX4I1;UQCRFS1;ADRM1;TRAP1;NDUFV1;NDUFB2;PARK7;NDUFA9;PSMD4;UQCRC1;NDUFS7;UBE2J2;NFE2L2;NDUFB4;PSMC4;SLC25A4;UBC;PSMD1;NDUFB10;NDUFA13;EIF2S1;RPS27A;PSMD7;COX7C;SLC25A6;PSMD11;PSMD12
prerank,Coronavirus disease,-0.5666661374428577,-2.159298553044212,0.0,0.0,0.0,95/190,21.52%,CXCL8;RPL35;RPL22L1;RPS7;IL6R;RPS18;RPS19;RPL39;RPLP1;RPS24;RPL18A;C3;RPS15;RPL26L1;RPL36;MYD88;RPL29;RPL13;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;CSF3;RPS12;RPL28;NFKBIA;RPS3;RPS2;F13A1;CFD;RPS15A;RPS6;NFKB1;ISG15;RPL10;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;PIK3CB;RPS16;IRAK1;RPL12;RPS9;RPSA;RPS3A;ACE;UBA52;RPL7;IL6;RPL23A;RPL35A;RPL24;RPL14;RPL9;RPS23;RPL27A;RPL6;RPL41;ADAM17;RPS27;RPL26;RPL10A;RPL30;RPS21;RPS27A;MAPK3;MAPK13;ACE2;RPL15;CXCL10;RPL3;TLR4;C4A;RPL37A;NFKBIB;IFNAR2;RPL36AL;RPS4X;RPL38;RPS11;RPS29;C1R;RPL13A;TMPRSS2
prerank,Proteasome,-0.6781808780624353,-2.1061745935055107,0.0,0.0,0.0,28/43,17.60%,PSME3;PSMA3;PSMB3;PSME2;POMP;PSMD6;PSMB1;PSMB6;PSMB7;PSMA5;PSMB5;PSMA1;PSME1;PSMA7;PSMB8;PSMB2;PSMA4;PSMC3;PSMD8;ADRM1;PSMD4;PSMB9;PSMC4;PSMD1;PSMD7;PSMD11;PSMD12;PSME4
prerank,Amyotrophic lateral sclerosis,-0.5099471214642446,-2.0467634226599216,0.0,0.00011809989154376824,0.001,140/303,24.29%,GPX3;TUBA1C;NDUFS5;UQCR10;HSPA5;PSMA3;COX6A1;COX6C;SRSF3;HAP1;MAP2K3;COX7B;PSMB3;MAP3K5;NDUFA2;NDUFA6;NDUFV2;ANG;XBP1;COX5B;UQCRQ;TUBB6;TUBB4B;NDUFB3;PSMD6;NDUFS6;PSMB1;COX8A;NDUFAB1;NDUFS3;WIPI1;ALYREF;NDUFC1;NXF1;VDAC1;NDUFB11;COX6B1;DAXX;NDUFA4;TUBA1B;HNRNPA2B1;NDUFS8;PSMB6;UQCRH;COX7A2;HNRNPA3;NDUFA3;PSMB7;PFN1;CYCS;PSMA5;ERN1;NDUFB9;PSMB5;NDUFB7;GABARAPL1;SDHC;PSMA1;PSMA7;COX5A;NDUFA11;NDUFB1;PSMB2;ATXN2L;TUBB2A;SDHB;NDUFB8;PSMA4;TOMM40;NDUFA1;PSMC3;NDUFV3;NDUFB6;UQCR11;NDUFA8;CYC1;PSMD8;COX4I1;UQCRFS1;ACTB;ADRM1;NDUFV1;NDUFB2;NDUFA9;PSMD4;ATG101;DCTN6;UQCRC1;NDUFS7;ACTR1A;NDUFB4;NUP50;PSMC4;CHCHD10;DERL1;RAB1A;PSMD1;NDUFB10;NDUFA13;EIF2S1;PSMD7;COX7C;MAPK13;PSMD11;PSMD12;DNAH5;DNAH10;TANK;NUP35;TUBB;SOD1;NDUFS2;SRSF7;NDUFA12;PSMA6;TUBA4A;TUBA1A;BCL2L1;DCTN3;DDIT3;TNFRSF1B;RAE1;TNFRSF1A;TARDBP;CASP9;NDUFA7;ATG2A;PSMB4;NRBF2;NXT1;SQSTM1;SDHD;SEH1L;ACTG1;MATR3;NUP153;PSMD13;TNF;MAPK14;BAX
prerank,Huntington disease,-0.5133387177325553,-2.0306516040350084,0.0,0.00010497768137223844,0.001,105/254,18.07%,GPX3;TUBA1C;NDUFS5;UQCR10;PSMA3;COX6A1;POLR2H;COX6C;HAP1;COX7B;PSMB3;MAP3K5;NDUFA2;NDUFA6;NDUFV2;AP2S1;COX5B;UQCRQ;POLR2L;POLR2F;TUBB6;TUBB4B;NDUFB3;PSMD6;NDUFS6;PPIF;PSMB1;PLCB4;COX8A;NDUFAB1;NDUFS3;WIPI1;NDUFC1;VDAC1;NDUFB11;COX6B1;NDUFA4;TUBA1B;NDUFS8;PSMB6;UQCRH;POLR2E;COX7A2;NDUFA3;PSMB7;POLR2K;POLR2I;CYCS;PSMA5;ERN1;NDUFB9;PSMB5;NDUFB7;SDHC;PSMA1;PSMA7;COX5A;NDUFA11;NDUFB1;PSMB2;TUBB2A;SDHB;NDUFB8;PSMA4;NDUFA1;PSMC3;NDUFV3;NDUFB6;UQCR11;NDUFA8;VDAC3;CYC1;PSMD8;COX4I1;UQCRFS1;ADRM1;NDUFV1;CREB3;POLR2J;NDUFB2;NDUFA9;PSMD4;ATG101;TGM2;DCTN6;UQCRC1;NDUFS7;ACTR1A;NDUFB4;PSMC4;SOD2;SLC25A4;PPARGC1A;PSMD1;NDUFB10;NDUFA13;PSMD7;COX7C;SLC25A6;POLR2C;PSMD11;PSMD12;CLTB;DNAH5;DNAH10
prerank,Protein export,-0.7371207548705925,-1.9800356300915354,0.0,0.0001889598264700292,0.002,13/23,14.51%,HSPA5;SEC11C;SEC61G;SRPRB;SEC61B;SRP14;SPCS3;SPCS2;SRP19;SEC61A1;SEC11A;SPCS1;SRP54
