Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation R-HSA-72766,-0.7052924436857861,-2.766314035169247,0.0,0.0,0.0,160/257,18.84%,RPL35;ETF1;MRPS7;RPL22L1;RPS7;MRPL57;RPS19;RPL39;MRPL52;MRPL47;RPLP1;RPS24;SEC11C;RPL18A;EIF4E;RPS15;SEC61G;RPL26L1;RPL36;SRPRB;GADD45GIP1;RPL29;SEC61B;TRMT112;RPL8;EIF4EBP1;SSR4;RPLP2;RPL32;RPL11;RPL27;RPS5;MRPL4;MRPS18C;YARS2;MRPL36;MRPL15;MRPL17;RPS12;MRPL23;MRPL41;MRPL12;RPL28;EEF1E1;MRPS15;RPS3;EIF1AX;MRPS21;RPS2;MRPS18A;RPS15A;RPS6;MRPS24;MRPL11;MRPS2;MRPL51;AURKAIP1;CHCHD1;RPS25;EEF1B2;MRPS6;MRPL50;RPLP0;RPS28;MRPL20;MRPS16;MRPL14;MRPS14;RPS14;RPL7A;MRPL55;RPL18;MRPL54;MRPL18;RPL34;MRPS23;RPS8;MRPS25;FAU;RPL37;RPS13;FARSA;MRPS36;RPL19;RPS16;SRP14;MTIF3;RPL12;RPS9;MRPS26;RPSA;MRPL13;EIF2B5;MRPS11;AIMP2;EEF1D;RPS3A;MRPL37;SPCS3;UBA52;SPCS2;MRPS34;RPL7;MRPL32;MRPL24;MRPL33;EIF5;MRPL16;RPL23A;RPL35A;SRP19;PPA1;RPL14;RPN1;SEC61A1;TSFM;RPL9;MRPL40;SEC11A;RPS23;RPL27A;MRPS33;RPL6;MRPL9;MRPL44;RPL41;MRPS35;EIF3J;GSPT1;SPCS1;SRP54;EIF3G;RPS27;MRPS17;RPL26;RPL10A;RPL30;SSR2;MRPS18B;TUFM;RPS21;EIF3K;EIF2S1;RPS27A;EIF2B2;MRPL21;MRPL43;EIF2B3;MTRF1L;AIMP1;RPL15;EARS2;RPL3;MRPL49;EIF3M;FARSB;RPL37A;ERAL1;EIF4A1;EIF3I
prerank,Selenoamino Acid Metabolism R-HSA-2408522,-0.7428235670093064,-2.637417023980513,0.0,0.0,0.0,77/99,21.20%,RPL35;RPL22L1;RPS7;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;RPS12;RPL28;EEF1E1;RPS3;RPS2;RPS15A;RPS6;NNMT;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;PAPSS2;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;VSIG2;RPSA;MRPL13;AIMP2;RPS3A;AHCY;UBA52;RPL7;SCLY;RPL23A;RPL35A;RPL14;HNMT;RPL9;RPS23;RPL27A;RPL6;RPL41;RPS27;RPL26;RPL10A;RPL30;RPS21;RPS27A;AIMP1;RPL15;RPL3;RPL37A;RPL36AL;RPS4X;RPL38;RPS11;TXNRD1;RPS29;RPL13A
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.7415852512683114,-2.6256765888728038,0.0,0.0,0.0,83/104,21.20%,RPL35;RPL22L1;RPS7;RPS19;RPL39;RPLP1;RPS24;SEC11C;RPL18A;RPS15;SEC61G;RPL26L1;RPL36;SRPRB;RPL29;SEC61B;RPL8;SSR4;RPLP2;RPL32;RPL11;RPL27;RPS5;RPS12;RPL28;RPS3;RPS2;RPS15A;RPS6;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;SRP14;RPL12;RPS9;RPSA;MRPL13;RPS3A;SPCS3;UBA52;SPCS2;RPL7;RPL23A;RPL35A;SRP19;RPL14;RPN1;SEC61A1;RPL9;SEC11A;RPS23;RPL27A;RPL6;RPL41;SPCS1;SRP54;RPS27;RPL26;RPL10A;RPL30;SSR2;RPS21;RPS27A;RPL15;RPL3;RPL37A;SSR1;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A
prerank,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,-0.6824566680055666,-2.5933408338177397,0.0,0.0,0.0,116/170,23.58%,RPL35;RPL22L1;RPS7;NOP58;RPS19;RPL39;RPLP1;RPS24;SNU13;RPL18A;RIOK3;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;IMP4;RPS12;RPL28;PNO1;RPS3;RPS2;DHX37;EMG1;RPS15A;RPS6;EXOSC4;RPS25;RPLP0;RPS28;EXOSC1;RRP36;RPP25;RPS14;RPL7A;RPL18;BOP1;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;RPS3A;RRP9;UBA52;SENP3;RPL7;EXOSC7;DCAF13;RPL23A;RPL35A;UTP18;RPL14;RPP30;RPL9;UTP14A;RPP40;RPS23;RPL27A;WDR18;RPL6;RPL41;EBNA1BP2;BYSL;LTV1;NOP14;DDX52;RPS27;FBL;RPL26;UTP3;DDX49;DNAJC5;RPL10A;RPL30;NOC4L;RPS21;RPS27A;WDR43;EXOSC5;DDX47;DDX56;RPL15;RPL3;UTP15;NOL12;XRN2;RPL37A;EXOSC3;TSR1;NIP7;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A;MPHOSPH6;PES1;NOL6;RPL4;NOP56;RPL22;RPL23;WDR46
prerank,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,-0.6796696287855055,-2.5903670813591337,0.0,0.0,0.0,121/180,23.58%,RPL35;RPL22L1;RPS7;NOP58;RPS19;RPL39;RPLP1;RPS24;SNU13;RPL18A;RIOK3;RPS15;RPL26L1;RPL36;RPL29;NOP10;NHP2;TRMT112;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;GAR1;IMP4;RPS12;RPL28;PNO1;RPS3;RPS2;DHX37;EMG1;RPS15A;RPS6;EXOSC4;RPS25;RPLP0;RPS28;EXOSC1;RRP36;RPP25;RPS14;RPL7A;RPL18;BOP1;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;RPS3A;RRP9;UBA52;SENP3;RPL7;EXOSC7;DCAF13;RPL23A;RPL35A;UTP18;RPL14;RPP30;RPL9;UTP14A;RPP40;RPS23;RPL27A;WDR18;RPL6;RPL41;EBNA1BP2;BYSL;LTV1;NOP14;DDX52;RPS27;FBL;RPL26;UTP3;DDX49;DNAJC5;RPL10A;RPL30;NOC4L;RPS21;RPS27A;WDR43;EXOSC5;DDX47;DDX56;RPL15;RPL3;UTP15;NOL12;XRN2;RPL37A;EXOSC3;TSR1;NIP7;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A;MPHOSPH6;PES1;NOL6;DKC1;RPL4;NOP56;RPL22;RPL23;WDR46
prerank,rRNA Processing R-HSA-72312,-0.6793304315590488,-2.585833450366096,0.0,0.0,0.0,124/187,23.58%,RPL35;RPL22L1;RPS7;NOP58;RPS19;RPL39;RPLP1;RPS24;SNU13;RPL18A;RIOK3;RPS15;RPL26L1;RPL36;TRMT10C;RPL29;NOP10;NHP2;TRMT112;RPL8;HSD17B10;RPLP2;RPL32;RPL11;RPL27;RPS5;GAR1;IMP4;RPS12;RPL28;PNO1;RPS3;RPS2;DHX37;EMG1;RPS15A;RPS6;EXOSC4;RPS25;RPLP0;RPS28;EXOSC1;RRP36;RPP25;RPS14;RPL7A;RPL18;BOP1;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;RPS3A;RRP9;UBA52;SENP3;RPL7;EXOSC7;DCAF13;RPL23A;RPL35A;UTP18;RPL14;RPP30;RPL9;UTP14A;RPP40;RPS23;RPL27A;WDR18;RPL6;RPL41;EBNA1BP2;BYSL;LTV1;NOP14;DDX52;RPS27;FBL;RPL26;UTP3;DDX49;DNAJC5;RPL10A;RPL30;NOC4L;RPS21;RPS27A;MRM1;WDR43;EXOSC5;DDX47;DDX56;RPL15;RPL3;UTP15;NOL12;XRN2;RPL37A;EXOSC3;TSR1;NIP7;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A;MPHOSPH6;PES1;NOL6;DKC1;RPL4;NOP56;RPL22;RPL23;WDR46
prerank,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,-0.7240214712705811,-2.578886085349393,0.0,0.0,0.0,80/108,21.20%,EIF4A3;RPL35;ETF1;RPL22L1;RPS7;MAGOHB;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;PPP2CA;RPS12;RPL28;RPS3;RPS2;RPS15A;RPS6;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;MAGOH;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;PPP2R2A;RPS3A;UPF2;UBA52;RPL7;RPL23A;RPL35A;RPL14;UPF1;RPL9;RPS23;RPL27A;RPL6;RPL41;GSPT1;RPS27;RPL26;RBM8A;RPL10A;SMG5;RPL30;RPS21;RPS27A;RPL15;PNRC2;RPL3;RPL37A;UPF3B;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A
prerank,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.7357360862111235,-2.5730170686553713,0.0,0.0,0.0,74/94,21.57%,RPL35;RPL22L1;RPS7;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;RPS12;RPL28;RPS3;EIF1AX;RPS2;RPS15A;RPS6;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;RPS3A;UBA52;RPL7;RPL23A;RPL35A;RPL14;RPL9;RPS23;RPL27A;RPL6;RPL41;EIF3J;EIF3G;RPS27;RPL26;RPL10A;RPL30;RPS21;EIF3K;RPS27A;RPL15;RPL3;EIF3M;RPL37A;EIF3I;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A;EIF3B
prerank,Eukaryotic Translation Elongation R-HSA-156842,-0.7452341013081428,-2.5689989195067913,0.0,0.0,0.0,69/85,21.20%,RPL35;RPL22L1;RPS7;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;RPS12;RPL28;RPS3;RPS2;RPS15A;RPS6;RPS25;EEF1B2;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;EEF1D;RPS3A;UBA52;RPL7;RPL23A;RPL35A;RPL14;RPL9;RPS23;RPL27A;RPL6;RPL41;RPS27;RPL26;RPL10A;RPL30;RPS21;RPS27A;RPL15;RPL3;RPL37A;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A
prerank,Peptide Chain Elongation R-HSA-156902,-0.7457447863463739,-2.560434622993249,0.0,0.0,0.0,67/82,21.20%,RPL35;RPL22L1;RPS7;RPS19;RPL39;RPLP1;RPS24;RPL18A;RPS15;RPL26L1;RPL36;RPL29;RPL8;RPLP2;RPL32;RPL11;RPL27;RPS5;RPS12;RPL28;RPS3;RPS2;RPS15A;RPS6;RPS25;RPLP0;RPS28;RPS14;RPL7A;RPL18;RPL34;RPS8;FAU;RPL37;RPS13;RPL19;RPS16;RPL12;RPS9;RPSA;MRPL13;RPS3A;UBA52;RPL7;RPL23A;RPL35A;RPL14;RPL9;RPS23;RPL27A;RPL6;RPL41;RPS27;RPL26;RPL10A;RPL30;RPS21;RPS27A;RPL15;RPL3;RPL37A;RPL36AL;RPS4X;RPL38;RPS11;RPS29;RPL13A
