Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Translation (GO:0002181),0.5879869999922022,2.1658846748692677,0.0,0.002466938226832754,0.002,62/90,27.85%,RPS10;RPS4X;RPL3;RPL15;EIF3I;RPL4;RPL31;FTSJ1;RPL5;EIF3M;RPL7;RPL19;RPL10;RPL7A;RPL17;RPLP0;RPL36AL;RPS17;RPS3A;RPL26;RPS6;RPL21;RPS23;RPL13A;RPL22;RPL9;UBA52;RPL32;RPL27;RPL30;RPL41;RPL35A;RPL37A;RPL12;RPS11;RPS21;RPS25;RPL38;RPS13;RPSA;RPL8;RPS20;MRPS12;RPS14;RPS26;RPS3;RPS29;RPS15A;RPS27A;RPL14;RPL10A;RPS27;RPL6;RPL34;RWDD1;RPL27A;RPL23A;RPL11;RPL13;RPS2;EIF2B3;RPS16
prerank,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),0.5641813343791022,2.1484358777580344,0.0,0.001233469113416377,0.002,39/103,16.63%,KDELR2;COPB2;KDELR3;KDELR1;SEC13;COPG1;IER3IP1;SEC22B;YIF1A;BET1;TMED2;GOPC;TMED7;LMAN1;ARCN1;TFG;ERGIC1;BCAP29;COPB1;COPA;ERGIC2;USO1;TRAPPC13;TRAPPC4;GOLGA2;TBC1D20;RAB2A;ARF4;TMED3;SEC24D;RANGRF;TMED10;MIA2;YIF1B;SEC31A;RAB29;TMED6;VAMP7;USE1
prerank,Peptide Biosynthetic Process (GO:0043043),0.5299723624974975,2.072136505121872,0.0,0.006304397690794816,0.019,85/135,29.81%,MRPL3;RPS10;RPS4X;EEF1A1;RPL3;RPL15;COPS5;RPL4;RPL31;RPL5;RPL7;MRPL36;RPL19;MRPS18B;PABPC4;RPL10;RPL7A;RPL17;RPLP0;RPL36AL;RPS17;RPS3A;RPL26;RPS6;RPL21;RPS23;FARSB;MRPL10;RPL13A;MRPL43;DHPS;RPL22;RPL9;MRPL37;MRPS16;RPL32;RPL27;RPL30;RPL41;MRPS6;RPL35A;RPL37A;RPL12;RPS11;RPS21;RPS25;RPL38;RPS13;MRPL52;RPSA;RPL8;MRPL35;MRPL51;RPS20;MRPS12;MRPS33;RPS14;RPS26;RPS3;GGT7;RPS29;RPS15A;RPS27A;RPL14;RPL10A;RPS27;RPL6;MRPL34;RPL34;RPS6KB2;RPL27A;RPL23A;RPL11;RPL13;MRPS11;RPS2;MRPS14;MRPL9;RPS16;MRPL24;MRPS15;RPL37;MRPL12;RPS28;RPL18A
prerank,Positive Regulation Of Calcium Ion Transport (GO:0051928),0.7413161021497223,2.035605862112637,0.0,0.010278909278469809,0.042,6/21,4.12%,F2R;CCL4;CCL3;CCL5;PDGFRB;ORAI1
prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),0.640413624913254,2.02981306350064,0.0,0.008387589971231364,0.043,38/41,35.56%,NDUFC2;NDUFB8;SDHC;NDUFS2;NDUFS8;NDUFB5;NDUFA11;NDUFB4;NDUFA8;NDUFA10;NDUFA13;NDUFS5;NDUFC1;NDUFA2;NDUFB7;NDUFA12;NDUFS3;SDHD;NDUFV3;NDUFB3;NDUFV2;NDUFA7;NDUFA9;NDUFA5;NDUFAB1;NDUFB11;NDUFA1;NDUFS6;SDHA;NDUFB1;SDHB;NDUFV1;NDUFA6;NDUFB2;NDUFS7;NDUFA3;NDUFS1;NDUFB6
prerank,"Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)",0.6274468862164846,2.0175834055453143,0.0,0.00849723167020171,0.054,15/43,12.38%,KDELR2;GOLPH3;COPB2;KDELR3;KDELR1;SEC22B;COPZ2;PLPP3;ERGIC1;COPA;ERGIC2;TMEM115;ARF4;COPZ1;TMED10
prerank,Glucose Homeostasis (GO:0042593),-0.6365767644351158,-2.014579265695226,0.0,0.029192187857512864,0.025,18/57,10.66%,NR1D1;HKDC1;PCK1;SLC8B1;SOX4;MCU;PPARGC1A;IL6;ADRA2A;PTPN2;FOXK1;CRY1;APLP2;SIRT1;CRTC2;BACE2;PYGL;CYB5R4
prerank,Aerobic Respiration (GO:0009060),0.5984751795279967,2.0058649951263763,0.0,0.009045440165053433,0.066,44/54,35.56%,NDUFC2;NDUFB8;OXA1L;UQCRC2;SDHC;NDUFS2;NDUFS8;NDUFB5;NDUFA11;NDUFB4;NDUFA8;NDUFA10;NDUFA13;NDUFS5;MTFR1L;NDUFC1;NDUFA2;NDUFB7;MDH2;NDUFA12;NDUFS3;NDUFV3;SURF1;NDUFB3;NDUFV2;NDUFA7;SIRT3;NDUFA9;NDUFA5;NDUFAB1;NDUFB11;NDUFA1;NDUFS6;UQCRB;SLC25A14;NDUFB1;SDHB;NDUFV1;NDUFA6;NDUFB2;NDUFS7;NDUFA3;NDUFS1;NDUFB6
prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),0.6218995052351535,1.997966701460735,0.0,0.009353807443407525,0.08,38/42,35.56%,NDUFC2;NDUFB8;SDHC;NDUFS2;NDUFS8;NDUFB5;NDUFA11;NDUFB4;NDUFA8;NDUFA10;NDUFA13;NDUFS5;NDUFC1;NDUFA2;NDUFB7;NDUFA12;NDUFS3;SDHD;NDUFV3;NDUFB3;NDUFV2;NDUFA7;NDUFA9;NDUFA5;NDUFAB1;NDUFB11;NDUFA1;NDUFS6;SDHA;NDUFB1;SDHB;NDUFV1;NDUFA6;NDUFB2;NDUFS7;NDUFA3;NDUFS1;NDUFB6
prerank,Macromolecule Biosynthetic Process (GO:0009059),0.49420770154663224,1.9868414681666204,0.0,0.01105553797950975,0.105,86/159,26.15%,GOLPH3;COL5A1;MRPL3;EEF2;B4GAT1;RPS10;RPS4X;EEF1A1;RPL3;RPL15;COPS5;RPL4;RPL31;RPL5;POLD2;APOE;RPL7;MRPL36;RPL19;MRPS18B;PABPC4;RPL10;EXT2;RPL7A;RPL17;EEF2K;RPLP0;RPL36AL;RPS17;RPS3A;RPL26;RPS6;RPL21;RPS23;FARSB;MRPL10;RPL13A;MRPL43;DHPS;EEF1G;RPL22;RPL9;EEF1D;MRPL37;MRPS16;RPL32;RPL27;RPL30;RPL41;MRPS6;RPL35A;RPL37A;RPL12;RPS11;RPS21;RPS25;RPL38;RPS13;TUFM;MRPL52;RPSA;RPL8;MRPL35;MRPL51;RPS20;EEF1B2;MRPS12;MRPS33;RPS14;RPS26;RPS3;RPS29;RPS15A;RPS27A;RPL14;RPL10A;RPS27;RPL6;MRPL34;RPL34;RPS6KB2;RPL27A;RPL23A;RPL11;RPL13;MRPS11
prerank,Neutral Amino Acid Transport (GO:0015804),-0.7808048463102687,-1.9784514383314071,0.0,0.032560517225687424,0.053,8/18,7.67%,SLC7A5;SLC38A1;SLC1A1;SLC7A11;SLC38A2;SLC3A2;SLC38A6;LLGL2
prerank,Intracellular Glucose Homeostasis (GO:0001678),-0.6774511861047157,-1.978085127828056,0.0,0.02208127030247768,0.054,9/34,7.20%,NR1D1;HKDC1;PCK1;SOX4;PPARGC1A;TRA2B;ERN1;FOXK1;SIRT1
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),0.5685145445519406,1.971065822845152,0.0,0.012828078779530322,0.134,51/65,35.56%,NDUFC2;NDUFB8;UQCRC2;SDHC;COX7A2;NDUFS2;NDUFS8;NDUFB5;UQCRQ;NDUFB4;NDUFA8;UQCR11;NDUFA10;NDUFS5;NDUFC1;NDUFA2;NDUFB7;UQCR10;NDUFA12;COX7C;UQCRFS1;COX8A;NDUFS3;SDHD;NDUFV3;NDUFB3;COX6B1;NDUFV2;NDUFA4;NDUFA7;NDUFA9;COX7B;NDUFA5;NDUFAB1;NDUFA1;NDUFS6;SDHA;UQCRB;NDUFB1;SDHB;NDUFV1;COX4I1;NDUFA6;NDUFB2;NDUFS7;SDHAF2;UQCC3;NDUFA3;COX5A;NDUFS1;NDUFB6
prerank,Cellular Response To Interleukin-6 (GO:0071354),-0.8063691479869148,-1.9616026969921567,0.0017667844522968198,0.01992928209503282,0.065,7/16,10.04%,SBNO2;NFKB1;IL6;IL6ST;IL6R;SRC;PID1
