Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,0.5853000972281504,2.310263218888996,0.0,0.0,0.0,100/127,35.40%,MRPL3;RPS10;RPS4X;RPL3;RPL15;RPL4;RPL31;RPL5;RPL7;MRPL36;RPL19;RPL10;RPL7A;RPL17;RPLP0;RPL36AL;RPS17;RPS3A;RPL26;RPS6;RPL21;RPS23;MRPL15;MRPL10;RPL13A;RPL22;RPL9;MRPL20;UBA52;MRPS16;RPL32;RPL27;RPL30;RPL41;MRPS6;RPL36A;RPL35A;MRPL33;RPL37A;RPL12;RPS11;RPS21;RPS25;RPL38;RPS13;RPSA;RPL8;MRPL35;RPS20;RPL23;MRPS12;MRPL30;RPS14;RPS26;RPS3;MRPL32;RPS29;RPS15A;RPS27A;MRPL21;RPL14;RPL10A;RPS27;RPL6;MRPL34;RPL34;RPL27A;RPL23A;RPL11;RPL13;MRPS11;MRPS2;MRPL17;RPS2;RPS12;MRPS14;MRPL9;RPS16;MRPL24;MRPS15;RPL37;MRPL12;RPS28;RPL18A;MRPS17;RPS5;RPL18;RPL29;RPLP1;RPS27L;MRPS9;RPS8;MRPL27;RPS15;RPS24;RPL35;MRPS7;MRPS18A;RPL24;MRPS18C
prerank,Fatty acid degradation,0.662119568544826,2.039369339245552,0.0,0.0010737165027519624,0.002,12/33,10.53%,ECI2;ADH5;HADHB;ALDH7A1;ALDH9A1;CPT1C;ACAA2;ALDH1B1;ACSL5;CPT2;ECHS1;GCDH
prerank,Purine metabolism,0.5300196081932197,1.9492884427155248,0.0,0.007516015519263737,0.017,30/90,13.08%,HPRT1;GUCY1A2;AK4;PRPS2;CANT1;NUDT9;IMPDH1;PAICS;NTPCR;PGM1;ADCY1;NUDT16;PDE5A;XDH;AMPD2;ENPP1;ENTPD8;NME4;IMPDH2;NME2;ADCY5;ADCY3;NME1;GMPS;RRM2B;PAPSS1;ADPRM;AK3;GMPR2;ATIC
prerank,Propanoate metabolism,0.636613594665658,1.9286653016749886,0.0,0.007247586393575747,0.023,16/30,17.24%,ACSS3;DLD;SUCLG1;SUCLA2;LDHA;ECHS1;ACSS1;ALDH6A1;BCKDHB;HADHA;DBT;PCCA;SUCLG2;HIBCH;ACADS;MCEE
prerank,Drug metabolism,0.5643160671068342,1.8961102714505156,0.0,0.007945502120364522,0.031,19/52,10.46%,ADH5;HPRT1;UCK2;FMO5;GSTM5;IMPDH1;GUSB;XDH;NAT1;NME4;GSTM2;GSTA4;IMPDH2;NME2;DUT;GSTK1;NME1;GMPS;RRM2B
prerank,Glycolysis / Gluconeogenesis,0.5818980036667576,1.890589749905357,0.0,0.006979157267887756,0.033,18/44,9.63%,ADH5;ALDH7A1;ALDH9A1;PGK1;PGAM1;MINPP1;TPI1;GAPDH;DLD;PGM1;DLAT;ENO1;PFKM;GPI;BPGM;ALDH1B1;AKR1A1;LDHA
prerank,Arginine and proline metabolism,0.6259655615549824,1.8773029257829883,0.0,0.007976179734728864,0.046,12/34,10.87%,PYCR1;ALDH7A1;CNDP2;ALDH9A1;OAT;P4HA2;ALDH1B1;CKB;ALDH4A1;AMD1;ALDH18A1;SRM
prerank,beta-Alanine metabolism,0.6676875897759788,1.8600204174951307,0.00234192037470726,0.009529233961923667,0.063,9/21,16.60%,ALDH7A1;CNDP2;ALDH9A1;ALDH1B1;ECHS1;ALDH6A1;HADHA;HIBCH;ACADS
prerank,Bladder cancer,-0.6208080565257961,-1.8114311832105305,0.0017543859649122807,0.082034204436417,0.082,15/34,14.47%,VEGFA;CDH1;CXCL8;ERBB2;DAPK1;CDKN1A;MDM2;RAF1;BRAF;SRC;CDKN2A;CCND1;HRAS;TYMP;MAP2K1
prerank,Inflammatory bowel disease,-0.6011688463679715,-1.782459898648539,0.004862236628849271,0.06772591296494891,0.128,13/38,7.29%,IL4R;NFKB1;IL6;STAT6;IL18;HLA-DQB1;TGFB2;HLA-DRA;SMAD3;IL1A;HLA-DRB1;HLA-DMA;SMAD2
