Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Ribosomal Proteins WP477,0.5943991383551767,2.186924042326636,0.0,0.0,0.0,58/85,27.03%,RPS10;RPS4X;RPL3;RPL15;RPL4;RPL31;RPL5;RPL7;RPL19;RPL10;RPL7A;RPL17;RPLP0;RPS17;RPS3A;RPL26;RPS6;RPL21;RPS23;RPL13A;RPL22;RPL9;UBA52;RPL32;RPL27;RPL30;RPL41;RPL36A;RPL35A;RPL37A;RPL12;RPS11;RPS21;RPS25;RPL38;RPS13;RPSA;RPL8;RPS20;RPL23;RPS14;RPS26;RPS3;RPS29;RPS15A;RPS27A;RPL14;RPL10A;RPS27;RPL6;RPL34;RPS6KB2;RPL27A;RPL23A;RPL11;RPL13;RPS2;RPS12
prerank,Electron Transport Chain OXPHOS System In Mitochondria WP111,0.5970250852741866,2.116239526732266,0.0,0.0006698959084819128,0.002,61/72,35.56%,NDUFC2;COX7A2L;NDUFB8;SLC25A6;UQCRC2;SDHC;COX7A2;NDUFS2;NDUFS8;NDUFB5;NDUFA11;UQCRQ;NDUFB4;NDUFA8;COX17;UQCR11;NDUFA10;NDUFA13;NDUFS5;NDUFC1;COX11;NDUFA2;COX7A1;SLC25A5;NDUFB7;UQCR10;NDUFA12;COX7C;UQCRFS1;COX8A;NDUFS3;SDHD;NDUFV3;SURF1;NDUFB3;COX6B1;NDUFV2;NDUFA4;NDUFA7;NDUFA9;COX7B;NDUFA5;NDUFAB1;NDUFA1;NDUFS6;SDHA;UQCRB;SLC25A14;NDUFB1;SDHB;SCO1;NDUFV1;COX4I1;NDUFA6;NDUFB2;NDUFS7;NDUFA3;COX5A;SLC25A4;NDUFS1;NDUFB6
prerank,Autophagy In Pancreatic Ductal Adenocarcinoma WP5331,-0.7847170021875283,-2.0345450237693252,0.0,0.003679225277443981,0.003,8/19,8.40%,NFE2L2;VMP1;NFKB1;SQSTM1;SHOC2;MDM2;MAP1LC3B;MITF
prerank,Unfolded Protein Response WP4925,-0.7143510131526192,-1.94835507324376,0.0,0.018396126387219908,0.027,9/24,10.05%,BBC3;NFE2L2;MBTPS1;ERN1;PPP1R15A;TNFRSF10B;DDIT3;BCL2L11;PMAIP1
prerank,Markers Of Kidney Cell Lineage WP5236,0.6099996318526936,1.9000753989287442,0.0,0.022999759524545672,0.091,17/36,14.67%,DES;EGLN1;ALDH1A2;PDGFRB;SFRP1;WNT4;SALL1;DCN;SMAD5;TGFB1;FGF7;FAT4;EGLN3;WNT5A;WT1;BMP4;KDR
prerank,Aryl Hydrocarbon Receptor Pathway WP2586,-0.6549978643526487,-1.9000370705244933,0.0,0.02493697132489809,0.054,16/36,15.98%,VEGFA;NFE2L2;NCOA7;NFKB1;HSP90AA1;CDKN1A;RAF1;ARNT;SRC;AHR;KLF6;NCOR2;HRAS;NF1;MAP2K1;EP300
prerank,Oxidative Phosphorylation WP623,0.6066323217367283,1.8858641150209932,0.0,0.021604143048541687,0.113,31/36,35.56%,NDUFC2;NDUFB8;ATP6AP2;NDUFS2;NDUFS8;NDUFB5;NDUFA11;NDUFB4;NDUFA8;NDUFA10;NDUFS5;NDUFC1;NDUFA2;NDUFB7;NDUFS3;NDUFV3;NDUFV2;NDUFA4;NDUFA7;NDUFA9;NDUFA5;NDUFAB1;NDUFS6;NDUFB1;NDUFV1;NDUFA6;NDUFB2;NDUFS7;NDUFA3;NDUFS1;NDUFB6
prerank,TP53 Network WP1742,-0.7709991932970094,-1.8840943629833866,0.0,0.02514137272920054,0.07,7/16,10.05%,BBC3;GADD45A;TNFSF10;CDKN1A;MDM2;CDKN2A;PMAIP1
prerank,Mitochondrial Complex I Assembly Model OXPHOS System WP4324,0.5657865651861016,1.8509147340685146,0.002277904328018223,0.027197773884365655,0.176,40/48,35.56%,TIMMDC1;NDUFC2;NDUFB8;NDUFAF3;NDUFS2;ECSIT;NDUFB5;NDUFB4;NDUFA8;NDUFA10;COA1;NDUFA13;NDUFS5;NDUFC1;NDUFA2;NDUFB7;FOXRED1;NDUFAF2;NDUFA12;NDUFS3;NDUFV3;NDUFB3;NDUFV2;NUBPL;NDUFA7;TMEM126B;NDUFA5;NDUFAB1;TMEM70;NDUFB11;NDUFA1;NDUFS6;NDUFB1;NDUFV1;NDUFA6;NDUFB2;NDUFAF4;NDUFA3;NDUFS1;NDUFB6
prerank,Hepatitis C And Hepatocellular Carcinoma WP3646,-0.6086037722779402,-1.8450283355059651,0.0,0.03482999929313635,0.119,15/42,11.33%,VEGFA;VAV2;CXCL8;NFKB1;IL6;CDKN1A;SMAD3;CD44;IL6R;MAPK8;PODXL;MYOF;CCND1;MAPK14;CTTN
prerank,Interactome Of Polycomb Repressive Complex 2 PRC2 WP2916,-0.737243650559382,-1.82920177761157,0.007326007326007326,0.03658785137013736,0.142,9/16,17.30%,STK38;EED;MTF2;ELL;AEBP2;SETX;JARID2;EZH1;EZH2
prerank,Bladder Cancer WP2828,-0.6299318378244219,-1.8214883594082998,0.0017857142857142857,0.03574104555231296,0.157,15/34,14.47%,VEGFA;CDH1;CXCL8;ERBB2;DAPK1;CDKN1A;MDM2;RAF1;BRAF;SRC;CDKN2A;CCND1;HRAS;TYMP;MAP2K1
prerank,Corticotropin Releasing Hormone Signaling Pathway WP2355,-0.5412930752632881,-1.810755515534258,0.0,0.03648565066798615,0.183,29/67,18.75%,CXCL8;RAPGEF3;NFKB1;NR4A1;JUP;HSP90AA1;ERN1;IL18;PLCG2;NFKBIA;PRKCD;FOSB;RAF1;FOSL1;BRAF;MAP3K5;FOS;MAPK8;NOS3;MAPK14;TBX19;ECE1;ACACA;MAP2K1;SP1;GSK3B;PRKCI;FOSL2;TRIM28
prerank,Alpha 6 Beta 4 Signaling Pathway WP244,-0.613840504880095,-1.7913191028114486,0.0016638935108153079,0.043333097712118,0.237,10/32,13.27%,LAMB3;ITGB4;LAMC1;LAMC2;LAMA5;PRKCD;SRC;GAB1;MAPK14;HRAS
prerank,Initiation Of Transcription And Translation Elongation At The HIV 1 LTR WP3414,-0.6217331709197387,-1.7862766822409841,0.0018050541516245488,0.04206580900544286,0.251,12/31,16.68%,NFKB1;HDAC7;SUPT5H;HDAC9;NFKBIA;CDK9;NFATC1;PPP3R1;SP1;HDAC5;EP300;HEXIM1
prerank,Proteoglycan Biosynthesis WP4784,0.6943908762519023,1.7816296883575264,0.002336448598130841,0.0504654917723041,0.329,9/17,19.32%,XYLT1;SLC35B3;CANT1;CHST14;CHSY1;B4GALT7;EXT2;B3GAT3;B3GALT6
prerank,ErbB Signaling Pathway WP673,-0.5297491633927358,-1.781546832515724,0.0,0.04058296972695785,0.267,29/77,19.08%,AREG;ERBB2;ERBB3;CDKN1A;PLCG2;MDM2;PIK3CB;RAF1;BRAF;SRC;MAPK8;BCL2L11;GAB1;CCND1;TGFA;CBLB;CBL;RPS6KB1;HRAS;SOS2;ABL2;CRK;MAP2K1;PAK4;PAK1;CRKL;GSK3B;STAT5A;PDPK1
