Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.7928589832574974,-2.5767759040831355,0.0,0.0,0.0,47/65,13.73%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;NDUFC2;COA6;COX4I1;NDUFB5;UQCC3;UQCRC1
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.7886174822737121,-2.572594135242551,0.0,0.0,0.0,45/64,13.73%,UQCR10;NDUFV2;COX5B;NDUFB2;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;NDUFC2;COX4I1;NDUFB5;UQCC3;UQCRC1
prerank,Cellular Respiration (GO:0045333),-0.7571333813856984,-2.5580243698934444,0.0,0.0,0.0,49/80,12.04%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;ETFB;NDUFA2;COX7A2;CHCHD5;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;MDH2;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFB6;UQCRFS1;NDUFB10;ETFA;NDUFB7;NDUFC2;NDUFA11;COX4I1
prerank,Aerobic Respiration (GO:0009060),-0.7540946406838778,-2.4052757530124587,0.0,0.0,0.0,37/56,18.28%,NDUFV2;NDUFB2;NDUFA12;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;MDH2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;UQCRH;NDUFC1;NDUFS3;NDUFB6;NDUFB10;NDUFB7;NDUFC2;NDUFA11;NDUFB5;UQCRC1;NDUFS4;BLOC1S1;NDUFB8;NDUFA9;NDUFA13;NDUFV1
prerank,Mitochondrial Translation (GO:0032543),-0.6674509233296084,-2.357682763346527,0.0,0.0,0.0,41/96,12.56%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL22;MRPL4;MRPL11;MRPL28;MRPS21;MRPS12;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL45;MRPS16;TSFM;CHCHD1;MRPL27;MRPS18C;TUFM;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33
prerank,Oxidative Phosphorylation (GO:0006119),-0.76032886751006,-2.350758653340472,0.0,0.0,0.0,35/48,18.28%,NDUFV2;NDUFB2;NDUFA12;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;UQCRH;NDUFC1;NDUFS3;NDUFB6;NDUFB10;NDUFB7;NDUFC2;NDUFA11;NDUFB5;UQCRC1;NDUFS4;NDUFB8;NDUFA9;NDUFA13;NDUFV1
prerank,Translation (GO:0006412),-0.6051640315065088,-2.349595418344989,0.0,0.0,0.0,121/210,26.79%,MRPL47;GADD45GIP1;MRPS6;MRPL50;IGF2BP3;MRPS34;MRPL12;RPL26L1;AURKAIP1;RPL22L1;MRPS15;MRPL51;MRPS7;MRPL57;EIF5A;MRPL20;MRPL13;MRPL41;RPL28;RPLP1;MRPS33;MRPL52;RPL39;MRPS2;MRPL22;MRPL4;MRPL11;MRPL28;MRPS21;RPL35;MRPS12;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL45;MRPS16;TSFM;APEH;CHCHD1;RRBP1;RPS24;TNIP1;RPL18A;MRPL27;MRPS18C;TUFM;RPS15;RPS26;RPLP0;COPS5;MRPL48;MRPL36;MRPL14;MRPL18;RPS28;RPL6;GSPT1;MRPL33;RPL36;RPL29;UBA52;MRPL21;RPL12;RPS19;RPS2;ETF1;RPS5;MRPL43;MRPL23;RPS7;YARS2;RPL32;MRPL34;MRPS14;RPL37;MRPL24;MRPL40;RPL10;MRPS26;MRPS23;EIF5AL1;RPS16;ABCF1;RPS15A;MRPL35;RPL14;RPLP2;RPL11;RPL27;RPS18;RPL24;RWDD1;RPL41;RPS6;RPS8;RPS13;MRPL2;MRPL37;ZC3H15;RPL10A;MRPS28;MRPS5;FARSB;RPS9;RPS3;MRPS17;RPL18;DHPS;FAU;MRPS25;RPS3A;RPL8;MRPL16;RPL13;MRPS10;RPL7;MRPL39
prerank,Peptide Biosynthetic Process (GO:0043043),-0.6360500387716942,-2.332765425244714,0.0,0.0,0.0,84/136,26.78%,GGT5;MRPS6;IGF2BP3;MRPL12;MRPS15;MRPL51;MRPS7;MRPL13;MRPL41;RPL28;RPLP1;MRPS33;MRPL52;RPL39;MRPL11;MRPL28;MRPS21;RPL35;MRPS12;MRPS11;MRPS18A;FURIN;MRPL55;MRPL9;MRPS16;RRBP1;RPS24;TNIP1;RPL18A;MRPL27;MRPS18C;RPS15;RPS26;RPLP0;COPS5;MRPL36;MRPL14;MRPL18;RPS28;RPL6;GSPT1;RPL36;RPL29;RPL12;RPS19;RPS2;RPS5;MRPL43;MRPL23;RPS7;YARS2;RPL32;MRPL34;MRPS14;RPL37;MRPL24;RPL10;RPS16;RPS15A;MRPL35;RPL14;RPLP2;RPL11;RPL27;RPS18;RPL24;RPL41;RPS6;RPS8;RPS13;MRPL37;RPL10A;MRPS5;FARSB;RPS9;RPS3;MRPS17;RPL18;DHPS;FAU;RPS3A;RPL8;RPL13;RPL7
prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.7656155789710768,-2.3124534840904327,0.0,0.0,0.0,27/42,11.44%,NDUFV2;NDUFB2;NDUFA12;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;NDUFC1;NDUFS3;NDUFB6;NDUFB10;NDUFB7;NDUFC2;NDUFA11
prerank,Mitochondrial Gene Expression (GO:0140053),-0.649456677087342,-2.3026297672804565,0.0,0.0,0.0,54/100,19.84%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL22;MRPL4;MRPL11;MRPL28;MRPS21;MRPS12;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL45;MRPS16;CHCHD1;SLC25A33;MRPL27;MRPS18C;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33;MTERF3;FASTK;MRPL21;TBRG4;MRPL43;MRPL23;MRPL34;MRPS14;MRPL24;MRPL40;MRPS26;MRPS23;FASTKD3;MRPL35
prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.7684812739706639,-2.2987009853636584,0.0,0.0,0.0,27/41,11.44%,NDUFV2;NDUFB2;NDUFA12;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;NDUFC1;NDUFS3;NDUFB6;NDUFB10;NDUFB7;NDUFC2;NDUFA11
prerank,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),-0.6649859467849174,-2.271910823844004,0.0,0.0,0.0,48/80,19.85%,COX14;NDUFB2;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFA2;NDUFS5;NDUFB1;PET100;NDUFA8;NDUFS2;NDUFB4;NDUFB3;SDHAF3;COA3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;UQCC2;COX17;NDUFC1;NDUFS3;NDUFAF3;NDUFB6;UQCRFS1;NDUFB10;SLC25A33;COX20;NDUFB7;COX19;TMEM126A;NDUFC2;NDUFA11;TMEM126B;NDUFB5;UQCC3;NDUFAF4;NDUFS4;NDUFB8;NDUFA9;COX16;NDUFAF2;NDUFA13;ECSIT;FASTKD3;CHCHD4
prerank,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-0.7259621167259458,-2.2513736875523276,0.0,0.0,0.0,33/49,17.89%,NDUFB2;NDUFB11;NDUFA6;NDUFAB1;NDUFS8;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFS7;NDUFC1;NDUFS3;NDUFAF3;NDUFB6;NDUFB10;NDUFB7;TMEM126A;NDUFC2;NDUFA11;TMEM126B;NDUFB5;NDUFAF4;NDUFS4;NDUFB8;NDUFA9;NDUFAF2;NDUFA13
