Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Oxidative phosphorylation,-0.7538156398100015,-2.600774613710391,0.0,0.0,0.0,54/91,13.73%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;ATP6V0E1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;ATP6V0B;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;ATP6V1F;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX17;COX7C;UQCRH;ATP6V0D1;NDUFC1;NDUFS3;NDUFB6;UQCRFS1;NDUFB10;ATP6V1G1;NDUFB7;NDUFC2;NDUFA11;ATP6V1C2;COX4I1;ATP6AP1;NDUFB5;UQCRC1
prerank,Ribosome,-0.6617702959050674,-2.410706350330175,0.0,0.0,0.0,83/127,26.78%,MRPS6;MRPL12;RPL26L1;RPL22L1;MRPS15;MRPS7;MRPL20;MRPL13;RPL28;RPLP1;RPL39;MRPS2;MRPL22;MRPL32;MRPL4;MRPL11;MRPL28;MRPS21;RPL35;MRPS12;MRPL17;MRPS11;MRPS18A;MRPL9;MRPL15;MRPS16;RPS24;RPL18A;MRPL27;MRPS18C;RPS15;RPS26;RPLP0;MRPL36;MRPL14;MRPL18;RPS28;RPL6;MRPL33;RPL36;RPL29;UBA52;MRPL21;RPL12;RPS19;RPS2;RPS5;MRPL23;RPS7;RPL32;MRPL34;MRPS14;RPL37;MRPL24;RPL10;RPS16;RPS15A;MRPL35;RPL14;RPLP2;RPS12;RPL11;RPL27;RPS18;RPL24;RPL41;RPS6;RPS8;RPS13;MRPL2;RPL10A;MRPS5;RPS9;RPS3;MRPS17;RPL18;FAU;RPS3A;RPL8;MRPL16;RPL13;MRPS10;RPL7
prerank,Huntington disease,-0.6073671700826936,-2.3703333431890257,0.0,0.0,0.0,94/229,13.92%,UQCR10;NDUFV2;AP2S1;POLR2L;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;HAP1;COX6B1;COX6A1;PSMB3;PSMA1;GPX3;UQCRQ;NDUFA6;PSMA3;NDUFAB1;NDUFS8;POLR2F;NDUFS6;COX6C;PSMB2;NDUFA2;VDAC1;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;PSMA7;PSMB5;NDUFS2;SLC25A5;ADRM1;PSMD6;PSMA4;POLR2J;PSMB1;PSMC4;NDUFB4;NDUFB3;CYC1;PSMD4;UQCR11;PSMA5;NDUFA4;POLR2I;TUBA1C;WIPI1;NDUFA1;PSMB6;CLTA;NDUFA3;NDUFB9;NDUFS7;TUBB4B;POLR2K;SDHC;PSMD12;COX7C;PSMD8;PSMB7;TUBB6;UQCRH;MAP3K5;SOD1;NDUFC1;POLR2H;CYCS;NDUFS3;STX1A;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;BBC3;PSMC3;NDUFC2;NDUFA11;SLC25A6;VDAC3;CLTB;COX4I1;PSMA6;ATG101;PPIF;PSMD7;NDUFB5;UQCRC1;PSMB4;PSMD14
prerank,Amyotrophic lateral sclerosis,-0.5947061666825576,-2.365196853784676,0.0,0.0,0.0,116/273,18.46%,UQCR10;NDUFV2;HSPA5;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;HAP1;COX6B1;COX6A1;MAP2K3;PSMB3;PSMA1;GPX3;UQCRQ;NDUFA6;PSMA3;NDUFAB1;NDUFS8;NDUFS6;COX6C;PSMB2;NDUFA2;VDAC1;COX7A2;NDUFS5;COX8A;NDUFB1;ALYREF;COX5A;NDUFA8;PSMA7;PSMB5;NDUFS2;ADRM1;PSMD6;PSMA4;PSMB1;MAPK11;PSMC4;NDUFB4;NDUFB3;CYC1;PSMD4;PFN1;UQCR11;PSMA5;NDUFA4;TUBA1C;WIPI1;NDUFA1;GABARAPL1;PSMB6;NDUFA3;NDUFB9;NDUFS7;TUBB4B;NUP50;ACTG1;SDHC;PSMD12;COX7C;PSMD8;PSMB7;TUBB6;UQCRH;MAP3K5;SOD1;NDUFC1;EIF2S1;CYCS;ITPR3;NDUFS3;NXT1;ACTB;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;XBP1;SQSTM1;PSMC3;NDUFC2;NDUFA11;RAB1A;COX4I1;PSMA6;ATG101;MAPK12;PSMD7;NDUFB5;UQCRC1;PSMB4;PSMD14;HNRNPA3;NUP37;NDUFS4;RAC1;BID;PPP3R1;NDUFB8;PSMD13;NDUFA9;DERL1;PSMC2;VCP;TUBB2A;TOMM40;NDUFA13;UBQLN1;PSMD11;PSMC5;NDUFV1;BAD;RAE1
prerank,Parkinson disease,-0.6060207991845284,-2.341243573059179,0.0,0.0,0.0,92/189,14.57%,SNCA;UQCR10;NDUFV2;HSPA5;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;PSMB3;PSMA1;SLC18A2;UQCRQ;NDUFA6;PSMA3;NDUFAB1;NDUFS8;NDUFS6;COX6C;PSMB2;NDUFA2;VDAC1;COX7A2;NDUFS5;TXN;COX8A;NDUFB1;COX5A;NDUFA8;PSMA7;PSMB5;NDUFS2;SLC25A5;ADRM1;PSMD6;PSMA4;CALM2;PSMB1;PSMC4;NDUFB4;NDUFB3;CYC1;PSMD4;UQCR11;PSMA5;NDUFA4;TUBA1C;NDUFA1;PARK7;PSMB6;NDUFA3;NDUFB9;NDUFS7;TUBB4B;UBE2G1;SDHC;PSMD12;COX7C;PSMD8;PSMB7;TUBB6;UQCRH;MAP3K5;NDUFC1;EIF2S1;CYCS;ITPR3;NDUFS3;UBE2L3;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;XBP1;PSMC3;NDUFC2;NDUFA11;SLC25A6;VDAC3;COX4I1;PSMA6;PPIF;UBA52;PSMD7;NDUFB5;UQCRC1;PSMB4;PSMD14;UBC;UBB
prerank,Proteasome,-0.7230587914027635,-2.187766791515269,0.0,0.0,0.0,28/43,18.12%,PSMB3;PSMA1;POMP;PSMA3;PSMB2;PSMA7;PSMB5;ADRM1;PSMD6;PSMA4;PSMB1;PSMC4;PSMD4;PSMA5;PSMB6;PSMD12;PSMD8;PSMB7;PSME2;PSMC3;PSMA6;PSMD7;PSMB4;PSMD14;PSMD13;PSMC2;PSMD11;PSMC5
prerank,Non-alcoholic fatty liver disease,-0.599010707179904,-2.1851164703064576,0.0,0.0,0.0,58/132,13.73%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;CXCL8;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;NFKB1;MAPK11;CDC42;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX7C;UQCRH;MAP3K5;NDUFC1;EIF2S1;CYCS;NDUFS3;IL6;SREBF1;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;XBP1;NDUFC2;NDUFA11;COX4I1;ADIPOR1;MAPK12;NDUFB5;UQCRC1
prerank,Prion disease,-0.5611317860792283,-2.17398595008723,0.0,0.0,0.0,88/197,13.92%,UQCR10;NDUFV2;HSPA5;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;PSMB3;PSMA1;UQCRQ;NDUFA6;PSMA3;NDUFAB1;NDUFS8;NDUFS6;COX6C;PSMB2;NDUFA2;VDAC1;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;PSMA7;PSMB5;NDUFS2;SLC25A5;ADRM1;PSMD6;PSMA4;PSMB1;MAPK11;PSMC4;NDUFB4;NDUFB3;CYC1;PSMD4;UQCR11;PSMA5;NDUFA4;TUBA1C;NDUFA1;PSMB6;RYR2;NDUFA3;NDUFB9;NDUFS7;CYBA;TUBB4B;SDHC;PSMD12;COX7C;PSMD8;PSMB7;TUBB6;UQCRH;SOD1;NDUFC1;EIF2S1;CYCS;ITPR3;NDUFS3;IL6;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;STIP1;HSPA2;PSMC3;NDUFC2;NDUFA11;SLC25A6;VDAC3;COX4I1;PSMA6;PPIF;MAPK12;PSMD7;NDUFB5;UQCRC1;PSMB4;PSMD14
prerank,Spliceosome,-0.5585464655888138,-2.0894850511043477,0.0,0.00010789132569154487,0.001,45/130,15.49%,SNU13;SNRPD3;SNRPB;SNRPG;LSM5;ALYREF;SNRPA1;SNRPD1;SRSF9;LSM7;SF3B6;SF3B5;SNRPF;HNRNPC;SNRPC;SNRPB2;SNRPE;THOC3;MAGOHB;TXNL4A;LSM4;PPIL1;MAGOH;RBM8A;SRSF2;RBM17;SMNDC1;SNRNP40;BCAS2;HNRNPM;HSPA2;CWC15;PPIH;PCBP1;SNRNP27;PRPF19;LSM8;LSM3;SF3B4;PUF60;PRPF31;SNRPD2;HNRNPA3;LSM2;BUD31
prerank,Thermogenesis,-0.5525903301090528,-2.0870388409570344,0.0,9.710219312239039e-05,0.001,61/169,12.04%,UQCR10;NDUFV2;COX14;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;MAP2K3;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;HRAS;NDUFS2;MAPK11;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;COA3;COA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;ACTG1;SDHC;RHEB;COX17;COX7C;UQCRH;MAP3K5;ACSL5;NDUFC1;NDUFS3;NDUFAF3;SIRT6;ACTB;NDUFB6;UQCRFS1;NDUFB10;COX20;NDUFB7;COX19;NDUFC2;NDUFA11;COA6;COX4I1
