Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Respiratory Electron Transport R-HSA-611105,-0.7316334496814684,-2.4966036222762593,0.0,0.0,0.0,48/89,12.07%,UQCR10;NDUFV2;COX14;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;ETFB;NDUFA2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;NDUFB4;NDUFB3;UQCR11;NDUFA1;NDUFA3;NDUFB9;NDUFS7;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFAF3;NDUFB6;UQCRFS1;NDUFB10;COX20;ETFA;NDUFB7;COX19;NDUFC2;NDUFA11;COX4I1;TMEM126B
prerank,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",-0.7259486691474728,-2.490874820332518,0.0,0.0,0.0,48/93,12.07%,UQCR10;NDUFV2;COX14;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;ETFB;NDUFA2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;NDUFB4;NDUFB3;UQCR11;NDUFA1;NDUFA3;NDUFB9;NDUFS7;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFAF3;NDUFB6;UQCRFS1;NDUFB10;COX20;ETFA;NDUFB7;COX19;NDUFC2;NDUFA11;COX4I1;TMEM126B
prerank,Translation R-HSA-72766,-0.6121153250024951,-2.450156764562775,0.0,0.0,0.0,117/255,20.35%,SSR4;MRPL47;GADD45GIP1;MRPS6;MRPL50;SPCS3;EIF4EBP1;MRPS34;MRPL12;SEC61G;RPL26L1;AURKAIP1;RPL22L1;TRMT112;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;AIMP2;SEC61B;MRPL41;EEF1E1;RPL28;RPLP1;MRPS33;MRPL52;RPL39;MRPS2;MRPL32;SRPRB;MRPL4;MRPL11;SPCS1;MRPS21;RPL35;MRPL17;EIF4E;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL15;MRPS36;SEC11C;SPCS2;MRPL45;MRPS16;EIF2S1;EIF3I;TSFM;APEH;CHCHD1;SEC61A2;SSR2;EIF3J;SRP19;SEC61A1;RPS24;RPL18A;MRPS18C;TUFM;RPS15;RPLP0;MRPL48;MRPL36;MRPL14;MRPL18;RPS28;FARSA;RPL6;GSPT1;EIF2S2;MRPL33;RPL36;RPL29;UBA52;SRPRA;EIF3K;RPN1;MRPL21;RPL12;DDOST;RPS19;RPS2;AIMP1;ETF1;RPN2;RPS5;MRPL43;MRPL23;RPS7;YARS2;RPL32;ERAL1;MRPL34;MRPS14;SEC11A;SARS2;RPL37;MRPL24;MRPL40;MRPS26;MRPS23;DTD1;RPS16;SRP14;RPS15A;MRPL35;RPL14;RPLP2;RPS12;RPL11;RPL27
prerank,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,-0.6630598891183941,-2.4356264954205615,0.0,0.0,0.0,64/138,15.40%,LDHA;UQCR10;NDUFV2;COX14;COX5B;NDUFB2;NDUFA12;BSG;NDUFB11;COX7B;COX6B1;COX6A1;HAGH;UQCRQ;NDUFA6;SLC16A3;NDUFAB1;NDUFS8;NDUFS6;COX6C;ETFB;NDUFA2;VDAC1;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;MDH2;NDUFB4;NDUFB3;UQCR11;NDUFA1;NDUFA3;NDUFB9;GSTZ1;NDUFS7;COX7C;UQCRH;NDUFC1;CYCS;NDUFS3;NDUFAF3;NDUFB6;UQCRFS1;NDUFB10;COX20;ETFA;NDUFB7;COX19;NDUFC2;NDUFA11;COX4I1;TMEM126B;LDHB;MPC2;NDUFB5;UQCRC1;LDLR;OGDH;NDUFAF4;IDH3G;NDUFS4
prerank,Mitochondrial Translation Termination R-HSA-5419276,-0.7152467723385214,-2.4352573226073675,0.0,0.0,0.0,49/80,19.11%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;AURKAIP1;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL32;MRPL4;MRPL11;MRPS21;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL15;MRPS36;MRPL45;MRPS16;CHCHD1;MRPS18C;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33;MRPL21;MRPL43;MRPL23;ERAL1;MRPL34;MRPS14;MRPL24;MRPL40;MRPS26;MRPS23
prerank,Mitochondrial Translation Initiation R-HSA-5368286,-0.7147260114794962,-2.4277817691394694,0.0,0.0,0.0,49/80,19.11%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;AURKAIP1;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL32;MRPL4;MRPL11;MRPS21;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL15;MRPS36;MRPL45;MRPS16;CHCHD1;MRPS18C;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33;MRPL21;MRPL43;MRPL23;ERAL1;MRPL34;MRPS14;MRPL24;MRPL40;MRPS26;MRPS23
prerank,Mitochondrial Translation Elongation R-HSA-5389840,-0.7171467441300389,-2.4205668624857815,0.0,0.0,0.0,51/80,19.11%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;AURKAIP1;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL32;MRPL4;MRPL11;MRPS21;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL15;MRPS36;MRPL45;MRPS16;TSFM;CHCHD1;MRPS18C;TUFM;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33;MRPL21;MRPL43;MRPL23;ERAL1;MRPL34;MRPS14;MRPL24;MRPL40;MRPS26;MRPS23
prerank,Mitochondrial Translation R-HSA-5368287,-0.6969175842913374,-2.40226373759662,0.0,0.0,0.0,51/86,19.11%,MRPL47;GADD45GIP1;MRPS6;MRPL50;MRPS34;MRPL12;AURKAIP1;MRPS15;MRPL51;MRPS7;MRPL57;MRPL20;MRPL13;MRPL41;MRPS33;MRPL52;MRPS2;MRPL32;MRPL4;MRPL11;MRPS21;MRPL17;MRPS11;MRPS18A;MRPL55;MRPL54;MRPL44;MRPL9;MRPL15;MRPS36;MRPL45;MRPS16;TSFM;CHCHD1;MRPS18C;TUFM;MRPL48;MRPL36;MRPL14;MRPL18;MRPL33;MRPL21;MRPL43;MRPL23;ERAL1;MRPL34;MRPS14;MRPL24;MRPL40;MRPS26;MRPS23
prerank,Switching Of Origins To A Post-Replicative State R-HSA-69052,-0.6805422434294901,-2.3399632549498577,0.0,0.0,0.0,44/84,18.12%,PSMB3;PSMA1;PSMA3;PSMB2;RBX1;PSMA7;PSMB5;PSMD6;PSMA4;PSMB1;PSMC4;PSMD4;PSMA5;SKP1;PSMB6;GMNN;ANAPC16;UBE2D1;PSMD12;ANAPC15;ANAPC11;PSMD8;PSMB7;PSME2;PSMC3;PSMA6;UBA52;PSMD7;CDC26;CDT1;MCM7;PSMB4;PSMD14;PSMD10;UBC;UBB;MCM4;CDC6;PSMD13;CCNE1;PSMC2;MCM3;PSMD11;PSMC5
prerank,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,-0.7057876499340263,-2.3394481352515957,0.0,0.0,0.0,37/68,18.12%,PSMB3;PSMA1;PSMA3;PSMB2;PSMA7;PSMB5;PSMD6;PSMA4;PSMB1;PSMC4;PSMD4;PSMA5;PSMB6;ANAPC16;UBE2D1;PSMD12;ANAPC15;ANAPC11;PSMD8;PSMB7;PSME2;PSMC3;PSMA6;UBA52;PSMD7;CDC26;PSMB4;PSMD14;PSMD10;UBC;UBB;CDC6;PSMD13;CCNE1;PSMC2;PSMD11;PSMC5
