Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Electron Transport Chain OXPHOS System In Mitochondria WP111,-0.7762602766849116,-2.5544804438348465,0.0,0.0,0.0,45/73,12.04%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;SLC25A5;NDUFB4;NDUFB3;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;NDUFS7;SDHC;COX17;COX7C;UQCRH;NDUFC1;NDUFS3;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;NDUFC2;NDUFA11;SLC25A6;COX4I1
prerank,Nonalcoholic Fatty Liver Disease WP4396,-0.6344551808221292,-2.3096767209190063,0.0,0.0,0.0,57/130,12.04%,UQCR10;NDUFV2;COX5B;NDUFB2;NDUFA12;NDUFB11;COX7B;COX6B1;COX6A1;UQCRQ;NDUFA6;CXCL8;NDUFAB1;NDUFS8;NDUFS6;COX6C;NDUFA2;COX7A2;NDUFS5;COX8A;NDUFB1;COX5A;NDUFA8;NDUFS2;SMAD7;NFKB1;CDC42;NDUFB4;NDUFB3;CYC1;UQCR11;NDUFA4;NDUFA1;NDUFA3;NDUFB9;VCAM1;NDUFS7;SDHC;COX7C;UQCRH;MAP3K5;NDUFC1;EIF2S1;CYCS;NDUFS3;IL6;CCL2;SREBF1;NDUFB6;UQCRFS1;NDUFB10;NDUFB7;XBP1;BBC3;NDUFC2;NDUFA11;COX4I1
prerank,Mitochondrial Complex IV Assembly WP4922,-0.8007899951953793,-2.2794617337698617,0.0,0.0,0.0,20/31,12.04%,COX14;COX5B;COX7B;COX6B1;COX6A1;COX6C;COX7A2;COX8A;COX5A;PET100;NDUFA4;COA3;COX17;COX7C;CMC1;COX20;COX19;PNKD;COA6;COX4I1
prerank,Mitochondrial Complex I Assembly Model OXPHOS System WP4324,-0.7344137038332872,-2.2743153016719537,0.0,0.0,0.0,33/48,18.28%,NDUFV2;NDUFB2;NDUFA12;NDUFB11;NDUFA6;NDUFAB1;NDUFS6;NDUFA2;NDUFS5;NDUFB1;TMEM70;NDUFA8;NDUFS2;NDUFB4;NDUFB3;NDUFA1;NDUFA3;NDUFB9;NDUFC1;NDUFS3;NDUFAF3;NDUFB6;NDUFB10;NDUFB7;NDUFC2;TMEM126B;NDUFB5;NDUFAF4;NDUFS4;NDUFB8;NDUFAF2;NDUFA13;NDUFV1
prerank,Oxidative Phosphorylation WP623,-0.7759590996793558,-2.251701478606969,0.0,0.0,0.0,29/36,16.89%,NDUFV2;NDUFB2;NDUFA6;NDUFAB1;NDUFS8;NDUFS6;NDUFA2;NDUFS5;NDUFB1;NDUFA8;NDUFS2;NDUFB4;NDUFA4;NDUFA3;NDUFB9;NDUFS7;NDUFC1;NDUFS3;NDUFB6;NDUFB10;NDUFB7;ATP6AP2;NDUFC2;NDUFA11;ATP6AP1;NDUFB5;NDUFS4;NDUFB8;NDUFA9
prerank,Metabolic Reprogramming In Colon Cancer WP4290,-0.7118300948869918,-2.1305126198012467,0.0,0.0,0.0,25/40,20.97%,LDHA;PKM;ENO1;SLC16A3;PGAM1;MDH2;TALDO1;PSAT1;GAPDH;GPI;PSPH;SLC2A1;RPIA;PYCR2;PAICS;PGK1;PYCR1;SLC1A5;FASN;PFKL;TKT;ACO2;TIGAR;G6PD;SDHB
prerank,Proteasome Degradation WP183,-0.6361554402763152,-2.044761599688395,0.0,0.0005245642867971018,0.004,34/59,18.12%,PSMB3;PSMA1;UCHL3;PSMA3;PSMB2;PSMA7;PSMB5;PSMD6;PSMA4;PSMB1;PSMC4;PSMD4;PSMA5;PSMB6;UBE2D1;PSMD12;PSMD8;PSMB7;PSME2;PSMC3;UBE2B;PSMA6;PSMD7;PSMB4;RPN1;PSMD10;UBC;UBB;UBE2D2;RPN2;PSMD13;PSMC2;PSMD11;PSMC5
prerank,Glycosylation And Related Congenital Defects WP4521,-0.7273839201866311,-1.9924671475405176,0.0,0.0013769812528423924,0.012,12/25,14.41%,SRD5A3;GMPPB;DPM1;B4GALT1;DPM2;DPAGT1;ALG3;ALG1;DPM3;ALG14;PMM2;MPDU1
prerank,Zinc Homeostasis WP3529,-0.7147862940493255,-1.9648441108146013,0.0,0.002243969449076491,0.022,11/27,12.24%,MT1H;MT1E;MT1X;MT2A;MT1G;SLC30A2;MT1M;MT1F;SLC39A4;SLC39A7;SLC30A1
prerank,Hedgehog Signaling Pathway WP4249,0.6843863774335538,1.9453866241582614,0.0,0.028105303420864446,0.024,14/32,18.95%,CCND2;SMO;GLI3;PRKACB;PTCH1;BCL2;CCND1;GPR161;EVC2;BOC;ARRB1;EVC;KIF7;ARRB2
