Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation (GO:0006412),-0.6608306296365577,-2.5734103865045244,0.0,0.0,0.0,110/168,24.05%,MRPL14;MRPS21;RPL22L1;GADD45GIP1;MRPL34;MRPL47;EIF5A;RPS7;RPL27;MRPS18C;MRPL57;RPL18A;MRPL27;MRPS34;CHCHD1;MRPL17;MRPL4;RPL35;RPL10A;MRPL43;RPL8;MRPS2;RPL12;MRPL54;RPS13;RPL39;MRPL41;RPL29;MRPL13;MRPL36;MRPL20;MRPL52;RPS3;MRPL12;RPL41;RPL14;RPS24;RPL23A;RPL7A;MRPL51;COPS5;RWDD1;MRPL23;RPL10;MRPL50;RPS3A;RPS18;RPS25;MRPS18A;MRPL21;RPL36;RPS5;RPS2;MRPS23;RPLP1;RPL32;RPL26L1;RPS16;MRPL11;RPSA;MRPL24;RPL11;RPS15;MRPS18B;RPL28;RPL37;MRPL22;RPL35A;RPL26;MRPL28;RPS15A;AURKAIP1;FAU;RPLP2;RPL24;UBA52;MRPL40;MRPL37;MRPL16;RPL9;RPL6;TUFM;MRPL33;RPL7;RPL18;MRPS26;MRPS12;RPS9;MRPS15;MRPL9;RPL17;RPS27A;RPS19;MRPL55;RPL22;RPL34;RPL5;RPLP0;MRPL2;MRPS11;RPL19;MRPS14;MRPL18;RPS27;RPL37A;RPS10;RPS23;RPS28;EEF1B2;RPS14
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.7632400497450117,-2.5523499552903854,0.0,0.0,0.0,46/59,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;SDHD;COX6B1;NDUFB10;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;SDHB;SDHC;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;UQCC3;CYC1;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Cellular Respiration (GO:0045333),-0.7487287700566698,-2.5522542998289084,0.0,0.0,0.0,51/69,18.50%,COX5B;COX6A1;COX8A;NDUFS5;CHCHD5;NDUFS3;NDUFAB1;COX6C;MDH2;NDUFA11;COX6B1;NDUFB10;NDUFB3;BLOC1S1;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;CYC1;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.7567539745000196,-2.5411656551046358,0.0,0.0,0.0,47/61,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;SDHD;COX6B1;NDUFB10;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;UQCC3;CYC1;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Mitochondrial Translation (GO:0032543),-0.7114074818319254,-2.4653142983369185,0.0,0.0,0.0,42/69,17.74%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPL27;MRPS34;CHCHD1;MRPL17;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL11;MRPL24;MRPS18B;MRPL22;MRPL28;MRPL40;MRPL37;MRPL16;TUFM;MRPL33;MRPS26;MRPS12;MRPS15;MTIF3;MRPL9
prerank,Cytoplasmic Translation (GO:0002181),-0.6932393093302633,-2.462069841088239,0.0,0.0,0.0,64/87,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;EIF3I;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RWDD1;RPL10;RPS3A;RPS18;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL26L1;RPS16;RPSA;EIF3M;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;RPL24;UBA52;RPL9;RPL6;RPL7;RPL18;MRPS12;RPS9;RPL17;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Peptide Biosynthetic Process (GO:0043043),-0.6480780862743782,-2.415863957711225,0.0,0.0,0.0,84/122,24.39%,MRPL14;MRPS21;MRPL34;RPS7;RPL27;MRPS18C;RPL18A;MRPL27;RPL35;RPL10A;MRPL43;RPL8;RPL12;RPS13;RPL39;MRPL41;RPL29;MRPL13;MRPL36;MRPL52;RPS3;MRPL12;RPL41;RPL14;RPS24;RPL23A;RPL7A;MRPL51;COPS5;MRPL23;RPL10;RPS3A;RPS18;RPS25;MRPS18A;RPL36;RPS5;RPS2;RPLP1;RPL32;RPS16;MRPL11;RPSA;MRPL24;RPL11;RPS15;MRPS18B;RPL28;RPL37;RPL35A;RPL26;MRPL28;RPS15A;FAU;RPLP2;RPL24;MRPL37;RPL9;RPL6;RPL7;RPL18;MRPS12;RPS9;MRPS15;MRPL9;RPL17;RPS27A;RPS19;MRPL55;RPL22;RPL34;RPL5;RPLP0;MRPS11;RPL19;MRPS14;MRPL18;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Mitochondrial Gene Expression (GO:0140053),-0.6902579939094882,-2.3912869321507997,0.0,0.0,0.0,40/69,17.74%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPL27;MRPS34;CHCHD1;MRPL17;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL11;MRPL24;MRPS18B;MRPL22;MRPL28;MRPL40;MRPL37;MRPL16;MRPL33;MRPS26;MRPS12;MRPS15;MRPL9
prerank,Oxidative Phosphorylation (GO:0006119),-0.7546354860155697,-2.3854818812126837,0.0,0.0,0.0,35/45,17.93%,NDUFS5;NDUFS3;NDUFAB1;CHCHD10;NDUFA11;SDHD;NDUFB10;NDUFB3;NDUFC2;NDUFS6;NDUFB11;NDUFB6;NDUFB4;NDUFB7;NDUFA8;NDUFB5;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;NDUFC1;NDUFA1;NDUFB1;NDUFS4;NDUFV3;NDUFS2;NDUFV1;UQCRH
prerank,Aerobic Respiration (GO:0009060),-0.7494451603048767,-2.374941426731674,0.0,0.0,0.0,36/47,17.93%,NDUFS5;NDUFS3;NDUFAB1;CHCHD10;MDH2;NDUFA11;NDUFB10;NDUFB3;BLOC1S1;NDUFC2;NDUFS6;NDUFB11;NDUFB6;NDUFB4;NDUFB7;NDUFA8;NDUFB5;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;NDUFC1;NDUFA1;NDUFB1;NDUFS4;NDUFV3;NDUFS2;NDUFV1;UQCRH
