Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,-0.7075419083361416,-2.624882582229062,0.0,0.0,0.0,92/124,24.39%,MRPL14;MRPS21;RPL22L1;MRPL34;RPS7;RPL27;MRPS18C;RPL18A;MRPL27;MRPL17;MRPL4;RPL35;RPL10A;RPL8;MRPS2;RPL12;RPS13;RPL39;RPL29;MRPL13;MRPL36;MRPL32;MRPL20;RPS3;MRPL12;RPL41;RPL14;RPS24;RPL23A;RPL7A;MRPL23;RPL10;RPS3A;RPS18;RPS25;MRPS18A;MRPL21;RPL36;RPS5;RPS2;MRPL15;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;MRPL11;RPSA;MRPL24;RPS12;RPL11;RPS15;RPL28;RPL37;MRPL22;RPL35A;RPL26;MRPL28;RPS15A;FAU;RPLP2;RPL24;UBA52;MRPL16;RPL9;RPL6;MRPL33;RPL7;RPL18;MRPS12;RPS9;MRPS15;MRPL9;RPL17;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;MRPL2;MRPS11;RPL19;MRPS14;MRPL18;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Oxidative phosphorylation,-0.7205125378387048,-2.498867325027158,0.0,0.0,0.0,61/78,24.03%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;NDUFA11;SDHD;COX6B1;NDUFB10;ATP6V1G1;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;ATP6V0B;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;ATP6V1F;CYC1;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A;PPA2;COX17;ATP6V0E1;COX7A1;NDUFA9;NDUFV2;ATP6AP1;NDUFA3;COX11
prerank,Parkinson disease,-0.6108030380429953,-2.36640420917089,0.0,0.0,0.0,93/158,20.83%,COX5B;COX6A1;COX8A;CALM2;NDUFS5;NDUFS3;NDUFAB1;PSMB3;COX6C;PSMA3;NDUFA11;SDHD;COX6B1;PSMA4;NDUFB10;NDUFB3;UBE2L6;PSMB5;NDUFA4;COX7B;NDUFC2;NDUFS6;TUBB6;UQCR10;NDUFB11;NDUFB6;UQCR11;PSMD8;PSMA1;PSMC4;NDUFB4;NDUFB7;EIF2S1;NDUFA8;UQCRQ;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;PPIF;PSMB1;VDAC3;TUBA1C;NDUFA12;PSMA5;TXN;PARK7;SDHB;SDHC;NDUFA13;HTRA2;NDUFA2;NDUFB8;NDUFS8;NDUFB2;PSMB2;NDUFB9;DUSP1;CYC1;VDAC2;UBB;DAXX;NDUFC1;UBA52;NDUFA1;NDUFB1;PSMB7;UQCRFS1;PSMB6;NDUFS4;NDUFV3;NDUFS2;COX7C;VDAC1;MAOB;TUBA1A;NDUFV1;UQCRH;TUBA1B;RPS27A;COX5A;HSPA5;PSMD9;PSMA7;PSMD4;GNAI1;SLC25A5;PSMC2;PSMA2;PSMC5;UBE2L3;COX7A1
prerank,Non-alcoholic fatty liver disease,-0.6230489275892803,-2.2809510761735394,0.0,0.0,0.0,58/106,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;TNFRSF1A;NDUFA11;SDHD;COX6B1;NDUFB10;NDUFB3;CXCL8;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFB4;NDUFB7;EIF2S1;CDC42;NDUFA8;RAC1;UQCRQ;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;CYC1;INSR;MLX;FOS;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Prion disease,-0.5777934501931445,-2.2314715860113314,0.0,0.0,0.0,87/163,20.83%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;PSMB3;COX6C;PSMA3;NDUFA11;SDHD;COX6B1;PSMA4;NDUFB10;NDUFB3;PSMB5;NDUFA4;COX7B;HSPA2;NDUFC2;NDUFS6;TUBB6;UQCR10;NDUFB11;NDUFB6;UQCR11;PSMD8;PSMA1;PSMC4;CSNK2B;NDUFB4;NDUFB7;EIF2S1;NDUFA8;RAC1;UQCRQ;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;PPIF;PSMB1;VDAC3;TUBA1C;NDUFA12;PSMA5;SDHB;CREB5;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;SOD1;NDUFB2;PSMB2;NDUFB9;CYC1;VDAC2;NDUFC1;NDUFA1;NDUFB1;PSMB7;CREB3;UQCRFS1;PSMB6;NDUFS4;NDUFV3;NDUFS2;COX7C;VDAC1;TUBA1A;NDUFV1;UQCRH;TUBA1B;COX5A;CAV2;HSPA5;PSMD9;PSMA7;PSMD4;SLC25A5;PSMC2;PSMA2;PSMC5;COX7A1
prerank,Diabetic cardiomyopathy,-0.5757612953537059,-2.1336586847606056,0.0,0.00010316865323640065,0.001,61/114,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;NDUFA11;SDHD;COX6B1;MPC1;NDUFB10;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;RAC1;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;PPIF;VDAC3;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;MPC2;NDUFB9;PDHB;CYC1;INSR;VDAC2;GAPDH;NDUFC1;NDUFA1;NDUFB1;REN;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;VDAC1;NDUFV1;UQCRH;PPP1CA;COX5A
prerank,Amyotrophic lateral sclerosis,-0.5347814214586152,-2.1302502201581155,0.0,8.843027420262913e-05,0.001,92/208,20.83%,COX5B;COX6A1;PFN1;GPX3;COX8A;ACTB;NDUFS5;NDUFS3;NDUFAB1;PSMB3;COX6C;ALYREF;TNFRSF1A;PSMA3;CHCHD10;ACTG1;NDUFA11;SDHD;COX6B1;NXT1;PSMA4;NDUFB10;NDUFB3;PSMB5;RAB1A;NDUFA4;COX7B;NDUFC2;NDUFS6;TUBB6;UQCR10;NDUFB11;NDUFB6;UQCR11;PSMD8;PSMA1;PSMC4;NDUFB4;NDUFB7;EIF2S1;NDUFA8;RAC1;UQCRQ;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;MAP2K3;PSMB1;TUBA1C;NDUFA12;PSMA5;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;SOD1;NDUFB2;PSMB2;NDUFB9;CYC1;DAXX;NDUFC1;GABARAPL2;NDUFA1;NDUFB1;PSMB7;ACTR1A;UQCRFS1;PSMB6;NDUFS4;NDUFV3;NDUFS2;COX7C;GABARAPL1;VDAC1;TUBA1A;NDUFV1;UQCRH;TUBA1B;COX5A;HSPA5;PSMD9;PSMA7;PSMD4;PSMC2;PSMA2;PSMC5;COX7A1
prerank,Huntington disease,-0.5384614883656198,-2.1084081706401094,0.0,7.737648992730048e-05,0.001,97/178,20.83%,COX5B;COX6A1;GPX3;COX8A;POLR2F;POLR2I;NDUFS5;NDUFS3;NDUFAB1;PSMB3;COX6C;POLR2K;PSMA3;POLR2E;NDUFA11;SDHD;COX6B1;POLR2H;PSMA4;NDUFB10;NDUFB3;PSMB5;AP2S1;TGM2;NDUFA4;COX7B;NDUFC2;POLR2J;NDUFS6;TUBB6;UQCR10;NDUFB11;NDUFB6;UQCR11;PSMD8;PSMA1;PSMC4;NDUFB4;NDUFB7;POLR2C;NDUFA8;UQCRQ;POLR2G;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;PPIF;POLR2L;PSMB1;VDAC3;TUBA1C;NDUFA12;PSMA5;SDHB;CREB5;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;SOD1;NDUFB2;PSMB2;NDUFB9;CYC1;VDAC2;NDUFC1;NDUFA1;NDUFB1;PSMB7;ACTR1A;CREB3;CLTA;UQCRFS1;CLTB;PSMB6;NDUFS4;NDUFV3;NDUFS2;COX7C;VDAC1;TUBA1A;NDUFV1;UQCRH;TUBA1B;COX5A;PSMD9;PSMA7;AP2M1;PSMD4;SLC25A5;PSMC2;PSMA2;PSMC5;COX7A1
prerank,Thermogenesis,-0.5575220062460999,-2.0947332365067335,0.0,6.877910215760043e-05,0.001,63/127,18.50%,COX5B;COX6A1;COX8A;ACTB;RHEB;COA4;NDUFS5;NDUFS3;NDUFAB1;COX6C;ACTG1;NDUFA11;SDHD;COA3;COX6B1;NDUFB10;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;COX14;UQCR10;NDUFB11;NDUFB6;UQCR11;HRAS;NDUFAF2;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;MAP2K3;NDUFA12;SDHB;CREB5;SDHC;NDUFA13;PNPLA2;COA5;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;COX19;CYC1;NDUFC1;NDUFA1;NDUFB1;CREB3;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Drug metabolism,-0.7396660982843147,-2.0878228796026366,0.0,6.19011919418404e-05,0.001,17/26,17.69%,MGST1;GSTP1;ITPA;GSTO1;MGST2;NME1;TYMP;GSTK1;IMPDH2;MGST3;NME3;UPP1;NME4;HPRT1;DUT;TK1;MAOB
