Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation R-HSA-72766,-0.6305605006374506,-2.515232123706056,0.0,0.0,0.0,113/210,21.36%,MRPL14;MRPS21;RPL22L1;GADD45GIP1;EEF1E1;MRPL34;MRPL47;RPS7;RPL27;MRPS18C;MRPL57;RPL18A;MRPS34;CHCHD1;MRPL17;MRPS36;MRPL4;RPL35;RPL10A;MRPL43;RPL8;MRPS2;RPL12;MRPL54;RPS13;RPL39;MRPL41;RPL29;MRPL13;MRPL36;MRPL32;SEC61G;EIF3I;MRPL20;EIF4EBP1;MRPL52;RPS3;MRPL12;RPL41;RPL14;SRP14;RPS24;RPL23A;RPL7A;MRPL51;MRPL23;MRPL50;RPS3A;EIF2S1;RPS25;MRPS18A;EIF3F;MRPL21;RPL36;RPS5;RPS2;MRPS23;MRPL15;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;MRPL11;RPSA;EIF3M;MRPL24;RPS12;RPL11;EIF4E;RPS15;SEC61B;MRPS18B;TRMT112;RPL28;RPL37;RPL35A;RPL26;RPS15A;AURKAIP1;FAU;RPLP2;UBA52;EIF3G;MRPL40;MRPL37;MRPL16;SEC11A;RPL9;SRP19;RPL6;TUFM;MRPL33;RPL7;RPL18;MRPS26;EIF3K;RPS9;MRPS15;MTIF3;MRPL9;RPS27A;RPS19;PPA2;MRPL55;MRPS35;RPL22;RPL34;RPL5;RPLP0;MRPS11;RPL19;MRPS14
prerank,Selenoamino Acid Metabolism R-HSA-2408522,-0.6925950939054917,-2.4874716979305442,0.0,0.0,0.0,63/89,24.39%,NNMT;RPL22L1;EEF1E1;RPS7;RPL27;RPL18A;AHCY;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;RPS12;RPL11;RPS15;RPL28;RPL37;HNMT;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Eukaryotic Translation Termination R-HSA-72764,-0.7014931684868823,-2.4781148823844976,0.0,0.0,0.0,60/83,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;RPS12;RPL11;RPS15;TRMT112;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.6896730110565341,-2.4762000282376464,0.0,0.0,0.0,64/93,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;EIF3I;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;EIF3F;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;EIF3M;RPS12;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;EIF3G;RPL9;RPL6;RPL7;RPL18;EIF3K;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Mitochondrial Translation Elongation R-HSA-5389840,-0.7235180957286659,-2.474015440386795,0.0,0.0,0.0,41/65,17.74%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPS34;CHCHD1;MRPL17;MRPS36;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL32;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL15;MRPL11;MRPL24;MRPS18B;AURKAIP1;MRPL40;MRPL37;MRPL16;TUFM;MRPL33;MRPS26;MRPS15;MRPL9
prerank,Respiratory Electron Transport R-HSA-611105,-0.714471684734358,-2.4732692868541317,0.0,0.0,0.0,49/74,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;NDUFA11;SDHD;COX6B1;NDUFB10;NDUFB3;COX7B;NDUFC2;NDUFS6;COX14;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFAF2;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;NDUFA6;NDUFS7;NDUFA12;SDHB;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;TIMMDC1;COX19;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Peptide Chain Elongation R-HSA-156902,-0.7016743740207888,-2.4712403032825727,0.0,0.0,0.0,59/82,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;RPS12;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Mitochondrial Translation R-HSA-5368287,-0.7225974881212688,-2.469854138853323,0.0,0.0,0.0,42/67,17.74%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPS34;CHCHD1;MRPL17;MRPS36;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL32;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL15;MRPL11;MRPL24;MRPS18B;AURKAIP1;MRPL40;MRPL37;MRPL16;TUFM;MRPL33;MRPS26;MRPS15;MTIF3;MRPL9
prerank,Eukaryotic Translation Elongation R-HSA-156842,-0.6978138995879625,-2.4659550387947613,0.0,0.0,0.0,60/84,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;RPS12;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;EEF1B2;RPS14;RPS6
prerank,Mitochondrial Translation Termination R-HSA-5419276,-0.7239967419835086,-2.465699234044893,0.0,0.0,0.0,44/64,21.36%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPS34;CHCHD1;MRPL17;MRPS36;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL32;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL15;MRPL11;MRPL24;MRPS18B;AURKAIP1;MRPL40;MRPL37;MRPL16;MRPL33;MRPS26;MRPS15;MRPL9;MRPL55;MRPS35;MRPS11;MRPS14
prerank,Mitochondrial Translation Initiation R-HSA-5368286,-0.7273596844653226,-2.465450011363543,0.0,0.0,0.0,41/64,17.74%,MRPL14;MRPS21;GADD45GIP1;MRPL34;MRPL47;MRPS18C;MRPL57;MRPS34;CHCHD1;MRPL17;MRPS36;MRPL4;MRPL43;MRPS2;MRPL54;MRPL41;MRPL13;MRPL36;MRPL32;MRPL20;MRPL52;MRPL12;MRPL51;MRPL23;MRPL50;MRPS18A;MRPL21;MRPS23;MRPL15;MRPL11;MRPL24;MRPS18B;AURKAIP1;MRPL40;MRPL37;MRPL16;MRPL33;MRPS26;MRPS15;MTIF3;MRPL9
prerank,Cellular Response To Starvation R-HSA-9711097,-0.6702193515495247,-2.457180373519103,0.0,0.0,0.0,71/109,24.39%,LAMTOR5;RPL22L1;RHEB;RPS7;RPL27;LAMTOR2;RPL18A;RPL35;RPL10A;LAMTOR1;RPL8;RPL12;RPS13;RPL39;CEBPB;RPL29;MRPL13;ATP6V1G1;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;EIF2S1;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;ATP6V0B;RPS12;RPL11;RPS15;RPL28;RPL37;ATP6V1F;RPL35A;LAMTOR4;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;ATP6V0E1;RPL19;RRAGA;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,-0.6720870473094172,-2.4444562786365465,0.0,0.0,0.0,62/100,20.47%,COX5B;COX6A1;LDHA;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;MDH2;NDUFA11;SDHD;COX6B1;MPC1;NDUFB10;NDUFB3;COX7B;NDUFC2;NDUFS6;BSG;COX14;UQCR10;NDUFB11;NDUFB6;UQCR11;NDUFAF2;HAGH;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;NDUFA6;NDUFS7;LDHB;NDUFA12;SDHB;NDUFA13;NDUFA2;NDUFB8;NDUFS8;SUCLG1;NDUFB2;MPC2;NDUFB9;PDHB;TIMMDC1;COX19;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;VDAC1;NDUFV1;UQCRH;COX5A;IDH2;LDLR;ETFB
prerank,Selenocysteine Synthesis R-HSA-2408557,-0.6917471214660783,-2.437700168476206,0.0,0.0,0.0,59/82,24.39%,RPL22L1;RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;MRPL13;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPS3A;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPL26L1;RPS16;RPSA;RPS12;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
