Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Ribosomal Proteins WP477,-0.6867053199452652,-2.4360006034702204,0.0,0.0,0.0,60/82,24.39%,RPS7;RPL27;RPL18A;RPL35;RPL10A;RPL8;RPL12;RPS13;RPL39;RPL29;RPS3;RPL41;RPL14;RPS24;RPL23A;RPL7A;RPL10;RPS3A;RPS18;RPS25;RPL36;RPS5;RPS2;RPLP1;RPL32;RPL36A;RPS16;RPSA;RPS12;RPL11;RPS15;RPL28;RPL37;RPL35A;RPL26;RPS15A;FAU;RPLP2;RPL24;UBA52;RPL9;RPL6;RPL7;RPL18;RPS9;RPL17;RPS27A;RPS19;RPL22;RPL34;RPL5;RPLP0;RPL19;RPS27;RPL37A;RPS10;RPS23;RPS28;RPS14;RPS6
prerank,Nonalcoholic Fatty Liver Disease WP4396,-0.6674522089616396,-2.429472520910002,0.0,0.0,0.0,58/104,18.50%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;TNFRSF1A;NDUFA11;SDHD;COX6B1;NDUFB10;NDUFB3;CXCL8;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB11;NDUFB6;UQCR11;CCL2;NDUFB4;NDUFB7;EIF2S1;CDC42;NDUFA8;RAC1;UQCRQ;BAX;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;CYC1;INSR;MLX;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A
prerank,Electron Transport Chain OXPHOS System In Mitochondria WP111,-0.7038566853691274,-2.388137103027436,0.0,0.0,0.0,50/67,20.83%,COX5B;COX6A1;COX8A;NDUFS5;NDUFS3;NDUFAB1;COX6C;NDUFA11;SDHD;COX6B1;NDUFB10;NDUFB3;NDUFA4;COX7B;NDUFC2;NDUFS6;UQCR10;NDUFB6;UQCR11;NDUFB4;NDUFB7;NDUFA8;UQCRQ;NDUFB5;COX7A2;NDUFA6;NDUFS7;NDUFA12;SDHB;SDHC;NDUFA13;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;NDUFC1;NDUFA1;NDUFB1;UQCRFS1;NDUFS4;NDUFV3;NDUFS2;COX7C;NDUFV1;UQCRH;COX5A;SLC25A5;COX17;COX7A1
prerank,Mitochondrial Complex I Assembly Model OXPHOS System WP4324,-0.7531306577283109,-2.2757106071030155,0.0,0.0,0.0,30/38,17.87%,NDUFS5;NDUFS3;NDUFAB1;NDUFB10;NDUFB3;NDUFC2;NDUFS6;NDUFB11;NDUFB6;NDUFAF2;NDUFB4;NDUFB7;NDUFA8;NDUFB5;NDUFA6;NDUFA12;NDUFA13;NDUFA2;NDUFB8;TMEM70;NDUFB2;NDUFB9;TIMMDC1;NDUFC1;NDUFA1;NDUFB1;NDUFS4;NDUFV3;NDUFS2;NDUFV1
prerank,Oxidative Phosphorylation WP623,-0.7317355932257505,-2.184043585092651,0.0,0.0,0.0,30/35,23.62%,NDUFS5;NDUFS3;NDUFAB1;NDUFA11;NDUFB10;NDUFA4;NDUFC2;NDUFS6;NDUFB6;NDUFB4;NDUFB7;NDUFA8;NDUFB5;NDUFA6;NDUFS7;NDUFA2;NDUFB8;NDUFS8;NDUFB2;NDUFB9;NDUFC1;NDUFB1;NDUFS4;NDUFV3;NDUFS2;NDUFV1;NDUFA9;NDUFV2;ATP6AP1;NDUFA3
prerank,Metapathway Biotransformation Phase I And II WP702,-0.7672250232114524,-2.112328365191659,0.0,0.00011654140689498108,0.001,14/23,13.44%,NNMT;NAA20;GPX3;MGST1;CYP1B1;GSTP1;GSTO1;COMT;MGST2;NAT14;GPX4;GSTK1;MGST3;HNMT
prerank,Mitochondrial Complex IV Assembly WP4922,-0.7056908677512684,-1.974418545073842,0.0,0.0009989263448141235,0.01,19/24,24.34%,COX5B;COX6A1;COX8A;COX6C;COA3;COX6B1;NDUFA4;COX7B;COX14;COX7A2;PET100;CMC1;COX19;COX7C;COX5A;COX17;COA6;COX11;HIGD1A
prerank,Wnt Signaling Pathway And Pluripotency WP399,0.586281776933723,1.9036119919722063,0.0,0.11035168784494931,0.065,12/35,12.40%,MAPK10;CCND2;TCF7;CREBBP;WNT5A;PPP2R5C;PRKCA;EP300;LRP6;PPP2R5E;RACGAP1;APC
prerank,Histone Modifications WP2369,0.6674854945344774,1.9036094104379664,0.002288329519450801,0.055175843922474654,0.065,10/21,12.96%,PRDM2;KMT2A;KMT2E;KMT5B;SETBP1;KMT2C;ASH1L;SETD2;DOT1L;SETD7
prerank,Pathways Affected In Adenoid Cystic Carcinoma WP3651,0.581300897010887,1.902736170577279,0.0,0.03726789457921534,0.066,19/42,17.09%,SMARCA2;CREBBP;ATM;ATRX;TLK1;KAT6A;KMT2C;KANSL1;MGA;BRCA1;MYBL1;FBXW7;SETD2;EP300;KDM6B;KDM6A;ARID1A;NCOR1;PRKDC
