Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.7555892985091485,-2.591603334858808,0.0,0.0,0.0,39/63,14.46%,COX7B;CYCS;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;COX5B;NDUFAB1;NDUFB1;COX7C;NDUFV2;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;UQCRQ;NDUFB6;NDUFA12;UQCRH;SDHD;NDUFAF1;COX5A;NDUFB4;CYC1;NDUFS4;NDUFB9;UQCC3
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.7548337753221877,-2.5630211146857644,0.0,0.0,0.0,38/61,14.46%,COX7B;CYCS;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;COX5B;NDUFAB1;NDUFB1;COX7C;NDUFV2;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;UQCRQ;NDUFB6;UQCRH;SDHD;NDUFAF1;COX5A;NDUFB4;CYC1;NDUFS4;NDUFB9;UQCC3
prerank,Cellular Respiration (GO:0045333),-0.7181899674292526,-2.513517592363698,0.0,0.0,0.0,39/73,14.35%,COX7B;CYCS;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;COX5B;NDUFAB1;NDUFB1;COX7C;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;UQCRQ;NDUFB6;NDUFA12;UQCRH;MDH2;COX5A;NDUFB4;CYC1;NDUFA13;NDUFS4;NDUFB9
prerank,Translation (GO:0006412),-0.602787518560357,-2.429032603338595,0.0,0.0,0.0,104/179,24.43%,RPL22L1;RPL39;ABCE1;MRPL52;RPL35;RPS27;RPL36;RPS28;GADD45GIP1;MRPL4;MRPL41;MRPL11;AURKAIP1;MRPL13;MRPS15;MRPL47;GSPT1;MRPS7;MRPL51;MRPL18;MRPS21;MRPS14;MRPS28;MRPL12;MRPL42;FASTKD2;MRPS6;MRPL9;MRPL54;RPS19;RPL34;RPS15;RPS18;MRPL14;ZC3H15;MRPS23;MRPL36;MRPL22;RPL37;MRPL50;MRPL1;RPL36AL;MRPS34;FAU;RPL23A;RPLP2;MRPL21;MRPL2;RPL11;RPS24;RPS5;MRPL24;RPS29;RPS25;RPSA;MRPS10;RPL8;RPL24;MRPL57;RPS7;ABCF1;RPL26L1;UBA52;MRPL3;MRPL33;RPL14;RPL10;MRPL48;RPS27A;EIF5A;RPL30;MRPL30;MRPL43;EEF1B2;RPS8;RPS15A;RPL32;MRPL55;MRPS2;MRPL16;MRPS30;RWDD1;COPS5;RPLP1;DAP3;MRPL23;RPL21;RPL28;RPS13;RPL18A;RPL22;RPS26;MRPL40;MRPL20;MRPS12;MRPS26;MRPL44;MRPS33;RPS23;RPL35A;RPL10A;MRPS16;CHCHD1;MRPL45
prerank,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),-0.6816119278782706,-2.3503011900031265,0.0,0.0,0.0,44/63,22.22%,NDUFB2;NDUFB3;NDUFS5;COX17;TMEM126A;NDUFB5;NDUFA6;NDUFS7;COX20;NDUFAB1;NDUFB1;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFAF4;UQCC2;NDUFA2;NDUFB10;NDUFS8;COX14;NDUFB6;LYRM2;NDUFAF1;NDUFB4;NDUFA13;NDUFAF2;NDUFS4;NDUFB9;UQCC3;NDUFB8;AIFM1;COA3;SCO1;TMEM126B;PET100;UQCRFS1;NDUFA3;NDUFA11;NDUFS3;NDUFC1;NDUFA10;COX16;SMIM20
prerank,Mitochondrial Gene Expression (GO:0140053),-0.641912712042658,-2.291815292819528,0.0,0.0,0.0,54/78,24.43%,MRPL52;GADD45GIP1;MRPL4;MRPL41;MRPL11;MRPL13;MRPS15;MRPL47;MRPS7;MRPL51;MRPL18;MRPS21;MRPS14;MRPS28;MRPL12;MRPL42;FASTKD2;MRPS6;MRPL9;MRPL54;MRPL14;MRPS23;MRPL36;MRPL22;MRPL50;MRPL1;MRPS34;MRPL21;MRPL2;MRPL24;MRPS10;MRPL57;MRPL3;MRPL33;MRPL48;MRPL30;MRPL43;MRPL55;MRPS2;MRPL16;MRPS30;DAP3;MRPL23;TFAM;MRPL40;MRPL20;MRPS12;MRPS26;MRPL44;SLC25A33;MRPS33;MRPS16;CHCHD1;MRPL45
prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.7183166396345537,-2.280691918157752,0.0,0.0,0.0,24/41,14.35%,NDUFB2;NDUFB3;NDUFS5;NDUFS6;NDUFB5;NDUFA6;NDUFS7;NDUFAB1;NDUFB1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;NDUFB6;NDUFA12;SDHD;NDUFB4;NDUFA13;NDUFS4;NDUFB9
prerank,Oxidative Phosphorylation (GO:0006119),-0.7160577283444471,-2.279939157453529,0.0,0.0,0.0,33/45,21.66%,NDUFB2;NDUFB3;NDUFS5;NDUFS6;NDUFB5;NDUFA6;NDUFS7;NDUFAB1;NDUFB1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;NDUFB6;NDUFA12;UQCRH;SDHD;NDUFB4;NDUFA13;NDUFS4;NDUFB9;NDUFB8;NDUFA3;NDUFA11;CHCHD10;NDUFS3;SDHB;NDUFC1;NDUFA10
prerank,Mitochondrial Translation (GO:0032543),-0.6356615802917358,-2.279441068205626,0.0,0.0,0.0,52/77,24.43%,MRPL52;GADD45GIP1;MRPL4;MRPL41;MRPL11;MRPL13;MRPS15;MRPL47;MRPS7;MRPL51;MRPL18;MRPS21;MRPS14;MRPS28;MRPL12;MRPL42;FASTKD2;MRPS6;MRPL9;MRPL54;MRPL14;MRPS23;MRPL36;MRPL22;MRPL50;MRPL1;MRPS34;MRPL21;MRPL2;MRPL24;MRPS10;MRPL57;MRPL3;MRPL33;MRPL48;MRPL30;MRPL43;MRPL55;MRPS2;MRPL16;MRPS30;DAP3;MRPL23;MRPL40;MRPL20;MRPS12;MRPS26;MRPL44;MRPS33;MRPS16;CHCHD1;MRPL45
prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.7210037005482279,-2.2776991295929205,0.0,0.0,0.0,24/40,14.35%,NDUFB2;NDUFB3;NDUFS5;NDUFS6;NDUFB5;NDUFA6;NDUFS7;NDUFAB1;NDUFB1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;NDUFB6;NDUFA12;SDHD;NDUFB4;NDUFA13;NDUFS4;NDUFB9
