Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Oxidative phosphorylation,-0.7133355524893104,-2.5709089745992806,0.0,0.0,0.0,46/82,14.35%,COX7B;NDUFB2;NDUFA4;ATP6V0B;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;COX17;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;ATP6V1H;COX5B;NDUFAB1;ATP6V1F;NDUFB1;COX7C;NDUFV2;NDUFB11;NDUFA9;PPA1;NDUFA1;NDUFA5;NDUFA2;NDUFB10;NDUFS8;UQCRQ;ATP6V1G1;NDUFB6;NDUFA12;UQCRH;SDHD;COX5A;NDUFB4;CYC1;NDUFA13;COX7A2L;ATP6V1D;NDUFS4;NDUFB9
prerank,Parkinson disease,-0.6460662787565069,-2.564002808668788,0.0,0.0,0.0,72/164,14.77%,TXN;TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;HSPA5;PSMA5;COX8A;COX6C;ADRM1;VDAC2;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;PSMA7;NDUFA2;NDUFB10;NDUFS8;UQCRQ;BAX;TUBB2A;PARK7;TUBB;PSMD12;UBB;CAMK2D;NDUFB6;NDUFA12;UBC;PSMC3;UQCRH;PSMB6;SDHD;PSMD14;PSMC4;COX5A;NDUFB4;CYC1;MAOA;TUBB6;PSMB1;NDUFA13;COX7A2L;PSMA4;CALM1;NDUFS4;NDUFB9;UBE2L3;XBP1
prerank,Ribosome,-0.6512083602470071,-2.546415595872646,0.0,0.0,0.0,76/125,23.88%,RPL22L1;RPL39;RPL35;RPS27;RPL36;RPS28;MRPL4;MRPL11;MRPL13;MRPS15;MRPS7;MRPL18;MRPS21;MRPS14;MRPL12;MRPS6;MRPL9;RPS19;RPL34;RPS15;RPS18;MRPL14;RSL24D1;MRPL36;MRPL22;RPL37;MRPL1;MRPL32;RPL36AL;FAU;RPL23A;RPLP2;MRPL21;MRPL2;RPL11;RPS24;RPS5;MRPL24;RPS29;RPS25;RPSA;MRPS10;RPL8;RPL24;RPS27L;RPS7;RPL26L1;UBA52;MRPL3;MRPL33;RPS12;RPL14;RPL10;RPS27A;RPL30;MRPL30;RPS8;RPS15A;RPL32;MRPS2;MRPL16;RPLP1;MRPL15;MRPL23;RPL21;RPL28;RPS13;RPL18A;RPL22;RPS26;MRPL20;MRPS12;RPS23;RPL35A;RPL10A;MRPS16
prerank,Huntington disease,-0.5890677734269175,-2.3741686688952774,0.0,0.0,0.0,72/187,14.39%,TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;PSMA5;COX8A;GPX3;POLR2L;COX6C;ADRM1;AP2S1;VDAC2;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;POLR2I;POLR2B;NDUFA5;PSMA7;NDUFA2;NDUFB10;NDUFS8;UQCRQ;BAX;TUBB2A;TUBB;PSMD12;NDUFB6;NDUFA12;PSMC3;UQCRH;POLR2K;PSMB6;SDHD;PSMD14;PSMC4;TBPL1;COX5A;NDUFB4;CYC1;TUBB6;PSMB1;POLR2F;NDUFA13;POLR2H;COX7A2L;PSMA4;NDUFS4;NDUFB9;ATG101
prerank,Prion disease,-0.5737707050540476,-2.299547374329403,0.0,0.0,0.0,65/175,14.45%,TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;HSPA5;PSMA5;COX8A;COX6C;ADRM1;VDAC2;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;STIP1;NDUFA9;NDUFA1;NDUFA5;PSMA7;NDUFA2;NDUFB10;NDUFS8;UQCRQ;BAX;TUBB2A;TUBB;PSMD12;NDUFB6;NDUFA12;PSMC3;UQCRH;PSMB6;SDHD;PSMD14;PSMC4;COX5A;NDUFB4;CYC1;TUBB6;PSMB1;NDUFA13;COX7A2L;PSMA4;NDUFS4;NDUFB9;CYBA
prerank,Cardiac muscle contraction,-0.7328987466281357,-2.2577815664286587,0.0,0.0,0.0,16/35,14.13%,COX7B;UQCR10;COX6A1;COX7A2;COX8A;COX6C;COX6B1;COX5B;COX7C;UQCRQ;UQCRH;CACNA2D3;COX5A;CYC1;COX7A2L;ATP2A2
prerank,Proteasome,-0.7118692146888601,-2.245749619458138,0.0,0.0,0.0,17/42,13.37%,POMP;PSMA3;PSME2;PSMA5;ADRM1;PSMB2;PSMB9;PSME1;PSMA1;PSMA7;PSMD12;PSMC3;PSMB6;PSMD14;PSMC4;PSMB1;PSMA4
prerank,Protein export,-0.8267450748130531,-2.2284540348438493,0.0,0.0,0.0,10/20,6.07%,SEC61G;SPCS2;SRP14;SPCS3;HSPA5;SEC61B;SRP19;SEC11C;SPCS1;SRPRB
prerank,Amyotrophic lateral sclerosis,-0.5331181037305259,-2.178348304771099,0.0,7.514542450374596e-05,0.001,73/221,14.77%,TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;HSPA5;PSMA5;COX8A;GPX3;ALYREF;COX6C;ADRM1;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;GABARAPL2;PSMA7;NDUFA2;NDUFB10;BID;NDUFS8;SRSF7;UQCRQ;BAX;TUBB2A;TUBB;PSMD12;TOMM40;NDUFB6;NDUFA12;PSMC3;UQCRH;PSMB6;PFN1;SDHD;PSMD14;PSMC4;COX5A;NDUFB4;CYC1;NUP54;TUBB6;PSMB1;NDUFA13;COX7A2L;PSMA4;RAB1A;NDUFS4;NDUFB9;ATG101;UBQLN1;XBP1
prerank,"Growth hormone synthesis, secretion and action",0.6188736921704647,2.176064087253933,0.0,0.0,0.0,31/67,20.76%,STAT3;PLCG2;PRKCB;MAPK14;PLCB2;IRS2;MAP3K1;CREB1;STAT5B;AKT3;AKT2;GNAI3;PIK3CD;EP300;MAPK3;SOS1;JAK2;STAT5A;JUNB;PIK3R1;CRK;SOS2;GNAI2;IGF1;CRKL;RAF1;ADCY7;PIK3CA;SOCS3;GNAQ;PRKACA
prerank,B cell receptor signaling pathway,0.6016381628881445,2.107025304261746,0.0,0.0006457530728306732,0.001,30/66,17.71%,PLCG2;PRKCB;LILRB2;LILRB1;LILRB3;PIK3AP1;SYK;AKT3;AKT2;PTPN6;LILRA1;INPP5D;PIK3CD;NFATC3;MAPK3;SOS1;LILRA5;PPP3CA;LILRA2;VAV1;LYN;LILRA6;PIK3R1;BTK;NFATC2;SOS2;RAC2;RAF1;IKBKB;PIK3CA
prerank,Neutrophil extracellular trap formation,0.5847153254582926,2.087200657511467,0.0,0.00043050204855378223,0.001,36/75,18.00%,CR1;PLCG2;FPR1;AQP9;PRKCB;C5AR1;TLR4;FCGR3A;MAPK14;SELPLG;FCGR1A;FPR2;PLCB2;CASP4;SYK;AKT3;ITGAL;AKT2;PIK3CD;TLR8;TLR2;ATG7;FCGR2A;MAPK3;HDAC7;TLR7;NCF2;ITGAM;ITGB2;PIK3R1;HDAC5;RAC2;RAF1;C3;PIK3CA;SIGLEC9
prerank,Alzheimer disease,-0.5013063773003347,-2.0697878520681803,0.0,0.00020289264616011408,0.003,71/217,14.93%,TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;PSMA5;COX8A;COX6C;ADRM1;VDAC2;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;PPID;NDUFA9;NDUFA1;NDUFA5;PSMA7;NDUFA2;NDUFB10;BID;NDUFS8;UQCRQ;TUBB2A;TUBB;PSMD12;NDUFB6;NDUFA12;PSMC3;UQCRH;PSMB6;SDHD;PSMD14;PSMC4;HSD17B10;COX5A;NDUFB4;CYC1;HRAS;TUBB6;PSMB1;NDUFA13;COX7A2L;PSMA4;CALM1;NDUFS4;PSENEN;ATP2A2;NDUFB9;ATG101;XBP1;IL6
prerank,Mineral absorption,-0.6945924681400983,-2.0533309132512416,0.0,0.000307413100242597,0.005,8/27,5.44%,MT1H;MT1X;MT1M;MT1G;MT2A;MT1F;MT1E;ATOX1
prerank,Spliceosome,-0.5382073610170353,-2.052558708565345,0.0,0.00028179534188904734,0.005,45/123,19.90%,SNRPF;LSM5;MAGOH;PPIH;SNRPG;SNRPB;LSM7;SNRPD3;ALYREF;LSM4;EIF4A3;SNRPE;RBM8A;SNRPB2;SNRPD1;LSM3;RBM17;SRSF7;SRSF9;SNU13;TXNL4A;SF3B6;MAGOHB;SNRNP27;SRSF10;WBP11;HNRNPM;DDX46;SNRNP40;RBM25;SMNDC1;SRSF2;HNRNPC;SRSF3;DHX15;BUD31;LSM8;RBM22;LSM6;SNRPC;PHF5A;SNRPA1;PUF60;SNRPA;CCDC12
prerank,Diabetic cardiomyopathy,-0.5352867290212268,-2.048249503220973,0.0,0.00031214253255402167,0.006,49/128,14.45%,COX7B;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;SLC2A1;NDUFS6;NDUFB5;NDUFA6;VDAC1;COX8A;COX6C;VDAC2;NDUFS7;COX6B1;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;NDUFV2;NDUFB11;NDUFA9;NDUFA1;MMP9;NDUFA5;NDUFA2;NDUFB10;NDUFS8;UQCRQ;CAMK2D;NDUFB6;NDUFA12;UQCRH;SDHD;MPC1;MPC2;COX5A;NDUFB4;CYC1;NDUFA13;COX7A2L;NDUFS4;ATP2A2;NDUFB9;CYBA
prerank,Pathways of neurodegeneration,-0.4780671324395062,-2.0104085549725434,0.0,0.0004830777289526526,0.01,81/266,14.93%,TUBA1C;COX7B;CYCS;PSMA3;NDUFB2;NDUFA4;UQCR10;NDUFB3;COX6A1;COX7A2;NDUFS5;NDUFS6;NDUFB5;NDUFA6;VDAC1;HSPA5;PSMA5;COX8A;GPX3;COX6C;ADRM1;VDAC2;NDUFS7;TUBB4B;COX6B1;PSMB2;COX5B;NDUFAB1;SLC25A5;NDUFB1;COX7C;PSMA1;NDUFV2;NDUFB11;PPID;NDUFA9;NDUFA1;NDUFA5;GABARAPL2;PSMA7;NDUFA2;NDUFB10;BID;NDUFS8;UQCRQ;BAX;TUBB2A;PARK7;TUBB;PSMD12;UBB;TOMM40;CAMK2D;NDUFB6;NDUFA12;UBC;PSMC3;UQCRH;PSMB6;SDHD;PSMD14;PSMC4;HSD17B10;COX5A;NDUFB4;CYC1;HRAS;TUBB6;PSMB1;NDUFA13;COX7A2L;PSMA4;CALM1;RAB1A;NDUFS4;ATP2A2;NDUFB9;ATG101;UBE2L3;XBP1;IL6
prerank,Acute myeloid leukemia,0.6129055932026721,1.9981524723289439,0.0,0.001614382682076683,0.005,21/51,18.41%,STAT3;FCGR1A;STAT5B;AKT3;AKT2;PIK3CD;MAPK3;SOS1;CD14;STAT5A;TCF7L2;ITGAM;PML;PIK3R1;DUSP6;SOS2;SPI1;RAF1;IKBKB;PIK3CA;CSF1R
