Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Respiratory Electron Transport R-HSA-611105,-0.719530701381168,-2.5757726252952744,0.0,0.0,0.0,57/78,22.12%,COX7B;CYCS;NDUFB2;UQCR10;NDUFB3;COX6A1;NDUFS5;NDUFS6;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;COX20;COX5B;NDUFAB1;NDUFB1;COX7C;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFAF4;NDUFA2;NDUFB10;NDUFS8;UQCRQ;COX14;NDUFB6;NDUFA12;UQCRH;SDHD;NDUFAF1;COX5A;NDUFB4;NDUFA13;COX7A2L;NDUFAF2;NDUFS4;NDUFB9;COQ10B;NDUFB8;TRAP1;SCO1;TMEM126B;UQCR11;UQCRFS1;NDUFA3;COX4I1;NDUFA11;NDUFS3;SDHB;NDUFC1;NDUFA10;COX16
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.6667638275978556,-2.4729478584006266,0.0,0.0,0.0,65/102,27.51%,SEC61G;RPL22L1;RPL39;SPCS2;SRP14;SPCS3;SSR4;RPL35;SSR3;SEC61B;RPS27;RPL36;SRP19;SEC11C;RPS28;SPCS1;DDOST;SRPRB;MRPL13;RPS19;RPL34;RPS15;RSL24D1;RPL37;RPL36AL;FAU;RPL23A;RPLP2;RPL11;RPS24;RPS5;RPS29;RPS25;RPSA;RPL8;RPS27L;RPS7;RPL26L1;UBA52;RPS12;RPL14;RPS27A;RPL30;RPS8;RPS15A;RPL32;RPLP1;RPL21;RPL28;RPS13;RPL18A;RPL22;RPS23;RPL35A;RPL10A;SSR2;SRPRA;RPL29;RPL12;RPS3A;RPL41;RPS16;SEC11A;TRAM1;RPL9
prerank,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",-0.6847966248734791,-2.4631547594824883,0.0,0.0,0.0,51/79,19.13%,COX7B;CYCS;NDUFB2;UQCR10;NDUFB3;COX6A1;NDUFS5;NDUFS6;NDUFB5;NDUFA6;COX8A;COX6C;NDUFS7;COX6B1;COX20;COX5B;NDUFAB1;NDUFB1;COX7C;NDUFV2;NDUFB11;NDUFA9;NDUFA1;NDUFA5;NDUFAF4;NDUFA2;NDUFB10;NDUFS8;UQCRQ;COX14;NDUFB6;NDUFA12;UQCRH;SDHD;NDUFAF1;COX5A;NDUFB4;NDUFA13;COX7A2L;NDUFAF2;NDUFS4;NDUFB9;COQ10B;NDUFB8;TRAP1;SCO1;TMEM126B;UQCR11;UQCRFS1;NDUFA3;COX4I1
prerank,Translation R-HSA-72766,-0.5904579004839174,-2.425216199827484,0.0,0.0,0.0,118/220,23.88%,SEC61G;RPL22L1;RPL39;SPCS2;SRP14;SPCS3;SSR4;MRPL52;EEF1E1;RPL35;SSR3;SEC61B;RPS27;EIF1AX;RPL36;SRP19;SEC11C;RPS28;GADD45GIP1;SPCS1;MRPL4;PPA1;DDOST;MRPL41;SRPRB;MRPL11;AURKAIP1;MRPL13;MRPS15;MRPL47;AIMP1;GSPT1;TRMT112;MRPS7;MRPL51;MRPL18;MRPS36;MRPS21;EIF5B;EIF3J;MRPS14;MRPL12;MRPL42;MRPS6;MRPL9;MRPL54;RPS19;RPL34;RPS15;EIF2S2;MRPL14;EIF3K;MRPS23;RSL24D1;MRPL36;AIMP2;RPL37;MRPL50;MRPL1;MRPL32;RPL36AL;MRPS34;FAU;RPL23A;RPLP2;MRPL21;RPL11;RPS24;RPS5;MRPL24;RPS29;RPS25;RPSA;MRPS10;RPL8;RPS27L;MRPL57;PPA2;RPS7;RPL26L1;UBA52;MRPL3;MRPL33;RPS12;RPL14;MRPL48;RPS27A;RPL30;MRPL30;MRPL43;EEF1B2;EIF3I;RPS8;RPS15A;RPL32;MRPL55;MRPS2;MRPL16;FARSA;MRPS30;RPLP1;MRPL15;MRPL23;RPL21;RPL28;RPS13;RPL18A;RPL22;MRPL40;MRPL20;MRPS26;MRPL44;MRPS35;MRPS33;RPS23;RPL35A;RPL10A;MRPS16
prerank,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,-0.6841067688472732,-2.3891213199255885,0.0,0.0,0.0,26/66,14.05%,PTTG1;PSMA3;PSME2;PSMA5;UBE2C;PSMB2;SKP1;PSMB9;PSME1;PSMA1;ANAPC16;PSMA7;ANAPC10;PSMD12;UBB;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;CDK1;PSMB1;PSMA4;PSMD10
prerank,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,-0.6810843724880769,-2.371657038933604,0.0,0.0,0.0,25/62,14.05%,PTTG1;PSMA3;PSME2;PSMA5;UBE2C;PSMB2;PSMB9;PSME1;PSMA1;ANAPC16;PSMA7;ANAPC10;PSMD12;UBB;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;CDK1;PSMB1;PSMA4;PSMD10
prerank,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,-0.6810843724880769,-2.371657038933604,0.0,0.0,0.0,25/62,14.05%,PTTG1;PSMA3;PSME2;PSMA5;UBE2C;PSMB2;PSMB9;PSME1;PSMA1;ANAPC16;PSMA7;ANAPC10;PSMD12;UBB;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;CDK1;PSMB1;PSMA4;PSMD10
prerank,DNA Replication Pre-Initiation R-HSA-69002,-0.667307742655774,-2.3679134573788163,0.0,0.0,0.0,32/71,17.24%,PSMA3;RPA3;PSME2;PSMA5;UBE2C;PSMB2;PSMB9;PSME1;GMNN;PSMA1;ANAPC16;MCM5;PSMA7;ANAPC10;POLE3;PSMD12;UBB;MCM4;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;POLE4;PSMB1;PSMA4;PSMD10;PSMD11;DBF4;UBA52
prerank,Switching Of Origins To A Post-Replicative State R-HSA-69052,-0.6721277399257708,-2.3506795383975794,0.0,0.0,0.0,28/68,14.05%,PSMA3;PSME2;PSMA5;UBE2C;PSMB2;SKP1;PSMB9;PSME1;GMNN;PSMA1;RBX1;ANAPC16;MCM5;PSMA7;ANAPC10;PSMD12;UBB;MCM4;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;PSMB1;PSMA4;PSMD10
prerank,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,-0.6781399344837356,-2.3379415372717944,0.0,0.0,0.0,24/61,14.05%,PTTG1;PSMA3;PSME2;PSMA5;UBE2C;PSMB2;PSMB9;PSME1;PSMA1;ANAPC16;PSMA7;ANAPC10;PSMD12;UBB;UBC;ANAPC11;PSMC3;PSMB6;UBE2S;PSMD14;PSMC4;PSMB1;PSMA4;PSMD10
