Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cholesterol Biosynthetic Process (GO:0006695),-0.7978770462120165,-2.1802521761154936,0.0,0.0,0.0,11/24,8.74%,INSIG1;HMGCS1;CYP51A1;HMGCR;MSMO1;MVD;DHCR24;HSD17B7;DHCR7;TM7SF2;FDFT1
prerank,Secondary Alcohol Biosynthetic Process (GO:1902653),-0.802557712628498,-2.1698940639078597,0.0,0.0005888673085664697,0.001,11/23,8.74%,INSIG1;HMGCS1;CYP51A1;HMGCR;MSMO1;MVD;DHCR24;HSD17B7;DHCR7;TM7SF2;FDFT1
prerank,Sterol Biosynthetic Process (GO:0016126),-0.7564142122977316,-2.0956542331682995,0.0,0.004710938468531758,0.011,12/27,8.74%,INSIG1;HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;DHCR24;HSD17B7;DHCR7;TM7SF2;FDFT1
prerank,Phosphatidylcholine Metabolic Process (GO:0046470),-0.7123885894720804,-2.0744219567012623,0.0,0.005594239431381462,0.017,9/32,6.21%,PLA2G2A;MFSD2A;SLC44A4;TSPO;PNPLA8;MUC1;CHKA;NR1H2;APOA1
prerank,Cholesterol Metabolic Process (GO:0008203),-0.666323375473401,-2.0722718020645825,0.0,0.004710938468531758,0.018,14/46,8.74%,INSIG1;HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;DHCR24;HSD17B7;APOA1;DHCR7;TM7SF2;APOL2;FDFT1
prerank,Extracellular Structure Organization (GO:0043062),0.597951695085761,2.019344354162816,0.0,0.037196167734369144,0.04,25/57,15.80%,COL5A1;RECK;THSD4;COL3A1;COL5A2;MMP11;COL1A2;MATN2;ECM2;COL5A3;COL1A1;COL4A5;HPSE2;MMP19;COL7A1;ADAMTS5;COL14A1;COL4A2;COL16A1;COL15A1;PXDN;COL4A1;MMP2;TGFBR1;ADAMTS2
prerank,External Encapsulating Structure Organization (GO:0045229),0.5973408125264543,2.010643294592962,0.0,0.021763715163726625,0.048,24/55,15.80%,COL5A1;RECK;THSD4;COL3A1;COL5A2;MMP11;COL1A2;MATN2;ECM2;COL5A3;COL1A1;COL4A5;HPSE2;MMP19;COL7A1;ADAMTS5;COL14A1;COL4A2;COL16A1;COL15A1;PXDN;COL4A1;MMP2;ADAMTS2
prerank,Mitotic Spindle Assembly (GO:0090307),0.6364700934554431,1.980617951025146,0.0,0.02215941907579438,0.075,20/38,19.16%,KIF11;ARHGEF10;CEP192;KIF2A;KIF4A;SMC3;RACGAP1;TPX2;CDCA8;KPNB1;WRAP73;LSM14A;PIBF1;KIFC1;STAG2;AURKB;KIF3B;STAG1;BIRC5;CLASP2
prerank,Lymphocyte Chemotaxis (GO:0048247),-0.7864302727856191,-1.9609937727022249,0.0,0.04122071159965288,0.167,7/17,9.72%,KLF5;CCL20;XCL1;XCL2;CXCL16;CCL5;CCL3
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.5956103046988286,-1.9434458761573568,0.0,0.04778237589510783,0.217,40/66,25.37%,CYCS;COX6A1;UQCRFS1;COX5B;NDUFS6;NDUFS5;COX7B;COX8A;NDUFA6;COX6C;UQCRH;COX7A2;NDUFB2;NDUFS7;NDUFA1;NDUFA2;CYC1;NDUFB9;COX6B1;UQCRQ;COX5A;NDUFB8;NDUFS3;NDUFC1;NDUFA3;NDUFS8;UQCR11;NDUFB6;NDUFAB1;NDUFB7;COA6;UQCRC1;SDHB;UQCR10;COX4I1;NDUFB3;NDUFB4;NDUFA10;UQCRHL;NDUFA4
prerank,Negative Regulation Of Cell-Cell Adhesion (GO:0022408),-0.6823440999028604,-1.9389317844525429,0.0,0.045931650068184636,0.234,13/31,10.90%,CDH1;TGFB1;SPINT2;RGCC;EPCAM;MYADM;KLF4;GTPBP4;APOA1;VEGFA;PODXL;JAG1;MAD2L2
