Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Bile secretion,-0.7520294618011738,-2.110417211984168,0.0,0.0023489000580910763,0.002,12/29,8.36%,LDLR;HMGCR;UGT2B7;ATP1B1;ATP1B3;FXYD2;SLC2A1;SLC9A1;RXRA;ATP1A1;CA2;NCEH1
prerank,Parkinson disease,-0.5558812024435814,-2.1083940236211163,0.0,0.0011744500290455382,0.002,82/182,20.61%,SLC18A2;HSPA5;CYCS;PPIF;UBC;MAOA;UBB;COX6A1;TUBB2A;UQCRFS1;ERN1;PSMB7;GNAI3;COX5B;XBP1;PSMC6;NDUFS6;NDUFS5;COX7B;PSMD12;TUBB4B;TXN;NDUFB11;COX8A;NDUFA6;DUSP1;ADRM1;COX6C;UQCRH;PSMB3;COX7A2;PSMA3;ITPR3;MAOB;NDUFB2;TUBA4A;NDUFS7;EIF2AK3;PSMB6;GNAS;PSMD9;NDUFA1;NDUFA2;CYC1;NDUFB9;KLC2;COX6B1;PSMC3;PSMC4;PSMB2;UQCRQ;TUBA1A;VDAC1;COX5A;NDUFB8;PSMB1;NDUFS3;ATF4;NDUFC1;NDUFA3;NDUFS8;VDAC2;NFE2L2;UQCR11;NDUFB6;EIF2S1;PSMD3;CASP9;NDUFAB1;PSMD11;PSMA7;DDIT3;NDUFB7;SLC25A5;PINK1;MAP3K5;UQCRC1;PSMD2;TUBA1C;NDUFA11;MAPK8;SDHB
prerank,Sphingolipid metabolism,-0.6948335860060627,-2.025125184927479,0.0,0.0011744500290455384,0.003,5/38,1.23%,NEU1;GLA;SGMS2;PLPP2;SPHK1
prerank,Steroid biosynthesis,-0.7841781109609149,-1.9366266190016252,0.0,0.0055786376379663065,0.018,8/16,8.74%,CYP51A1;SQLE;MSMO1;DHCR24;HSD17B7;DHCR7;TM7SF2;FDFT1
prerank,Ferroptosis,-0.6670672673267016,-1.9286420114868181,0.0,0.004932690121991261,0.02,17/33,18.30%,MAP1LC3B;CP;GPX4;FTH1;HMOX1;SLC3A2;SAT1;ACSL3;PRNP;ACSL5;SAT2;SLC40A1;SLC39A14;TFRC;MAP1LC3A;VDAC2;ACSL4
prerank,Oxidative phosphorylation,-0.5543084845498072,-1.89633036611554,0.0,0.008808375217841537,0.041,52/91,25.37%,ATP6V0B;COX6A1;UQCRFS1;ATP6V0D1;COX5B;NDUFS6;NDUFS5;ATP6V1D;COX7B;NDUFB11;COX8A;NDUFA6;COX6C;UQCRH;COX7A2;NDUFB2;ATP6V1C2;NDUFS7;ATP6V1H;NDUFA1;NDUFA2;CYC1;NDUFB9;COX6B1;UQCRQ;COX5A;NDUFB8;ATP6V0A1;NDUFS3;NDUFC1;NDUFA3;NDUFS8;UQCR11;NDUFB6;NDUFAB1;PPA1;NDUFB7;ATP6V1F;UQCRC1;COX17;NDUFA11;SDHB;UQCR10;COX4I1;NDUFB3;NDUFB4;ATP6V1A;NDUFA13;TCIRG1;NDUFA10;UQCRHL;NDUFA4
prerank,Proteasome,-0.6181026277831313,-1.8823565627926888,0.0,0.00872448593005257,0.047,21/43,20.23%,PSMB7;PSME4;PSMC6;POMP;PSMD12;ADRM1;PSMB3;PSMA3;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;IFNG;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;PSMD2
prerank,Cardiac muscle contraction,-0.604327923729957,-1.8695156706874914,0.0,0.009101987725102921,0.057,20/45,14.94%,ATP1B1;ATP1B3;FXYD2;COX6A1;ATP2A2;UQCRFS1;COX5B;SLC9A1;TPM3;ATP1A1;COX7B;COX8A;COX6C;UQCRH;COX7A2;CACNB1;CYC1;COX6B1;UQCRQ;COX5A
prerank,Huntington disease,-0.4783228905259514,-1.852497323819918,0.0,0.010439555813738118,0.073,95/225,20.61%,GPX3;CYCS;PPIF;COX6A1;TUBB2A;UQCRFS1;ERN1;BBC3;PSMB7;POLR2L;COX5B;PSMC6;NDUFS6;NDUFS5;SOD1;PPARG;COX7B;PSMD12;TUBB4B;NDUFB11;HAP1;COX8A;NDUFA6;POLR2F;ADRM1;ACTR1A;COX6C;UQCRH;CREB3;PSMB3;COX7A2;PSMA3;POLR2H;NDUFB2;TUBA4A;NDUFS7;POLR2C;SOD2;CLTA;PSMB6;HTT;AP2S1;DCTN4;POLR2B;PSMD9;PLCB4;POLR2K;NDUFA1;POLR2J;NDUFA2;CYC1;NDUFB9;TBPL1;KLC2;COX6B1;PSMC3;PSMC4;ATG101;PSMB2;UQCRQ;POLR2E;POLR2I;TUBA1A;VDAC1;COX5A;NDUFB8;PSMB1;NDUFS3;NDUFC1;NDUFA3;NDUFS8;TAF4B;VDAC2;DNALI1;UQCR11;NDUFB6;RCOR1;PSMD3;CASP9;PLCB1;NDUFAB1;PSMD11;PSMA7;POLR2D;NDUFB7;CLTB;SLC25A5;PIK3R4;MAP3K5;UQCRC1;PSMD2;TUBA1C;NDUFA11;MAPK8;SDHB
prerank,Spliceosome,-0.5063782560053891,-1.8475256633136328,0.0,0.00974793524107797,0.076,57/130,23.19%,EIF4A3;SNRPB;SF3B5;RBM8A;ALYREF;SRSF2;TRA2A;BUD31;RBM22;WBP11;TXNL4A;SNU13;SMNDC1;CRNKL1;CHERP;SF3B6;MAGOH;FUS;HSPA6;U2AF2;LSM7;HNRNPC;ISY1;HSPA1A;RBM17;SNRPA1;HNRNPU;SYF2;PUF60;SNRPD3;RBM25;DHX8;ACIN1;SRSF3;SRSF1;PRPF38B;BCAS2;SF3B4;SNRPG;LSM4;DHX38;XAB2;SNRPD2;DHX16;HSPA2;RP9;MAGOHB;HSPA8;U2AF1L5;SART1;TRA2B;PQBP1;PPIH;HNRNPK;LSM3;SNRNP70;SNRPF
prerank,Fanconi anemia pathway,0.5587064730038968,1.827584639064424,0.0,0.05406337167392735,0.063,19/45,22.61%,ATR;REV3L;BRCA2;FANCM;MLH1;BRIP1;USP1;RPA2;RMI2;POLK;REV1;FANCI;RPA1;TOP3A;FAN1;FANCD2;FAAP24;FANCL;BLM
prerank,"Alanine, aspartate and glutamate metabolism",-0.7184183722718118,-1.824187199324389,0.0018484288354898336,0.012385109397207496,0.105,9/19,8.59%,RIMKLB;GLUL;ASL;GLS;GLUD1;IL4I1;NIT2;GOT1;ASRGL1
prerank,Non-alcoholic fatty liver disease,-0.49079689072307325,-1.8041127789715077,0.0,0.015365721213345795,0.133,66/135,22.43%,TGFB1;CXCL8;NFKB1;CYCS;COX6A1;UQCRFS1;ERN1;IL6;COX5B;SREBF1;XBP1;CDC42;RXRA;NDUFS6;NDUFS5;PPARG;COX7B;NDUFB11;RAC1;COX8A;NDUFA6;COX6C;FASLG;UQCRH;COX7A2;NDUFB2;NDUFS7;EIF2AK3;MAPK12;PRKAB1;NDUFA1;NDUFA2;CYC1;NDUFB9;COX6B1;UQCRQ;MAPK11;IRS2;COX5A;FOS;NDUFB8;NDUFS3;ATF4;NDUFC1;NDUFA3;NDUFS8;UQCR11;NDUFB6;EIF2S1;JUN;NDUFAB1;DDIT3;NDUFB7;ADIPOR1;MAP3K5;RELA;UQCRC1;TNF;NDUFA11;MAPK8;SDHB;PIK3R3;UQCR10;COX4I1;AKT1;NDUFB3
prerank,Mineral absorption,-0.6217799387585528,-1.7797318874132504,0.0,0.020055992803700733,0.18,13/34,8.82%,MT1G;MT1H;ATP1B1;SLC34A2;ATP1B3;FXYD2;MT1M;FTH1;MT2A;HMOX1;ATP1A1;SLC30A1;MT1F
prerank,Ribosome,-0.4874294255234349,-1.7647856063693115,0.0,0.022146771976287293,0.209,62/127,30.15%,RPL22L1;MRPL4;RPLP1;MRPL28;RPL35;RPS26;MRPS2;RPS24;MRPL2;MRPL21;MRPS17;MRPL17;MRPS15;RPL26L1;RPL8;FAU;MRPL22;MRPL13;MRPL12;RPS7;RPS15;RPS9;RPL24;MRPL32;RPL39;RSL24D1;RPL29;MRPS18A;RPS5;RPS18;RPS19;MRPL15;MRPL14;MRPS7;RPL37;RPL10;MRPL33;MRPL18;RPL36AL;MRPS11;RPL35A;MRPL23;MRPL10;UBA52;RPS15A;RPLP2;RPS27A;MRPS18C;RPL36;MRPS21;RPL27;RPL18A;RPL13;RPS28;RPL7A;RPL23A;RPL28;RPL38;RPL41;MRPS12;RPS25;RPS27
prerank,Prion disease,-0.4599413519013259,-1.7645521885364688,0.0,0.020826913848407548,0.21,88/193,21.59%,HSPA5;CYCS;PPIF;COX6A1;TUBB2A;UQCRFS1;PSMB7;IL6;STIP1;COX5B;PSMC6;NDUFS6;NDUFS5;SOD1;COX7B;CYBA;PSMD12;TUBB4B;NDUFB11;RAC1;COX8A;NDUFA6;PRNP;CCL5;ADRM1;HSPA6;COX6C;UQCRH;CREB3;PSMB3;COX7A2;PSMA3;ITPR3;NDUFB2;TUBA4A;NDUFS7;HSPA1A;EIF2AK3;PSMB6;MAPK12;PSMD9;NDUFA1;NDUFA2;CYC1;NDUFB9;KLC2;COX6B1;PSMC3;PSMC4;PSMB2;UQCRQ;MAPK11;TUBA1A;VDAC1;COX5A;PRKCD;NDUFB8;PSMB1;NDUFS3;ATF4;NDUFC1;NDUFA3;NDUFS8;VDAC2;UQCR11;NDUFB6;EIF2S1;PSMD3;CASP9;NDUFAB1;PSMD11;PSMA7;DDIT3;LAMC1;NDUFB7;SLC25A5;UQCRC1;TNF;HSPA2;PSMD2;TUBA1C;NDUFA11;MAPK8;SDHB;BAD;HSPA8;PIK3R3;UQCR10
prerank,Protein export,-0.6549110282503123,-1.7432888693506225,0.0018552875695732839,0.02547088500492511,0.262,9/23,11.50%,HSPA5;SRP19;SEC11C;SEC61B;SEC61G;SRP14;SEC61A1;SPCS2;SRP54
prerank,Amyotrophic lateral sclerosis,-0.43933120617341304,-1.7428257926049668,0.0,0.02417985353917285,0.263,99/270,20.74%,GPX3;HSPA5;MAP2K3;CYCS;ALYREF;ATXN2L;NUP58;COX6A1;TUBB2A;UQCRFS1;ANG;ERN1;PSMB7;SQSTM1;COX5B;DERL1;XBP1;PSMC6;NDUFS6;NXF1;NDUFS5;SOD1;RANBP2;COX7B;PSMD12;TUBB4B;NDUFB11;RAB1A;HAP1;RAC1;COX8A;NDUFA6;ADRM1;FUS;ACTR1A;COX6C;UQCRH;PSMB3;COX7A2;RAE1;PSMA3;ITPR3;NDUFB2;TUBA4A;NDUFS7;GABARAPL1;EIF2AK3;PSMB6;MAPK12;DCTN4;CHMP2B;PSMD9;NDUFA1;NDUFA2;CYC1;NDUFB9;KLC2;COX6B1;PSMC3;NUP54;PSMC4;ATG101;PSMB2;UQCRQ;MAPK11;ANXA11;TUBA1A;VDAC1;COX5A;NDUFB8;PSMB1;NDUFS3;SRSF3;ATF4;NDUFC1;NDUFA3;NDUFS8;DNALI1;UQCR11;NDUFB6;EIF2S1;PSMD3;CASP9;NDUFAB1;PSMD11;PSMA7;DDIT3;NDUFB7;PINK1;PIK3R4;MAP3K5;HNRNPA2B1;UQCRC1;TNF;PSMD2;TUBA1C;NDUFA11;SDHB;BAD
prerank,Legionellosis,-0.5528354758504341,-1.727129298612963,0.0,0.02675136177270393,0.303,30/49,24.17%,CXCL8;C3;NFKB1;CYCS;NFKB2;IL6;HSPD1;CXCL2;TLR4;CXCL1;RAB1A;HSPA6;CXCL3;HBS1L;HSPA1A;ITGAM;CLK1;HSF1;NFKBIA;CASP9;RELA;TNF;HSPA2;HSPA8;SAR1A;BCL2L13;ARF1;PYCARD;SAR1B;HSPA1B
prerank,Platelet activation,0.4733877018276733,1.7055622733086446,0.0,0.12183846804776381,0.239,27/87,15.36%,RASGRP1;GNAQ;AKT3;STIM1;PPP1R12A;PIK3CA;COL3A1;COL1A2;SYK;COL1A1;LCP2;PRKACB;PRKG1;RASGRP2;ROCK2;MAPK14;MAPK13;ITGB1;PLCG2;FYN;RAP1A;ITPR2;PIK3R6;AKT2;GUCY1A2;GNAI2;MYLK
prerank,Protein processing in endoplasmic reticulum,-0.4519677395495335,-1.7036082557374752,0.0,0.033440919248086114,0.365,64/152,22.07%,HSPA5;DNAJB11;YOD1;PPP1R15A;HSP90AB1;SKP1;CRYAB;DNAJC3;UBE2D3;ERN1;HYOU1;DERL1;SEC61B;XBP1;SSR4;SEC61G;RRBP1;BAG1;RAD23A;SEC61A1;FBXO6;HSPH1;HSPA6;UBXN6;DNAJC10;HSP90B1;DNAJC1;HSP90AA1;DNAJA1;ERO1B;HSPA1A;SIL1;EIF2AK3;RPN1;P4HB;DERL2;SEC24A;HERPUD1;PDIA3;UBXN2A;RAD23B;CANX;ATF4;HSPBP1;NSFL1C;NFE2L2;UBXN4;EIF2S1;DNAJB2;DDIT3;SSR3;DNAJB1;DNAJA2;MAP3K5;DDOST;HSPA2;MAPK8;MOGS;SEC62;FBXO2;HSPA8;SAR1A;CAPN1;LMAN2
prerank,Pathways of neurodegeneration,-0.41869954711002716,-1.6999959727200855,0.0,0.0328258783118228,0.374,116/332,20.74%,GPX3;HSPA5;MAP2K3;NFKB1;CYCS;PPIF;UBC;PTGS2;ATXN2L;UBB;COX6A1;ATP2A2;TUBB2A;UQCRFS1;ERN1;PSMB7;IL6;SQSTM1;COX5B;DERL1;XBP1;PSMC6;NDUFS6;NDUFS5;SOD1;COX7B;PSMD12;TUBB4B;NDUFB11;RAB1A;HAP1;HRAS;RAC1;COX8A;NDUFA6;PRNP;ADRM1;FUS;ACTR1A;FRAT2;COX6C;FASLG;UQCRH;PSMB3;COX7A2;PSMA3;CTNNB1;ITPR3;HSD17B10;CSNK1A1;NDUFB2;TUBA4A;NDUFS7;GABARAPL1;DKK1;EIF2AK3;PSMB6;MAPK12;HTT;AXIN1;DCTN4;CHMP2B;CSF1;PSMD9;PLCB4;NDUFA1;NDUFA2;CYC1;NDUFB9;KLC2;COX6B1;PSMC3;PSMC4;ATG101;PSMB2;UQCRQ;MAPK11;TUBA1A;DVL1;VDAC1;COX5A;NDUFB8;PSMB1;NDUFS3;ATF4;NDUFC1;NDUFA3;NDUFS8;VDAC2;DNALI1;FZD6;UQCR11;NDUFB6;EIF2S1;PSMD3;CASP9;PLCB1;NDUFAB1;PSMD11;PSMA7;DDIT3;BRAF;NDUFB7;SLC25A5;PINK1;PIK3R4;MAP3K5;RELA;UQCRC1;TNF;PSMD2;TUBA1C;NDUFA11;MAPK8;SDHB;BAD
prerank,Glutathione metabolism,-0.5739563964279679,-1.6954743896615283,0.011385199240986717,0.03277274842955645,0.391,13/37,10.53%,GPX3;GSTO2;GPX4;MGST1;GGT1;ODC1;GSTO1;PGD;MGST3;MGST2;PRDX6;SRM;SMS
prerank,Aldosterone-regulated sodium reabsorption,-0.6190662561874817,-1.6922582362477527,0.009861932938856016,0.032297375798752304,0.397,7/26,2.04%,SFN;ATP1B1;NEDD4L;SCNN1A;ATP1B3;SGK1;FXYD2
prerank,Other glycan degradation,-0.6945463863051395,-1.6897817570331815,0.015873015873015872,0.031659087739488424,0.405,1/15,0.03%,NEU1
prerank,Ovarian steroidogenesis,-0.6651581586267067,-1.6845909867762032,0.006048387096774193,0.032542052888136795,0.427,3/19,5.57%,LDLR;PTGS2;HSD17B7
prerank,mRNA surveillance pathway,-0.48621180741929326,-1.681324421297138,0.0017452006980802793,0.032320864799333215,0.436,20/82,12.33%,EIF4A3;PELO;RNMT;RBM8A;ALYREF;ETF1;PPP2CA;SRRM1;SAP18;NXF1;GSPT1;CLP1;MAGOH;PNN;FUS;PPP2R2A;PPP1CB;HBS1L;UPF2;PABPC1L
prerank,Bladder cancer,-0.570895704537174,-1.6755665057208051,0.003883495145631068,0.03283942965831178,0.457,10/36,13.43%,CDH1;CXCL8;DAPK1;TYMP;CDKN1A;VEGFA;HRAS;RASSF1;HBEGF;DAPK3
prerank,Thyroid cancer,-0.575922244105553,-1.666868390824677,0.007532956685499058,0.03488551567757488,0.488,12/34,11.90%,CDH1;PAX8;GADD45A;GADD45B;GADD45G;RXRA;TPM3;CDKN1A;PPARG;HRAS;CTNNB1;TFG
prerank,Primary immunodeficiency,0.567382474232575,1.658533397541031,0.006521739130434782,0.13763959841623052,0.377,15/27,28.30%,CD4;IL7R;CD8A;UNG;PTPRC;IKBKG;CD8B;JAK3;CD3E;IL2RG;RFX5;DCLRE1C;CD40LG;CD40;CIITA
prerank,Synaptic vesicle cycle,-0.5611816470641664,-1.6581801544378416,0.010810810810810811,0.036575729475989624,0.513,12/39,12.91%,SLC18A2;SLC1A1;ATP6V0B;ATP6V0D1;STX3;ATP6V1D;NAPA;ATP6V1C2;CLTA;AP2S1;ATP6V1H;DNM2
prerank,Cholesterol metabolism,-0.6049422773517626,-1.6552711232112343,0.0057361376673040155,0.036286456069820776,0.52,6/26,9.57%,LDLR;TSPO;APOA1;VAPA;NCEH1;ANGPTL4
prerank,Epithelial cell signaling in Helicobacter pylori infection,-0.5001846045330857,-1.623265106413436,0.007029876977152899,0.04736948450483672,0.627,19/60,12.50%,MET;CXCL8;NFKB1;ATP6V0B;ATP6V0D1;CXCL2;F11R;PAK1;CDC42;TJP1;ATP6V1D;CXCL1;RAC1;CCL5;CXCL3;ATP6V1C2;MAPK12;HBEGF;ATP6V1H
prerank,GnRH secretion,0.516162416596728,1.6207523471508123,0.005870841487279843,0.15415896198326387,0.5,12/39,14.13%,GABBR1;PRKCB;GNAQ;AKT3;PIK3CA;CACNA1H;CACNA1D;TRPC1;KRAS;CACNA1G;ITPR2;AKT2
