Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Collagen Chain Trimerization R-HSA-8948216,0.8026320497687589,2.2992867110510358,0.0,0.0,0.0,17/24,11.98%,COL5A1;COL12A1;COL3A1;COL5A2;COL1A2;COL6A1;COL5A3;COL1A1;COL4A5;COL18A1;COL7A1;COL6A3;COL14A1;COL4A2;COL16A1;COL6A2;COL15A1
prerank,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,0.6811566565663864,2.16014370961326,0.0,0.0,0.0,22/40,15.80%,COL5A1;COL12A1;COL3A1;COL5A2;COL1A2;COL6A1;COL5A3;COL1A1;COL4A5;COL18A1;COL7A1;COL6A3;COL14A1;COL4A2;COL16A1;P4HA2;CRTAP;COL6A2;COL15A1;PLOD1;COL4A1;ADAMTS2
prerank,Keratinization R-HSA-6805567,-0.8504067870051664,-2.1388828315225616,0.0,0.0036522044404011197,0.003,10/17,6.10%,PERP;KRT18;JUP;KRT8;RCAN1;KRT19;KRT7;KRT86;KRT81;FURIN
prerank,Cholesterol Biosynthesis R-HSA-191273,-0.7804790121609524,-2.1028697488040677,0.0,0.0036522044404011197,0.005,12/24,8.74%,HMGCS1;CYP51A1;HMGCR;SQLE;SREBF2;MSMO1;MVD;SREBF1;DHCR24;DHCR7;TM7SF2;FDFT1
prerank,Collagen Formation R-HSA-1474290,0.5858834587350731,1.9604180725212463,0.0,0.01084618811668472,0.04,26/54,15.80%,COL5A1;COL12A1;COL3A1;COL5A2;COL1A2;COL6A1;COL5A3;COL1A1;COL4A5;LOXL1;COL18A1;COL7A1;COL6A3;COL14A1;COL4A2;COL16A1;P4HA2;CRTAP;CTSS;DST;COL6A2;COL15A1;PLOD1;PXDN;COL4A1;ADAMTS2
prerank,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,0.6395695999613097,1.94302940966184,0.0,0.010353179565926325,0.045,19/35,14.67%,COL5A1;COL3A1;COL5A2;COL1A2;COL6A1;COL5A3;COL1A1;COL4A5;LOXL1;COL18A1;COL7A1;COL6A3;COL4A2;CTSS;DST;COL6A2;COL15A1;PXDN;COL4A1
prerank,mRNA Splicing - Major Pathway R-HSA-72163,-0.5093560013328071,-1.9377492854448608,0.0,0.05194246315237148,0.094,72/176,22.29%,CWC25;EIF4A3;SNRPB;SF3B5;RBM8A;ALYREF;SRSF2;RBM42;SRRM1;BUD31;RBM22;WBP11;POLR2L;HNRNPA0;TFIP11;TXNL4A;SNU13;SMNDC1;CRNKL1;CHERP;SF3B6;YBX1;POLR2F;MAGOH;SRRT;FUS;U2AF2;LSM7;POLR2H;SRSF11;HNRNPC;POLR2C;RBM17;SNRPA1;HNRNPH1;HNRNPU;SYF2;POLR2B;POLR2K;POLR2J;PUF60;SNRPD3;WBP4;POLR2E;GTF2F1;POLR2I;PPIL4;SRSF3;SRSF1;PRCC;BCAS2;SF3B4;PAPOLA;DNAJC8;SNRPG;LSM4;DHX38;POLR2D;SRRM2;XAB2;HNRNPD;SNRPD2;DHX16;HNRNPA2B1;MAGOHB;HSPA8;SART1;TRA2B;PQBP1;PPIH;HNRNPK;LSM3
prerank,AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,-0.6098709720271681,-1.918862659513058,0.0,0.05660916882621735,0.125,31/51,27.23%,HSPB1;UBC;UBB;PSMB7;PSME4;PSMC6;PSMD12;PSMB3;PSMA3;HSPA1A;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;HNRNPD;PSMD2;HSPA8;PSMA1;PSMB10;PSME1;UBA52;RPS27A;PSMD8;PSMD14
prerank,RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,-0.6929317776039413,-1.9185297511809274,0.0,0.045530815357000626,0.126,13/26,14.51%,SUPT5H;RNMT;POLR2L;POLR2F;GTF2H5;POLR2H;POLR2C;POLR2B;POLR2K;POLR2J;POLR2E;GTF2F1;POLR2I
prerank,mRNA Splicing R-HSA-72172,-0.4995803576734128,-1.906490081978315,0.0,0.04504385476494714,0.148,73/184,22.29%,CWC25;EIF4A3;SNRPB;SF3B5;RBM8A;ALYREF;SRSF2;RBM42;SRRM1;BUD31;RBM22;WBP11;POLR2L;HNRNPA0;TFIP11;TXNL4A;SNU13;SMNDC1;CRNKL1;CHERP;SF3B6;YBX1;POLR2F;MAGOH;SRRT;FUS;U2AF2;LSM7;POLR2H;SRSF11;HNRNPC;POLR2C;RBM17;SNRPA1;HNRNPH1;HNRNPU;SYF2;POLR2B;POLR2K;POLR2J;PUF60;SNRNP25;SNRPD3;WBP4;POLR2E;GTF2F1;POLR2I;PPIL4;SRSF3;SRSF1;PRCC;BCAS2;SF3B4;PAPOLA;DNAJC8;SNRPG;LSM4;DHX38;POLR2D;SRRM2;XAB2;HNRNPD;SNRPD2;DHX16;HNRNPA2B1;MAGOHB;HSPA8;SART1;TRA2B;PQBP1;PPIH;HNRNPK;LSM3
prerank,Plasma Lipoprotein Clearance R-HSA-8964043,-0.6862174707616135,-1.8988418676068584,0.0,0.04226122281035581,0.159,9/27,11.46%,LDLR;UBC;UBB;NR1H2;APOA1;NCEH1;LSR;CLTA;AP2S1
prerank,Regulation Of RUNX3 Expression And Activity R-HSA-8941858,-0.5912602152887633,-1.8811739972361807,0.0,0.04991346068548197,0.203,31/53,27.27%,TGFB1;UBC;UBB;PSMB7;PSMC6;PSMD12;PSMB3;PSMA3;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;RUNX3;PSMD3;PSMD11;PSMA7;PSMD2;PSMA1;PSMB10;PSME1;SMURF1;UBA52;SRC;RPS27A;PSMD8;PSMD14;EP300
prerank,Cell-cell Junction Organization R-HSA-421270,-0.6883699540052715,-1.8738227237670564,0.0,0.048966592867600196,0.22,11/24,11.82%,JUP;CLDN4;CLDN3;CLDN10;CLDN7;ANG;F11R;PARD3;PARD6B;CTNNB1;CADM1
prerank,IRE1alpha Activates Chaperones R-HSA-381070,-0.609323619972555,-1.8730204651062197,0.0,0.04419167372885355,0.22,14/45,11.55%,HSPA5;DNAJB11;LMNA;SERP1;DNAJC3;ERN1;ATP6V0D1;HYOU1;ZBTB17;MYDGF;CUL7;TSPYL2;DNAJB9;FKBP14
prerank,Vif-mediated Degradation Of APOBEC3G R-HSA-180585,-0.6047031846812553,-1.8699967724483872,0.0018018018018018018,0.04150232318637636,0.228,28/48,27.23%,UBC;UBB;PSMB7;PSME4;PSMC6;PSMD12;PSMB3;PSMA3;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;PSMD2;PSMA1;PSMB10;PSME1;APOBEC3G;UBA52;RPS27A;PSMD8;PSMD14
prerank,Degradation Of DVL R-HSA-4641258,-0.5927990355166275,-1.8651591570164439,0.003629764065335753,0.04047859921444574,0.235,29/51,27.23%,UBC;UBB;PSMB7;CUL3;PSME4;PSMC6;PSMD12;PSMB3;PSMA3;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;PSMD2;DVL2;PSMA1;PSMB10;PSME1;UBA52;RPS27A;PSMD8;PSMD14
prerank,Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,-0.6060155481576582,-1.8494989404130753,0.0036231884057971015,0.04569937863886529,0.265,27/46,27.23%,UBC;UBB;PSMB7;PSME4;PSMC6;PSMD12;PSMB3;PSMA3;PSMB6;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;PSMD2;PSMA1;PSMB10;PSME1;UBA52;RPS27A;PSMD8;PSMD14
prerank,Unfolded Protein Response (UPR) R-HSA-381119,-0.5379930913159937,-1.8394392052497301,0.0,0.04956563169115805,0.303,23/83,13.09%,HSPA5;CXCL8;EXOSC4;DNAJB11;LMNA;SERP1;ATF3;DNAJC3;ERN1;ATP6V0D1;HYOU1;ZBTB17;CEBPB;MYDGF;CUL7;EXOSC6;TSPYL2;HSP90B1;EIF2AK3;DNAJB9;FKBP14;HERPUD1;EXOSC8
prerank,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,0.596474997037542,1.8342035393719744,0.0,0.05176589782963162,0.215,12/33,13.15%,TNRC6C;TNRC6B;KMT2A;PRKCQ;ASH2L;PRMT6;TNRC6A;KAT2B;RUNX1;SETD1B;AGO4;KMT2D
prerank,PINK1-PRKN Mediated Mitophagy R-HSA-5205685,-0.7186841421418126,-1.8337430164966075,0.005703422053231939,0.049751140488130806,0.323,8/19,16.02%,MAP1LC3B;UBC;UBB;SQSTM1;TOMM5;TOMM22;VDAC1;MAP1LC3A
prerank,Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,-0.698983848777033,-1.8335719371753492,0.0,0.046793869392639346,0.324,13/21,21.74%,CCT4;PFDN2;TUBB2A;PFDN6;TUBB4B;TUBA4A;CCT2;PFDN4;TUBA1A;CCT3;CCT5;TUBA1C;TCP1
prerank,Miscellaneous Transport And Binding Events R-HSA-5223345,0.7120076416295351,1.8335141513873525,0.0,0.043631256742118076,0.218,7/17,14.18%,ADD3;LRRC8B;NIPAL3;NIPAL2;ANKH;LRRC8C;ADD1
prerank,Regulation Of Apoptosis R-HSA-169911,-0.5896503502317575,-1.8226524612387467,0.0018018018018018018,0.051846980683341384,0.369,28/49,27.23%,UBC;UBB;PSMB7;PSME4;PSMC6;PSMD12;PSMB3;PSMA3;PSMB6;ARHGAP10;PSMD9;PSMC3;PSMC4;PSME3;PSMB2;PSMB1;PSME2;PSMD3;PSMD11;PSMA7;PSMD2;PSMA1;PSMB10;PSME1;UBA52;RPS27A;PSMD8;PSMD14
prerank,Assembly Of HIV Virion R-HSA-175474,-0.7612680072322691,-1.8172809654084714,0.0,0.052077729983497446,0.384,5/15,8.27%,UBC;UBB;VPS28;FURIN;UBAP1
prerank,TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,-0.5347292596826269,-1.8172371022097047,0.0,0.04940087058858356,0.384,32/85,18.40%,TNFRSF12A;TNFRSF18;RELB;UBC;UBB;SKP1;NFKB2;PSMB7;PSME4;TNFSF14;PSMC6;PSMD12;LTA;FASLG;UBE2M;PSMB3;PSMA3;BIRC2;PSMB6;TNFRSF4;PSMD9;PSMC3;PSMC4;PSME3;TRAF3;PSMB2;PSMB1;PSME2;TNFSF9;PSMD3;PSMD11;PSMA7
prerank,G0 And Early G1 R-HSA-1538133,0.6358275336548405,1.8115587371396509,0.0,0.05028687217735643,0.288,15/25,26.73%,TOP2A;RBL1;CCNA2;CDC25A;RBL2;CDK1;CCNE2;LIN54;RBBP4;MYBL2;MAX;CDK2;LIN52;MYC;PCNA
prerank,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,-0.4945061369273658,-1.8070404222819685,0.0,0.05326131475584966,0.415,53/135,23.36%,LDLR;CYCS;SLC16A3;COX6A1;LDHA;UQCRFS1;COX5B;RXRA;NDUFS6;NDUFS5;COX7B;NDUFB11;COX8A;NDUFA6;COX6C;UQCRH;MPC2;NDUFB2;MDH2;NDUFS7;PDK4;NDUFA1;NDUFA2;NDUFB9;COX6B1;FAHD1;UQCRQ;VDAC1;COX5A;NDUFB8;NDUFS3;HAGH;NDUFC1;NDUFA3;NDUFS8;NDUFAF6;UQCR11;NDUFB6;NDUFAB1;GSTZ1;SLC16A1;NDUFB7;UQCRC1;NDUFA11;SDHB;NDUFAF2;UQCR10;COX4I1;COX19;NDUFB3;BSG;NDUFB4;NDUFA13
