Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Enterocyte Cholesterol Metabolism WP5333,-0.818621661174531,-2.25503668433494,0.0,0.0,0.0,15/28,8.74%,LDLR;HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;DHCR24;HSD17B7;DGAT1;APOA1;DHCR7;TM7SF2;MGAT1;FDFT1
prerank,Cholesterol Metabolism WP5304,-0.7182451429173969,-2.1916712336359567,0.0,0.0,0.0,17/47,8.74%,LDLR;HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;TSPO;DHCR24;HSD17B7;DGAT1;APOA1;DHCR7;VAPA;TM7SF2;MGAT1;FDFT1
prerank,Cholesterol Metabolism With Bloch And Kandutsch Russell Pathways WP4718,-0.7206182739926379,-2.1639117895132878,0.0,0.00039451596679272884,0.001,19/39,12.11%,HMGCS1;CYP51A1;HMGCR;SQLE;SREBF2;MSMO1;MVD;SREBF1;DHCR24;NR1H2;HSD17B7;SCD;ELOVL5;DHCR7;ACSL3;TM7SF2;FDFT1;FASN;FADS2
prerank,Overview Of Proinflammatory And Profibrotic Mediators WP5095,-0.7184281551145302,-2.1541272707916104,0.0,0.0005917739501890933,0.002,21/41,9.72%,TGFB1;CXCL8;CXCL14;NFKB1;CCL20;LIF;IL2;XCL1;IL6;CSF2;CXCL2;SPP1;XCL2;CXCL16;CXCL1;VEGFA;LTA;IL23A;CCL5;CXCL3;CCL3
prerank,Cholesterol Biosynthesis Pathway In Hepatocytes WP5329,-0.7181869280418386,-2.0587769989432623,0.0,0.0021303862206807356,0.008,14/33,8.74%,HMGCS1;CYP51A1;HMGCR;MSMO1;MVD;SREBF1;DHCR24;NR1H2;HSD17B7;SCD;ELOVL5;ACSL3;TM7SF2;FDFT1
prerank,Retinoblastoma Gene In Cancer WP2446,0.5593873479544937,2.041546116803458,0.0,0.004727511490479317,0.006,44/83,26.73%,DCK;TOP2A;CCNA2;MCM3;CDC25B;CCNB2;CDC25A;KIF4A;CCND3;PRMT2;POLD3;CDK1;CCNB1;SMARCA2;SMC3;CCNE2;TTK;HLTF;MAPK13;CDKN1B;TYMS;DHFR;RRM2;RPA2;CDK6;RRM1;RBBP4;RFC4;STMN1;RFC5;RPA1;SMC2;MCM6;E2F3;BARD1;PRIM1;PRKDC;TP53;CDK2;NPAT;CHEK1;ANLN;MYC;PCNA
prerank,Ferroptosis WP4313,-0.6435471130889081,-2.036713456384944,0.0,0.001972579833963644,0.009,23/52,16.60%,HMGCR;MAP1LC3B;HSPB1;CP;GPX4;FTH1;HMOX1;GCH1;SLC1A5;SLC3A2;SAT1;CTH;ACSL3;PRNP;FDFT1;ACSL5;SAT2;SLC40A1;SLC39A14;BACH1;TFRC;MAP1LC3A;VDAC2
prerank,NRF2 Pathway WP2884,-0.5916545737006397,-2.010590166453071,0.0,0.003212487158169364,0.017,26/72,13.76%,GPX3;TGFB1;UGT2B7;HSP90AB1;FTH1;SLC2A1;SQSTM1;HMOX1;GGT1;RXRA;PRDX1;SLC6A6;PGD;TXN;SLC5A6;BLVRB;HSP90AA1;MGST3;MGST2;PRDX6;HSPA1A;SLC6A8;NQO1;HBEGF;MAFF;SLC39A14
prerank,Photodynamic Therapy Induced Unfolded Protein Response WP3613,-0.7271177455079486,-1.9747935495770266,0.001893939393939394,0.004586248113965474,0.027,16/24,18.57%,HSPA5;DNAJB11;PPP1R15A;ATF3;DNAJC3;ERN1;BBC3;XBP1;HSP90B1;EIF2AK3;DNAJB9;TRIB3;ERP27;ATF4;NFE2L2;DDIT3
prerank,Melatonin Metabolism And Effects WP3298,-0.7214099768356322,-1.9673168820946205,0.0,0.004734191601512746,0.032,9/24,4.76%,ADRB1;NFKB1;PER2;MAOA;EDN1;PER1;CRY1;CSNK1D;ECE1
prerank,Cholesterol Biosynthesis Pathway WP197,-0.7993513259144857,-1.9627518287197883,0.0019011406844106464,0.00437912723139929,0.033,8/15,8.74%,HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;DHCR7;FDFT1
prerank,Cholesterol Synthesis Disorders WP5193,-0.7903021089401515,-1.9606850199847707,0.0,0.00430381054682977,0.036,9/17,8.74%,HMGCS1;CYP51A1;HMGCR;SQLE;MSMO1;MVD;DHCR24;DHCR7;FDFT1
prerank,miRNA Targets In ECM And Membrane Receptors WP2911,0.717991401227567,1.959813176832138,0.0,0.010636900853578464,0.026,13/20,14.67%,COL5A1;FN1;COL3A1;COL5A2;COL1A2;COL6A1;COL5A3;TNXB;COL6A3;COL4A2;COL6A2;LAMB2;COL4A1
prerank,Gastric Cancer Network 1 WP2361,0.6982528664685939,1.9347627986104274,0.0020920502092050207,0.010242941562705186,0.036,12/22,18.07%,TOP2A;CEP192;UBE2C;KIF15;NUP107;TPX2;CENPF;KIF20B;ECT2;RNF216;SMOC2;MYBL2
prerank,SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2011,-0.7945909713036852,-1.9278952506343574,0.0,0.007397174377363667,0.063,6/15,6.72%,LDLR;HMGCS1;HMGCR;SREBF2;SREBF1;SCD
prerank,Proximal Tubule Transport WP4917,-0.6921003874511545,-1.901420569729053,0.0,0.01037880466485487,0.097,10/28,7.24%,SLC1A1;ATP1B1;ATP6V0B;FXYD2;SLC3A1;SLC2A1;SLC3A2;ATP1A1;ATP6V1D;CA2
prerank,Selenium Micronutrient Network WP15,-0.6101659070845585,-1.8646495331728474,0.0,0.01673874887677721,0.166,15/44,7.55%,LDLR;GPX3;NFKB1;PTGS2;GPX4;SERPINE1;NFKB2;IL6;GGT1;PRDX1;SOD1;APOA1;TXN;PRDX5;CTH
prerank,Photodynamic Therapy Induced NF kB Survival Signaling WP3617,-0.6502581524881861,-1.83896338544198,0.0018248175182481751,0.022803022880619733,0.228,13/30,11.88%,CXCL8;RELB;NFKB1;PTGS2;IL2;NFKB2;IL6;CSF2;CXCL2;VEGFA;BCL2A1;BIRC2;REL
prerank,Electron Transport Chain OXPHOS System In Mitochondria WP111,-0.5504854593781694,-1.8360905473977875,0.0,0.022487410107185548,0.235,38/73,23.36%,COX6A1;UQCRFS1;COX5B;NDUFS6;NDUFS5;COX7B;COX8A;NDUFA6;COX6C;UQCRH;COX7A2;NDUFB2;NDUFS7;NDUFA1;NDUFA2;NDUFB9;COX6B1;UQCRQ;COX5A;NDUFB8;NDUFS3;NDUFC1;NDUFA3;NDUFS8;UQCR11;NDUFB6;NDUFAB1;NDUFB7;SLC25A5;UQCRC1;COX17;NDUFA11;SDHB;UQCR10;COX4I1;NDUFB3;NDUFB4;NDUFA13
