Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),0.8279326682856468,2.091151212538884,0.0,0.016590543919592134,0.017,8/25,3.29%,MEF2C;CAV1;CCL2;SULF1;VASH1;CAV2;ATOH8;SPARC
prerank,Negative Regulation Of Ossification (GO:0030279),0.8373803814849966,2.020674558688521,0.0,0.04520923218088857,0.079,4/19,2.78%,MEF2C;SRGN;ECM1;CHSY1
prerank,Positive Regulation Of Neuron Differentiation (GO:0045666),0.7674055505638251,2.0136154529139825,0.0,0.03456363316581695,0.088,5/27,2.30%,MEF2C;TCF4;NBL1;GDPD5;ADRA2C
prerank,Cartilage Development (GO:0051216),0.7312356500600002,2.013428239754794,0.0,0.025922724874362712,0.088,10/37,9.00%,MEF2C;SULF1;TGFB1;SCX;OSR2;NFIB;HES5;FGF2;OGN;HYAL2
prerank,Chondrocyte Differentiation (GO:0002062),0.777951384886589,2.0037769764078797,0.0,0.02471991044019228,0.105,7/26,6.16%,MEF2C;SULF1;TGFB1;SCX;OSR2;NFIB;HES5
prerank,Cytoplasmic Translation (GO:0002181),-0.5236473724415872,-1.997936654557323,0.0,0.1436444949748409,0.093,58/90,31.89%,ZC3H15;RPLP2;RPS8;RPLP1;RPS20;RPL37;RPS24;RPL36;RPL27A;RPS18;RPL28;RPL39;RPS19;RPS11;FAU;RPL7;RPL35;RPL22L1;RPL11;RPS17;RPL37A;RPL24;RPL36AL;ETF1;RPS16;RPL18;RPS9;RPL13;RPL12;RPS15;RPL13A;RPS6;RPL10;RPL32;RPL29;RPSA;RPS14;RPL34;RPL38;RPS29;RPS25;RPL26L1;RPL30;RPL8;RPS27;RPL9;RPS5;UBA52;RPS28;RPS23;RPL22;RPL15;RPL6;RPL14;RPL18A;RPL27;RPS3A;RPS7
prerank,Mitotic Sister Chromatid Cohesion (GO:0007064),-0.7476354954544167,-1.9913884440344896,0.0,0.08149062695688089,0.105,11/17,17.75%,ESCO1;NPC1;NIPBL;STAG1;NAA50;RAD21;PDS5A;RB1;STAG2;SMC3;SMC1A
prerank,Determination Of Heart Left/Right Asymmetry (GO:0061371),0.7489725294854612,1.989887850586948,0.0,0.02640661573868415,0.131,8/31,11.04%,MEF2C;SOX18;DVL2;MICAL2;NDRG4;ENG;TBX2;TGFBR2
prerank,Signal Transduction By P53 Class Mediator (GO:0072331),-0.6271491435438131,-1.9897345038939265,0.0,0.05570828170498637,0.108,10/30,8.95%,USP10;NDRG1;TP53BP2;BCL3;PMAIP1;NBN;PAXIP1;IFI16;PPP1R13B;JMY
prerank,Heart Looping (GO:0001947),0.7536456750697611,1.9834487389189284,0.0,0.025596839190227864,0.143,8/29,11.04%,MEF2C;SOX18;DVL2;MICAL2;NDRG4;ENG;TBX2;TGFBR2
prerank,Nucleosome Organization (GO:0034728),-0.5772800479570289,-1.9825172388585368,0.0,0.04799659808053578,0.125,20/50,12.88%,SMARCE1;SMARCA5;SPTY2D1;SMARCC1;SUPT6H;CABIN1;NAP1L4;CHRAC1;SMARCC2;SUPT16H;POLE3;CHD2;SET;SART3;GRWD1;CHAF1A;SOX9;ARID2;HMGA1;SETD2
