Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Malaria,0.7027585870695047,1.967483107263189,0.0,0.012965492124191935,0.016,20/38,10.05%,CCL2;HBA1;TGFB1;HBB;ACKR1;PECAM1;VCAM1;HBA2;TGFB3;CD81;GYPC;IFNG;TLR2;ITGB2;LRP1;CD36;SDC2;THBS3;KLRB1;IL1B
prerank,Vascular smooth muscle contraction,0.5877118938351574,1.8673170746185916,0.0,0.038896476372575796,0.081,31/92,14.62%,MYH11;GUCY1A2;ACTA2;MYL9;RAMP2;KCNMB1;GNAS;CALD1;ADCY3;AVPR1A;ACTG2;PPP1R14A;ADCY4;CALCRL;RAMP3;EDN3;PRKCD;PRKG1;NPPC;PPP1R12B;PLA2G4D;RAMP1;MYLK;PLA2G4C;RHOA;EDNRA;KCNMB4;ADCY1;PLA2G4A;CACNA1C;ROCK2
prerank,Fluid shear stress and atherosclerosis,0.55513108692598,1.8223404011132494,0.0,0.045919451273179764,0.129,29/125,11.08%,MEF2C;CAV1;CCL2;GSTM5;KLF2;PECAM1;VCAM1;CAV2;GSTM4;CTNNB1;PDGFB;IFNG;TXN2;GSTA4;ACTB;ACTG1;NPPC;MAPK12;SUMO3;AKT3;PLAT;SDC2;MGST2;RAC2;NCF2;IL1B;MAP2K6;RHOA;NQO1
prerank,cGMP-PKG signaling pathway,0.5571366538706769,1.8169673227901193,0.0,0.03727578985705181,0.14,30/118,15.02%,MEF2C;GUCY1A2;KCNJ8;MYL9;KCNMB1;ATP1B2;ADCY3;ADRA2C;PPP3CB;ADCY4;CREB3L1;PDE5A;PRKG1;NPPC;CNGA1;AKT3;ADRA2B;SLC25A5;PDE3A;MYLK;RHOA;ATP1B3;NFATC4;EDNRA;ATP2B4;KCNMB4;ADCY1;CACNA1C;ROCK2;IRS2
prerank,Olfactory transduction,0.7114874705383292,1.8004493126245955,0.004615384615384616,0.03727578985705181,0.168,5/23,6.05%,CAMK2G;PDE1A;ADCY3;GNG7;PRKG1
prerank,mRNA surveillance pathway,-0.47012978137541084,-1.799279780815903,0.0,0.15681244743481917,0.087,25/84,14.96%,UPF2;ACIN1;RNPS1;MSI2;PAPOLA;HBS1L;PPP2R5A;PNN;GSPT1;RNGTT;PPP2CB;PPP2R3B;PPP2R1A;RBM8A;RNMT;PPP2R3A;FUS;EIF4A3;DDX39B;WDR33;SRRM1;PPP2R2A;SYMPK;SMG1;SMG6
prerank,Spliceosome,-0.4405529263762543,-1.7830575827802397,0.0,0.09424586487244183,0.104,56/131,22.68%,HNRNPA3;RBM25;ACIN1;PRPF19;DDX46;DHX38;WBP11;DDX42;SF3B2;PRPF18;U2AF2;U2SURP;SNRNP200;SNRPD3;SNRPE;SNRNP27;PCBP1;HNRNPC;EFTUD2;HNRNPU;RBM8A;CDC5L;RBM22;SYF2;SNRPF;DHX8;FUS;CCDC12;EIF4A3;DDX39B;BCAS2;RBM17;SF3A1;THOC2;HSPA6;THOC3;DDX23;PRPF6;LSM6;SNU13;TRA2B;SNRPD1;SLU7;LSM5;ZMAT2;SF3B4;DHX15;SNW1;PRPF40A;SF3B1;SNRNP70;CHERP;DHX16;SNRPA1;HNRNPA1;SF3B3
prerank,Oxytocin signaling pathway,0.5301082544655492,1.729550027326267,0.0,0.0781981243740326,0.358,33/113,20.26%,MEF2C;GUCY1A2;MYL9;CAMK2G;GNAS;ADCY3;PPP3CB;ADCY4;ACTB;ACTG1;PPP1R12B;PLA2G4D;CACNB2;MYLK;PLA2G4C;RHOA;NFATC4;ADCY1;PLA2G4A;CACNA1C;ROCK2;CACNB4;PPP3CC;NPR2;RYR3;PLA2G4F;ADCY6;MAP2K2;PPP1R12C;CAMK1D;NFATC3;PLCB1;CACNA2D3
prerank,Ribosome,-0.4105559849037319,-1.6820236177086223,0.0,0.17159611251284929,0.249,74/127,32.93%,MRPL2;RPLP2;MRPL19;RPS8;RPLP1;RPS20;RPL37;MRPS5;RPS24;MRPL33;RPL36;RPL27A;RPS18;RPL28;RPL39;RPS19;RPS11;FAU;RPL7;RPL35;RPL22L1;MRPL14;RPL11;MRPL32;RPS17;RPL37A;RPL24;RPL36AL;RPS16;RPL18;RPS9;RPL13;RPL12;RPS15;RPL13A;RPS6;RPS12;RPL10;RPL32;RPL29;RPSA;RPS14;RPL34;MRPS16;MRPS7;RPL23;RPL38;RPS29;RPS25;RPL26L1;MRPS6;RPL30;RPL8;RPS27;RPL9;RPS5;UBA52;RPS28;RPS23;MRPL11;RPL22;RPL15;RPL6;RPL14;RPL18A;MRPL1;MRPL30;RPL27;MRPS2;RPS3A;RPS7;MRPL9;RPS13;MRPL12
prerank,Thyroid cancer,-0.5244112069969377,-1.6664554891996939,0.009316770186335404,0.14612068965517241,0.275,10/34,11.14%,PAX8;CDH1;CCDC6;TPM3;GADD45A;TPR;MAP2K1;CDKN1A;TCF7L2;PPARG
prerank,Protein export,-0.5697686391423926,-1.6521049699204888,0.008902077151335312,0.1343201569946734,0.309,13/23,22.30%,SEC62;SEC61A1;SRP54;SEC63;SPCS3;SEC11C;SRP72;HSPA5;SPCS2;SEC61G;OXA1L;SPCS1;SRPRA
prerank,NF-kappa B signaling pathway,-0.424889175789101,-1.6511054958448697,0.0,0.1124614522007289,0.31,28/90,14.34%,GADD45A;CXCL3;TNF;BCL2;PLCG2;BLNK;TICAM1;CXCL2;ERC1;SYK;CXCL1;CSNK2A1;MALT1;CXCL8;BCL2L1;PARP1;NFKBIA;PTGS2;TNFAIP3;BCL10;BCL2A1;TNFRSF11A;TAB2;NFKB1;XIAP;PLAU;MYD88;TRAF3
prerank,Salivary secretion,0.5590096417821231,1.624688909956379,0.012605042016806723,0.19749222824885213,0.689,15/52,13.44%,GUCY1A2;ATP1B2;LYZ;GNAS;AMY2B;CST1;ADCY3;ADCY4;PRKG1;VAMP2;AQP5;ATP1B3;MUC5B;ATP2B4;ADCY1
prerank,Circadian entrainment,0.5414219062461864,1.6096925022142454,0.013717421124828532,0.20258581444049897,0.736,14/62,13.97%,GUCY1A2;CAMK2G;GNAS;ADCY3;GNG7;ADCY4;PER3;PRKG1;CACNA1G;GNB4;GNG11;RPS6KA5;ADCY1;CACNA1C
prerank,Protein processing in endoplasmic reticulum,-0.38604456937518933,-1.6055890658405298,0.0,0.1421042092194321,0.414,28/157,10.38%,RRBP1;UBXN4;PPP1R15A;CAPN2;SEC62;CANX;SEC61A1;BCL2;NPLOC4;SEC24D;TRAM1;NFE2L2;MBTPS1;SSR1;LMAN1;ERN1;SEC63;YOD1;HSP90B1;CRYAB;MAP3K5;SEL1L;UBQLN1;ERLEC1;HSP90AB1;EIF2AK1;EIF2AK2;NGLY1
prerank,Renin secretion,0.554410405865711,1.569691692717772,0.022857142857142857,0.2630014062136433,0.85,12/45,13.97%,AQP1;GUCY1A2;GNAS;PDE1A;PPP3CB;EDN3;PDE3A;ORAI1;EDNRA;REN;ACE;CACNA1C
prerank,Purine metabolism,0.4781035767903113,1.543264938107833,0.011111111111111112,0.2959373577346809,0.902,27/99,15.30%,GUCY1A2;NUDT9;ENTPD1;PDE1A;ADSL;ADCY3;ADCY4;PDE4A;PDE5A;NME1;HPRT1;NME4;PDE3A;RRM2B;AMPD3;PDE8B;IMPDH2;DCK;NUDT2;NME6;ADPRM;PRPS1;IMPDH1;ADCY1;PDE6B;PAPSS1;ATIC
prerank,IL-17 signaling pathway,-0.4120776021049319,-1.5342929816892679,0.00423728813559322,0.21324116904962154,0.602,21/72,14.34%,CXCL3;TNF;FOSL1;LCN2;FOSB;CXCL2;MAPK6;IL6;CXCL1;HSP90B1;CASP3;CXCL8;NFKBIA;GSK3B;PTGS2;HSP90AB1;TNFAIP3;TAB2;NFKB1;MAPK1;TRAF3
prerank,Apelin signaling pathway,0.48098221071260017,1.5341620216284884,0.014943960149439602,0.2929022538965178,0.921,8/100,3.40%,MEF2C;NOTCH3;ACTA2;KLF2;ADCY3;GNG7;EGR1;ADCY4
prerank,Complement and coagulation cascades,0.5350496083155474,1.5221734012572612,0.031081081081081083,0.2964505751312635,0.938,24/46,19.80%,SERPINA1;A2M;VWF;PROCR;MASP1;ITGB2;C5AR1;F10;SERPINF2;PLAT;F8;C3;CFI;C2;F2;C4BPB;CFH;FGA;C1S;C1R;CLU;C4BPA;CD59;FGB
prerank,"Parathyroid hormone synthesis, secretion and action",0.48665811066872827,1.4989030574098772,0.01602136181575434,0.33280174255317657,0.966,7/82,4.61%,MEF2C;GNAS;ADCY3;EGR1;ADCY4;CREB3L1;PDE4A
prerank,Fatty acid elongation,0.5868135178722919,1.4945872849258903,0.04241435562805873,0.32089593007375034,0.969,5/23,10.43%,HADHB;THEM4;HACD1;MECR;ELOVL1
