Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Ribosomal Proteins WP477,-0.5697868364257687,-2.185877511240006,0.0,0.0,0.0,60/86,32.84%,RPS6KB1;RPLP2;MRPL19;RPS8;RPLP1;RPS20;RPL37;RPS24;RPL36;RPL27A;RPS18;RPL28;RPL39;RPS19;RPS11;FAU;RPL7;RPL35;RPL11;RPS17;RPL37A;RPL24;RPS16;RPL18;RPS9;RPL13;RPL12;RPS15;RPL13A;RPS6;RPS12;RPL10;RPL32;RPL29;RPSA;RPS14;RPL34;RPL23;RPL38;RPS29;RPS25;RPL30;RPL8;RPS27;RPL9;RPS5;RPS6KA1;UBA52;RPS28;RPS23;RPL22;RPL15;RPL6;RPL14;RPL18A;RPL27;RPS3A;RPS7;RPS6KA3;RPS13
prerank,MET In Type 1 Papillary Renal Cell Carcinoma WP4205,-0.5532823524777883,-1.9712587344705457,0.0,0.02531567938852451,0.03,21/53,17.83%,PAK2;STRN;CRKL;RAPGEF1;PAK4;STAT3;MAP2K1;RAF1;CDKN1A;PAK1;SOS2;GRB2;PRCC;MAPK1;ETS1;RPL11;NRAS;PIK3CB;GAB1;MAPK8;BRAF
prerank,Cardiac Progenitor Differentiation WP2406,0.7549232914341949,1.9472067313682404,0.0,0.06217522931634359,0.071,3/27,1.29%,MEF2C;TGFB1;THY1
prerank,Regulation Of Wnt B Catenin Signaling By Small Molecule Compounds WP3664,0.8299836624271795,1.9399803202270478,0.0,0.03434096968053861,0.076,8/16,7.56%,DKK3;TCF4;SFRP4;CTNNB1;FZD7;LEF1;DVL2;LRP1
prerank,15Q11Q13 Copy Number Variation WP5407,-0.5369059588504426,-1.7934076009504916,0.0035211267605633804,0.2047031279588218,0.302,15/46,9.11%,DNMBP;CANX;MITF;TJP1;SMC5;OCLN;EID3;SIN3A;CGN;MTMR10;STX1A;FAN1;CDC42BPB;TJP2;GJA1
prerank,ATM Signaling In Development And Disease WP3878,-0.5336545504561236,-1.7929768155199355,0.0,0.15434398078810105,0.303,13/41,9.90%,RNF40;RBBP8;RIF1;MTOR;MDC1;PPM1D;MAP3K5;RNF20;NBN;ATR;HSPB1;PRKDC;ATMIN
prerank,Markers Of Kidney Cell Lineage WP5236,0.6428125988756266,1.7919038279995838,0.0014144271570014145,0.19327338725468046,0.433,11/42,9.52%,ACTA2;TGFB1;PDGFRB;PECAM1;ALDH1A2;CTNNB1;DCN;WNT4;DES;TNC;NTN1
prerank,Endochondral Ossification WP474,0.6111543895516746,1.784569392558007,0.0,0.12623017486783245,0.46,9/53,6.25%,MEF2C;FRZB;MGP;TGFB1;ACAN;TIMP3;ADAMTS5;ADAMTS4;FGF2
prerank,Endochondral Ossification With Skeletal Dysplasias WP4808,0.6111543895516746,1.784569392558007,0.0,0.12623017486783245,0.46,9/53,6.25%,MEF2C;FRZB;MGP;TGFB1;ACAN;TIMP3;ADAMTS5;ADAMTS4;FGF2
prerank,miRNA Targets In ECM And Membrane Receptors WP2911,0.700666106721058,1.7509639647857373,0.00463678516228748,0.15676351422589732,0.6,12/21,11.46%,COL5A3;COL5A2;COL1A2;COL6A3;FN1;COL6A2;TNXB;COL3A1;SDC2;LAMB2;COL4A2;COL5A1
