Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Muscle Contraction (GO:0006936),0.759023616076237,2.3189406511964874,0.0,0.0,0.0,26/55,7.77%,SSPN;DES;PGAM2;CASQ2;MYH11;TMOD1;SLMAP;CKMT2;DTNA;SNTB1;ROCK2;APBB1;TTN;FXYD1;SGCA;LMOD1;UTRN;ADRA1D;SNTA1;ALDOA;SMTN;GNAO1;TPM2;ASPH;ROCK1;MYLK
prerank,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),0.7667719376919331,2.0736515011652035,0.0,0.0036979244183162176,0.006,13/30,9.61%,EPHA3;PRKAA2;TRIM36;MPDZ;MAPRE3;FAM107A;MAPRE2;CLASP2;BICD2;MAP6;ROCK1;PHLDB2;MARK2
prerank,Muscle Organ Development (GO:0007517),0.696449476458408,2.041482691005976,0.0,0.005634932446958046,0.014,16/45,6.63%,FHL1;DMD;DES;SGCD;MKX;SPEG;CTF1;SGCE;BVES;ITGB1BP2;TAGLN;SGCA;EGR3;UTRN;MEF2A;SMTN
prerank,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),0.6703588831942289,1.973647216884772,0.0,0.014263422756362554,0.046,20/47,15.30%,SCN3A;CLU;PLCB1;PLCB4;JPH4;ATP2B4;ITPR1;FLNA;JPH1;PTPRC;XCL1;CACNA2D1;SCN2A;SLC24A2;JPH2;GRIN2A;FGF2;CACNA1G;PKD2;SLC24A1
prerank,Mitochondrial Gene Expression (GO:0140053),-0.5297251401779044,-1.9623506687087668,0.0,0.11168393547150395,0.11,46/100,19.98%,GADD45GIP1;MRPL47;MRPS11;MRPS21;TBRG4;MRPL41;MRPS15;MRPL12;MRPL14;TEFM;CHCHD1;MRPL36;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPL27;MRPS5;MTERF3;MRPL13;MRPS7;MRPL17;TFB2M;MRPS12;MRPS34;FASTK;MRPL34;MRPL55;MRPS33;MRPS26;MTG1;MRPL28;MRPS14;MRPL23;MRPL40;MRPL21;POLRMT;GATB;MRPL22;MRPS16;MRPL52;SLC25A33;MRPL44;FASTKD3
prerank,Actomyosin Structure Organization (GO:0031032),0.6521622157078157,1.9589192401934714,0.0,0.016693487374113213,0.067,14/53,7.92%,PGM5;FLNC;MYH11;TMOD1;SORBS1;CSRP1;MYOZ1;MYO18A;MYH10;ROCK2;TTN;LMOD1;ROCK1;MYL9
prerank,Positive Regulation Of Neuron Projection Development (GO:0010976),0.6205748476995795,1.9367036700271687,0.0,0.02148317995402755,0.103,24/66,14.74%,NDNF;EPHA3;DPYSL3;NTRK2;PTN;RAP1A;VLDLR;TUBB2B;MAGI2;ROR1;CX3CL1;PTK2B;S100A9;NPTN;CBFA2T2;DDR2;LRRC7;MARK2;KIDINS220;CAMK1D;ARHGAP35;TOX;SCN1B;SCARB2
prerank,Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992),0.8210230377468739,1.9282100391210162,0.0,0.021432868057179713,0.117,7/16,9.26%,SORL1;CLU;PRNP;NTRK2;ROCK1;PICALM;IGF1
prerank,Regulation Of Neuron Death (GO:1901214),0.6706857937029665,1.9257043565840937,0.0,0.020074446842288037,0.127,9/43,4.35%,SORL1;SNCG;CLU;EGR1;GPNMB;PRNP;LRRK2;TYROBP;SNCA
prerank,Neuron Projection Guidance (GO:0097485),0.5830678786430238,1.8885300196258414,0.0,0.036040088775335835,0.238,38/85,18.19%,EPHA3;PALLD;CXCL12;NEXN;LGR6;KIF5C;KLF7;EPHB1;CYFIP2;KALRN;USP33;SEMA4D;SEMA3D;EPHA5;EPHA4;NEO1;EPHA7;SEMA3C;SEMA5A;ARHGEF25;BOC;FYN;SEMA3A;CYFIP1;PTPRO;CNTN4;NFASC;ARHGAP35;EFNA3;SCN1B;TRIO;SEMA4F;MYCBP2;WNT5A;CNTN1;EFNB3;ENAH;NOTCH2
prerank,Regulation Of Potassium Ion Transport (GO:0043266),0.7641653762320524,1.8820805992276033,0.0,0.035605729399216156,0.252,8/20,5.78%,FHL1;KCNAB1;CASQ2;DRD1;KCNH2;ANK2;DPP6;PTK2B
prerank,Regulation Of Calcium-Mediated Signaling (GO:0050848),0.8048038944431265,1.8807628611403024,0.0,0.033041194802617635,0.257,5/15,4.01%,LRRK2;CDH13;ITPR1;CMKLR1;CCL4
prerank,Myofibril Assembly (GO:0030239),0.7080392606929528,1.848494960201998,0.0,0.05458840807990607,0.408,8/25,7.92%,PGM5;FLNC;TMOD1;CSRP1;MYOZ1;TTN;LMOD1;MYL9
prerank,Gonad Development (GO:0008406),0.6856828164119314,1.8469854174709999,0.0016474464579901153,0.05177094185642704,0.415,7/28,9.12%,CSDE1;SOX15;NR2F2;NCOA4;KIT;SALL1;GATA6
prerank,Mitochondrial Translation (GO:0032543),-0.5014320125717731,-1.8456676100711071,0.0,0.34140780274215843,0.486,39/96,18.83%,GADD45GIP1;MRPL47;MRPS11;MRPS21;MRPL41;MRPS15;MRPL12;MRPL14;CHCHD1;MRPL36;MTRF1;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPL27;MRPS5;MRPL13;MRPS7;MRPL17;MTIF3;MRPS12;MRPS34;MRPL34;MRPL55;MRPS33;MRPS26;MTG1;MRPL28;MRPS14;MRPL23;MRPL40;MRPL21;GATB;MRPL22;MRPS16;MRPL52
prerank,Axon Guidance (GO:0007411),0.5493195374688408,1.843112145883114,0.0,0.05169547401115529,0.433,42/105,18.19%,EPHA3;PALLD;NFIB;NCAM1;CXCL12;NEXN;LGR6;KIF5C;KLF7;EPHB1;PLXNC1;CYFIP2;KALRN;USP33;SEMA4D;SEMA3D;EPHA5;EPHA4;NEO1;EPHA7;SEMA3C;SEMA5A;ARHGEF25;BOC;NTN1;FYN;SEMA3A;CYFIP1;PTPRO;CNTN4;NFASC;ARHGAP35;EFNA3;SCN1B;TRIO;SEMA4F;MYCBP2;WNT5A;CNTN1;EFNB3;ENAH;NOTCH2
prerank,Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016),0.749328337582449,1.832095297423222,0.0,0.05867373410395066,0.502,8/20,9.27%,FHL1;KCNAB1;KCNG1;CASQ2;ANK2;ATP1B1;AKAP9;VAMP2
prerank,Response To Calcium Ion (GO:0051592),0.5736854738870429,1.8164353715199466,0.0,0.06900591102036513,0.574,15/70,7.44%,KCNMA1;CLU;PRKAA2;KCNMB1;CASQ2;CLIC4;SYT1;ITPKB;RASA4;TTN;IQGAP1;DMTN;CPNE3;MEF2A;STIM1
