Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,-0.508028117222493,-1.9565188529876465,0.0,0.01036373496153769,0.012,53/127,23.80%,RPL39;RPL26L1;MRPS11;RPL28;MRPS21;MRPS15;MRPL12;MRPL14;MRPL15;MRPL36;MRPL16;MRPL4;RPL35;RPL22L1;MRPS2;RPS2;MRPL27;MRPS5;RPS15;MRPL13;MRPS7;MRPL17;RPS18;RPL36;RPL29;MRPS12;RPL18A;RPS19;RPL12;RPLP2;MRPL34;RPS7;MRPL28;RPS15A;MRPS14;MRPL23;RPS12;RPL37;MRPL21;RPL11;MRPL22;RPLP0;MRPS16;RPS5;RPS24;RPL13;RPL8;RPL10;MRPS18A;UBA52;RPLP1;RPS28;MRPL35
prerank,cGMP-PKG signaling pathway,0.5295414792290338,1.806963957867033,0.0,0.10391656426253269,0.086,29/116,9.62%,KCNMA1;ATP1A2;PLCB1;KCNMB1;PLCB4;RGS2;PRKG1;ADCY5;PPP1CB;ATP2B4;ITPR1;SLC25A4;ROCK2;PPP1R12A;CREB3L2;PDE5A;ADRB2;GNAI2;ADRA1D;ATP1B1;PLN;MEF2A;VDAC2;ROCK1;MYLK;MYL9;INSR;MAPK1;AKT3
prerank,Renin secretion,0.6065269045819901,1.7943999256570011,0.0016129032258064516,0.06320698238648896,0.103,15/46,12.85%,KCNMA1;PLCB1;AQP1;PLCB4;ADCY5;ITPR1;ADRB2;GNAI2;PDE1B;PTGER4;EDN3;PDE1A;CREB1;GNAQ;AGT
prerank,Salivary secretion,0.6127017035701539,1.781937261208852,0.001594896331738437,0.049637121761141045,0.119,16/43,12.58%,KCNMA1;ATP1A2;PLCB1;PLCB4;PRKG1;ADCY5;ATP2B4;ITPR1;ADRB2;ADRA1D;ATP1B1;VAMP2;PRKCA;LYZ;SLC12A2;GNAQ
prerank,Proteasome,-0.5642316850717715,-1.7786171144419913,0.0,0.057000542288457294,0.122,12/43,14.42%,POMP;PSMB3;PSMA5;PSMA3;PSMA4;PSME2;PSME3;PSMB5;PSMA1;PSMB1;PSMA7;PSMB8
prerank,Dopaminergic synapse,0.5095888862080316,1.6852159684039256,0.0029239766081871343,0.1398052746006239,0.349,26/99,11.46%,PLCB1;PLCB4;PPP2R2B;DRD1;GRIA2;MAOB;KIF5C;GNAL;ADCY5;PPP1CB;ITPR1;MAPK10;CREB3L2;CAMK2G;GNAI2;PPP2R2C;GNAO1;PPP2R5A;PPP2R5C;GNG7;AKT3;GNG12;PRKCA;GRIN2A;CREB1;MAPK14
prerank,Calcium signaling pathway,0.4841039125211272,1.6690193213306719,0.0,0.13477014210542898,0.408,45/141,15.63%,PLCB1;KDR;PLCB4;NTRK2;CASQ2;EGFR;DRD1;ITPKB;FGF1;GNAL;ATP2B4;PDGFC;ITPR1;FGFR1;SLC25A4;ERBB4;P2RX1;ADRB2;CYSLTR2;CAMK2G;ADRA1D;PTK2B;PLN;MCOLN3;PDE1B;STIM1;ASPH;VDAC2;PTGER3;MYLK;PTGFR;FGFR2;PRKCA;GRIN2A;PDE1A;PHKB;GNAQ;CAMK1D;FGF2;CACNA1G;AVPR1A;HRH2;ADCY2;CAMK4;CALM1
prerank,Long-term depression,0.5798705431782495,1.6637779096902776,0.0032,0.12034323765111174,0.429,12/43,10.18%,PLCB1;PLCB4;PLA2G4A;GNAZ;GRIA2;PRKG1;ITPR1;GNAI2;GNAO1;IGF1;MAPK1;PRKCA
prerank,Long-term potentiation,0.558399025384563,1.6514841800645952,0.004709576138147566,0.1186087441877214,0.48,15/50,15.63%,PPP1R1A;PLCB1;PLCB4;RPS6KA6;RAP1A;GRIA2;PPP1CB;ITPR1;CAMK2G;MAPK1;PRKCA;GRIN2A;GNAQ;CAMK4;CALM1
prerank,Staphylococcus aureus infection,-0.5931970899542045,-1.6454785237685048,0.017632241813602016,0.16380458869763737,0.399,12/23,14.89%,DEFB1;KRT18;KRT17;C3;CFI;KRT10;KRT19;C2;CFD;ICAM1;C1R;HLA-DMB
