Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial Translation Initiation R-HSA-5368286,-0.5805442613511699,-2.0623066305234485,0.0,0.009381112440418542,0.006,31/80,15.19%,GADD45GIP1;MRPL47;MRPS11;MRPS21;MRPL41;AURKAIP1;MRPS15;MRPL12;MRPL14;MRPL15;CHCHD1;MRPL36;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPS5;MRPL13;MRPS7;MRPL17;MTIF3;MRPS34;MRPL34;MRPL55;MRPS33;MRPS26;MRPS14;MRPL23;MRPL40
prerank,Mitochondrial Translation Termination R-HSA-5419276,-0.5775847173552154,-2.052234937712344,0.0,0.005360635680239166,0.007,35/80,20.53%,GADD45GIP1;MRPL47;MRPS11;MRPS21;MRPL41;AURKAIP1;MRPS15;MRPL12;MRPL14;MRPL15;CHCHD1;MRPL36;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPS5;MRPL13;MRPS7;MRPL17;MRPS34;MRPL34;MRPL55;MRPS33;MRPS26;MRPS14;MRPL23;MRPL40;MRPL21;MRPS16;MRPL52;MRPL44;MRPS36
prerank,Keratinization R-HSA-6805567,-0.7667786607787677,-2.0427649011979647,0.0,0.0040204767601793754,0.008,13/20,11.87%,RCAN1;KRT18;KRT7;KRT17;PRSS8;FURIN;JUP;KRT8;KAZN;PERP;KRT10;KRT19;PKP2
prerank,Mitochondrial Translation R-HSA-5368287,-0.5514044974107986,-1.9970420885689815,0.0,0.007370874060328854,0.019,31/86,15.19%,GADD45GIP1;MRPL47;MRPS11;MRPS21;MRPL41;AURKAIP1;MRPS15;MRPL12;MRPL14;MRPL15;CHCHD1;MRPL36;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPS5;MRPL13;MRPS7;MRPL17;MTIF3;MRPS34;MRPL34;MRPL55;MRPS33;MRPS26;MRPS14;MRPL23;MRPL40
prerank,Mitochondrial Translation Elongation R-HSA-5389840,-0.5582866144137945,-1.9849263305668077,0.0,0.007504889952334834,0.023,30/80,15.19%,GADD45GIP1;MRPL47;MRPS11;MRPS21;MRPL41;AURKAIP1;MRPS15;MRPL12;MRPL14;MRPL15;CHCHD1;MRPL36;MRPL16;MRPL4;MRPL54;MRPS25;MRPL50;MRPS2;MRPS5;MRPL13;MRPS7;MRPL17;MRPS34;MRPL34;MRPL55;MRPS33;MRPS26;MRPS14;MRPL23;MRPL40
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.5185052184009835,-1.9509365583939184,0.0,0.01183807046052816,0.043,41/104,23.75%,RPL39;SSR4;SEC61B;RPL26L1;RPL28;SEC61G;SRPRB;SEC61A1;RPL35;RPL22L1;SSR2;SPCS3;RPS2;SRP19;RPS15;MRPL13;SEC11A;RPL36;RPL29;RPL18A;RPS19;RPL12;RPLP2;TRAM1;RPS7;RPS15A;RPS12;RPL37;SPCS2;RPL11;RPLP0;RPS5;SEC61A2;RPN1;RPS24;SRP14;RPL8;UBA52;SSR3;RPLP1;RPS28
prerank,Platelet Homeostasis R-HSA-418346,0.5920125075632087,1.8555945956684752,0.0,0.1811187116617859,0.166,18/60,11.46%,KCNMA1;KCNMB1;PLA2G4A;PRKG1;ATP2B4;ITPR1;P2RX1;PDE5A;PDE1B;PAFAH2;PPP2R5A;PPP2R5C;STIM1;GNG7;GNG12;PTPN11;PDE1A;MAPK14
prerank,Interaction Between L1 And Ankyrins R-HSA-445095,0.7632498677248223,1.8325930026860728,0.0,0.1362397388606354,0.223,10/16,16.55%,SCN3A;ANK2;KCNQ3;SCN2A;SPTAN1;ANK1;NFASC;SCN1B;SCN4B;SPTBN1
prerank,RHO GTPases Activate ROCKs R-HSA-5627117,0.7282703718244559,1.7645335150268326,0.0017452006980802793,0.24656721366346365,0.469,8/18,7.92%,MYH11;PPP1CB;MYH10;ROCK2;PPP1R12A;RHOB;ROCK1;MYL9
prerank,NoRC Negatively Regulates rRNA Expression R-HSA-427413,-0.5535176241253226,-1.7508320738837002,0.002652519893899204,0.19872642271743768,0.512,9/41,10.15%,TAF1D;POLR2H;GTF2H2;DNMT3B;TAF1C;POLR2L;DNMT1;POLR2F;SAP30BP
prerank,Post NMDA Receptor Activation Events R-HSA-438064,0.5919477751813124,1.7507571840807887,0.0015698587127158557,0.22419451144860444,0.533,18/48,15.86%,PRKAA2;PRKAR2B;RPS6KA6;GRIA2;ERBB4;CAMK2G;CAMKK2;LRRC7;MAPK1;PRKCA;PDPK1;GRIN2A;CREB1;RNASE1;MPP3;CAMK4;CALM1;MPP2
prerank,RNA Polymerase I Promoter Escape R-HSA-73772,-0.6137692125907049,-1.745415003929825,0.0025,0.18410433164321388,0.531,7/27,9.45%,TAF1D;POLR2H;GTF2H2;TAF1C;POLR2L;CBX3;POLR2F
prerank,Tight Junction Interactions R-HSA-420029,-0.7112197115482404,-1.731265807795092,0.004357298474945534,0.19164272556855025,0.58,6/15,9.42%,CLDN4;PARD6G;CLDN3;CLDN1;CLDN7;F11R
prerank,Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368,0.7339534314529654,1.7310202334694993,0.0017482517482517483,0.23224868424595377,0.616,3/15,6.26%,PTGIS;NCOA2;NCOA1
prerank,Ca2+ Pathway R-HSA-4086398,0.5854262598023322,1.7303632929584396,0.0016155088852988692,0.19434198043355344,0.618,20/49,17.95%,PLCB1;PRKG1;ITPR1;TNRC6C;TCF7L1;TNRC6A;WNT11;TCF7L2;TNRC6B;GNAO1;CTNNB1;FZD6;GNG7;GNG12;PRKCA;CALM1;MYC;WNT5A;AGO3;AGO1
prerank,IRE1alpha Activates Chaperones R-HSA-381070,-0.5392224906746976,-1.727641920881285,0.0,0.1787771999359762,0.591,15/46,13.15%,WIPI1;SERP1;ARFGAP1;HSPA5;MYDGF;DNAJB11;SRPRB;SYVN1;SHC1;ZBTB17;PDIA5;HDGF;ERN1;KDELR3;PDIA6
prerank,PLC Beta Mediated Events R-HSA-112043,0.6172374844884115,1.722413084038473,0.003316749585406302,0.1837519166985881,0.654,17/39,15.63%,PLCB1;PLCB4;PRKAR2B;PLA2G4A;ADCY5;ITPR1;CAMK2G;PDE1B;CAMKK2;MAPK1;PRKCA;PDE1A;CREB1;GNAQ;ADCY2;CAMK4;CALM1
prerank,Nephrin Family Interactions R-HSA-373753,0.7306596892199705,1.7219435081636334,0.0017421602787456446,0.16178468989700454,0.656,9/16,17.40%,MAGI2;IQGAP1;SPTAN1;ACTN1;FYN;PIK3CB;ACTN4;SPTBN1;PIK3R1
prerank,RNA Polymerase I Transcription Termination R-HSA-73863,-0.5927929760792291,-1.707262615199396,0.0072992700729927005,0.20492248214005182,0.672,6/26,9.45%,TAF1D;POLR2H;GTF2H2;TAF1C;POLR2L;POLR2F
