Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),7.955434257508024e-32,1.2792338286072903e-28,0,0,20.14457831325301,1442.5304438349522,RPL30;RPL32;RPL10;RPL34;RPLP1;RPLP0;RPL11;RPL8;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPS3;RPL35;RPL38;RPL37;RPL15;RPL18;RPL39;RPS13;RPS9;RPL41;RPS7;RPS8;RPS5;RPL35A;RPSA;RPS25;RPS28;RPS27;RPS29;RPL24;FAU;RPL29;RPL28;UBA52;RPS21;RPS24
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),2.4491384219573164e-28,1.9691072912536824e-25,0,0,13.806818181818182,877.7911961516281,RPL30;MRPS15;RPL32;RPL10;RPL34;RPLP1;RPLP0;RPL11;RPL8;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPS3;RPL35;RPL38;RPL37;RPL15;RPL18;RPL39;RPS13;RPS9;RPL41;RPS7;RPS8;RPS5;RPL35A;RPSA;EEF1A1;MRPL52;RPS25;RPS28;RPS27;RPS29;RPL24;FAU;RPL29;RPL28;RPS21;RPS24
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),2.5317544931287773e-27,1.3570204083170246e-24,0,0,12.29463997416855,752.9346324412485,RPL30;MRPS15;RPL32;RPL10;RPL34;RPLP1;RPLP0;RPL11;RPL8;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPS3;RPL35;RPL38;RPL37;RPL15;RPL18;RPL39;RPS13;RPS9;RPL41;RPS7;RPS8;RPS5;RPL35A;RPSA;EEF1A1;MRPL52;RPS25;RPS28;RPS27;RPS29;EEF1D;RPL24;FAU;RPL29;RPL28;RPS21;RPS24
GO_Biological_Process_2023,Translation (GO:0006412),9.840203070743193e-27,3.955761634438764e-24,0,0,10.612368421052631,635.5038664549745,RPL30;MRPS15;RPL32;RPLP1;RPL34;RPLP0;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36AL;RPL36;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;RPSA;MRPL52;EEF1A1;EEF1D;RPL24;RPL29;AURKAIP1;RPL28;UBA52;RPL10;RPL11;MRPL54;RPS15A;RPS3;RPL15;RPL18;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;FAU;RPS21;RPS24
GO_Biological_Process_2023,Gene Expression (GO:0010467),4.758313532819893e-20,1.5302736321548776e-17,0,0,7.470274390243903,332.3660180184062,RPL30;MRPS15;RPL10;RPL32;RPLP1;RPL34;RPL11;RPLP0;RPL8;RPS15;RPS14;RPS15A;RPS16;RPL18A;RPS19;RPS18;RPL36AL;RPL36;RPS3;RPL35;RPL38;RPL37;RPL15;RPL18;RPL39;RPS13;RPS9;RPL41;RPS7;RPS8;RPS5;RPL35A;RPSA;MRPL52;EEF1A1;RPS25;RPS28;RPS27;RPS29;RPL24;FAU;RPL29;RPL28;RPS21;RPS24
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),4.1916570743578915e-11,1.1233640959279149e-08,0,0,13.287934863064397,317.51971990994804,RPS9;RPS7;RPS8;RPS5;RPSA;DDX52;RPS15;RPS14;RPS25;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS13;RPS24
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),8.761326904385763e-11,2.0126019517503296e-08,0,0,56.68341708542714,1312.6795982093956,RPL30;CXCL8;RPS19;CXCL1;DEFB1;ROMO1;FAU;CXCL14;CXCL2;RPL39
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),1.4113239507113156e-10,2.8367611409297445e-08,0,0,9.578296049500238,217.24842355712428,RPS9;RPS7;RPS8;RPS5;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL38;ZNF622;RPS13;RPS24
GO_Biological_Process_2023,Cellular Response To Zinc Ion (GO:0071294),2.035374198991371e-09,3.6365352355312493e-07,0,0,inf,inf,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),3.942768457094372e-09,6.339971679007752e-07,0,0,7.328868866431267,141.82374623858024,RPS9;RPS7;RPS8;RPS5;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;SBDS;ZNF622;RPS13;RPS24
