Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Phosphatidylinositol Metabolic Process (GO:0046488),2.602059357132267e-06,0.0012125596604236363,0,0,195.1090909090909,2508.9482589948043,LPGAT1;PTEN;PLCG2
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Migration (GO:0002687),0.00029236137154560834,0.04319550975094479,0,0,119.23333333333333,970.2636283559884,MIA3;PTN
GO_Biological_Process_2023,Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900225),0.00029236137154560834,0.04319550975094479,0,0,119.23333333333333,970.2636283559884,PLCG2;EIF2AK2
GO_Biological_Process_2023,Dendrite Morphogenesis (GO:0048813),0.0004989650036969418,0.04319550975094479,0,0,85.11904761904762,647.1579568147606,PTEN;PTN
GO_Biological_Process_2023,Negative Regulation Of Neurogenesis (GO:0050768),0.0007589217355243473,0.04319550975094479,0,0,66.16666666666667,475.31565412520354,PTEN;PTN
GO_Biological_Process_2023,Negative Regulation Of Cell Migration (GO:0030336),0.000876464473606566,0.04319550975094479,0,0,20.079545454545453,141.35225705686778,COL3A1;PTEN;MIA3
GO_Biological_Process_2023,Negative Regulation Of Response To Stimulus (GO:0048585),0.0009086812977743887,0.04319550975094479,0,0,59.53333333333333,416.9426604377467,COL3A1;DDAH1
GO_Biological_Process_2023,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),0.0014106360883451383,0.04319550975094479,0,0,16.86602870813397,110.70379802948182,PTEN;PLCG2;EIF2AK2
GO_Biological_Process_2023,Phosphatidylinositol Biosynthetic Process (GO:0006661),0.0014360089208456403,0.04319550975094479,0,0,45.756410256410255,299.5163183389199,PTEN;PLCG2
GO_Biological_Process_2023,Glycerophospholipid Biosynthetic Process (GO:0046474),0.0016375046750268987,0.04319550975094479,0,0,42.476190476190474,272.46699562136996,PTEN;PLCG2
GO_Biological_Process_2023,Second-Messenger-Mediated Signaling (GO:0019932),0.0016375046750268987,0.04319550975094479,0,0,42.476190476190474,272.46699562136996,DDAH1;PLCG2
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),0.0018987283178245615,0.04319550975094479,0,0,9.690140845070422,60.7239548624329,DDAH1;PTEN;EIF2AK2;MIA3
GO_Biological_Process_2023,Regulation Of Epithelial Cell Migration (GO:0010632),0.0020785467444257902,0.04319550975094479,0,0,37.145833333333336,229.4158727244498,PLCG2;PTN
GO_Biological_Process_2023,Wnt Signaling Pathway (GO:0016055),0.0020785467444257902,0.04319550975094479,0,0,37.145833333333336,229.4158727244498,PTEN;PLCG2
GO_Biological_Process_2023,Regulation Of Stem Cell Differentiation (GO:2000736),0.0023179180728351368,0.04319550975094479,0,0,34.950980392156865,212.05059958017281,EIF2AK2;PTN
GO_Biological_Process_2023,Phosphatidylinositol-Mediated Signaling (GO:0048015),0.0023179180728351368,0.04319550975094479,0,0,34.950980392156865,212.05059958017281,PTEN;PLCG2
