Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),2.8087860525864917e-44,1.2268777477697795e-40,0,0,7.737764150846005,775.9506626764617,RPL32;RPL34;RPL8;RPL9;YARS2;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPL39;CHCHD1;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;MRPS18A;RPSA;GTPBP2;MRPS18C;RPL24;RPL27;AURKAIP1;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL16;MRPL17;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;MRPL20;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL22;RPS25;RPS28;RPL27A;RPS24;RPS23;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL33;MRPL41;MRPL4;RPL7A;MRPL40;RPLP2;MRPL9;EIF5AL1;EIF5A;TSFM;MRPS26;MRPS24;MRPS25;MRPS23;MRPS2;MRPS21;MRPL47;RPS3A;MRPS7;MRPS6;MRPL44;MRPL52;MRPL50;MRPL51;EEF1D;ETF1;RPL10;MRPS33;RPL12;MRPS34;RPL11;MRPL57;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;GADD45GIP1;RWDD1;GATB;RPL35A;RPL23A;RPS6KB2;DRG2;RPL22L1;FAU;RPL26L1
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),2.248572366238899e-36,4.9108820478657553e-33,0,0,9.458437214958954,776.3747060148593,PCSK1;MRPS15;MRPS16;RPL32;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;RPL8;RPL9;YARS2;RPL6;RPL7;RPS15;MRPL41;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;MRPL9;GGT1;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;MRPS18A;MRPS21;RPSA;RPS3A;MRPS7;MRPS6;MRPS18C;MRPL52;MRPL51;RPL24;RPL27;RPL29;RPL28;RPL10;MRPL18;MRPS33;RPL12;RPL11;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;GGT5;RPL41;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;MRPL24;RPS25;RPS28;RPL27A;RPS6KB2;FAU;RPS24;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),2.865789501016227e-32,4.1725895134796266e-29,0,0,7.079258702044724,514.1657036192361,MRPS15;MRPS16;RPL32;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;RPL8;RPL9;YARS2;RPL6;RPL7;EEF1B2;RPS15;MRPL41;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;MRPL9;RPL39;RPS13;EIF5A;EIF5AL1;TSFM;RPS9;RPS7;RPS8;RPS5;RPS6;MRPS18A;MRPS21;RPSA;RPS3A;GTPBP2;MRPS7;MRPS6;MRPS18C;MRPL52;MRPL51;EEF1D;RPL24;RPL27;RPL29;RPL28;RPL10;MRPL18;MRPS33;RPL12;GCNT1;RPL11;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;RPL41;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;MRPL24;RPS25;RPS28;RPL27A;RPS6KB2;FAU;RPS24;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),1.244296050282697e-27,1.358771286908705e-24,0,0,11.106801557338366,688.0799907679021,RPL32;RPL34;RPLP1;MRPS12;RPLP0;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPL24;ETF1;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPL27A;DRG2;RPL22L1;FAU;RPL26L1;RPS24;RPS23
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.4776957409686959e-25,1.2909149993102528e-22,0,0,15.095280454657772,863.0597291080801,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB6;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COA6;COX8A;NDUFA9;NDUFA8;NDUFA6;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;SDHAF2;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;UQCRC1;CYCS
GO_Biological_Process_2023,Gene Expression (GO:0010467),2.0373913115591332e-25,1.483220874815049e-22,0,0,4.116365749732392,234.02756539457388,RPL32;RPL34;EIF4A3;HNRNPU;RPL8;RPL9;YARS2;RPL6;RPL7;RPS15;RPS14;ALKBH5;RPS16;RPL18A;RPS19;RPS18;MAGOH;RPL36;RPL35;RPL37;RPL39;RPS13;TGM2;RPS9;RPS7;RPS8;RPS5;RPS6;DNTTIP2;MRPS18A;RPSA;MRPS18C;THOC6;PRPF4;DDX39A;DNAJB11;RPL24;SRSF3;RPL27;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;RPL41;CHTOP;ALYREF;MRPL27;MRPL28;MAGOHB;MRPL23;MRPL24;RPS25;RPS28;RPL27A;HNRNPD;RPS24;RPS23;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL41;RBM3;RPL7A;CASP10;RPLP2;MRPL9;UPF2;UPF1;MRPS21;RPS3A;MRPS7;MRPS6;MRPL52;MRPL51;RPL10;MRPS33;RPL12;RPL11;MRPL55;HSPD1;EXOSC7;NXF1;EXOSC4;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;EXOSC1;RPL19;RBM39;RPL35A;RPL23A;TSPAN15;HNRNPA2B1;RPS6KB2;FAU
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),7.482584846457333e-25,4.669132944189376e-22,0,0,14.767171330484823,820.3466257094719,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB6;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA9;NDUFA8;NDUFA6;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;SDHAF2;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;UQCRC1;CYCS
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),2.0982620807111064e-23,1.1456510960682641e-20,0,0,10.048948502412527,524.7394870930356,COX7B;NDUFA11;COX4I1;ETFB;COX6A1;CHCHD5;UQCRFS1;COX8A;NDUFC1;SDHC;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;UQCRC1;SLC25A13;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;BLOC1S1;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA6;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),3.7837793563718257e-19,1.8363942476257926e-16,0,0,6.915145813734713,293.32937573223853,MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL40;MRPL9;CHCHD1;TSFM;MRPS26;MRPS24;MRPS25;MRPS23;MRPS18A;MRPS2;MRPS21;MRPL47;MRPS7;MRPS6;MRPS18C;MRPL44;MRPL52;MRPL50;MRPL51;DAP3;MRPL18;MRPS33;MRPS34;MRPL16;MRPL17;MRPL14;MTIF3;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;MRPL27;MRPL28;GATB;MRPL23;MRPL24;MRPL22
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),2.4262967767384377e-17,1.0598064320793496e-14,0,0,6.096379877762106,233.2327436037417,MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS24;MRPS25;MRPS23;MRPS18A;MRPS2;MRPS21;MRPL47;MRPS7;MRPS6;MRPS18C;MRPL44;MRPL52;MRPL50;MRPL51;DAP3;MRPL18;MRPS33;MRPS34;MRPL16;MRPL17;MRPL14;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;TBRG4;MRPL20;GADD45GIP1;MRPL27;MRPL28;GATB;MRPL23;MRPL24;MRPL22
