Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),1.9061435039370745e-20,5.672683067716734e-17,0,0,11.48425173497835,521.4610518370073,NDUFB9;COX7B;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;ETFB;UQCR10;COX6A1;COX5B;COX5A;CHCHD5;CYC1;NDUFV2;COX8A;NDUFA8;NDUFA6;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS2
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.89201745925846e-19,2.815321979376588e-16,0,0,13.258383407637139,571.5884392083645,NDUFB9;COX7B;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;CYC1;NDUFV2;COX8A;NDUFA8;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS2
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),1.4402362449396401e-18,1.428714354980123e-15,0,0,12.799070847851336,525.8079026165195,NDUFB9;COX7B;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;CYC1;NDUFV2;COX8A;NDUFA8;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS2
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),9.896800355128548e-12,7.36321946421564e-09,0,0,11.924072676612294,302.14180729842013,NDUFB9;NDUFA8;NDUFA6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFV2
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),1.6313393757408303e-11,9.709731964409422e-09,0,0,11.426234979973298,283.8166465022773,NDUFB9;NDUFA8;NDUFA6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFV2
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",3.857065770716154e-11,1.9131046222752125e-08,0,0,13.513241603787543,324.0276596202804,NDUFB9;NDUFA8;NDUFA6;NDUFA4;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFB1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFV2
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),3.506067199445267e-10,1.4905794265070165e-07,0,0,8.840690813557861,192.4738267813906,NDUFB9;NDUFA8;NDUFA6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFV2
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),7.78594267270809e-10,2.8963706742474096e-07,0,0,7.61831550802139,159.7829768077879,NDUFB9;NDUFA8;NDUFA6;NDUFA12;NDUFB11;MDH2;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFV2
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),5.717936948718161e-09,1.8907311510428054e-06,0,0,10.611553784860558,201.40365924368882,COX8A;COX7B;NDUFA4;COX7A2;UQCR11;UQCR10;COX5B;COX6A1;COX6C;COX5A;COX6B1;CHCHD5;UQCRQ;CYC1
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",8.325216414297608e-09,2.477584404894968e-06,0,0,33.931068601583114,631.2528132566837,COX8A;COX7B;NDUFA4;COX7A2;COX5B;COX6A1;COX6C;COX5A;COX6B1
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),8.565148835854614e-08,2.3172620850457573e-05,0,0,4.53368401959006,73.77654590934505,GADD45GIP1;MRPS15;MRPS33;MRPS12;MRPS34;MRPL28;MRPS2;MRPS21;MRPL47;MRPL12;MRPS7;MRPL13;MRPS6;MRPL57;MRPL11;MRPL22;MRPL4;MRPL41;MRPL52;MRPL20;MRPL50;MRPL51
