Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),2.3941056679929325e-08,7.364269034746261e-05,0,0,3.358554014291719,58.93480087554331,EPHB6;FLT1;PLAT;ADRB2;SOGA1;FGF2;EGFR;PTPRG;IGF1R;EFNB2;GHR;FLRT2;PDGFC;CHN1;KDR;PDK4;BDKRB2;EPHA4;NTRK2;ANGPT1;SORT1;MMP2;NTRK3;GAB1;IGF1;SORBS1;PRLR;PTK2;SULF2;RASA1;PHIP;ROR1;PLCB1;DDR2
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),1.3455462972897882e-07,0.00020694502052316942,0,0,2.573776574408343,40.72047986693309,SEMA5A;CLIC4;FLT1;TNXB;SERPINE2;ROCK1;ROCK2;SEMA3D;FAM107A;PTEN;LDLRAD4;FOXO3;FGF2;EGFR;SYNE2;MYLK;AMOT;IGF1R;DACH1;GPNMB;PODXL;CCL5;DPYSL3;PDGFC;KDR;CTSH;RFFL;EPHA4;TCAF1;F10;IGFBP5;LIMCH1;NTRK3;CAV1;TET1;ADAM10;IGF1;PODN;PTK2;TJP1;SMO;APC;DAAM2;KIF26A;IL1B;CDH13
GO_Biological_Process_2023,Axon Guidance (GO:0007411),5.49498054173786e-07,0.0005634186715461885,0,0,4.353121409421678,62.747026437100416,CYFIP2;EPHB6;SEMA5A;EPHA4;TRIO;SEMA3D;USP33;MYCBP2;PTPRM;ARHGAP35;PTK2;EFNB2;NFASC;SMO;PALLD;NFIB;CHN1;NCAM1;ARHGEF40;RNF165
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),1.1048092039896394e-06,0.0008495982778680327,0,0,2.8312590029495377,38.83308954862796,SEMA5A;FLT1;ROCK2;SEMA3D;FAM107A;EGFR;SYNE2;MYLK;IGF1R;NIPBL;GPNMB;PODXL;CCL5;PDGFC;KDR;CTSH;CLASP1;EPHA4;F10;CAV1;NTRK3;GAB1;ADAM10;IGF1;PTK2;TJP1;SMO;APC;DAAM2;IL1B;CDH13;DDR2;FGF10
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),1.8204457544875468e-06,0.0011199382281607388,0,0,3.0612466124661246,40.458749015812394,SEMA5A;FLT1;ROCK2;SEMA3D;FAM107A;EGFR;SYNE2;MYLK;IGF1R;GPNMB;PODXL;CCL5;PDGFC;KDR;CTSH;EPHA4;F10;CAV1;NTRK3;ADAM10;IGF1;PTK2;TJP1;SMO;APC;DAAM2;IL1B;CDH13
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),3.407761851622874e-06,0.0017470459092653267,0,0,3.634960341671751,45.7621690327079,POSTN;COL27A1;GSN;HPSE2;COL14A1;MMP2;COL12A1;COL23A1;ADAM10;NDNF;MMP11;LOX;FLRT2;COL5A1;ADAMTS19;CTSK;COL7A1;MMP19;GAS6;GPM6B;DDR2
GO_Biological_Process_2023,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),5.032609279176685e-06,0.0021061632325576262,0,0,4.4965925925925925,54.85650493052201,PPP1R16B;NTRK2;FLT1;NTRK3;PTEN;IGF1;PTPN13;FGF2;EGFR;PTK2;IGF1R;CCL5;PDGFC;KDR;ROR1;DDR2
GO_Biological_Process_2023,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357),5.477667704961317e-06,0.0021061632325576262,0,0,75.13140604467806,910.2042982094207,NCOA1;NCOA2;RXRA;FAM120B;PPARG
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),8.960904639245615e-06,0.0030626380744799456,0,0,2.77950234047795,32.30515333665067,FLT1;ROCK1;ROCK2;LRRK2;IQGAP1;ADRB2;FGF2;PIK3R6;EGFR;IGF1R;GHR;DSTYK;GPNMB;CCL5;PDGFC;KDR;NTRK2;MEF2C;EDN3;ANGPT1;NTRK3;EIF2AK2;IGF1;IL1B;ROR1;GAS6;DDR2;FGF10
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),1.2463388556206897e-05,0.0034606702325694575,0,0,3.2950806061025393,37.21040660464579,EPHA4;NTRK2;CDKL5;KIDINS220;LRRK2;NTRK3;MYCBP2;PTEN;NDNF;ATP1B2;PTN;CBFA2T2;ARHGAP35;EFNB2;CCDC88A;KIF26A;DPYSL3;CHN1;ROR1;S100A9;DDR2
