Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),9.202862587236337e-11,8.322590251529882e-08,0,0,9.975483178239084,230.52265705695774,COX8A;COX7B;NDUFA6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;COX7A2;UQCR10;COX6A1;COX5B;COX6C;COX6B1;NDUFS7;NDUFS6;NDUFS5;CYCS
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",1.2585466835389978e-10,8.322590251529882e-08,0,0,56.662213740458014,1291.6657785946147,COX8A;COX7B;NDUFA4;CYCS;COX7A2;COX5B;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.6170835980951844e-10,8.322590251529882e-08,0,0,9.53885655597398,215.05568304752367,COX8A;COX7B;NDUFA6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;COX7A2;UQCR10;COX6A1;COX5B;COX6C;COX6B1;NDUFS7;NDUFS6;NDUFS5;CYCS
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),1.9758182498785246e-09,7.626658444531105e-07,0,0,7.8235376827896514,156.80155802595638,COX8A;COX7B;NDUFA6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;COX7A2;UQCR10;COX6A1;COX5B;COX6C;COX6B1;NDUFS7;NDUFS6;NDUFS5;CYCS
GO_Biological_Process_2023,Cellular Response To Zinc Ion (GO:0071294),4.620279641665679e-09,1.4267423533463618e-06,0,0,87.5,1679.370927953729,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),3.955506062140617e-08,8.72471622849302e-06,0,0,43.73674242424242,745.5178006054282,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Response To Zinc Ion (GO:0010043),3.955506062140617e-08,8.72471622849302e-06,0,0,43.73674242424242,745.5178006054282,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),7.940760036940636e-08,1.532566687129543e-05,0,0,13.274853801169591,217.02622733435592,COX8A;COX7B;NDUFA4;CYCS;COX7A2;UQCR10;COX5B;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),9.174492994923326e-08,1.5739352426846237e-05,0,0,34.98409090909091,566.8910814393516,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",3.09676410086742e-05,0.004781403771739296,0,0,8.002433460076047,83.08580746077702,NDUFA6;NDUFS7;NDUFB5;NDUFA4;NDUFS6;NDUFS5;NDUFB3;NDUFB2
GO_Biological_Process_2023,Intracellular Protein Transmembrane Transport (GO:0065002),6.174374080155973e-05,0.008666575981600748,0,0,8.726136363636364,84.57823334856518,HSPA5;SEC61G;TIMM17A;TIMM23;ROMO1;HYOU1;SEC61B
GO_Biological_Process_2023,7-Methylguanosine Cap Hypermethylation (GO:0036261),7.532788297682568e-05,0.008946634716632219,0,0,32.95380774032459,312.8522529775853,SNRPG;SNRPE;SNRPD3;SNRPF
GO_Biological_Process_2023,RNA Capping (GO:0036260),7.532788297682568e-05,0.008946634716632219,0,0,32.95380774032459,312.8522529775853,SNRPG;SNRPE;SNRPD3;SNRPF
GO_Biological_Process_2023,Response To Cadmium Ion (GO:0046686),0.00028044424475017095,0.030928993849590282,0,0,11.262816131237184,92.1201006422213,MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Spliceosomal snRNP Assembly (GO:0000387),0.0003341108107043328,0.03439113944849932,0,0,7.844687189672294,62.789173198802345,SNRPG;SNRPE;SNRPD3;SNRPF;LSM4;SNRPB
GO_Biological_Process_2023,Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620),0.0004113021296400135,0.039690655510261304,0,0,16.469413233458177,128.39855131689998,HSPA5;SEC61G;HYOU1;SEC61B
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),0.0004481905845996387,0.04070625074246131,0,0,4.501374045801526,34.70690831217018,MT2A;MT1M;ALOX5AP;MT1F;MT1G;MT1X;MT1H;FBP1;MT1E
GO_Biological_Process_2023,Cellular Response To Cadmium Ion (GO:0071276),0.0006772977159159614,0.0580970929652358,0,0,8.845327604726101,64.54789033764914,MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),0.000735566279450894,0.058630952191216064,0,0,4.1653944020356235,30.052778722707092,NDUFA6;NDUFS7;NDUFB5;NDUFS5;COX17;NDUFB3;TMEM126A;NDUFB2;COX20
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),0.0008354151218955656,0.058630952191216064,0,0,5.278122130394857,37.40912237427482,NDUFA6;NDUFS7;NDUFB5;NDUFS5;NDUFB3;TMEM126A;NDUFB2
