Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),1.6370829207466122e-08,3.447696631092365e-05,0,0,5.457747955546236,97.84522164517492,CCR1;PARP4;TNFAIP6;SLC11A1;NFAM1;STAT3;C5AR1;FPR1;HP;FPR2;MEFV;ITGAL;TNFRSF1A;C3AR1;PROK2;TLR5;TLR4;S100A9;NAIP;S100A8
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),4.626694914850385e-08,4.871909745337455e-05,0,0,5.077728302476369,85.75693056659172,AKNA;TNFAIP6;STAT3;NKG7;FPR2;AOAH;MEFV;TNFRSF1B;IL17RA;TNFRSF1A;NLRP12;CASP4;S100A12;FFAR2;NLRP1;PIK3AP1;TLR4;S100A9;NAIP;S100A8
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),1.0923920412691229e-07,7.668592129709242e-05,0,0,6.610991379310345,105.97237924782478,ANKRD17;SYK;SLC11A1;FPR2;MPEG1;HLA-E;FGR;RNF213;CASP4;S100A12;NLRP1;TLR4;S100A9;NAIP;S100A8
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response (GO:0050728),2.1584363990311582e-07,0.00011364167640899048,0,0,7.510042283298097,115.26947296546004,TNFAIP6;SYK;STAT3;FPR2;AOAH;MEFV;TNFRSF1B;MAPK14;TNFRSF1A;FGR;NLRP12;FYN;PTPN6
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),3.4575231942683285e-07,0.00012269771721810837,0,0,6.484471170852494,96.47299970136696,NKG7;FPR2;MEFV;IL17RA;TNFRSF1A;NLRP12;CASP4;S100A12;EMILIN2;NLRP1;S100A9;TLR4;NAIP;S100A8
GO_Biological_Process_2023,Macrophage Activation (GO:0042116),3.4956614592053663e-07,0.00012269771721810837,0,0,13.306017063313876,197.814874469603,FCGR3A;CD93;SYK;SLC11A1;C5AR1;DYSF;PLCG2;CLU;TLR4
GO_Biological_Process_2023,Positive Regulation Of Inflammatory Response (GO:0050729),7.461937847467966e-07,0.00022449773009667907,0,0,6.602790697674418,93.15402328123396,NKG7;MEFV;IL17RA;TNFRSF1A;NLRP12;CASP4;PLCG2;S100A12;NLRP1;S100A9;TLR4;NAIP;S100A8
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),1.6229910323630483e-06,0.00042725238926957245,0,0,5.168918918918919,68.908097587952,NKG7;FPR2;MEFV;PPM1F;IL17RA;TNFRSF1A;NLRP12;CASP4;S100A12;EMILIN2;NLRP1;S100A9;TLR4;NAIP;S100A8
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),4.8316508593281605e-06,0.001104864478853928,0,0,21.33153638814016,261.1048817369363,CX3CR1;CLEC4D;PLCG2;S100A12;S100A9;S100A8
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),5.2462700800281486e-06,0.001104864478853928,0,0,3.0077460317460316,36.56815578566921,ROCK2;CSF2RB;CAMKK2;TTBK2;STK10;AKT2;AKT3;FYN;ERC1;JAK3;MAP3K3;MAP3K1;SYK;PRKCB;ADAM10;IRAK3;MAPK14;FGR;SNRK;CREB1;WNK1;ATM;PTPN6;FAM20A;PKN1;TLR4
